# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 26182001
# NOM_USUEL= MIRABEL-AUX-BAR
# LATITUDE (°) = 44.329
# LONGITUDE(°)= 5.101
# ALTITUDE (m) = 238
# NUM_SERIE= MRR126182001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;30.4;1
195002;72.4;1
195003;30.6;1
195004;43.5;1
195005;39;1
195006;23.4;1
195007;0;1
195008;42.9;1
195009;81.8;1
195010;65;1
195011;88.4;1
195012;58.7;1
195101;66.7;1
195102;210.4;1
195103;132;1
195104;63.7;1
195105;145.1;1
195106;70;1
195107;25.4;1
195108;146.4;1
195109;61.5;1
195110;165.2;1
195111;253.4;1
195112;33.1;1
195201;34.9;1
195202;4.3;1
195203;33.3;1
195204;63;1
195205;65.6;1
195206;38.2;1
195207;2.7;1
195208;112.3;1
195209;45.9;1
195210;134.6;1
195211;71;1
195212;96.5;1
195301;0.2;1
195302;10.6;1
195303;0;1
195304;35.9;1
195305;34.5;1
195306;140.6;1
195307;34.2;1
195308;27.3;1
195309;254.3;1
195310;110.6;1
195311;13.9;1
195312;18.1;1
195401;29.8;1
195402;72.6;1
195403;121.2;1
195404;98;1
195405;116.3;1
195406;43.2;1
195407;40.1;1
195408;131.9;1
195409;81.4;1
195410;44;1
195411;80.3;1
195412;76;1
195501;169.2;1
195502;99.4;1
195503;49.7;1
195504;0;1
195505;74;1
195506;156;1
195507;18.6;1
195508;40.8;1
195509;18.2;1
195510;91.3;1
195511;71.6;1
195512;86.8;1
195601;70.2;1
195602;25.9;1
195603;122.1;1
195604;70.2;1
195605;96.8;1
195606;19.5;1
195607;66.3;1
195608;62.4;1
195609;145.3;1
195610;48.1;1
195611;22.6;1
195612;68.8;1
195701;13.6;1
195702;73.1;1
195703;48.5;1
195704;89.9;1
195705;49.9;1
195706;155.4;1
195707;3.9;1
195708;25;1
195709;50.8;1
195710;55.9;1
195711;84.9;1
195712;69.2;1
195801;12.6;1
195802;16.2;1
195803;63.4;1
195804;68.4;1
195805;30;1
195806;103;1
195807;36.5;1
195808;23.4;1
195809;94.8;1
195810;78.9;1
195811;22.9;1
195812;134.1;1
195901;11.8;1
195902;36.7;1
195903;92.5;1
195904;119.2;1
195905;48;1
195906;49;1
195907;30.6;1
195908;58.5;1
195909;83.4;1
195910;104.6;1
195911;78.3;1
195912;105.2;1
196001;64.7;1
196002;120.8;1
196003;152.6;1
196004;17.2;1
196005;6.7;1
196006;49.8;1
196007;22.4;1
196008;65.3;1
196009;179;1
196010;213.3;1
196011;149.8;1
196012;68.2;1
196101;52.4;1
196102;6.7;1
196103;0;1
196104;123.1;1
196105;111.2;1
196106;58.9;1
196107;35;1
196108;10.4;1
196109;85.3;1
196110;90;1
196111;78.3;1
196112;30;1
196201;60.7;1
196202;96.8;1
