# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 26198001
# NOM_USUEL= MONTELIMAR
# LATITUDE (°) = 44.581
# LONGITUDE(°)= 4.733
# ALTITUDE (m) = 73
# NUM_SERIE= MRR126198001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : 198504
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;41.8;1
195002;72.2;1
195003;33.6;1
195004;46.1;1
195005;92.5;1
195006;4.2;1
195007;4.5;1
195008;69.3;1
195009;256.2;1
195010;58.2;1
195011;108.2;1
195012;52.8;1
195101;81;1
195102;141.8;1
195103;116.6;1
195104;27;1
195105;226.6;1
195106;43.2;1
195107;29.5;1
195108;187.6;1
195109;86.8;1
195110;125.1;1
195111;218.1;1
195112;34.4;1
195201;34.9;1
195202;7.5;1
195203;39;1
195204;47.4;1
195205;73;1
195206;33.1;1
195207;3.2;1
195208;87.7;1
195209;56.2;1
195210;135.1;1
195211;96.8;1
195212;82;1
195301;1.7;1
195302;2.2;1
195303;1.3;1
195304;37.4;1
195305;32.4;1
195306;89.9;1
195307;38.3;1
195308;17.1;1
195309;308.4;1
195310;154.4;1
195311;18.2;1
195312;42.2;1
195401;23.2;1
195402;74.5;1
195403;80.3;1
195404;37.5;1
195405;99.5;1
195406;44.9;1
195407;21;1
195408;187;1
195409;50;1
195410;64.4;1
195411;112.6;1
195412;111.4;1
195501;161.5;1
195502;79.5;1
195503;37;1
195504;0;1
195505;68.4;1
195506;145.3;1
195507;33.8;1
195508;97;1
195509;9.4;1
195510;113.7;1
195511;180.1;1
195512;67.5;1
195601;69.1;1
195602;22;1
195603;163.1;1
195604;70.5;1
195605;83;1
195606;37.3;1
195607;38;1
195608;54.7;1
195609;212.2;1
195610;49.6;1
195611;13.8;1
195612;63;1
195701;25.5;1
195702;86.4;1
195703;60.7;1
195704;91.3;1
195705;33.2;1
195706;154.9;1
195707;10.4;1
195708;25.8;1
195709;35.7;1
195710;15.5;1
195711;107.2;1
195712;152.5;1
195801;22;1
195802;21.1;1
195803;46;1
195804;65;1
195805;34.4;1
195806;75.4;1
195807;48.5;1
195808;70.4;1
195809;217.2;1
195810;108.2;1
195811;36.4;1
195812;159.6;1
195901;8.3;1
195902;45;1
195903;126.8;1
195904;103.1;1
195905;68.1;1
195906;28.5;1
195907;66.3;1
195908;54.3;1
195909;44;1
195910;100.1;1
195911;133;1
195912;94;1
196001;105.7;1
196002;80.1;1
196003;146.4;1
196004;10.2;1
196005;18.3;1
196006;101.4;1
196007;79.1;1
196008;76;1
196009;258.7;1
196010;168.4;1
196011;155.3;1
196012;66.3;1
196101;74.5;1
196102;33.8;1
196103;0.5;1
196104;75.1;1
196105;74.1;1
196106;27.5;1
196107;21;1
196108;1.9;1
196109;46.3;1
196110;94.2;1
196111;102.1;1
196112;67.3;1
196201;48;1
196202;83.3;1
196203;47.8;1
196204;62.6;1
196205;24.4;1
196206;21.3;1
196207;3.8;1
196208;55.9;1
196209;76.7;1
196210;67.7;1
196211;80.6;1
196212;55.7;1
196301;74.3;1
196302;77.7;1
196303;45.4;1
196304;68.8;1
196305;28.2;1
196306;100.8;1
196307;53.4;1
196308;166;1
196309;98.7;1
196310;26.3;1
196311;156.8;1
196312;72.9;1
196401;13.3;1
196402;143.3;1
196403;169.5;1
196404;80;1
196405;94;1
196406;38.3;1
196407;10.2;1
196408;153.4;1
196409;130.7;1
196410;77.9;1
196411;32.1;1
196412;39.2;1
196501;77.6;1
196502;8.7;1
196503;106.1;1
196504;8.9;1
196505;50;1
196506;43;1
196507;82.1;1
196508;90.2;1
196509;279;1
196510;74.8;1
196511;76.5;1
196512;50.4;1
196601;40.8;1
196602;139.2;1
196603;7.1;1
196604;94.7;1
196605;52.4;1
196606;39.9;1
196607;17.2;1
196608;20.4;1
196609;18.9;1
196610;188.2;1
196611;125.2;1
196612;28.8;1
196701;33.9;1
196702;93.1;1
196703;25.8;1
196704;21.3;1
196705;107.9;1
196706;46.8;1
196707;13.6;1
196708;101.9;1
196709;27.4;1
196710;25.8;1
196711;178.1;1
196712;11.3;1
196801;14.5;1
196802;103.9;1
196803;11.1;1
196804;67.2;1
196805;102;1
196806;31.1;1
196807;8.3;1
196808;109.5;1
196809;243.6;1
196810;76.8;1
196811;122;1
196812;49.9;1
196901;86;1
196902;74.6;1
196903;84.1;1
196904;66.7;1
196905;87.7;1
196906;76.1;1
196907;41.1;1
196908;73.6;1
196909;170.5;1
196910;32.1;1
196911;59.7;1
196912;14.9;1
197001;117.6;1
197002;21.5;1
197003;109.6;1
197004;59.5;1
197005;94.3;1
197006;80.6;1
197007;12.4;1
197008;36.6;1
197009;67.5;1
197010;161.8;1
197011;101.9;1
197012;58.6;1
197101;84.7;1
197102;1.5;1
197103;152.5;1
197104;146.6;1
197105;114.4;1
197106;130.1;1
197107;94;1
197108;43.2;1
197109;110.6;1
197110;27.8;1
197111;76;1
197112;62.4;1
197201;86.4;1
197202;204.2;1
197203;67.4;1
197204;23.1;1
197205;58.3;1
197206;92.3;1
197207;2.6;1
197208;44.3;1
197209;23.9;1
197210;149.1;1
197211;35.1;1
197212;114.1;1
197301;61.7;1
197302;22.6;1
197303;23.8;1
197304;40.4;1
197305;54.8;1
197306;68.2;1
197307;61.4;1
197308;10.8;1
197309;70.3;1
197310;100.2;1
197311;18.1;1
197312;42.1;1
197401;82.7;1
197402;198.7;1
197403;88.9;1
197404;71.2;1
197405;56.1;1
197406;68.3;1
197407;44.3;1
197408;39;1
197409;179.7;1
197410;20.3;1
197411;55.1;1
197412;9.5;1
197501;77.7;1
197502;79.7;1
197503;81.7;1
197504;35.6;1
197505;132.6;1
197506;47.6;1
197507;15.8;1
197508;44.8;1
197509;244.4;1
197510;25.2;1
197511;99.3;1
197512;81.8;1
197601;44.6;1
197602;59.1;1
197603;35.8;1
197604;41.9;1
197605;34.8;1
197606;4.8;1
197607;16.9;1
197608;163.6;1
197609;223.4;1
197610;246.8;1
197611;112.3;1
197612;53.8;1
197701;127.9;1
197702;76.9;1
197703;104.6;1
197704;36.8;1
197705;207;1
197706;87.7;1
197707;63.2;1
197708;130.9;1
197709;16.9;1
197710;240.3;1
197711;40.5;1
197712;108.2;1
197801;69.5;1
197802;68.7;1
197803;54.1;1
197804;91.9;1
197805;116.6;1
197806;13.6;1
197807;40.1;1
197808;52.3;1
197809;6.3;1
197810;6.7;1
197811;2.6;1
197812;93.3;1
197901;109.6;1
197902;52.2;1
197903;129.7;1
197904;46.7;1
197905;67.3;1
197906;38.3;1
197907;24;1
197908;42;1
197909;39.6;1
197910;380.2;1
197911;25.1;1
197912;69.5;1
198001;35;1
198002;11.6;1
198003;88.4;1
198004;52.9;1
198005;56.3;1
198006;41.1;1
198007;34.4;1
198008;46.6;1
198009;66.1;1
198010;89;1
198011;42.5;1
198012;12.3;1
198101;24.7;1
198102;14;1
198103;59.9;1
198104;19.7;1
198105;128.6;1
198106;57.6;1
198107;55.9;1
198108;13.2;1
198109;163.5;1
198110;42;1
198111;3.6;1
198112;160.5;1
198201;9.4;1
198202;15.9;1
198203;38.4;1
198204;20;1
198205;27.5;1
198206;79.6;1
198207;75.6;1
198208;47.6;1
198209;284.8;1
198210;161.2;1
198211;220.7;1
198212;70.5;1
198301;3.5;1
198302;84.7;1
198303;82.7;1
198304;63.2;1
198305;77;1
198306;53.9;1
198307;0.5;1
198308;76.4;1
198309;40.8;1
198310;158.8;1
198311;6.7;1
198312;60.4;1
198401;78.3;1
198402;54.3;1
198403;60;1
198404;4.9;1
198405;174.4;1
198406;49.8;1
198407;2.4;1
198408;98.8;1
198409;45.8;1
198410;85.3;1
198411;134.1;1
198412;82.2;1
198501;58;1
198502;17.7;1
198503;137;1
198504;38.4;1
198505;133;1
198506;50.7;1
198507;34.1;1
198508;34;1
198509;0.2;1
198510;28.8;1
198511;18.6;1
198512;80.9;1
198601;77.2;1
198602;93.4;1
198603;19.4;1
198604;257.4;1
198605;61.6;1
198606;22.4;1
198607;4.2;1
198608;34.6;1
198609;49.8;1
198610;50.2;1
198611;52;1
198612;53.6;1
198701;51.3;1
198702;96.4;1
198703;39;1
198704;116.6;1
198705;33.4;1
198706;44;1
198707;29.4;1
198708;64.8;1
198709;48.6;1
198710;268.4;1
198711;57.4;1
198712;114.6;1
198801;148;1
198802;36;1
198803;58.6;1
198804;117.2;1
198805;121.8;1
198806;51.6;1
198807;98.4;1
198808;63.3;1
198809;80.2;1
198810;296.8;1
198811;28.8;1
198812;11.4;1
198901;27.2;1
198902;76;1
198903;24;1
198904;160.8;1
198905;31.8;1
198906;8.8;1
198907;10.1;1
198908;10.2;1
198909;20.8;1
198910;48.2;1
198911;55;1
198912;39.2;1
199001;34;1
199002;29.4;1
199003;12.4;1
199004;79;1
199005;49.2;1
199006;37.4;1
199007;6.6;1
199008;53.8;1
199009;98.8;1
199010;152.4;1
199011;90.4;1
199012;94;1
199101;10.2;1
199102;26.8;1
199103;123.4;1
199104;44.2;1
199105;28.8;1
199106;46.8;1
199107;102;1
199108;17.9;1
199109;113;1
199110;115.8;1
199111;51;1
199112;10.2;1
199201;17;1
199202;19.8;1
199203;31.8;1
199204;37.8;1
199205;100;1
199206;260.2;1
199207;58;1
199208;104.1;1
199209;103;1
199210;124.4;1
199211;58;1
199212;51.8;1
199301;0;1
199302;6.8;1
199303;10;1
199304;153;1
199305;56.2;1
199306;31.6;1
199307;65.8;1
199308;48.6;1
199309;214.6;1
199310;226.6;1
199311;57.8;1
199312;27.6;1
199401;156.4;1
199402;89.3;1
199403;12.2;1
199404;73.2;1
199405;79.7;1
199406;21.2;1
199407;67.2;1
199408;21.8;1
199409;295.1;1
199410;154.6;1
199411;163.7;1
199412;8.3;1
199501;58.1;1
199502;34.4;1
199503;8;1
199504;122.6;1
199505;27.6;1
199506;10.6;1
199507;30.2;1
199508;29;1
199509;170.6;1
199510;116.2;1
199511;117.8;1
199512;71.4;1
199601;156.8;1
199602;66.8;1
199603;60.2;1
199604;54.8;1
199605;93.2;1
199606;95.4;1
199607;93.8;1
199608;63.6;1
199609;40;1
199610;50.6;1
199611;244.2;1
199612;105;1
199701;165;1
199702;6.6;1
199703;0.6;1
199704;13.2;1
199705;62.4;1
199706;94.4;1
199707;103.2;1
199708;78;1
199709;16.8;1
199710;118;1
199711;115.6;1
199712;81;1
199801;85.8;1
199802;16;1
199803;12.4;1
199804;175.4;1
199805;182.6;1
199806;57.4;1
199807;42.4;1
199808;7.8;1
199809;154.2;1
199810;44.6;1
199811;30.4;1
199812;36.4;1
199901;107.8;1
199902;7.6;1
199903;73.2;1
199904;68.4;1
199905;81;1
199906;75.2;1
199907;10;1
199908;46.6;1
199909;376.6;1
199910;212.8;1
199911;94.8;1
199912;35.2;1
200001;6.2;1
200002;14.4;1
200003;47.8;1
200004;133.8;1
200005;54;1
200006;68.4;1
200007;53;1
200008;37;1
200009;92.8;1
200010;236.8;1
200011;109.4;1
200012;96.6;1
200101;99.2;1
200102;54;1
200103;122.6;1
200104;36.8;1
200105;85.2;1
200106;48.2;1
200107;49.6;1
200108;18;1
200109;105.2;1
200110;162.8;1
200111;12.4;1
200112;3.4;1
200201;44.8;1
200202;56.4;1
200203;50.4;1
200204;28;1
200205;117.4;1
200206;89.2;1
200207;99.6;1
200208;54.4;1
200209;187.6;1
200210;145.4;1
200211;365.2;1
200212;58.8;1
200301;44.4;1
200302;4.6;1
200303;11.8;1
200304;81.2;1
200305;31;1
200306;30.4;1
200307;29.4;1
200308;61.8;1
200309;106.6;1
200310;93.4;1
200311;129.2;1
200312;241;1
200401;32.8;1
200402;61.2;1
200403;38;1
200404;66;1
200405;14.4;1
200406;6.2;1
200407;10.8;1
200408;121.6;1
200409;18.2;1
200410;304;1
200411;83;1
200412;39.8;1
200501;5.2;1
200502;7.8;1
200503;9.4;1
200504;154;1
200505;52;1
200506;15.4;1
200507;4.2;1
200508;20.8;1
200509;108;1
200510;110.6;1
200511;77.4;1
200512;23.6;1
200601;96.4;1
200602;30.4;1
200603;46.2;1
200604;38.4;1
200605;100;1
200606;13.8;1
200607;150.6;1
200608;93.2;1
200609;128.4;1
200610;95.4;1
200611;158.6;1
200612;60.6;1
200701;37.8;1
200702;37;1
200703;20;1
200704;26.4;1
200705;108.8;1
200706;62;1
200707;43.6;1
200708;37.2;1
200709;28.6;1
200710;20;1
200711;128.8;1
200712;9.2;1
200801;163.8;1
200802;25.4;1
200803;45.8;1
200804;120.8;1
200805;181.8;1
200806;41.2;1
200807;86.8;1
200808;241.8;1
200809;209.4;1
200810;185.2;1
200811;122.6;1
200812;158.4;1
200901;47.4;1
200902;147.6;1
200903;36.2;1
200904;75.2;1
200905;33;1
200906;64.6;1
200907;15;1
200908;55.8;1
200909;57.4;1
200910;80;1
200911;103.4;1
200912;93.4;1
201001;55.6;1
201002;108.2;1
201003;84.1;1
201004;45.2;1
201005;111.7;1
201006;38.6;1
201007;11;1
201008;50.1;1
201009;73.6;1
201010;137.2;1
201011;88.3;1
201012;91.6;1
201101;36.1;1
201102;23.1;1
201103;75.7;1
201104;2.8;1
201105;11.2;1
201106;42.7;1
201107;129.6;1
201108;37.4;1
201109;21.4;1
201110;65;1
201111;237.7;1
201112;26.7;1
201201;16.5;1
201202;0;1
201203;22.5;1
201204;140.4;1
201205;75.1;1
201206;64.5;1
201207;66.1;1
201208;64.4;1
201209;146.6;1
201210;119.6;1
201211;132;1
201212;48.9;1
201301;42.3;1
201302;32.3;1
201303;129.5;1
201304;89.2;1
201305;175.1;1
201306;6.8;1
201307;69.2;1
201308;47.1;1
201309;95;1
201310;146.6;1
201311;44.9;1
201312;94.4;1
201401;190.2;1
201402;142.5;1
201403;39.7;1
201404;28;1
201405;60.2;1
201406;26.9;1
201407;83.6;1
201408;54.5;1
201409;157.8;1
201410;99.1;1
201411;398.9;1
201412;18.8;1
201501;122.3;1
201502;64.3;1
201503;39.8;1
201504;74;1
201505;12;1
201506;104.4;1
201507;7.6;1
201508;72;1
201509;284.5;1
201510;115.6;1
201511;44.5;1
201512;16.2;1
201601;48.7;1
201602;58.1;1
201603;70.4;1
201604;53.7;1
201605;76.8;1
201606;57.3;1
201607;48;1
201608;16.2;1
201609;34.9;1
201610;228.9;1
201611;116;1
201612;18.8;1
201701;20.2;1
201702;44.4;1
201703;52.9;1
201704;56;1
201705;105.3;1
201706;32.8;1
201707;38.2;1
201708;22.1;1
201709;18.2;1
201710;1.4;1
201711;77.4;1
201712;64.3;1
201801;123.9;1
201802;32.1;1
201803;133.3;1
201804;101.4;1
201805;130;1
201806;48.6;1
201807;12.2;1
201808;97.7;1
201809;7.4;1
201810;212.1;1
201811;224;1
201812;32.1;1
201901;40.9;1
201902;32.1;1
201903;16.3;1
201904;104.4;1
201905;27.1;1
201906;75;1
201907;28.2;1
201908;9.4;1
201909;43.4;1
201910;171.8;1
201911;224.8;1
201912;74.2;1
202001;28.6;1
202002;24.5;1
202003;46.2;1
202004;35.1;1
202005;57.4;1
202006;64.8;1
202007;43.1;1
202008;60.5;1
202009;69.1;1
202010;94.4;1
202011;50.7;1
202012;153.4;1
202101;32.9;1
202102;26.2;1
202103;10.2;1
202104;107.7;1
202105;89.5;1
202106;89.2;1
202107;80.2;1
202108;45.5;1
202109;84.2;1
202110;172.7;1
202111;30.7;1
202112;49.5;1
202201;6.2;0
202202;21.1;0
202203;32.7;0
202204;36.5;0
202205;5.4;0
202206;50.6;0
202207;8.4;0
202208;45;0
202209;189.4;0
202210;178.2;0
202211;102.8;0
202212;126.1;0
