# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 26211001
# NOM_USUEL= MONTSEGUR-S-LAU
# LATITUDE (°) = 44.361
# LONGITUDE(°)= 4.861
# ALTITUDE (m) = 146
# NUM_SERIE= MRR126211001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;75.5;1
195102;136.2;1
195103;103.3;1
195104;31.9;1
195105;210;1
195106;49.3;1
195107;40.7;1
195108;208;1
195109;72.5;1
195110;182.2;1
195111;254;1
195112;30;1
195201;41.3;1
195202;3;1
195203;26.5;1
195204;31.2;1
195205;81.3;1
195206;21.2;1
195207;8.5;1
195208;84.2;1
195209;25;1
195210;122.5;1
195211;91.3;1
195212;80.7;1
195301;0;1
195302;3;1
195303;1;1
195304;27.8;1
195305;31.5;1
195306;114.2;1
195307;22;1
195308;16;1
195309;344.8;1
195310;121;1
195311;14.5;1
195312;43;1
195401;16;1
195402;85.1;1
195403;85;1
195404;52.5;1
195405;146.5;1
195406;48.2;1
195407;23.5;1
195408;148.3;1
195409;47.8;1
195410;59.5;1
195411;55.5;1
195412;57.5;1
195501;164;1
195502;80;1
195503;45.3;1
195504;0;1
195505;70;1
195506;169;1
195507;16.9;1
195508;29.5;1
195509;9.5;1
195510;68;1
195511;109.5;1
195512;71.3;1
195601;59;1
195602;15;1
195603;122;1
195604;53;1
195605;67.5;1
195606;14;1
195607;47;1
195608;55.8;1
195609;120.5;1
195610;44;1
195611;10.5;1
195612;59.5;1
195701;14.5;1
195702;64;1
195703;71.5;1
195704;73.5;1
195705;29.5;1
195706;162.5;1
195707;7;1
195708;14.2;1
195709;25;1
195710;21.5;1
195711;101.5;1
195712;109;1
195801;19.5;1
195802;13;1
195803;56.6;1
195804;49.5;1
195805;19;1
195806;70;1
195807;27;1
195808;42.3;1
195809;160;1
195810;104;1
195811;28;1
195812;101.5;1
195901;6.1;1
195902;26;1
195903;85.5;1
195904;94.5;1
195905;47.3;1
195906;40;1
195907;5.5;1
195908;83;1
195909;35.5;1
195910;86.2;1
195911;105;1
195912;90.5;1
196001;74;1
196002;76;1
196003;131.3;1
196004;10.5;1
196005;9.5;1
196006;59.5;1
196007;33;1
196008;84;1
196009;228.6;1
196010;123.1;1
196011;162.7;1
196012;61.5;1
196101;55;1
196102;14;1
196103;0;1
196104;86.5;1
196105;97;1
196106;22.3;1
196107;17;1
196108;1;1
196109;32.5;1
196110;59.5;1
196111;85.8;1
196112;24.5;1
196201;48.2;1
196202;66.2;1
196203;50.7;1
196204;56.5;1
196205;24.8;1
196206;20.5;1
196207;0;1
196208;31.5;1
196209;180.5;1
196210;62;1
196211;117;1
196212;57.6;1
196301;39.6;1
196302;84;1
196303;70.7;1
196304;67.5;1
196305;48.5;1
196306;75.9;1
196307;38.5;1
196308;175.3;1
196309;88;1
196310;30.5;1
196311;80.5;1
196312;65;1
196401;12;1
196402;137.5;1
196403;151.6;1
196404;34.5;1
196405;60.5;1
196406;14;1
196407;0;1
196408;85.8;1
196409;57.8;1
196410;97.5;1
196411;35.5;1
196412;38.3;1
196501;59.5;1
196502;16;1
196503;104.5;1
196504;0;1
196505;7.5;1
196506;22;1
196507;54.5;1
196508;75.5;1
196509;164.5;1
196510;48.5;1
196511;45.5;1
196512;34.3;1
196601;20.5;1
196602;80.2;1
196603;1.2;1
196604;79.7;1
196605;63;1
196606;24.5;1
196607;59.3;1
196608;36.8;1
196609;28.5;1
196610;244.9;1
196611;88.7;1
196612;34.3;1
196701;24.2;1
196702;64;1
196703;10;1
196704;17.9;1
196705;106.7;1
196706;41;1
196707;9.5;1
196708;51;1
196709;35.6;1
196710;33.4;1
196711;97.3;1
196712;16;1
196801;7;1
196802;121.1;1
196803;14.4;1
196804;85.8;1
196805;105.6;1
196806;49.5;1
196807;0;1
196808;159.7;1
196809;107.2;1
196810;65.1;1
196811;116.6;1
196812;45.4;1
196901;62.1;1
196902;80.5;1
196903;99.2;1
196904;44.5;1
196905;65.9;1
196906;104.1;1
196907;58;1
196908;55.2;1
196909;113.6;1
196910;45.4;1
196911;136.1;1
196912;16.1;1
197001;61.6;1
197002;27.1;1
197003;77.7;1
197004;60.1;1
197005;57;1
197006;72.5;1
197007;14;1
197008;34.1;1
197009;41.8;1
197010;97.2;1
197011;99.8;1
197012;39.3;1
197101;45.7;1
197102;1;1
197103;122;1
197104;118.6;1
197105;104.3;1
197106;151.4;1
197107;51.9;1
197108;27.3;1
197109;27.2;1
197110;24.7;1
197111;68.1;1
197112;44.5;1
197201;75;1
197202;170.4;1
197203;67.4;1
197204;35.3;1
197205;49.9;1
197206;75.1;1
197207;10;1
197208;50.8;1
197209;50.5;1
197210;145.5;1
197211;20.7;1
197212;110;1
197301;49;1
197302;12.5;1
197303;34.5;1
197304;32;1
197305;43.5;1
197306;91.5;1
197307;38.7;1
197308;24.5;1
197309;48;1
197310;142;1
197311;17;1
197312;49.5;1
197401;84;1
197402;196.5;1
197403;72.4;1
197404;86.7;1
197405;46.6;1
197406;39.8;1
197407;8;1
197408;69;1
197409;123.5;1
197410;16;1
197411;38.7;1
197412;8;1
197501;34.6;1
197502;69.7;1
197503;78;1
197504;30.5;1
197505;109.6;1
197506;69;1
197507;10;1
197508;96.8;1
197509;210.4;1
197510;14.7;1
197511;70;1
197512;84.3;1
197601;20.5;1
197602;36.5;1
197603;54.5;1
197604;57.6;1
197605;50.5;1
197606;7;1
197607;20;1
197608;96.5;1
197609;159.5;1
197610;250.5;1
197611;92;1
197612;33;1
197701;71.5;1
197702;61.5;1
197703;124.5;1
197704;47.1;1
197705;228;1
197706;60.2;1
197707;62.5;1
197708;92;1
197709;9;1
197710;230.8;1
197711;57.8;1
197712;58.8;1
197801;47;1
197802;57;1
197803;49.3;1
197804;111.7;1
197805;145.3;1
197806;14.8;1
197807;37;1
