# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 26330001
# NOM_USUEL= ST-SORLIN-EN-VA
# LATITUDE (°) = 45.271
# LONGITUDE(°)= 4.93
# ALTITUDE (m) = 237
# NUM_SERIE= MRR126330001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 198412
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;46.4;1
195002;84.5;1
195003;38.4;1
195004;34.6;1
195005;87.7;1
195006;76.4;1
195007;8.1;1
195008;93.1;1
195009;108.6;1
195010;16.6;1
195011;182.4;1
195012;30.3;1
195101;38.5;1
195102;117.7;1
195103;88.4;1
195104;44;1
195105;138.3;1
195106;91.6;1
195107;20.4;1
195108;115.2;1
195109;68.5;1
195110;89.9;1
195111;181.3;1
195112;27.2;1
195201;59.6;1
195202;25.8;1
195203;49.5;1
195204;34.3;1
195205;49.1;1
195206;27.1;1
195207;14.7;1
195208;72.8;1
195209;64.8;1
195210;99.9;1
195211;127.4;1
195212;50.1;1
195301;0.9;1
195302;2.5;1
195303;0;1
195304;60.2;1
195305;26.6;1
195306;140.3;1
195307;6.9;1
195308;32.3;1
195309;132;1
195310;73.6;1
195311;3;1
195312;23.7;1
195401;34.4;1
195402;51.1;1
195403;56.4;1
195404;33.6;1
195405;80.8;1
195406;50.3;1
195407;33.1;1
195408;141.1;1
195409;77.3;1
195410;72.9;1
195411;56.9;1
195412;138.4;1
195501;80.3;1
195502;102.1;1
195503;25.2;1
195504;4;1
195505;56.9;1
195506;160.1;1
195507;47.6;1
195508;27.1;1
195509;2.7;1
195510;70.7;1
195511;81.2;1
195512;44.2;1
195601;90;1
195602;12.5;1
195603;79.6;1
195604;55.9;1
195605;57.2;1
195606;45;1
195607;56.6;1
195608;127.6;1
195609;153.2;1
195610;78.4;1
195611;8.7;1
195612;27.6;1
195701;19;1
195702;71.9;1
195703;29.6;1
195704;56.6;1
195705;37.7;1
195706;170.4;1
195707;24.2;1
195708;47.6;1
195709;29;1
195710;16.3;1
195711;95.8;1
195712;76.9;1
195801;20.4;1
195802;51.4;1
195803;37.2;1
195804;51.2;1
195805;90.1;1
195806;81.1;1
195807;48.6;1
195808;121.5;1
195809;144.1;1
195810;80;1
195811;41.8;1
195812;111.4;1
195901;32.6;1
195902;8.1;1
195903;107.1;1
195904;98.8;1
195905;56.8;1
195906;26.1;1
195907;17.8;1
195908;50;1
195909;57;1
195910;92.9;1
195911;120.6;1
195912;54;1
196001;102.9;1
196002;93.6;1
196003;86.7;1
196004;17;1
196005;24.6;1
196006;92;1
196007;139.2;1
196008;94.6;1
196009;356.7;1
196010;180.8;1
196011;113.8;1
196012;60.2;1
196101;67.2;1
196102;27;1
196103;11.6;1
196104;108;1
196105;35.3;1
196106;29.3;1
196107;29.5;1
196108;32.9;1
196109;16;1
196110;124.3;1
196111;61.1;1
196112;60.1;1
196201;29.9;1
196202;40.5;1
196203;37.7;1
196204;36.4;1
196205;51.8;1
196206;18.2;1
196207;19.1;1
196208;55.4;1
196209;89.7;1
196210;14.4;1
196211;34;1
196212;79.2;1
196301;29.4;1
196302;45.1;1
196303;80.3;1
196304;55;1
196305;52.7;1
196306;157.1;1
196307;63.4;1
196308;227.9;1
196309;50.5;1
196310;27.9;1
196311;173.9;1
196312;34.2;1
196401;18.1;1
196402;43.2;1
196403;136.7;1
196404;58.2;1
196405;48.2;1
196406;43.5;1
196407;27.1;1
196408;88.8;1
196409;39.6;1
196410;30.4;1
196411;18.7;1
196412;51.4;1
196501;39.5;1
196502;5.8;1
196503;74;1
196504;36.4;1
196505;45.4;1
196506;58.8;1
196507;57.7;1
196508;50.4;1
196509;247.8;1
196510;22.2;1
196511;73.3;1
196512;82.8;1
196601;38.3;1
196602;86.7;1
196603;18;1
196604;59.1;1
196605;59.6;1
196606;45.3;1
196607;31.4;1
196608;43.2;1
196609;15.4;1
196610;154.1;1
196611;124.8;1
196612;50.7;1
196701;34.1;1
196702;53.9;1
196703;48.5;1
196704;15.9;1
196705;113.4;1
196706;55.6;1
196707;17.9;1
196708;69.9;1
196709;59;1
196710;14;1
196711;204.3;1
196712;21.2;1
196801;36.4;1
196802;82.1;1
196803;28.1;1
196804;74.9;1
196805;109.3;1
196806;43.2;1
196807;57.9;1
196808;191.6;1
196809;179.3;1
196810;84.6;1
196811;85;1
196812;95.4;1
196901;71.4;1
196902;44.1;1
196903;37.7;1
196904;64.2;1
196905;82.6;1
196906;111.7;1
196907;18.6;1
196908;48.5;1
196909;66.6;1
196910;8.3;1
196911;59;1
196912;29.2;1
197001;63.9;1
197002;52.1;1
197003;86.1;1
197004;73.1;1
197005;69.7;1
197006;100.1;1
197007;32.7;1
197008;57.5;1
197009;80.6;1
197010;184.2;1
197011;102.2;1
197012;56.5;1
197101;75.6;1
197102;12;1
197103;119.1;1
197104;109;1
197105;76.8;1
