# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28195001
# NOM_USUEL= HOUX
# LATITUDE (°) = 48.566
# LONGITUDE(°)= 1.621
# ALTITUDE (m) = 107
# NUM_SERIE= MRR128195001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201712
# Date(s) de rupture(s) d'homogénéité : 197405 201412
#     Periode homogénéisée  194801 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;58.4;1
194802;22.7;1
194803;17.3;1
194804;72.8;1
194805;43.8;1
194806;55.1;1
194807;33.9;1
194808;89.3;1
194809;21.3;1
194810;12.8;1
194811;41.1;1
194812;34.5;1
194901;20.6;1
194902;7.6;1
194903;15.3;1
194904;27.1;1
194905;17;1
194906;12.8;1
194907;10.1;1
194908;39.7;1
194909;73.7;1
194910;57;1
194911;58.6;1
194912;18.4;1
195001;16.4;1
195002;56.3;1
195003;23.1;1
195004;54.2;1
195005;61.4;1
195006;35.2;1
195007;52;1
195008;83.5;1
195009;66.1;1
195010;9.1;1
195011;56.1;1
195012;72.4;1
195101;35.1;1
195102;52;1
195103;47.2;1
195104;36.2;1
195105;111.4;1
195106;124.2;1
195107;44.8;1
195108;89.9;1
195109;32.3;1
195110;33.8;1
195111;56.7;1
195112;40.3;1
195201;42;1
195202;35.7;1
195203;71.9;1
195204;17.9;1
195205;61.4;1
195206;47.4;1
195207;5.5;1
195208;60.2;1
195209;142.3;1
195210;57.3;1
195211;82.3;1
195212;61.4;1
195301;11.6;1
195302;22.4;1
195303;0.6;1
195304;41.4;1
195305;13.5;1
195306;62.1;1
195307;97.7;1
195308;15.8;1
195309;63.6;1
195310;35.5;1
195311;18.3;1
195312;10.4;1
195401;29.2;1
195402;39.6;1
195403;55;1
195404;2;1
195405;24.5;1
195406;52.6;1
195407;27.6;1
195408;44.9;1
195409;76.7;1
195410;27.9;1
195411;32.5;1
195412;43.2;1
195501;76.3;1
195502;53.5;1
195503;17.6;1
195504;7.3;1
195505;45.6;1
195506;39.5;1
195507;92.1;1
195508;19.2;1
195509;32.1;1
195510;59.6;1
195511;26.5;1
195512;64.3;1
195601;62.3;1
195602;8.2;1
195603;19.2;1
195604;34.4;1
195605;50;1
195606;52.1;1
195607;47.7;1
195608;64.8;1
195609;39.6;1
195610;46.7;1
195611;28.6;1
195612;32.5;1
195701;15.6;1
195702;78.4;1
195703;19.2;1
195704;19.4;1
195705;20.9;1
195706;118;1
195707;64.1;1
195708;26.4;1
195709;64.6;1
195710;18.8;1
195711;16.2;1
195712;28.8;1
195801;80.9;1
195802;102.7;1
195803;40.6;1
195804;61.1;1
195805;53.3;1
195806;84.2;1
195807;67.1;1
195808;92.6;1
195809;28.8;1
195810;62.2;1
195811;48.8;1
195812;63.4;1
195901;94;1
195902;1.5;1
195903;48;1
195904;58.8;1
195905;47.7;1
195906;40.5;1
195907;8;1
195908;31;1
195909;19.6;1
195910;52.1;1
195911;49.5;1
195912;70.9;1
196001;43.7;1
196002;46;1
