# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 28373002
# NOM_USUEL= SENONCHES
# LATITUDE (°) = 48.558
# LONGITUDE(°)= 1.012
# ALTITUDE (m) = 239
# NUM_SERIE= MRR128373002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201712
# Date(s) de rupture(s) d'homogénéité : 195312
#     Periode homogénéisée  194701 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;24.4;1
194702;43.4;1
194703;80.4;1
194704;34.8;1
194705;35.9;1
194706;34.9;1
194707;7.3;1
194708;45.1;1
194709;19.1;1
194710;15.4;1
194711;64.6;1
194712;81.8;1
194801;90.9;1
194802;31.9;1
194803;21.6;1
194804;102.6;1
194805;34.9;1
194806;34.2;1
194807;25.3;1
194808;85;1
194809;23.8;1
194810;28.1;1
194811;43.7;1
194812;44.1;1
194901;20;1
194902;8.4;1
194903;27.4;1
194904;29.6;1
194905;21.5;1
194906;16.3;1
194907;26.4;1
194908;30.2;1
194909;113.3;1
194910;55.6;1
194911;82.1;1
194912;37.5;1
195001;25.3;1
195002;84.3;1
195003;24.3;1
195004;56.3;1
195005;64.3;1
195006;54;1
195007;63.6;1
195008;142.8;1
195009;65.9;1
195010;18.9;1
195011;99.5;1
195012;73.6;1
195101;43.1;1
195102;79.3;1
195103;64.6;1
195104;65.4;1
195105;134.5;1
195106;134.3;1
195107;60.1;1
195108;107.9;1
195109;61.1;1
195110;40.9;1
195111;95.8;1
195112;53.4;1
195201;74;1
195202;63;1
195203;72.5;1
195204;28;1
195205;35.8;1
195206;32.9;1
195207;16.6;1
195208;88.3;1
195209;139.5;1
195210;95.4;1
195211;92.7;1
195212;108.8;1
195301;28;1
195302;41.6;1
195303;0.4;1
195304;57.2;1
195305;14.6;1
195306;53.9;1
195307;73.5;1
195308;26.1;1
195309;74.8;1
195310;31.4;1
195311;18.9;1
195312;13.9;1
195401;57.2;1
195402;54.2;1
195403;79.7;1
195404;3.6;1
195405;31.5;1
195406;50.5;1
195407;43.4;1
195408;69.4;1
195409;104.6;1
195410;40.8;1
195411;55.5;1
195412;69.4;1
195501;117.2;1
195502;94.4;1
195503;34.7;1
195504;7.5;1
195505;55.1;1
195506;28.2;1
195507;67;1
195508;22.8;1
195509;43.5;1
195510;85.4;1
195511;11.1;1
195512;80.8;1
195601;82.2;1
195602;11.5;1
195603;24.4;1
195604;46.2;1
195605;79;1
195606;77.4;1
195607;56.3;1
195608;84.4;1
195609;55.2;1
195610;65.7;1
195611;31.9;1
195612;44.5;1
195701;28;1
195702;138.1;1
195703;26;1
195704;35.3;1
195705;17.9;1
195706;91.5;1
195707;81.5;1
195708;43.9;1
195709;101.3;1
195710;30.4;1
195711;57.5;1
195712;37.6;1
195801;127.3;1
195802;151.1;1
195803;64.8;1
195804;61.8;1
195805;79.7;1
195806;109.2;1
195807;39.6;1
195808;93.4;1
195809;37;1
195810;48.2;1
195811;56.1;1
195812;71.9;1
195901;110.8;1
195902;1;1
195903;83.4;1
195904;74.8;1
195905;26.2;1
195906;27.6;1
195907;30.9;1
195908;30;1
195909;12.5;1
195910;71.1;1
195911;56.9;1
195912;141.5;1
196001;47.2;1
196002;54;1
196003;92.6;1
196004;29.2;1
196005;79.3;1
196006;51.6;1
196007;62.3;1
196008;197.9;1
196009;70.3;1
196010;180.8;1
196011;131.6;1
196012;136.2;1
196101;88.1;1
196102;45.2;1
196103;3.9;1
196104;37.7;1
196105;39.9;1
196106;33.7;1
196107;84.8;1
196108;6.5;1
196109;41.1;1
196110;90.1;1
196111;83.9;1
196112;82.5;1
196201;96.1;1
196202;46.8;1
196203;85.8;1
196204;50.7;1
196205;60.1;1
196206;7;1
196207;74.1;1
196208;36.1;1
196209;43.5;1
196210;62.7;1
196211;172.6;1
196212;50.6;1
196301;25.1;1
196302;27.4;1
196303;75.9;1
196304;68.6;1
196305;48.7;1
196306;56.1;1
196307;14.2;1
196308;153.4;1
196309;38.5;1
196310;27.3;1
196311;129.7;1
196312;6.4;1
196401;30.2;1
196402;83.4;1
196403;60.7;1
196404;57.8;1
196405;35.7;1
196406;73.5;1
196407;7.6;1
196408;21.6;1
196409;41.2;1
196410;81.7;1
196411;29.9;1
196412;95.8;1
196501;122.4;1
196502;13.2;1
196503;63.9;1
196504;49;1
196505;67.8;1
196506;80;1
196507;22.9;1
196508;73.9;1
196509;147.9;1
196510;25.1;1
196511;163.8;1
196512;126.4;1
196601;101.1;1
196602;54.6;1
196603;31.9;1
196604;121.4;1
196605;69.3;1
196606;51.1;1
196607;108.3;1
196608;80.1;1
196609;44.6;1
196610;187.5;1
196611;129.5;1
196612;136.1;1
196701;36.3;1
196702;49.9;1
196703;51.4;1
196704;35.7;1
196705;118.2;1
196706;13.5;1
196707;34.9;1
196708;53.1;1
196709;100.6;1
196710;98.4;1
196711;73.2;1
196712;109.8;1
196801;124.5;1
196802;74.3;1
196803;52.9;1
196804;68.8;1
196805;51.8;1
196806;66.1;1
196807;36.1;1
196808;59.4;1
196809;87.9;1
196810;33.6;1
196811;23.3;1
196812;61.7;1
196901;48.2;1
196902;40.2;1
196903;74.3;1
196904;39.1;1
196905;73.7;1
196906;54.4;1
196907;56.9;1
196908;43.4;1
196909;31.8;1
196910;12.6;1
196911;143.5;1
196912;79.7;1
197001;82.9;1
197002;149.9;1
197003;63.8;1
197004;63.9;1
197005;31.4;1
197006;62;1
197007;53.3;1
197008;63.6;1
197009;30.6;1
197010;23.1;1
197011;97.9;1
197012;31.8;1
197101;86.2;1
197102;40.5;1
197103;38;1
197104;59.4;1
197105;63;1
197106;88.7;1
197107;25.7;1
197108;82.9;1
197109;13.6;1
197110;10.5;1
197111;103.1;1
197112;10.8;1
197201;83.4;1
197202;96.7;1
197203;53;1
197204;46.9;1
197205;42.9;1
197206;46;1
197207;63.7;1
197208;60.2;1
197209;62.1;1
197210;19.2;1
197211;116.6;1
197212;29;1
197301;37;1
197302;63.3;1
197303;7.5;1
197304;39.7;1
197305;88.7;1
197306;31;1
197307;46.5;1
197308;42.3;1
197309;70.9;1
197310;39.1;1
197311;48.1;1
197312;55.9;1
197401;85;1
197402;67.8;1
197403;70.5;1
197404;38.8;1
197405;60.3;1
197406;77.5;1
197407;23.4;1
197408;35;1
197409;140.7;1
197410;123.8;1
197411;125.3;1
197412;56.6;1
197501;116.3;1
197502;23.2;1
197503;76;1
197504;58.8;1
197505;96.6;1
197506;37.7;1
197507;86.2;1
197508;50.7;1
197509;138.9;1
197510;39.2;1
197511;88.5;1
197512;22.1;1
197601;23.3;1
197602;47;1
197603;33;1
197604;12.9;1
197605;23.1;1
197606;2.2;1
197607;64.3;1
197608;1.3;1
197609;55.2;1
197610;60;1
197611;97;1
197612;81.4;1
197701;72.3;1
197702;115.1;1
197703;48.4;1
197704;63.8;1
197705;111.5;1
197706;69.7;1
197707;86.3;1
197708;28.6;1
197709;13.6;1
197710;69.3;1
197711;103.1;1
197712;77.7;1
197801;106;1
197802;105.6;1
197803;131.5;1
197804;82.7;1
197805;52.7;1
197806;60.1;1
197807;82.4;1
197808;24.2;1
197809;51.4;1
197810;10.9;1
197811;10.1;1
197812;152.8;1
197901;56.3;1
197902;126.4;1
197903;120.3;1
197904;62.2;1
197905;72.9;1
197906;41.4;1
197907;22.9;1
197908;63.6;1
197909;10.1;1
197910;125.9;1
197911;64.7;1
197912;169.2;1
198001;64;1
198002;78.9;1
198003;107.5;1
198004;4.4;1
198005;49.2;1
198006;95.4;1
198007;109.2;1
198008;28.1;1
198009;38.9;1
198010;65.3;1
198011;62.2;1
198012;83.3;1
198101;81.6;1
198102;45.9;1
198103;105.2;1
198104;28.6;1
198105;143.9;1
198106;42.8;1
198107;45.3;1
198108;30;1
198109;74.8;1
198110;173.7;1
198111;42.3;1
198112;142.2;1
198201;68.3;1
198202;21.9;1
198203;64.2;1
198204;11.3;1
198205;80.3;1
198206;84.1;1
198207;138.6;1
198208;18.2;1
198209;67.9;1
198210;127;1
198211;81.9;1
198212;126.7;1
198301;62.7;1
198302;72.9;1
198303;53.9;1
198304;141.6;1
198305;100.6;1
198306;91.3;1
198307;81.1;1
198308;39.3;1
198309;75.6;1
198310;40.6;1
198311;34.4;1
198312;50;1
198401;161.2;1
198402;40.2;1
198403;59.6;1
198404;11.5;1
198405;140.3;1
198406;44;1
198407;64.1;1
198408;27.8;1
198409;149.5;1
198410;67.7;1
198411;112.6;1
198412;55;1
198501;56.6;1
198502;27.3;1
198503;83;1
198504;96.8;1
198505;85.5;1
198506;53.4;1
198507;60.1;1
198508;53.5;1
198509;33.7;1
198510;14.7;1
198511;80.3;1
198512;43.7;1
198601;107.1;1
198602;27.6;1
198603;110.1;1
198604;82.9;1
198605;44.2;1
198606;24.7;1
198607;21.1;1
198608;68.5;1
198609;79.4;1
198610;83.6;1
198611;59.3;1
198612;111.6;1
198701;37.7;1
198702;59.9;1
198703;56.2;1
198704;40.9;1
198705;71.1;1
198706;90.5;1
198707;104.9;1
198708;45;1
198709;46.3;1
198710;135.7;1
198711;68.1;1
198712;50.3;1
198801;169.4;1
198802;94;1
198803;112.3;1
198804;68.8;1
198805;105.8;1
198806;28.7;1
198807;77;1
198808;44.3;1
198809;72.4;1
198810;59.6;1
198811;40.5;1
198812;57.7;1
198901;38.8;1
198902;65.8;1
198903;100.3;1
198904;97.4;1
198905;7.4;1
198906;41.8;1
198907;28.6;1
198908;16.3;1
198909;18.1;1
198910;52.3;1
198911;55.7;1
198912;108;1
199001;66.9;1
199002;133.5;1
199003;9.8;1
199004;58.3;1
199005;41.8;1
199006;61.4;1
199007;26.3;1
199008;12.6;1
199009;51.7;1
199010;82.5;1
199011;42.4;1
199012;93.1;1
199101;115.6;1
199102;22.1;1
199103;66.6;1
199104;50;1
199105;31.6;1
199106;85.7;1
199107;63;1
199108;14;1
199109;54.7;1
199110;54.6;1
199111;113.9;1
199112;35.1;1
199201;4;1
199202;36.7;1
199203;56.1;1
199204;30.4;1
199205;30.9;1
199206;105.6;1
199207;89.7;1
199208;80.2;1
199209;80.3;1
199210;66.1;1
199211;119.2;1
199212;81.3;1
199301;81.7;1
199302;23.1;1
199303;7.5;1
199304;108.6;1
199305;67.4;1
199306;72.9;1
199307;52.1;1
199308;14.9;1
199309;114.8;1
199310;93.8;1
199311;22.1;1
199312;138.2;1
199401;118;1
199402;101.1;1
199403;56.7;1
199404;86.3;1
199405;108.3;1
199406;45;1
199407;84.8;1
199408;97.6;1
199409;88.1;1
199410;79;1
199411;50.6;1
199412;84.2;1
199501;156.1;1
199502;91.5;1
199503;85.8;1
199504;47.2;1
199505;59.2;1
199506;15.5;1
199507;45.6;1
199508;32.8;1
199509;128.4;1
199510;20.2;1
199511;15.9;1
199512;50.4;1
199601;54.2;1
199602;58.5;1
199603;19.6;1
199604;10.5;1
199605;62.9;1
199606;7.8;1
199607;25.9;1
199608;41.4;1
199609;25.2;1
199610;41.8;1
199611;110.2;1
199612;54.9;1
199701;10.5;1
199702;140;1
199703;12.8;1
199704;13.5;1
199705;87.2;1
199706;155.3;1
199707;27.2;1
199708;55.8;1
199709;11;1
199710;54.3;1
199711;87.1;1
199712;146.3;1
199801;137.9;1
199802;7.5;1
199803;42.1;1
199804;126.7;1
199805;25;1
