# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 29041002
# NOM_USUEL= CORAY CHAT EAU
# LATITUDE (°) = 48.066
# LONGITUDE(°)= -3.826
# ALTITUDE (m) = 242
# NUM_SERIE= MRR129041002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;135.3;1
195102;213.7;1
195103;155.1;1
195104;69;1
195105;116.2;1
195106;76.9;1
195107;60.7;1
195108;275.4;1
195109;136;1
195110;79;1
195111;346.1;1
195112;153.2;1
195201;109.5;1
195202;47.7;1
195203;88.2;1
195204;69.3;1
195205;89.2;1
195206;23.9;1
195207;63.9;1
195208;93.9;1
195209;203.6;1
195210;122.1;1
195211;129.9;1
195212;208.9;1
195301;33.9;1
195302;69.2;1
195303;11.7;1
195304;147.9;1
195305;107.7;1
195306;61.5;1
195307;102.1;1
195308;40.5;1
195309;188;1
195310;98.7;1
195311;96.1;1
195312;36.5;1
195401;103.3;1
195402;133;1
195403;151.7;1
195404;34.3;1
195405;54.4;1
195406;146.9;1
195407;99.3;1
195408;118.6;1
195409;135.6;1
195410;129.5;1
195411;260.5;1
195412;112.5;1
195501;259.8;1
195502;128.9;1
195503;50.7;1
195504;12;1
195505;99;1
195506;65.9;1
195507;13.4;1
195508;0.2;1
195509;88.7;1
195510;69.1;1
195511;96;1
195512;265.7;1
195601;207.1;1
195602;25.1;1
195603;65.6;1
195604;48.8;1
195605;51.4;1
195606;104;1
195607;100.4;1
195608;157.7;1
195609;223.3;1
195610;67.6;1
195611;83.4;1
195612;287.3;1
195701;133.3;1
195702;364.5;1
195703;82.1;1
195704;33.2;1
195705;44.7;1
195706;35.8;1
195707;74.1;1
195708;108.5;1
195709;158.8;1
195710;42;1
195711;99.1;1
195712;121.3;1
195801;174.1;1
195802;143.3;1
195803;145;1
195804;41;1
195805;118.4;1
195806;160.6;1
195807;124.1;1
195808;146.5;1
195809;111.7;1
195810;133.7;1
195811;55.4;1
195812;233.5;1
195901;185.6;1
195902;3.5;1
195903;87.6;1
195904;192.1;1
195905;48.5;1
195906;46.7;1
195907;11.1;1
195908;61.6;1
195909;8.7;1
195910;225.7;1
195911;181.9;1
195912;332.7;1
196001;162.4;1
196002;141.9;1
196003;167.9;1
196004;50.5;1
196005;36.3;1
196006;86.2;1
196007;118.7;1
196008;185;1
196009;94.7;1
196010;244.9;1
196011;205.8;1
196012;152.5;1
196101;224.4;1
196102;84.9;1
196103;4.7;1
196104;184.8;1
196105;95.3;1
196106;41;1
196107;90.2;1
196108;36.4;1
196109;83.5;1
196110;171.8;1
196111;96.6;1
196112;250;1
196201;177.1;1
196202;36.3;1
196203;141.4;1
196204;81.7;1
196205;80.8;1
196206;14.5;1
196207;67.3;1
196208;65.7;1
196209;164.5;1
196210;53.5;1
196211;149.4;1
196212;103.4;1
196301;25.1;1
196302;124.2;1
196303;179;1
196304;175.5;1
196305;74.3;1
196306;107.5;1
196307;38.7;1
196308;110.1;1
