# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 29120001
# NOM_USUEL= LANVEOC
# LATITUDE (°) = 48.279
# LONGITUDE(°)= -4.439
# ALTITUDE (m) = 81
# NUM_SERIE= MRR129120001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 199112 199912
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;137.4;1
195102;147.3;1
195103;99.6;1
195104;59.5;1
195105;106.4;1
195106;51.2;1
195107;32.9;1
195108;140.8;1
195109;171.9;1
195110;55.7;1
195111;225.9;1
195112;121.3;1
195201;113.1;1
195202;35.5;1
195203;112.3;1
195204;59.1;1
195205;70.5;1
195206;7;1
195207;44.8;1
195208;90.8;1
195209;155;1
195210;84;1
195211;148.4;1
195212;182.4;1
195301;25.7;1
195302;62;1
195303;14.6;1
195304;112.6;1
195305;70.5;1
195306;43.9;1
195307;78.5;1
195308;27.6;1
195309;72.6;1
195310;96.6;1
195311;71.3;1
195312;33.5;1
195401;63.1;1
195402;105.4;1
195403;117;1
195404;20;1
195405;33.4;1
195406;71.4;1
195407;90.6;1
195408;93.4;1
195409;82.1;1
195410;83;1
195411;192.1;1
195412;113;1
195501;176.9;1
195502;113.3;1
195503;77.8;1
195504;23.4;1
195505;79.4;1
195506;64.9;1
195507;21.4;1
195508;0.3;1
195509;48.8;1
195510;85.5;1
195511;89.1;1
195512;148.8;1
195601;125.8;1
195602;43.7;1
195603;50;1
195604;22.7;1
195605;50.9;1
195606;69.3;1
195607;53.1;1
195608;96.3;1
195609;130.2;1
195610;35.1;1
195611;35.2;1
195612;213.9;1
195701;89.7;1
195702;237;1
195703;75.2;1
195704;26.3;1
195705;33.5;1
195706;19.7;1
195707;38.9;1
195708;95.5;1
195709;109.8;1
195710;31;1
195711;72.9;1
195712;107.8;1
195801;103.8;1
195802;124.8;1
195803;122.9;1
195804;27.6;1
195805;46.5;1
195806;116.9;1
195807;43.6;1
195808;130.5;1
195809;80;1
195810;102.6;1
195811;68.8;1
195812;133.7;1
195901;163;1
195902;6.4;1
195903;77;1
195904;140;1
195905;25.2;1
195906;34.4;1
195907;42;1
195908;25.5;1
195909;8.6;1
195910;210.8;1
195911;167.5;1
195912;221.4;1
196001;116.9;1
196002;96.2;1
196003;124.6;1
196004;58.4;1
196005;46.5;1
196006;54.3;1
196007;80;1
196008;103;1
196009;93.8;1
196010;192.3;1
196011;187.4;1
196012;150.9;1
196101;204.6;1
196102;67.5;1
196103;20.8;1
196104;112.3;1
196105;56.3;1
196106;44.7;1
196107;75.5;1
196108;15.7;1
196109;59.4;1
196110;125.4;1
196111;80.8;1
196112;160.2;1
196201;141.1;1
196202;28.9;1
196203;100.8;1
196204;56.2;1
196205;56.2;1
196206;5.6;1
196207;52.9;1
196208;81.6;1
196209;109.8;1
196210;82.9;1
196211;132.2;1
196212;117.8;1
196301;30.8;1
196302;94;1
196303;130.5;1
196304;108.5;1
196305;72.9;1
196306;68.6;1
196307;23.8;1
196308;78.3;1
196309;29.4;1
196310;80.1;1
196311;171.1;1
196312;56.5;1
196401;14.7;1
196402;55.7;1
196403;177.9;1
196404;54.7;1
196405;66.9;1
196406;38;1
196407;22.8;1
196408;22.6;1
196409;38.8;1
196410;121.4;1
196411;48.6;1
196412;115.7;1
196501;138.5;1
196502;3.9;1
196503;68.2;1
196504;22;1
196505;68.8;1
196506;51.3;1
196507;34.3;1
196508;64.4;1
196509;73.7;1
196510;28.3;1
196511;156;1
196512;212.5;1
196601;128.6;1
196602;127.7;1
196603;21;1
196604;154.1;1
