# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 29155005
# NOM_USUEL= OUESSANT-STIFF
# LATITUDE (°) = 48.473
# LONGITUDE(°)= -5.057
# ALTITUDE (m) = 64
# NUM_SERIE= MRR129155005
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 196312 196712 199508
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;101.9;1
195102;148.1;1
195103;85.9;1
195104;82.2;1
195105;122.4;1
195106;32.6;1
195107;32.6;1
195108;166.5;1
195109;114;1
195110;72.1;1
195111;146.5;1
195112;103.8;1
195201;80.8;1
195202;26.3;1
195203;66.9;1
195204;44;1
195205;53.4;1
195206;11.4;1
195207;27;1
195208;90.2;1
195209;139.3;1
195210;65.7;1
195211;161.1;1
195212;147.6;1
195301;13.6;1
195302;40.1;1
195303;14;1
195304;89;1
195305;57.4;1
195306;23.4;1
195307;47.5;1
195308;28.9;1
195309;76.9;1
195310;53.5;1
195311;67.8;1
195312;18.4;1
195401;55.2;1
195402;74.3;1
195403;71.8;1
195404;12.5;1
195405;18.1;1
195406;53.6;1
195407;55.3;1
195408;58.1;1
195409;45.3;1
195410;57.9;1
195411;124.2;1
195412;73.5;1
195501;133.6;1
195502;83.9;1
195503;43.9;1
195504;16.6;1
195505;55.9;1
195506;27.7;1
195507;3.4;1
195508;0.8;1
195509;53.4;1
195510;54.6;1
195511;56.4;1
195512;100.5;1
195601;90.2;1
195602;74.2;1
195603;37.8;1
195604;23.7;1
195605;37.7;1
195606;32.8;1
195607;57.6;1
195608;94;1
195609;130.4;1
195610;58.1;1
195611;42.2;1
195612;130.7;1
195701;67.1;1
195702;160.3;1
195703;67.5;1
195704;11.1;1
195705;11.7;1
195706;11.3;1
195707;33.4;1
195708;63.8;1
195709;66.2;1
195710;34.4;1
195711;82.8;1
195712;58;1
195801;83.1;1
195802;67.1;1
195803;116;1
195804;34.9;1
195805;32.1;1
195806;111.5;1
195807;31.4;1
195808;90.1;1
195809;92.2;1
195810;74.3;1
195811;61;1
195812;106.9;1
195901;143.2;1
195902;6.8;1
195903;66.4;1
195904;104;1
195905;15.3;1
195906;19.1;1
195907;13.2;1
195908;19.7;1
195909;5.5;1
195910;106.8;1
195911;129.1;1
195912;207.9;1
196001;81.9;1
196002;96.8;1
196003;93.5;1
196004;31.9;1
196005;50.7;1
196006;35.8;1
196007;54.8;1
196008;113.3;1
196009;114.2;1
196010;145.5;1
196011;145.2;1
196012;96.3;1
196101;153.7;1
196102;58.2;1
196103;11.7;1
196104;73.9;1
196105;36.2;1
196106;22.2;1
196107;65.1;1
196108;10.7;1
196109;51.2;1
196110;72.7;1
196111;52.6;1
196112;137.5;1
196201;91.3;1
196202;11.9;1
196203;62.5;1
196204;39.8;1
196205;33;1
196206;0.4;1
196207;25.9;1
196208;59.8;1
196209;94.9;1
196210;48.9;1
196211;84.9;1
196212;114.2;1
196301;46.8;1
196302;115.1;1
196303;97.3;1
196304;83;1
196305;22.8;1
196306;48;1
196307;22.8;1
196308;76.3;1
196309;15;1
196310;88;1
196311;108.7;1
196312;70;1
196401;14.2;1
196402;48.9;1
196403;114.3;1
196404;52.2;1
196405;47.8;1
196406;21.5;1
196407;13;1
196408;26.8;1
196409;19.8;1
196410;100.9;1
196411;47.8;1
196412;119.8;1
196501;98.8;1
196502;0.7;1
196503;69.9;1
196504;10;1
196505;50.1;1
196506;42.2;1
196507;56.9;1
196508;35.2;1
196509;73.1;1
196510;22.7;1
196511;153.3;1
196512;156.6;1
196601;94;1
196602;113;1
196603;17.4;1
196604;135.3;1
196605;43.2;1
196606;36.3;1
196607;9.5;1
196608;84.2;1
196609;46.2;1
196610;117.6;1
196611;58.9;1
196612;93.8;1
196701;93;1
196702;44;1
196703;55.6;1
196704;15.4;1
196705;95.2;1
196706;22.2;1
196707;20.3;1
196708;43;1
196709;108.3;1
196710;87.8;1
196711;62.6;1
196712;53.6;1
196801;66.7;1
196802;97.1;1
196803;22.2;1
196804;60.5;1
196805;41.3;1
196806;53.2;1
196807;46.3;1
196808;39.2;1
196809;68.1;1
196810;76.5;1
196811;44.6;1
196812;85.8;1
196901;91.8;1
196902;82.8;1
196903;53.4;1
196904;32.9;1
196905;92.2;1
196906;29.2;1
196907;26.9;1
196908;16.1;1
196909;65.3;1
196910;6.1;1
196911;159.6;1
196912;79.4;1
197001;82.6;1
197002;108.6;1
197003;47.5;1
197004;44.9;1
197005;21;1
197006;69.1;1
197007;34.8;1
197008;38.3;1
197009;41.9;1
197010;23.5;1
197011;103.7;1
197012;56.4;1
197101;111.7;1
197102;40.9;1
197103;62.8;1
197104;34.9;1
197105;19.2;1
197106;25.1;1
197107;15.6;1
197108;40.1;1
197109;41.9;1
197110;16.8;1
197111;87;1
197112;46.4;1
197201;99.4;1
197202;136.3;1
197203;52.5;1
197204;52.3;1
197205;52.1;1
197206;75.1;1
197207;9.2;1
197208;28.5;1
197209;24.1;1
197210;66.7;1
197211;101.2;1
197212;64;1
197301;62;1
197302;64.3;1
197303;14;1
197304;47.9;1
197305;89.5;1
197306;19.9;1
197307;82;1
197308;22.7;1
197309;41.9;1
197310;57.9;1
197311;48.7;1
197312;45.8;1
197401;109;1
197402;131.3;1
197403;42.3;1
197404;48.1;1
197405;49.4;1
197406;34.5;1
197407;34;1
197408;50.7;1
197409;103.8;1
197410;40.5;1
197411;125.9;1
197412;27.9;1
197501;83.2;1
197502;9.5;1
197503;92.7;1
197504;36.3;1
197505;18.3;1
197506;28.5;1
197507;14.5;1
197508;81.9;1
197509;100;1
197510;67;1
197511;90.4;1
197512;24;1
197601;27;1
197602;41.9;1
197603;94.3;1
197604;1.6;1
197605;13;1
197606;11.2;1
197607;31.6;1
197608;7.5;1
197609;87.2;1
197610;130.1;1
