# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 29168001
# NOM_USUEL= PTE DU RAZ
# LATITUDE (°) = 48.039
# LONGITUDE(°)= -4.732
# ALTITUDE (m) = 67
# NUM_SERIE= MRR129168001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;71.4;1
195102;124.4;1
195103;84;1
195104;56.9;1
195105;89.3;1
195106;20.4;1
195107;25.4;1
195108;128;1
195109;111.5;1
195110;44.7;1
195111;148;1
195112;93.5;1
195201;69.2;1
195202;33.8;1
195203;64.8;1
195204;29.5;1
195205;29.6;1
195206;19;1
195207;26.8;1
195208;89.2;1
195209;137.4;1
195210;74.3;1
195211;108.3;1
195212;172.7;1
195301;27.5;1
195302;47.3;1
195303;10.5;1
195304;85.1;1
195305;62.8;1
195306;50.8;1
195307;45.9;1
195308;21.7;1
195309;57.4;1
195310;59.6;1
195311;52.4;1
195312;22.3;1
195401;62.5;1
195402;77;1
195403;87;1
195404;12.2;1
195405;18.5;1
195406;70.5;1
195407;39.3;1
195408;95.8;1
195409;38.9;1
195410;54.7;1
195411;142.1;1
195412;62;1
195501;120.6;1
195502;84.7;1
195503;58.9;1
195504;16.8;1
195505;55.7;1
195506;31;1
195507;50.4;1
195508;6.4;1
195509;35.6;1
195510;51.1;1
195511;76.5;1
195512;136.5;1
195601;108.7;1
195602;20.5;1
195603;30.7;1
195604;16.5;1
195605;39.2;1
195606;49.7;1
195607;44;1
195608;74;1
195609;130.9;1
195610;22.1;1
195611;44.3;1
195612;147.9;1
195701;38.8;1
195702;182.3;1
195703;52.6;1
195704;18.7;1
195705;31;1
195706;28.3;1
195707;22.6;1
195708;50.3;1
195709;81.1;1
195710;22.8;1
195711;62.2;1
195712;67.3;1
195801;68.9;1
195802;66.5;1
195803;88.5;1
195804;39.5;1
195805;35.2;1
195806;70.4;1
195807;27.4;1
195808;83.4;1
195809;54.1;1
195810;57.6;1
195811;44.4;1
195812;84.8;1
195901;104.3;1
195902;3.7;1
195903;50.3;1
195904;100.6;1
195905;22.8;1
195906;14.3;1
195907;11.4;1
195908;15;1
195909;13.7;1
195910;84.9;1
195911;108;1
195912;169.8;1
196001;81.4;1
196002;81.9;1
196003;99.5;1
196004;36;1
196005;18.6;1
196006;31.7;1
196007;49.6;1
196008;111.3;1
196009;69.9;1
196010;151.5;1
196011;72.2;1
196012;86.1;1
196101;143.1;1
196102;51;1
196103;1.8;1
196104;58;1
196105;31.9;1
196106;18.1;1
196107;33.8;1
196108;5.2;1
196109;37.6;1
196110;68.3;1
196111;35.5;1
196112;116.2;1
196201;91.7;1
196202;13.5;1
196203;68.3;1
196204;33.1;1
196205;30.9;1
196206;2.7;1
196207;20.6;1
196208;54.2;1
196209;62.7;1
196210;70.5;1
196211;145.8;1
196212;91.7;1
196301;26.6;1
196302;85.7;1
196303;103.6;1
196304;77.1;1
196305;32.4;1
196306;43.3;1
196307;14.1;1
196308;56.8;1
196309;15.6;1
196310;53.2;1
196311;98.4;1
196312;46.2;1
196401;16.9;1
196402;58.3;1
196403;118.7;1
196404;36.4;1
196405;48.5;1
196406;30.9;1
196407;11.1;1
196408;36.9;1
196409;36.7;1
196410;94.2;1
196411;40.6;1
196412;88.2;1
196501;91.1;1
196502;4.9;1
196503;77.8;1
196504;16.2;1
196505;60.5;1
196506;42.2;1
196507;29.6;1
196508;60.8;1
196509;78.7;1
196510;28.4;1
196511;122.2;1
196512;124.5;1
196601;86.5;1
196602;91.1;1
196603;19.5;1
196604;100.2;1
196605;47.6;1
196606;38;1
196607;8.3;1
196608;62;1
196609;45.1;1
196610;113.7;1
196611;55;1
196612;91.5;1
196701;70.1;1
196702;71.4;1
196703;49.6;1
196704;11.3;1
196705;98.1;1
196706;18.8;1
196707;23.6;1
196708;37.4;1
196709;112.5;1
196710;92.5;1
196711;56.7;1
196712;68.1;1
196801;67.1;1
196802;91;1
196803;21.3;1
196804;60.5;1
196805;53;1
196806;46;1
196807;45.1;1
196808;14.6;1
196809;88.2;1
196810;105.6;1
196811;44.7;1
196812;70.9;1
196901;94.9;1
196902;85.7;1
196903;59.4;1
196904;29.5;1
196905;85.1;1
196906;32.6;1
196907;22.8;1
196908;18.2;1
196909;58.5;1
196910;5.2;1
196911;140.5;1
196912;103.4;1
197001;80.4;1
197002;55.1;1
197003;45.2;1
197004;19.9;1
197005;28;1
197006;52.2;1
197007;27;1
197008;45.4;1
197009;30.2;1
197010;22;1
197011;105.6;1
197012;23.9;1
197101;120.4;1
197102;29.2;1
197103;68.1;1
197104;43.6;1
197105;27.4;1
197106;25.1;1
197107;15.4;1
197108;32.8;1
197109;58.2;1
197110;36.2;1
197111;70.9;1
197112;26.3;1
197201;111.8;1
197202;122.7;1
197203;73.7;1
197204;56.3;1
197205;61.4;1
197206;53.1;1
197207;9.7;1
197208;17.8;1
197209;38.9;1
197210;66.1;1
197211;111.9;1
197212;69.6;1
197301;47.5;1
197302;47.3;1
197303;14.1;1
197304;32.8;1
197305;87.8;1
197306;12.1;1
197307;83.2;1
197308;30.2;1
197309;49.6;1
197310;63.2;1
197311;36.3;1
197312;66.8;1
197401;94.4;1
197402;134.2;1
197403;36.8;1
197404;38.1;1
197405;44.8;1
197406;34.7;1
197407;25;1
197408;39.6;1
197409;94.9;1
197410;43.8;1
197411;103.9;1
197412;27.3;1
197501;74;1
197502;13.7;1
197503;80.6;1
197504;32;1
197505;26.6;1
197506;15.2;1
197507;17.1;1
197508;41.1;1
197509;74.6;1
197510;42;1
197511;80.3;1
197512;33.1;1
197601;46.8;1
197602;50.3;1
197603;49.6;1
197604;9.3;1
197605;10.5;1
197606;5.9;1
197607;40.3;1
197608;18.6;1
197609;62.6;1
197610;156.4;1
197611;88.3;1
197612;83.2;1
197701;114.3;1
197702;155.6;1
197703;47.6;1
197704;36.3;1
197705;59.5;1
197706;46.4;1
197707;40.9;1
197708;40.4;1
197709;19.3;1
197710;59.8;1
197711;98.5;1
197712;85.1;1
197801;129.9;1
197802;126;1
197803;89.2;1
197804;44.8;1
197805;14;1
197806;37.4;1
197807;35.4;1
197808;14.4;1
197809;9.2;1
197810;9.4;1
197811;23.6;1
197812;161.4;1
197901;103.6;1
197902;170.7;1
197903;73.6;1
197904;61.3;1
197905;66.4;1
197906;4;1
197907;18.8;1
197908;43.4;1
197909;13.1;1
197910;84.2;1
197911;41.6;1
197912;116.1;1
198001;85.4;1
198002;36.8;1
198003;126.2;1
198004;7.4;1
198005;32.5;1
198006;64.8;1
198007;38.5;1
198008;43.9;1
198009;36.8;1
198010;123.7;1
198011;60.5;1
198012;55.9;1
198101;32.6;1
198102;52.9;1
198103;88.5;1
198104;31.9;1
198105;102.8;1
198106;43.1;1
198107;21.1;1
198108;33.9;1
198109;137.9;1
198110;110.8;1
198111;10.1;1
198112;196.4;1
198201;117.5;1
198202;85;1
198203;71;1
198204;14.8;1
198205;47.1;1
198206;65.5;1
198207;87.2;1
198208;34.6;1
198209;37.9;1
198210;155.2;1
198211;123.1;1
198212;104.5;1
198301;36.4;1
198302;68.5;1
198303;32.2;1
198304;111.2;1
198305;91.7;1
198306;11.3;1
198307;12.4;1
198308;18.3;1
198309;74.2;1
198310;50.5;1
198311;34.9;1
198312;99.8;1
198401;130.7;1
198402;47.4;1
198403;62.2;1
198404;6.3;1
198405;70.7;1
198406;16.8;1
198407;8.9;1
198408;22.7;1
198409;51.8;1
198410;56.6;1
198411;119.5;1
198412;133.5;1
198501;116.6;1
198502;82.5;1
198503;118.7;1
198504;37.1;1
198505;16;1
198506;32.2;1
198507;32;1
198508;70.4;1
198509;8.6;1
198510;36.1;1
198511;63.9;1
198512;113.4;1
198601;108.3;1
198602;55.8;1
198603;94.6;1
198604;54.4;1
198605;64;1
198606;43.7;1
198607;16.5;1
198608;90.9;1
198609;86.9;1
198610;47.6;1
198611;67.3;1
198612;81.8;1
198701;29.7;1
198702;65.4;1
198703;61.4;1
198704;58.5;1
198705;35.6;1
198706;80.6;1
198707;34.4;1
198708;14.3;1
198709;45.3;1
198710;183.5;1
198711;74.9;1
198712;67.9;1
198801;163.2;1
198802;86.2;1
198803;70.6;1
198804;118;1
198805;63.2;1
198806;26.7;1
198807;45.4;1
198808;45.7;1
198809;33.5;1
198810;58.5;1
198811;21.5;1
198812;33.2;1
198901;53.4;1
198902;61.9;1
198903;44.8;1
198904;67.2;1
198905;7;1
198906;20.8;1
198907;18.4;1
198908;13.7;1
198909;7.5;1
198910;47.8;1
198911;75.6;1
198912;146.6;1
199001;104.6;1
199002;114.1;1
199003;7.8;1
199004;42.2;1
199005;40.3;1
199006;56;1
199007;16.6;1
199008;16.4;1
199009;27.9;1
199010;88.2;1
199011;80.4;1
199012;58;1
199101;72.5;1
199102;41.8;1
199103;69.1;1
199104;38.3;1
199105;5.5;1
199106;60;1
199107;126.3;1
199108;10.3;1
199109;35.3;1
199110;122.9;1
199111;69.8;1
199112;10.2;1
199201;22.4;1
199202;44.2;1
199203;38.5;1
199204;36.2;1
199205;23.1;1
199206;16.9;1
199207;8;1
199208;58.3;1
199209;77.1;1
199210;61.3;1
199211;90.8;1
199212;97.6;1
199301;51.4;1
199302;13.7;1
199303;31.4;1
199304;80.9;1
199305;59.4;1
199306;20.3;1
199307;26.4;1
199308;3.9;1
199309;139;1
199310;87.8;1
199311;81.9;1
199312;66.5;1
199401;79.7;1
199402;92.1;1
199403;27;1
199404;49.9;1
199405;145.9;1
199406;18.5;1
199407;9.5;1
199408;102.1;1
199409;104.7;1
199410;58.6;1
199411;50.5;1
199412;88.9;1
199501;146.2;1
199502;90.8;1
199503;43.8;1
199504;29.4;1
199505;46.8;1
199506;7.1;1
199507;30.5;1
199508;19.7;1
199509;98.5;1
199510;19.4;1
199511;99.2;1
199512;96.3;1
199601;81.8;1
199602;94.3;1
199603;51;1
199604;65.9;1
199605;105.2;1
199606;11.7;1
199607;4.7;1
199608;80.7;1
199609;44.2;1
199610;19.3;1
199611;98.6;1
199612;50;1
199701;45.4;1
199702;84;1
199703;9.8;1
199704;21.2;1
199705;41.2;1
199706;76.8;1
199707;17.6;1
199708;79;1
199709;7.8;1
199710;54.6;1
199711;163.6;1
199712;103.3;1
199801;96.6;1
199802;15.8;1
199803;30.2;1
199804;140.6;1
199805;42.5;1
199806;42.3;1
199807;53.6;1
199808;8.6;1
199809;109.6;1
199810;81.2;1
199811;63.2;1
199812;95.8;1
199901;79.8;1
199902;56;1
199903;50.4;1
199904;118.2;1
199905;36.8;1
199906;40.2;1
199907;10.8;1
199908;75;1
199909;65.4;1
199910;100.8;1
199911;26.8;1
199912;161.3;1
200001;18.2;1
200002;63.8;1
200003;15.8;1
200004;151;1
200005;62.6;1
200006;22.8;1
200007;37.8;1
200008;62.4;1
200009;78.6;1
200010;91.2;1
200011;131.2;1
200012;138;1
200101;158;1
200102;79.2;1
200103;166.4;1
200104;73.8;1
200105;28.2;1
200106;23.4;1
200107;45.6;1
200108;44.6;1
200109;45.6;1
200110;86.2;1
200111;31.2;1
200112;40.4;1
200201;53.8;1
200202;61.6;1
200203;56.4;1
200204;10.2;1
200205;86.2;1
200206;77.2;1
200207;59.2;1
200208;30.6;1
200209;15.2;1
200210;126;1
200211;190.4;1
200212;133.6;1
200301;86.4;1
200302;70;1
200303;37.2;1
200304;55.2;1
200305;44.2;1
200306;46;1
200307;29.4;1
200308;1.8;1
200309;34.3;1
200310;73.1;1
200311;122.2;1
