# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 30258001
# NOM_USUEL= NIMES-GARONS
# LATITUDE (°) = 43.773
# LONGITUDE(°)= 4.413
# ALTITUDE (m) = 94
# NUM_SERIE= MRR130258001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195001 202112
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;21.4;1
195002;23;1
195003;36.5;1
195004;16;1
195005;14.2;1
195006;39.1;1
195007;11.1;1
195008;16.1;1
195009;46.7;1
195010;82.6;1
195011;9.3;1
195012;125;1
195101;67.7;1
195102;81.6;1
195103;96.7;1
195104;34.9;1
195105;67.2;1
195106;21.2;1
195107;18;1
195108;26.6;1
195109;178.8;1
195110;277.3;1
195111;126.5;1
195112;34.3;1
195201;47.7;1
195202;9.2;1
195203;25.7;1
195204;35.7;1
195205;43.1;1
195206;9.9;1
195207;0;1
195208;46.3;1
195209;5.9;1
195210;27.3;1
195211;93.4;1
195212;25.1;1
195301;4.2;1
195302;0.6;1
195303;6.9;1
195304;37.1;1
195305;30.7;1
195306;109.9;1
195307;7.7;1
195308;6;1
195309;248.8;1
195310;206.5;1
195311;28.1;1
195312;80.7;1
195401;29.5;1
195402;77.1;1
195403;75.2;1
195404;75;1
195405;102.2;1
195406;33;1
195407;23.5;1
195408;76.7;1
195409;32.4;1
195410;21.3;1
195411;57.7;1
195412;12;1
195501;199;1
195502;68.1;1
195503;33.9;1
195504;0;1
195505;31.5;1
195506;80.8;1
195507;15.7;1
195508;18;1
195509;49.3;1
195510;204.7;1
195511;134.5;1
195512;53.3;1
195601;31.1;1
195602;21.8;1
195603;80.7;1
195604;40.9;1
195605;28.2;1
195606;28.7;1
195607;45.8;1
195608;20;1
195609;123.4;1
195610;84.1;1
195611;96.8;1
195612;53;1
195701;0;1
195702;48.4;1
195703;41.7;1
195704;90.9;1
195705;72.4;1
195706;154.7;1
195707;5.2;1
195708;14.7;1
195709;35.5;1
195710;6.5;1
195711;76.6;1
195712;167.5;1
195801;13.3;1
195802;1.8;1
195803;53.3;1
195804;35.5;1
195805;9.2;1
195806;50.1;1
195807;33.9;1
195808;2.2;1
195809;80.9;1
195810;74.5;1
195811;26.6;1
195812;60.1;1
195901;1.8;1
195902;24.6;1
195903;119.7;1
195904;64.6;1
195905;58.5;1
195906;59.1;1
195907;0.9;1
195908;78.1;1
195909;125.6;1
195910;119.8;1
195911;60;1
195912;130.9;1
196001;41.5;1
196002;41.9;1
196003;207.4;1
196004;13.5;1
196005;14.3;1
196006;18.1;1
196007;35;1
196008;85.6;1
196009;59.2;1
196010;107.9;1
196011;99.3;1
196012;71.8;1
196101;17.7;1
196102;12;1
196103;0;1
196104;100;1
196105;30.5;1
196106;38;1
196107;65.8;1
196108;6;1
196109;23;1
196110;107.2;1
196111;178.3;1
196112;11.1;1
196201;36.1;1
196202;56.6;1
196203;37;1
196204;86.1;1
196205;21.3;1
196206;44.5;1
196207;1;1
196208;4.1;1
196209;55.7;1
196210;54.4;1
196211;71.1;1
196212;39.5;1
196301;51.3;1
196302;92;1
196303;26.8;1
196304;70.7;1
196305;35.6;1
196306;68.6;1
196307;38.8;1
196308;85.3;1
196309;166.4;1
196310;53.4;1
196311;139;1
196312;71.4;1
196401;26.9;1
196402;131.8;1
196403;158;1
196404;16;1
196405;77.4;1
196406;23.8;1
196407;16.6;1
196408;58.7;1
196409;85.8;1
196410;121.3;1
196411;70.6;1
196412;29.6;1
196501;88.4;1
196502;35.6;1
196503;56.6;1
196504;1.6;1
196505;13.2;1
196506;12.8;1
196507;40.8;1
196508;53.3;1
196509;114.6;1
196510;123.1;1
196511;33.5;1
196512;61.3;1
196601;37.8;1
196602;108.3;1
196603;2.7;1
196604;80.4;1
196605;58.9;1
196606;19.9;1
196607;50.5;1
196608;44.4;1
196609;45;1
196610;106.9;1
196611;72.7;1
196612;10.1;1
196701;29;1
196702;54.2;1
196703;8.2;1
196704;19.7;1
196705;16.9;1
196706;6.4;1
196707;0.3;1
196708;12.7;1
196709;23.6;1
196710;25.2;1
196711;76.8;1
196712;1.9;1
196801;1.3;1
196802;97.7;1
196803;2;1
196804;75.2;1
196805;99.7;1
196806;53.6;1
196807;1.9;1
196808;49;1
196809;104;1
196810;36;1
196811;97.1;1
196812;39;1
196901;91;1
196902;86.3;1
196903;71.3;1
196904;40.7;1
196905;31.8;1
196906;52.8;1
196907;47.3;1
196908;24.1;1
196909;116.9;1
196910;181.4;1
196911;55.2;1
196912;75.9;1
197001;107.2;1
197002;4.5;1
197003;39.6;1
197004;51.9;1
197005;49.3;1
197006;19.2;1
197007;0.4;1
197008;45.1;1
197009;15.7;1
197010;113.4;1
197011;46.2;1
197012;73.2;1
197101;129.3;1
197102;2;1
197103;107;1
197104;151.2;1
197105;95;1
197106;78.9;1
197107;29.1;1
197108;11;1
197109;52.4;1
197110;34.1;1
197111;64.3;1
197112;48.8;1
197201;163.3;1
197202;214.8;1
197203;89.3;1
197204;50;1
197205;64.1;1
197206;106.3;1
197207;12.1;1
197208;68.9;1
197209;42.1;1
197210;109.8;1
197211;42.1;1
197212;91.5;1
197301;58.8;1
197302;43.9;1
197303;53.1;1
197304;21.3;1
197305;9.1;1
197306;72.6;1
197307;40.5;1
197308;27.4;1
197309;20.6;1
197310;286.7;1
197311;34.8;1
197312;87.1;1
197401;89.9;1
197402;162.3;1
197403;118.2;1
197404;105.9;1
197405;70.3;1
197406;29.2;1
197407;24;1
197408;60.7;1
197409;92;1
197410;13.7;1
197411;35.9;1
197412;0.6;1
197501;30.6;1
197502;75.4;1
197503;111.6;1
197504;19.9;1
197505;112.6;1
197506;18.3;1
197507;12.9;1
197508;73.1;1
197509;115.1;1
197510;17.4;1
197511;51.3;1
197512;111.7;1
197601;41.6;1
197602;82.9;1
197603;48.1;1
197604;105.6;1
197605;51.3;1
197606;0.4;1
197607;19.4;1
197608;83.3;1
197609;115.7;1
197610;371.6;1
197611;66;1
197612;84.5;1
197701;71.8;1
197702;31.3;1
197703;71.5;1
197704;26.8;1
197705;165.4;1
197706;59;1
197707;71.2;1
197708;30.4;1
197709;33;1
197710;326.7;1
197711;83.7;1
197712;85.7;1
197801;137.5;1
197802;106.3;1
197803;34.3;1
197804;94.1;1
197805;119.3;1
197806;16.7;1
197807;17.5;1
197808;56.2;1
197809;13;1
197810;12.7;1
197811;1.3;1
197812;144.2;1
197901;122.4;1
197902;39.2;1
197903;57.1;1
197904;21.7;1
197905;41;1
197906;3.3;1
197907;17.2;1
197908;7.9;1
197909;39.3;1
197910;359.3;1
197911;8.2;1
197912;48.7;1
198001;38.3;1
198002;10.6;1
198003;71.3;1
198004;73.2;1
198005;91.1;1
198006;16.4;1
198007;14.7;1
198008;48;1
198009;11.7;1
198010;26.8;1
198011;66.8;1
198012;19.7;1
198101;41.8;1
198102;28.7;1
198103;89;1
198104;25.8;1
198105;100.7;1
198106;47;1
198107;8.1;1
198108;6.1;1
198109;90.3;1
198110;60.1;1
198111;1.1;1
198112;132.3;1
198201;14.1;1
198202;39.4;1
198203;24.5;1
198204;28.9;1
198205;4.9;1
198206;64;1
198207;82.1;1
198208;25.5;1
198209;62.3;1
198210;64.2;1
198211;165;1
198212;35.4;1
198301;0;1
198302;53.1;1
198303;90.8;1
198304;31.9;1
198305;30.2;1
198306;41.4;1
198307;1.8;1
198308;64.9;1
198309;21.5;1
198310;81.6;1
198311;16.5;1
198312;58.5;1
198401;55;1
198402;35.9;1
198403;65.4;1
198404;6.2;1
198405;66.1;1
198406;25.2;1
198407;0.2;1
198408;50.4;1
198409;41.4;1
198410;12.5;1
198411;236;1
198412;108.8;1
198501;7.1;1
198502;24.9;1
198503;89.6;1
198504;10.6;1
198505;76.4;1
198506;24.2;1
198507;13.4;1
198508;32.2;1
198509;0.2;1
198510;51.9;1
198511;20.1;1
198512;144.1;1
198601;126.1;1
198602;133;1
198603;30.1;1
198604;126.4;1
198605;10.3;1
198606;10.6;1
198607;5.3;1
198608;16.4;1
198609;83;1
198610;192;1
198611;57.1;1
