# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 31069001
# NOM_USUEL= TOULOUSE-BLAGNAC
# LATITUDE (°) = 43.621
# LONGITUDE(°)= 1.379
# ALTITUDE (m) = 151
# NUM_SERIE= MRR131069001
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 199312
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;12.7;1
195002;59.1;1
195003;57.6;1
195004;56.4;1
195005;43.9;1
195006;3.9;1
195007;22;1
195008;16.1;1
195009;41.9;1
195010;33.9;1
195011;28.5;1
195012;83.1;1
195101;60.3;1
195102;72.6;1
195103;65.2;1
195104;30.7;1
195105;116.7;1
195106;58.7;1
195107;120.1;1
195108;59.5;1
195109;12.5;1
195110;71;1
195111;45.5;1
195112;28.6;1
195201;74.5;1
195202;96.9;1
195203;37;1
195204;29;1
195205;35.3;1
195206;25.8;1
195207;24.1;1
195208;21.1;1
195209;22.8;1
195210;62;1
195211;52.6;1
195212;96.6;1
195301;24;1
195302;35.5;1
195303;4;1
195304;37.9;1
195305;29.1;1
195306;56.1;1
195307;35.2;1
195308;15.8;1
195309;36.2;1
195310;57.9;1
195311;30.9;1
195312;10.3;1
195401;34.1;1
195402;67.6;1
195403;74.8;1
195404;43.7;1
195405;89.4;1
195406;41.3;1
195407;18.3;1
195408;52.8;1
195409;59.6;1
195410;29.2;1
195411;44.6;1
195412;51.8;1
195501;139.3;1
195502;54;1
195503;6.2;1
195504;1.3;1
195505;31.2;1
195506;64;1
195507;112.2;1
195508;14.4;1
195509;76.8;1
195510;19.3;1
195511;51.5;1
195512;63.3;1
195601;43.3;1
195602;10.6;1
195603;22.6;1
195604;66.4;1
195605;89.3;1
195606;25.2;1
195607;42.4;1
195608;70.5;1
195609;68.3;1
195610;37.3;1
195611;41.5;1
195612;35.8;1
195701;15.6;1
195702;54.8;1
195703;38.9;1
195704;87.7;1
195705;92.4;1
195706;212.7;1
195707;26.2;1
195708;63.3;1
195709;42.3;1
195710;7.6;1
195711;69.8;1
195712;12.8;1
195801;61.1;1
195802;11.8;1
195803;108.6;1
195804;40;1
195805;45;1
195806;42.9;1
195807;66;1
195808;44.4;1
195809;77.4;1
195810;14.7;1
195811;63.8;1
195812;77.7;1
195901;40.5;1
195902;39.1;1
195903;85.2;1
195904;69.7;1
195905;61.3;1
195906;76.2;1
195907;19.9;1
195908;79.2;1
195909;74;1
195910;57.2;1
195911;59.2;1
195912;132.3;1
196001;32.7;1
196002;30.9;1
196003;68.9;1
196004;11.4;1
196005;32.5;1
196006;25.8;1
196007;76.1;1
196008;43.9;1
196009;70.7;1
196010;65.9;1
196011;55;1
196012;104.5;1
196101;61.3;1
196102;45.5;1
196103;0.1;1
196104;93.6;1
196105;43.1;1
196106;61;1
196107;32.3;1
196108;46.3;1
196109;44.6;1
196110;42;1
196111;69.5;1
196112;53.3;1
196201;53.2;1
196202;50.3;1
196203;48.9;1
196204;56.8;1
196205;74.2;1
