# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 31403002
# NOM_USUEL= ONDES
# LATITUDE (°) = 43.778
# LONGITUDE(°)= 1.321
# ALTITUDE (m) = 109
# NUM_SERIE= MRR131403002
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;54.1;1
195902;24.6;1
195903;63.2;1
195904;97.5;1
195905;70.2;1
195906;110.5;1
195907;10;1
195908;50.2;1
195909;189;1
195910;55;1
195911;60.8;1
195912;158.6;1
196001;49.4;1
196002;33.2;1
196003;55;1
196004;14.9;1
196005;45.3;1
196006;26.5;1
196007;96.4;1
196008;47.3;1
196009;80.4;1
196010;134;1
196011;80.2;1
196012;95.8;1
196101;69;1
196102;31.7;1
196103;0;1
196104;78.6;1
196105;73.3;1
196106;72.1;1
196107;56.5;1
196108;46;1
196109;82;1
196110;54.5;1
196111;85.7;1
196112;65.1;1
196201;49.8;1
196202;44.2;1
196203;44.8;1
196204;69.1;1
196205;70.8;1
196206;40;1
196207;27.3;1
196208;13;1
196209;58.7;1
196210;34.4;1
196211;105.4;1
196212;50.5;1
196301;19.8;1
196302;64.3;1
196303;50.8;1
196304;74.1;1
196305;39.7;1
196306;113.1;1
196307;42.2;1
196308;81.5;1
196309;115.4;1
196310;23.7;1
196311;56.5;1
196312;58.1;1
196401;5.9;1
196402;56.4;1
196403;43.8;1
196404;46.3;1
196405;49.5;1
196406;47.6;1
196407;2.2;1
196408;42;1
196409;35.8;1
196410;85.6;1
196411;41.1;1
196412;25.6;1
196501;57.1;1
196502;24.6;1
196503;68.6;1
196504;41.1;1
196505;60.2;1
196506;54.6;1
196507;18.7;1
196508;27.4;1
196509;110.7;1
196510;43.6;1
196511;72.1;1
196512;140.3;1
196601;100.7;1
196602;47;1
196603;12.7;1
196604;92.2;1
196605;58.5;1
196606;69.2;1
196607;29.3;1
196608;28.7;1
196609;41.9;1
196610;151.8;1
196611;54.1;1
196612;118.4;1
196701;59.4;1
196702;25.7;1
196703;46.2;1
196704;25.2;1
196705;70.4;1
196706;63.6;1
196707;26.2;1
196708;37.2;1
196709;30.1;1
196710;23.1;1
196711;60;1
196712;35;1
196801;51.2;1
196802;70;1
196803;35.1;1
196804;29.8;1
196805;110.6;1
196806;61.3;1
196807;57;1
196808;76.5;1
196809;66.5;1
196810;41.5;1
196811;99.3;1
196812;71.6;1
196901;58.5;1
196902;40.2;1
196903;98.6;1
196904;95.3;1
196905;65.1;1
196906;51.8;1
196907;38;1
196908;39.8;1
196909;110.4;1
196910;13.7;1
196911;30.7;1
196912;84.2;1
197001;42.9;1
197002;63.3;1
197003;57.6;1
197004;62.8;1
197005;71.7;1
197006;52.1;1
197007;7.1;1
197008;40.4;1
197009;5.6;1
197010;97;1
197011;64.6;1
197012;15;1
197101;114.7;1
197102;69.3;1
197103;79.4;1
197104;103.7;1
197105;112;1
197106;89.9;1
197107;47.7;1
197108;44.9;1
197109;52.6;1
197110;17.3;1
197111;67.9;1
197112;40.1;1
197201;71.5;1
197202;93.4;1
197203;57.9;1
197204;88.7;1
197205;68.5;1
197206;38.7;1
197207;10.2;1
197208;43.1;1
197209;83.3;1
197210;37.6;1
197211;32.9;1
197212;35.5;1
197301;55.3;1
197302;75.6;1
197303;18.1;1
197304;24.3;1
197305;47;1
197306;70.9;1
197307;65.3;1
197308;60.7;1
197309;79.3;1
197310;34.1;1
197311;25.8;1
197312;66.6;1
197401;36.4;1
197402;58.5;1
197403;64.8;1
197404;72.9;1
197405;69.9;1
197406;81;1
197407;110.3;1
197408;93.3;1
197409;126.3;1
197410;111.6;1
197411;76.8;1
197412;26.3;1
197501;64.7;1
197502;26.7;1
197503;78.7;1
197504;36.2;1
197505;71.6;1
197506;50.6;1
197507;26.5;1
197508;86.9;1
197509;62.4;1
197510;22.1;1
197511;75.2;1
197512;27.3;1
197601;20.5;1
197602;29.7;1
197603;32.5;1
197604;57;1
197605;38.1;1
197606;0;1
197607;61.8;1
197608;63.9;1
197609;67.6;1
197610;90.8;1
197611;63.7;1
197612;63.4;1
197701;47.2;1
197702;54.9;1
197703;51.6;1
197704;42.7;1
197705;164.4;1
197706;77.2;1
197707;120.3;1
197708;51.4;1
197709;4.5;1
197710;42.7;1
197711;38;1
197712;22.9;1
197801;114.2;1
197802;84.5;1
197803;108.3;1
197804;101.2;1
197805;101;1
197806;88.1;1
197807;30.8;1
197808;19.9;1
197809;32.7;1
197810;20.7;1
197811;3;1
197812;80.3;1
197901;92.5;1
197902;71.3;1
197903;89;1
197904;68.4;1
197905;95.6;1
197906;49.5;1
197907;13.6;1
197908;35.8;1
197909;19.6;1
197910;91.7;1
197911;45.7;1
197912;84.9;1
198001;75.3;1
198002;37.3;1
198003;73.6;1
198004;13.3;1
198005;105.6;1
198006;40.6;1
198007;61.9;1
198008;128.7;1
198009;47.6;1
198010;96.6;1
198011;54.9;1
198012;52.6;1
198101;65.2;1
198102;42.8;1
198103;51.7;1
198104;31.4;1
198105;101.5;1
198106;64.2;1
198107;68.3;1
198108;21;1
198109;39;1
198110;62.7;1
198111;19.7;1
198112;160;1
198201;35.5;1
198202;59.8;1
198203;59.1;1
198204;7.3;1
198205;44.7;1
198206;46.2;1
198207;63.6;1
198208;39.1;1
198209;45.1;1
198210;121.1;1
198211;44.1;1
198212;111.6;1
198301;12.3;1
198302;83.5;1
198303;46.4;1
198304;55.3;1
198305;68.9;1
198306;39.4;1
198307;57.2;1
198308;99.5;1
198309;24.9;1
198310;45.8;1
198311;28.5;1
198312;61.4;1
198401;95.4;1
198402;57.7;1
198403;52;1
198404;23.6;1
198405;138.2;1
198406;60.6;1
198407;19;1
198408;27;1
198409;81.5;1
198410;40;1
198411;64;1
198412;41;1
198501;61.3;1
198502;66.5;1
198503;90.5;1
198504;57;1
198505;86.5;1
198506;68.5;1
198507;20;1
198508;10.5;1
198509;0;1
198510;39.5;1
198511;47;1
198512;54.3;1
198601;82;1
198602;53.2;1
198603;44;1
198604;88.9;1
198605;43;1
198606;15;1
198607;34.5;1
198608;24.2;1
198609;67.1;1
198610;33.9;1
198611;33;1
198612;61;1
198701;24.7;1
198702;36.5;1
198703;71.4;1
198704;70;1
198705;32.5;1
198706;53;1
198707;30.1;1
198708;47.5;1
198709;45.5;1
198710;40.5;1
198711;53;1
198712;20;1
198801;90;1
198802;46;1
198803;94.5;1
198804;117.2;1
198805;63.5;1
198806;97;1
198807;90;1
198808;17.5;1
