# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 32013005
# NOM_USUEL= AUCH
# LATITUDE (°) = 43.689
# LONGITUDE(°)= 0.601
# ALTITUDE (m) = 122
# NUM_SERIE= MRR132013005
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195401 201812
# Date(s) de rupture(s) d'homogénéité : 199712
#     Periode homogénéisée  195401 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;34.1;1
195402;71.7;1
195403;61.8;1
195404;62.3;1
195405;100.6;1
195406;61.4;1
195407;30.7;1
195408;81.2;1
195409;60.6;1
195410;38.8;1
195411;48;1
195412;75.9;1
195501;118.9;1
195502;75.7;1
195503;6.2;1
195504;0;1
195505;31.4;1
195506;83.5;1
195507;64.4;1
195508;35.9;1
195509;37.6;1
195510;25.1;1
195511;40.3;1
195512;79.7;1
195601;55.9;1
195602;12.7;1
195603;22;1
195604;56.6;1
195605;65.9;1
195606;26.8;1
195607;79.1;1
195608;89.4;1
195609;33.2;1
195610;38;1
195611;55.7;1
195612;32.4;1
195701;31.4;1
195702;63.5;1
195703;66.1;1
195704;58.3;1
195705;69.6;1
195706;117.2;1
195707;14.5;1
195708;53.8;1
195709;41.2;1
195710;10;1
195711;58.5;1
195712;19.4;1
195801;88.2;1
195802;10.7;1
195803;96.2;1
195804;68.1;1
195805;62.7;1
195806;36.2;1
195807;40.3;1
195808;31.4;1
195809;43.9;1
195810;22.4;1
195811;49.3;1
195812;68.7;1
195901;57.4;1
195902;12.5;1
195903;69.9;1
195904;78.9;1
195905;76.2;1
195906;63.6;1
195907;31.4;1
195908;85.1;1
195909;122.3;1
195910;27.8;1
195911;58.3;1
195912;142.5;1
196001;62.7;1
196002;19.7;1
196003;61.8;1
196004;47.5;1
196005;31.4;1
196006;62.7;1
196007;85.1;1
196008;105.2;1
196009;50;1
196010;129.9;1
196011;69.5;1
196012;114.1;1
196101;113.6;1
196102;38.1;1
