# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 32132001
# NOM_USUEL= FLEURANCE
# LATITUDE (°) = 43.874
# LONGITUDE(°)= 0.673
# ALTITUDE (m) = 108
# NUM_SERIE= MRR132132001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195301 201812
# Date(s) de rupture(s) d'homogénéité : 200112
#     Periode homogénéisée  195301 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;27;1
195302;39.3;1
195303;4.6;1
195304;88.6;1
195305;24;1
195306;111.9;1
195307;37.7;1
195308;25.5;1
195309;42.9;1
195310;58.2;1
195311;46.6;1
195312;7.5;1
195401;42.6;1
195402;98;1
195403;68.1;1
195404;80;1
195405;82.9;1
195406;66;1
195407;36.8;1
195408;128;1
195409;77.9;1
195410;48.3;1
195411;61.7;1
195412;63.4;1
195501;154.8;1
195502;69.1;1
195503;12.9;1
195504;4.5;1
195505;47.8;1
195506;91.3;1
195507;112.1;1
195508;16.9;1
195509;22.4;1
195510;59.6;1
195511;40.9;1
195512;114.1;1
195601;56.2;1
195602;7.9;1
195603;22.5;1
195604;55.9;1
195605;77.1;1
195606;30.4;1
195607;24.6;1
195608;66.5;1
195609;44.3;1
195610;52.1;1
195611;50;1
195612;42.5;1
195701;30.4;1
195702;58.4;1
195703;66.4;1
195704;59.2;1
195705;108;1
195706;85.6;1
195707;24.1;1
195708;56.4;1
195709;32.4;1
195710;5.3;1
195711;63.8;1
195712;24.1;1
195801;80.1;1
195802;15.6;1
195803;96.6;1
195804;37.5;1
195805;60.5;1
195806;82.9;1
195807;81.5;1
195808;36.3;1
195809;72.9;1
195810;37.8;1
195811;40.6;1
195812;113.9;1
195901;54.9;1
195902;26.4;1
195903;67.5;1
195904;109;1
195905;136.3;1
195906;72.3;1
195907;31.6;1
195908;88.1;1
195909;200;1
195910;52.8;1
195911;67.4;1
195912;187.4;1
196001;90.4;1
196002;47.7;1
196003;53.6;1
196004;14.2;1
196005;47.9;1
196006;85.9;1
196007;108.7;1
196008;141.3;1
196009;105.7;1
196010;135.8;1
196011;70.7;1
196012;99.1;1
196101;106.1;1
196102;32.1;1
196103;0;1
196104;72.3;1
196105;58.9;1
196106;46.4;1
196107;65.1;1
196108;46.2;1
196109;64.4;1
196110;82.1;1
196111;88;1
196112;67.7;1
196201;65;1
