# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 32147001
# NOM_USUEL= GIMONT
# LATITUDE (°) = 43.628
# LONGITUDE(°)= 0.884
# ALTITUDE (m) = 177
# NUM_SERIE= MRR132147001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201812
# Date(s) de rupture(s) d'homogénéité : 195212
#     Periode homogénéisée  195001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;15.6;1
195002;65.2;1
195003;91.8;1
195004;77.5;1
195005;58.6;1
195006;19.9;1
195007;11.3;1
195008;73;1
195009;45.3;1
195010;32.2;1
195011;44.4;1
195012;123.5;1
195101;79.1;1
195102;112.6;1
195103;60.6;1
195104;63.9;1
195105;134.3;1
195106;79.4;1
195107;9.7;1
195108;52.1;1
195109;29.7;1
195110;63.3;1
195111;59.2;1
195112;72.2;1
195201;80.4;1
195202;151.5;1
195203;55.5;1
195204;20;1
195205;72.7;1
195206;28.3;1
195207;28.6;1
195208;39.3;1
195209;49.7;1
195210;61.1;1
195211;53.2;1
195212;97.8;1
195301;22.1;1
195302;53.8;1
195303;0;1
195304;78.5;1
195305;41.5;1
195306;99;1
195307;15.6;1
195308;27.9;1
195309;43.5;1
195310;47.3;1
195311;35.3;1
195312;8.3;1
195401;34.3;1
195402;68.2;1
195403;79.5;1
195404;93.4;1
195405;116.7;1
195406;50.1;1
195407;15.8;1
195408;75.3;1
195409;43;1
195410;35.4;1
195411;51.2;1
195412;58.3;1
195501;136;1
195502;47.2;1
195503;9.7;1
195504;5;1
195505;26.2;1
195506;61.1;1
195507;150.4;1
195508;55.2;1
195509;43.6;1
195510;29.7;1
195511;50.7;1
195512;75.9;1
195601;65.8;1
195602;12.4;1
195603;13.3;1
195604;42.5;1
195605;120.4;1
195606;34.2;1
195607;39.8;1
195608;76.1;1
195609;50.3;1
195610;36.6;1
195611;48.9;1
195612;29.1;1
195701;21.4;1
195702;46;1
195703;53;1
195704;77.5;1
195705;56.1;1
195706;116.4;1
195707;20.9;1
195708;69.3;1
195709;34.3;1
195710;7.4;1
195711;63.8;1
195712;20;1
195801;95.1;1
195802;16.8;1
195803;109.5;1
195804;46.8;1
195805;68.5;1
195806;46.3;1
195807;75.7;1
195808;36.2;1
195809;45.2;1
195810;47.2;1
195811;53.2;1
195812;87.4;1
195901;58.9;1
195902;20;1
195903;83;1
195904;128.6;1
195905;51.3;1
195906;57.8;1
195907;23.1;1
195908;80;1
195909;110;1
195910;30;1
195911;50;1
195912;182.9;1
196001;80.6;1
196002;43.1;1
196003;68.2;1
196004;12.9;1
196005;31.9;1
196006;54.5;1
196007;85.7;1
196008;61.8;1
196009;30;1
196010;134.6;1
196011;40.4;1
196012;57.7;1
196101;106.2;1
196102;44.8;1
196103;0;1
196104;87.1;1
196105;52.5;1
196106;21.1;1
196107;31.9;1
196108;51;1
