# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 33063001
# NOM_USUEL= BORDEAUX-PAULIN
# LATITUDE (°) = 44.85
# LONGITUDE(°)= -0.589
# ALTITUDE (m) = 10
# NUM_SERIE= MRR133063001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195301 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;20.5;1
195302;69.5;1
195303;17.4;1
195304;61.1;1
195305;14.7;1
195306;104.1;1
195307;73.2;1
195308;13.6;1
195309;66.9;1
195310;69.3;1
195311;34.5;1
195312;6.9;1
195401;53.8;1
195402;118;1
195403;124;1
195404;42.3;1
195405;47.2;1
195406;20.6;1
195407;45.2;1
195408;98.5;1
195409;65;1
195410;63.1;1
195411;78;1
195412;77.5;1
195501;179.5;1
195502;107.4;1
195503;10.8;1
195504;0.5;1
195505;38.8;1
195506;158.4;1
195507;100;1
195508;39;1
195509;31.9;1
195510;67.4;1
195511;28.8;1
195512;117.7;1
195601;78.7;1
195602;18;1
195603;21.1;1
195604;47.5;1
195605;66.8;1
195606;67.2;1
195607;137.1;1
195608;95.1;1
195609;48.2;1
195610;25;1
195611;53.2;1
195612;50.5;1
195701;29.1;1
195702;143;1
195703;46.6;1
195704;27.9;1
195705;72.9;1
195706;55.6;1
195707;71.7;1
195708;20.4;1
195709;80.8;1
195710;22.4;1
195711;46.3;1
195712;80.7;1
195801;176.9;1
195802;30.5;1
195803;122.4;1
195804;52.5;1
195805;122.2;1
195806;94.7;1
195807;67.1;1
195808;108.2;1
195809;50.4;1
195810;28.6;1
195811;40.1;1
195812;136.8;1
195901;71.3;1
195902;9.7;1
195903;45.4;1
195904;93.1;1
195905;47.7;1
195906;61.3;1
195907;41.3;1
195908;66.3;1
195909;82.4;1
195910;121.4;1
195911;82.3;1
195912;238.2;1
196001;56.9;1
196002;105.2;1
196003;60.8;1
196004;14.5;1
196005;80.8;1
196006;49.1;1
196007;55.8;1
196008;94.5;1
196009;198;1
196010;221.7;1
