# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34151005
# NOM_USUEL= MARSILLARGUES
# LATITUDE (°) = 43.634
# LONGITUDE(°)= 4.168
# ALTITUDE (m) = 4
# NUM_SERIE= MRR134151005
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 201201
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;17.7;1
195002;19;1
195003;38.4;1
195004;11.2;1
195005;17.3;1
195006;15.5;1
195007;1.7;1
195008;26.8;1
195009;28.5;1
195010;48.3;1
195011;5.6;1
195012;80.7;1
195101;76.4;1
195102;39.7;1
195103;68.2;1
195104;29.9;1
195105;44.9;1
195106;17.7;1
195107;19;1
195108;34.1;1
195109;89.8;1
195110;240;1
195111;72.1;1
195112;25;1
195201;34.5;1
195202;6;1
195203;81.1;1
195204;27.6;1
195205;32.8;1
195206;9.5;1
195207;0;1
195208;21.6;1
195209;6.2;1
195210;69.9;1
195211;109.6;1
195212;28.1;1
195301;5.4;1
195302;2.6;1
195303;18.6;1
195304;27.6;1
195305;19;1
195306;90.6;1
195307;6.9;1
195308;17.3;1
195309;148.9;1
195310;172.7;1
195311;35;1
195312;156.3;1
195401;43.5;1
195402;74.3;1
195403;86.5;1
195404;47.6;1
195405;83.3;1
195406;32.1;1
195407;13.2;1
195408;93.8;1
195409;20.2;1
195410;16.9;1
195411;37.4;1
195412;5.8;1
195501;248.2;1
195502;23.7;1
195503;9.2;1
195504;1.2;1
195505;18;1
195506;71.7;1
195507;26.8;1
195508;25.9;1
195509;102.6;1
195510;234;1
195511;89.7;1
195512;49.2;1
195601;33.8;1
195602;15.7;1
195603;72.9;1
195604;35.5;1
195605;10.2;1
195606;15.9;1
195607;50.8;1
195608;20.5;1
195609;69.8;1
195610;68.6;1
195611;86.5;1
195612;102.6;1
195701;0;1
195702;67.8;1
195703;45.5;1
195704;100.2;1
195705;57.2;1
195706;124.5;1
195707;6;1
195708;32.6;1
195709;13.2;1
195710;5.1;1
195711;74.6;1
195712;91.1;1
195801;15.9;1
195802;0;1
195803;60.3;1
195804;38.8;1
195805;4.4;1
195806;26.9;1
195807;39.9;1
195808;2.2;1
195809;75.2;1
195810;44.6;1
195811;39.5;1
195812;66.6;1
195901;0.5;1
195902;26.5;1
195903;130.5;1
195904;49.2;1
195905;35.9;1
195906;2.8;1
195907;5.1;1
195908;42.5;1
195909;84.4;1
195910;99.4;1
195911;34.4;1
195912;140.5;1
196001;24.5;1
196002;20.4;1
196003;222.6;1
196004;7.3;1
196005;7.9;1
196006;35.9;1
196007;20;1
196008;50.8;1
196009;79.5;1
196010;92.7;1
196011;52.2;1
196012;46.9;1
196101;43.5;1
196102;20.4;1
196103;0;1
196104;64.5;1
196105;24.8;1
196106;40.8;1
196107;14.6;1
196108;4.8;1
196109;54;1
196110;99.7;1
196111;139.7;1
196112;20.1;1
196201;28.5;1
196202;30;1
196203;51.3;1
196204;42.8;1
196205;5.4;1
196206;36.1;1
196207;4.1;1
