# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 34233001
# NOM_USUEL= ROQUEREDONDE
# LATITUDE (°) = 43.8
# LONGITUDE(°)= 3.213
# ALTITUDE (m) = 685
# NUM_SERIE= MRR134233001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201712
# Date(s) de rupture(s) d'homogénéité : 196412 198212 200612
#     Periode homogénéisée  195001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;41.8;1
195002;103.2;1
195003;101;1
195004;50.3;1
195005;32.1;1
195006;40.5;1
195007;1.7;1
195008;94.9;1
195009;35.5;1
195010;161.3;1
195011;72;1
195012;157.5;1
195101;176.6;1
195102;175.8;1
195103;175.8;1
195104;69.6;1
195105;241.2;1
195106;62.8;1
195107;24.7;1
195108;48.7;1
195109;98.6;1
195110;283.1;1
195111;179.6;1
195112;72.6;1
195201;79.8;1
195202;58.7;1
195203;245;1
195204;79;1
195205;189.4;1
195206;37.6;1
195207;0;1
195208;41.9;1
195209;15.3;1
195210;117.4;1
195211;153.5;1
195212;113.9;1
195301;12.9;1
195302;35;1
195303;89.9;1
195304;36.6;1
195305;60.4;1
195306;133.8;1
195307;24.6;1
195308;21.2;1
195309;254.9;1
195310;334.8;1
195311;238.6;1
195312;857.8;1
195401;64.7;1
195402;165.4;1
195403;335.2;1
195404;58.2;1
195405;130.2;1
195406;23.2;1
195407;45.8;1
195408;99.7;1
195409;32.8;1
195410;26.9;1
195411;96.7;1
195412;55.4;1
195501;753.4;1
195502;71.2;1
195503;32.6;1
195504;0.9;1
195505;32.8;1
195506;129.5;1
195507;66.2;1
195508;37.5;1
195509;79.9;1
195510;250.1;1
195511;171.5;1
195512;166.5;1
195601;47.2;1
195602;5.2;1
195603;622.2;1
195604;38.8;1
195605;93.9;1
195606;34.2;1
195607;66.3;1
195608;69.7;1
195609;188.4;1
195610;76.1;1
195611;156.4;1
195612;190.8;1
195701;17.4;1
195702;147.7;1
195703;72.5;1
195704;313.4;1
195705;105.9;1
195706;274.8;1
195707;16.4;1
195708;59.9;1
195709;56.5;1
195710;61.1;1
195711;94.9;1
195712;89.2;1
195801;96.1;1
195802;13;1
195803;181.1;1
195804;91.4;1
195805;53.1;1
195806;82.1;1
195807;86.1;1
195808;39;1
195809;209.2;1
195810;138.7;1
195811;116.7;1
195812;221.3;1
195901;74.2;1
195902;94.9;1
195903;222.9;1
195904;178.5;1
195905;107.2;1
195906;90.5;1
195907;17;1
195908;82.2;1
195909;127.6;1
195910;345.5;1
195911;161.8;1
195912;310.7;1
196001;172.9;1
196002;36.9;1
196003;447.2;1
196004;6.1;1
196005;20.2;1
196006;54.7;1
196007;106.3;1
196008;133.8;1
196009;73.5;1
196010;323.7;1
196011;116.9;1
196012;112.9;1
196101;139.5;1
196102;76.6;1
196103;0.3;1
196104;202.1;1
196105;42.9;1
196106;59.9;1
196107;39.8;1
196108;22.2;1
196109;205.9;1
196110;106.8;1
196111;262.8;1
196112;76.6;1
196201;222.5;1
196202;62.5;1
196203;164.1;1
196204;182.8;1
196205;48;1
196206;21.5;1
196207;22.1;1
196208;31.9;1
196209;116.5;1
196210;234.3;1
196211;496.3;1
196212;178.6;1
196301;194.7;1
196302;211.2;1
196303;73.2;1
196304;195;1
196305;86;1
196306;95.5;1
196307;70.7;1
196308;219.3;1
196309;209.1;1
196310;314.4;1
196311;82.1;1
196312;213;1
196401;70.9;1
196402;605.1;1
196403;170.6;1
196404;283.6;1
196405;302.7;1
196406;93.4;1
196407;58.3;1
196408;59.6;1
196409;163.9;1
196410;184.6;1
196411;174.9;1
196412;132.7;1
196501;160.1;1
196502;74.3;1
196503;251;1
196504;40.9;1
196505;56;1
196506;23.7;1
196507;31.2;1
196508;25.9;1
196509;473.4;1
196510;440.5;1
196511;134.8;1
196512;182.3;1
196601;143;1
196602;185.7;1
196603;21.2;1
196604;111.6;1
196605;186.5;1
196606;134.1;1
196607;60.8;1
196608;32.3;1
196609;147.5;1
196610;291;1
196611;271.8;1
196612;79.4;1
196701;134.7;1
196702;239.7;1
196703;107.7;1
196704;39.7;1
196705;96;1
196706;22.6;1
196707;19.5;1
196708;78.3;1
196709;29.9;1
196710;138.6;1
196711;144.9;1
196712;46.9;1
196801;89.2;1
196802;115.7;1
196803;18.7;1
196804;174.8;1
196805;160.8;1
196806;62.7;1
196807;20.3;1
196808;167.4;1
196809;57.7;1
196810;137.5;1
196811;187.3;1
196812;219.4;1
196901;262.4;1
196902;203.3;1
196903;472.8;1
196904;308.8;1
196905;167;1
196906;70.8;1
196907;37.1;1
196908;78.4;1
196909;258.8;1
196910;501;1
196911;121;1
196912;163.3;1
197001;462.1;1
197002;98.3;1
197003;56.3;1
197004;55.6;1
197005;113.5;1
197006;74.2;1
197007;20.8;1
197008;40;1
197009;37.7;1
197010;297.9;1
197011;41.3;1
197012;60.4;1
197101;403.5;1
197102;28.4;1
197103;132.2;1
197104;432.1;1
197105;106.1;1
197106;97;1
197107;95.5;1
197108;55.2;1
197109;83.9;1
197110;47.6;1
197111;64;1
197112;148.7;1
197201;506.2;1
197202;499;1
197203;312.7;1
197204;80.6;1
197205;104.5;1
197206;216.8;1
197207;38.6;1
197208;37.2;1
197209;201.4;1
197210;259.4;1
197211;54.2;1
197212;152.1;1
197301;174.9;1
197302;56.9;1
197303;20.8;1
197304;52.4;1
197305;65.4;1
197306;147.5;1
197307;41.5;1
197308;12.2;1
197309;23.2;1
