# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 35228001
# NOM_USUEL= DINARD
# LATITUDE (°) = 48.585
# LONGITUDE(°)= -2.076
# ALTITUDE (m) = 65
# NUM_SERIE= MRR135228001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 197012 198312
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;42.1;1
195102;79;1
195103;61.3;1
195104;47;1
195105;169.8;1
195106;93.4;1
195107;24.4;1
195108;114.9;1
195109;81.4;1
195110;16;1
195111;113.3;1
195112;83.2;1
195201;83;1
195202;38.6;1
195203;67;1
195204;18.2;1
195205;31.5;1
195206;36.4;1
195207;50.6;1
195208;72.9;1
195209;175.2;1
195210;114.6;1
195211;103.7;1
195212;116.4;1
195301;26.8;1
195302;30.2;1
195303;6.6;1
195304;80.9;1
195305;30.2;1
195306;30.9;1
195307;93.9;1
195308;17.9;1
195309;53.6;1
195310;59;1
195311;61.4;1
195312;24.8;1
195401;43.8;1
195402;47.7;1
195403;60.6;1
195404;15.3;1
195405;38.6;1
195406;51.3;1
195407;38.6;1
195408;105.8;1
195409;74.1;1
195410;41.6;1
195411;67.6;1
195412;91.3;1
195501;86.5;1
195502;84.1;1
195503;32.7;1
195504;12.5;1
195505;48.5;1
195506;83;1
195507;16.7;1
195508;7.6;1
195509;61.5;1
195510;77.5;1
195511;7.4;1
195512;85.1;1
195601;110.2;1
195602;12.1;1
195603;17.6;1
195604;58.5;1
195605;36.2;1
195606;38.3;1
195607;90.3;1
195608;112.9;1
195609;83.8;1
195610;66.6;1
195611;37;1
195612;75.8;1
195701;25;1
195702;125.8;1
195703;20;1
195704;27.9;1
195705;26.7;1
195706;48.7;1
195707;72.5;1
195708;63.5;1
195709;77.5;1
195710;31.9;1
195711;45.5;1
195712;72;1
195801;119.1;1
195802;99.5;1
195803;80.9;1
195804;23.6;1
195805;66.9;1
195806;102.5;1
195807;64.1;1
195808;56.6;1
195809;39.5;1
195810;39;1
195811;61.1;1
195812;59.9;1
195901;126.7;1
195902;6.2;1
195903;47.5;1
195904;90.8;1
195905;58.9;1
195906;19.1;1
195907;30.7;1
195908;27.1;1
195909;30.3;1
195910;109.3;1
195911;95.1;1
195912;83.5;1
196001;62.1;1
196002;31.2;1
196003;62.2;1
196004;25.2;1
196005;56.3;1
196006;76.2;1
196007;82.6;1
196008;75.2;1
196009;55.5;1
196010;122.3;1
196011;71.1;1
196012;109.1;1
196101;89.2;1
196102;39.3;1
196103;10;1
196104;79.7;1
196105;39.4;1
196106;35.9;1
196107;48.4;1
196108;11.8;1
196109;33.1;1
196110;71;1
196111;96.9;1
196112;53.4;1
196201;72.7;1
196202;32.3;1
196203;73.2;1
196204;63.8;1
196205;36.6;1
196206;3.4;1
196207;17.2;1
196208;45.9;1
196209;66.7;1
196210;64.4;1
196211;109.6;1
196212;74.9;1
196301;45.8;1
196302;55.5;1
196303;49.2;1
196304;73.4;1
196305;40.5;1
196306;59.4;1
196307;31.2;1
196308;79.5;1
196309;35.1;1
196310;40.2;1
196311;86.1;1
196312;14.4;1
196401;19.9;1
196402;45.8;1
196403;82.8;1
196404;59.2;1
196405;81;1
196406;73.3;1
196407;4.6;1
196408;9.7;1
196409;26;1
196410;115.4;1
196411;43.5;1
196412;112.5;1
196501;112.7;1
196502;4;1
196503;77.9;1
196504;40.2;1
196505;38.2;1
196506;48.9;1
196507;63.3;1
196508;58.9;1
196509;75.5;1
196510;54.1;1
196511;190.7;1
196512;136.7;1
196601;63.8;1
196602;49.6;1
196603;27;1
196604;107;1
196605;38.2;1
196606;59.6;1
196607;37.3;1
196608;46.7;1
196609;47.7;1
196610;153.9;1
196611;84.5;1
196612;108.1;1
196701;39.7;1
196702;43.7;1
196703;47.6;1
196704;16.4;1
196705;92.3;1
196706;20.7;1
196707;22.3;1
196708;45.8;1
196709;101.6;1
196710;89.5;1
196711;73.2;1
196712;73.3;1
196801;64;1
196802;66.5;1
196803;24;1
196804;64.6;1
196805;49.2;1
196806;69.7;1
196807;36.9;1
196808;43.4;1
196809;51;1
196810;55.8;1
196811;19.1;1
196812;57.8;1
196901;37.3;1
196902;100.9;1
196903;57.4;1
196904;26.4;1
196905;130.4;1
196906;31;1
196907;29.9;1
196908;22.8;1
196909;3.6;1
196910;3.6;1
196911;115.5;1
196912;103.4;1
197001;74;1
197002;123.3;1
197003;42.1;1
197004;47.7;1
197005;13.3;1
197006;19.7;1
197007;32;1
197008;77.5;1
197009;26.5;1
197010;35.2;1
197011;76;1
197012;40.7;1
197101;60;1
197102;48.4;1
197103;49.7;1
197104;42.8;1
197105;66.4;1
197106;55.1;1
197107;37.1;1
197108;55.9;1
197109;52.5;1
197110;37.8;1
197111;120;1
197112;22.1;1
197201;72.7;1
197202;88;1
197203;36.5;1
197204;59.8;1
197205;51.7;1
197206;44.5;1
197207;35.2;1
197208;24.2;1
197209;31.7;1
197210;40.4;1
197211;107.7;1
197212;30.1;1
197301;38.9;1
197302;70.2;1
197303;9.4;1
197304;71.3;1
197305;83.8;1
197306;41.8;1
197307;62.8;1
197308;33.5;1
197309;85.7;1
197310;34.9;1
197311;73.4;1
197312;39.9;1
197401;61.2;1
197402;91.7;1
197403;51.9;1
197404;22.5;1
197405;44.4;1
197406;63.8;1
197407;19.3;1
197408;58.3;1
197409;104.2;1
197410;141.7;1
197411;111.9;1
197412;37.9;1
197501;50.6;1
197502;18.4;1
197503;87;1
197504;62.3;1
197505;83.9;1
197506;15.1;1
197507;26.3;1
197508;27.1;1
197509;87.8;1
197510;16.8;1
197511;106.7;1
197512;21.6;1
197601;30.7;1
197602;47.4;1
197603;36.8;1
197604;5.3;1
197605;17.2;1
197606;0.8;1
197607;29.7;1
197608;6.8;1
197609;119.6;1
197610;120.9;1
197611;97.2;1
197612;84.2;1
197701;78.4;1
197702;69.3;1
197703;42.6;1
197704;46.3;1
197705;69.5;1
197706;51.6;1
197707;51.2;1
197708;89.8;1
197709;15.1;1
197710;41.2;1
197711;132.6;1
197712;48.6;1
197801;109.9;1
197802;81.4;1
197803;86.7;1
197804;37;1
197805;38.3;1
197806;44.3;1
197807;77.2;1
197808;39.2;1
197809;41.5;1
197810;8.1;1
197811;29.7;1
197812;113.4;1
197901;63.6;1
197902;82.6;1
197903;107.5;1
197904;48.5;1
197905;73.4;1
197906;25;1
197907;10.3;1
197908;63.5;1
197909;22.8;1
197910;57.5;1
197911;80.2;1
197912;135.4;1
198001;53;1
198002;49.7;1
198003;75.7;1
198004;2.3;1
198005;41.1;1
198006;110.4;1
198007;41.2;1
198008;24.5;1
198009;44.1;1
198010;100.6;1
198011;70.5;1
198012;66.4;1
198101;72.8;1
198102;57.7;1
198103;83.3;1
198104;41.3;1
198105;172.9;1
198106;49;1
198107;65.2;1
198108;33.7;1
198109;102.4;1
198110;122.4;1
198111;32.2;1
198112;98;1
198201;73.3;1
198202;35.9;1
198203;70.3;1
198204;7.2;1
198205;52.4;1
198206;75.5;1
198207;105.6;1
198208;46.4;1
198209;37.5;1
198210;217.5;1
198211;94.9;1
198212;115.3;1
198301;51;1
198302;65.4;1
198303;37;1
198304;98.6;1
198305;91.2;1
198306;16;1
198307;28.8;1
198308;20.2;1
198309;80.7;1
198310;50.6;1
198311;32.1;1
198312;52.2;1
198401;121.9;1
198402;46.3;1
198403;63.8;1
198404;4;1
198405;120.3;1
198406;14.1;1
198407;20.2;1
198408;16;1
198409;81.2;1
198410;59.6;1
198411;103.6;1
198412;86.9;1
198501;52.7;1
198502;51;1
198503;73.6;1
198504;49.1;1
198505;43.8;1
198506;27.5;1
198507;52.9;1
198508;51.7;1
198509;14.3;1
198510;14.5;1
198511;110.8;1
198512;55.5;1
198601;126.8;1
198602;56.5;1
198603;77.8;1
198604;64.2;1
198605;69.6;1
198606;115;1
198607;35;1
198608;100.1;1
198609;91.1;1
198610;77.3;1
198611;71.7;1
198612;95.3;1
198701;28.2;1
198702;31.8;1
198703;57.3;1
198704;39.5;1
198705;34.8;1
198706;81.3;1
198707;93.4;1
198708;33;1
198709;42.5;1
198710;119.7;1
198711;81.1;1
198712;58.2;1
198801;138.7;1
198802;99;1
198803;87;1
198804;32.7;1
198805;46.3;1
198806;13.6;1
198807;44.3;1
198808;41.6;1
198809;76;1
198810;52.3;1
198811;32.7;1
198812;39.7;1
198901;30.1;1
198902;68.3;1
198903;67.4;1
198904;50.3;1
198905;15.4;1
198906;30.1;1
198907;20.5;1
198908;21.9;1
198909;11.2;1
198910;35.3;1
198911;76;1
198912;73.2;1
199001;89;1
199002;134.8;1
199003;13.2;1
199004;63.5;1
199005;26;1
199006;67.6;1
199007;19;1
199008;25.5;1
199009;22.4;1
199010;98;1
199011;98.3;1
199012;49.5;1
199101;58.1;1
199102;45.8;1
199103;38;1
199104;60.9;1
199105;13.2;1
199106;65.9;1
199107;30.7;1
199108;14.3;1
199109;60.1;1
199110;94.9;1
199111;109.2;1
199112;21.7;1
199201;6.9;1
199202;18.6;1
199203;45.8;1
199204;42;1
199205;57.8;1
199206;86.4;1
199207;42;1
199208;96.2;1
199209;100.3;1
199210;104.4;1
199211;106.4;1
199212;54.6;1
199301;42.8;1
199302;8.4;1
199303;11.9;1
199304;66.6;1
199305;26.8;1
199306;98.8;1
199307;39.3;1
199308;19.8;1
199309;159.8;1
199310;113.7;1
199311;29;1
199312;114.4;1
199401;80;1
199402;91;1
199403;41.3;1
199404;66.9;1
199405;100.1;1
199406;43.7;1
199407;31.9;1
199408;54.8;1
199409;102.5;1
199410;65;1
199411;69.8;1
199412;79;1
199501;121.1;1
199502;73.7;1
199503;61.5;1
199504;39.5;1
199505;89.6;1
199506;13;1
199507;86.8;1
199508;16.4;1
199509;105.6;1
199510;17.4;1
199511;53;1
199512;59.2;1
199601;28.4;1
199602;68.2;1
199603;29.2;1
