# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 35347001
# NOM_USUEL= VAL-D-IZE
# LATITUDE (°) = 48.168
# LONGITUDE(°)= -1.302
# ALTITUDE (m) = 106
# NUM_SERIE= MRR135347001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201712
# Date(s) de rupture(s) d'homogénéité : 197712 200606
#     Periode homogénéisée  195101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;50.5;1
195102;84.5;1
195103;78.1;1
195104;48.2;1
195105;70;1
195106;135.1;1
195107;35.2;1
195108;106.8;1
195109;71;1
195110;54.1;1
195111;139.2;1
195112;74.4;1
195201;94.3;1
195202;42.1;1
195203;102.5;1
195204;28.4;1
195205;31.1;1
195206;15;1
195207;22.4;1
195208;86.7;1
195209;137.1;1
195210;132.8;1
195211;83.6;1
195212;155.5;1
195301;19.8;1
195302;43.5;1
195303;3.6;1
195304;113.7;1
195305;26.4;1
195306;58.3;1
195307;95.5;1
195308;15.5;1
195309;81.1;1
195310;63.8;1
195311;32.4;1
195312;24.5;1
195401;32;1
195402;62.5;1
195403;97.5;1
195404;8.6;1
195405;64.9;1
195406;36.8;1
195407;40.5;1
195408;74.8;1
195409;56;1
195410;36.3;1
195411;86.7;1
195412;77.5;1
195501;103.3;1
195502;78.2;1
195503;16.1;1
195504;12;1
195505;48.1;1
195506;71.7;1
195507;65.7;1
195508;10.8;1
195509;69.3;1
195510;68.2;1
195511;20.3;1
195512;115.7;1
195601;99.4;1
195602;5.8;1
195603;19.9;1
195604;44;1
195605;35.8;1
195606;32.4;1
195607;51;1
195608;93.3;1
195609;54;1
195610;41.3;1
195611;38.7;1
195612;140.1;1
195701;33.2;1
195702;171;1
195703;23.9;1
195704;43.9;1
195705;31.6;1
195706;38.3;1
195707;131.2;1
195708;62.1;1
195709;83.4;1
195710;29.6;1
195711;53.7;1
195712;78;1
195801;147.4;1
195802;85.2;1
195803;77.2;1
195804;38.7;1
195805;61.2;1
195806;136;1
195807;54.6;1
195808;85.5;1
195809;94.4;1
195810;61.2;1
195811;75.7;1
195812;97;1
195901;126.5;1
195902;12.7;1
195903;54.3;1
195904;84;1
195905;23.8;1
195906;19.9;1
195907;13.2;1
195908;34.2;1
195909;12.8;1
195910;154.7;1
195911;49.1;1
195912;172.9;1
196001;69.5;1
196002;56.4;1
196003;83;1
196004;27.2;1
196005;49.4;1
196006;48.4;1
196007;109.8;1
196008;107.3;1
196009;104.2;1
196010;175.3;1
196011;155;1
196012;134.9;1
196101;85.2;1
196102;55.8;1
196103;9.4;1
196104;85.7;1
196105;44.3;1
196106;28.6;1
196107;76.3;1
196108;8.3;1
196109;41.9;1
196110;147.4;1
196111;88.4;1
196112;87.3;1
196201;104.4;1
196202;37.6;1
196203;100.3;1
196204;61.2;1
196205;53.8;1
196206;0.3;1
196207;35.8;1
196208;39.6;1
196209;55.1;1
196210;86.2;1
196211;131.8;1
196212;62.9;1
196301;59.3;1
196302;56.8;1
196303;110.3;1
196304;87.3;1
196305;48.8;1
196306;88.1;1
196307;25.4;1
196308;85.7;1
196309;82.6;1
196310;61.1;1
196311;167.7;1
196312;20.3;1
196401;21.7;1
196402;80.3;1
196403;96;1
196404;67.2;1
196405;88.4;1
196406;88.5;1
196407;8.5;1
196408;14.1;1
196409;35.7;1
196410;93.8;1
196411;29.4;1
196412;116.6;1
196501;117.1;1
196502;2;1
196503;86.1;1
196504;57.4;1
196505;38.6;1
196506;65.7;1
196507;49.8;1
196508;79.7;1
196509;107.4;1
196510;26.6;1
196511;176.4;1
196512;121;1
196601;79.3;1
196602;83.7;1
196603;32.5;1
196604;98.5;1
196605;62.4;1
196606;102.3;1
196607;40.1;1
196608;75.6;1
196609;41;1
196610;261.5;1
196611;94;1
196612;131.4;1
196701;47.8;1
196702;77.7;1
196703;58.1;1
196704;22.1;1
196705;100.2;1
196706;46.3;1
196707;37.7;1
196708;56.7;1
196709;106.4;1
196710;96;1
196711;101.7;1
196712;88.9;1
196801;88.6;1
196802;64;1
196803;38.4;1
196804;66.6;1
196805;54;1
196806;48.9;1
196807;30.1;1
196808;65.5;1
196809;108;1
196810;54.6;1
