# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36034002
# NOM_USUEL= CHABRIS
# LATITUDE (°) = 47.238
# LONGITUDE(°)= 1.707
# ALTITUDE (m) = 91
# NUM_SERIE= MRR136034002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194901 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194901;17.7;1
194902;10.2;1
194903;30.1;1
194904;29.4;1
194905;33.1;1
194906;27.8;1
194907;0.8;1
194908;42.1;1
194909;111.6;1
194910;44.4;1
194911;90.3;1
194912;29.2;1
195001;8.9;1
195002;55;1
195003;9.8;1
195004;45.7;1
195005;74.7;1
195006;43.8;1
195007;28;1
195008;37.1;1
195009;63;1
195010;27.1;1
195011;91.7;1
195012;80.9;1
195101;41.4;1
195102;70.4;1
195103;71.3;1
195104;47.3;1
195105;113.9;1
195106;96;1
195107;24.3;1
195108;63.8;1
195109;26.8;1
195110;41.1;1
195111;65.6;1
195112;48.9;1
195201;68.7;1
195202;50.1;1
195203;92;1
195204;7.6;1
195205;53.4;1
195206;30.2;1
195207;23.9;1
195208;85.6;1
195209;86.4;1
195210;125.3;1
195211;110.6;1
195212;87.5;1
195301;13.6;1
195302;26.5;1
195303;8.6;1
195304;76.2;1
195305;22.5;1
195306;34.8;1
195307;65.7;1
195308;15.6;1
195309;62.3;1
195310;63;1
195311;20.1;1
195312;19.9;1
195401;32;1
195402;49;1
195403;76.9;1
195404;27.8;1
195405;40.6;1
195406;40.2;1
195407;32.3;1
195408;105.8;1
195409;46.8;1
195410;50;1
195411;25.7;1
195412;51.7;1
195501;119.2;1
195502;68.4;1
195503;37.7;1
195504;1.7;1
195505;32.1;1
195506;94;1
195507;35.1;1
195508;18.9;1
195509;41.9;1
195510;39.4;1
195511;17.8;1
195512;69.1;1
195601;59.5;1
195602;6.1;1
195603;19.8;1
195604;58.6;1
195605;30.7;1
195606;26.5;1
195607;58.5;1
195608;71.7;1
195609;49.4;1
195610;58.4;1
195611;21.2;1
195612;26.6;1
195701;22.7;1
195702;105.5;1
195703;32.4;1
195704;26.7;1
195705;36.3;1
195706;65.4;1
195707;42.8;1
195708;51.8;1
195709;61.5;1
195710;23.8;1
195711;17.6;1
195712;32.9;1
195801;86.5;1
195802;64.4;1
195803;84;1
195804;38.4;1
195805;167.8;1
195806;74.6;1
195807;87.9;1
195808;110.6;1
195809;93.6;1
195810;47.4;1
195811;61.5;1
195812;82.9;1
195901;80.8;1
195902;1.2;1
195903;35.2;1
195904;76.7;1
195905;69.5;1
195906;42.3;1
195907;12.9;1
195908;64.8;1
195909;30.3;1
195910;67.7;1
195911;57.8;1
195912;82.8;1
196001;53.5;1
196002;37.8;1
196003;75.1;1
196004;28.3;1
196005;56.1;1
196006;51.1;1
196007;47.9;1
196008;58.2;1
196009;79.6;1
196010;196.5;1
196011;48;1
196012;98.2;1
196101;97.1;1
196102;35.1;1
196103;3.8;1
196104;48.7;1
196105;36.6;1
196106;66.3;1
196107;45.3;1
196108;2.2;1
196109;59.4;1
196110;53.6;1
196111;105.7;1
196112;71;1
196201;75.3;1
196202;32.4;1
196203;100.9;1
196204;52.5;1
196205;74.7;1
196206;15.6;1
196207;61;1
196208;28.4;1
196209;46.9;1
196210;25.1;1
196211;120.2;1
196212;47.4;1
196301;41.6;1
196302;38.7;1
196303;91.4;1
196304;44;1
196305;55.6;1
196306;74.5;1
196307;40.5;1
196308;94.2;1
196309;41.8;1
196310;32.5;1
196311;70.2;1
196312;5;1
196401;18;1
196402;76.8;1
196403;66.6;1
196404;68.9;1
196405;27.5;1
196406;36.2;1
196407;6.6;1
196408;36.8;1
196409;58.8;1
196410;46.8;1
196411;27.4;1
196412;45.7;1
196501;99.7;1
196502;8;1
196503;54.5;1
196504;57;1
196505;59;1
196506;54.5;1
196507;64.7;1
196508;81.6;1
196509;177.7;1
196510;18.6;1
196511;95.3;1
196512;97.6;1
196601;71.3;1
196602;107.6;1
196603;24.1;1
196604;51.8;1
196605;44.1;1
196606;40.8;1
196607;83.7;1
196608;74.3;1
196609;18;1
196610;101.2;1
196611;73.5;1
196612;69.9;1
196701;38.6;1
196702;78;1
196703;43.8;1
196704;11.6;1
196705;77.5;1
196706;19.1;1
196707;19.2;1
196708;31.2;1
196709;108.4;1
196710;84.3;1
196711;56.3;1
196712;87.5;1
196801;83.6;1
196802;60.5;1
196803;32.7;1
196804;68.6;1
196805;61.1;1
196806;22.4;1
196807;77.7;1
196808;100;1
196809;119.1;1
196810;40.9;1
196811;25.4;1
196812;56.7;1
196901;40.5;1
196902;31.3;1
196903;61.7;1
196904;41.1;1
196905;77.7;1
196906;54.3;1
196907;14.6;1
196908;47.7;1
196909;67.7;1
196910;6.2;1
196911;133.9;1
196912;57.5;1
197001;73;1
197002;126.9;1
197003;55.9;1
197004;57.8;1
197005;24.7;1
197006;51.8;1
197007;22.2;1
197008;69.6;1
197009;35.9;1
197010;24.4;1
197011;62.7;1
197012;15.4;1
197101;47.1;1
197102;17.4;1
197103;30.2;1
197104;33.6;1
197105;138.9;1
197106;43.9;1
197107;112;1
197108;101.5;1
197109;62.9;1
197110;7.6;1
197111;63;1
197112;5.7;1
197201;69.7;1
197202;62.6;1
197203;34.7;1
197204;35.7;1
197205;76.7;1
197206;58.4;1
197207;66.1;1
197208;39.4;1
197209;40.7;1
197210;10.1;1
197211;87.7;1
197212;25.5;1
197301;37.5;1
197302;55.3;1
197303;8.3;1
197304;19.3;1
197305;79.1;1
197306;59.3;1
197307;52.6;1
197308;35.1;1
197309;28.1;1
197310;53.7;1
197311;38.4;1
197312;61.3;1
197401;49.9;1
197402;38.9;1
197403;75.8;1
197404;28.1;1
197405;40;1
197406;74.4;1
197407;21.3;1
197408;33.6;1
197409;68.9;1
197410;86.3;1
197411;50.5;1
197412;28.1;1
197501;56.7;1
197502;2.8;1
197503;85.8;1
197504;41.8;1
197505;66.1;1
197506;22.3;1
197507;36.5;1
197508;19.3;1
197509;169.6;1
197510;41;1
197511;62;1
197512;35.3;1
197601;14.5;1
197602;49.6;1
197603;28.2;1
197604;18.1;1
197605;10.5;1
197606;0;1
197607;42.9;1
197608;15.5;1
197609;68;1
197610;79.8;1
197611;66;1
197612;74.2;1
197701;49.8;1
197702;154.7;1
197703;56.2;1
197704;28.8;1
197705;157.5;1
197706;97.8;1
197707;74.7;1
197708;54.1;1
197709;15.6;1
197710;113.6;1
197711;45.5;1
197712;59.3;1
197801;71.3;1
197802;71.9;1
197803;106.5;1
197804;99.6;1
197805;45.5;1
197806;51.1;1
197807;63.9;1
197808;6.8;1
197809;19.1;1
197810;5.8;1
197811;19.7;1
197812;79.1;1
197901;55.8;1
197902;86.6;1
197903;95.1;1
197904;59.4;1
197905;69.9;1
197906;31.8;1
197907;40.6;1
197908;55.3;1
197909;27.9;1
197910;93.4;1
197911;29.1;1
197912;91.9;1
198001;60.1;1
198002;52.5;1
198003;98.8;1
198004;17.6;1
198005;64.2;1
198006;51.3;1
198007;98.1;1
198008;28;1
198009;24.3;1
198010;51.8;1
198011;43.8;1
198012;52.9;1
198101;91.4;1
198102;51.2;1
198103;76.3;1
198104;37.4;1
198105;108.7;1
198106;83.8;1
198107;30.8;1
198108;25.5;1
198109;35.4;1
198110;111.2;1
198111;26.8;1
198112;97.2;1
198201;73.4;1
198202;22.4;1
198203;65.4;1
198204;22.1;1
198205;134;1
198206;50.7;1
198207;67.9;1
198208;30.9;1
198209;57.4;1
198210;129.6;1
198211;48.9;1
198212;129.7;1
198301;28.9;1
198302;51.9;1
198303;51.7;1
198304;122.1;1
198305;85;1
198306;41.2;1
198307;62.7;1
198308;36.5;1
198309;33.9;1
198310;30.7;1
198311;23.4;1
198312;43;1
198401;88.7;1
198402;25.2;1
198403;36.7;1
198404;6.3;1
198405;122.8;1
198406;54.5;1
198407;21.9;1
198408;72.8;1
198409;69;1
198410;79.9;1
198411;129.7;1
198412;51.3;1
198501;33.7;1
198502;53.6;1
198503;40.2;1
198504;63.4;1
198505;163.6;1
198506;44.6;1
198507;33;1
198508;40.2;1
198509;5.9;1
198510;3.2;1
198511;60.9;1
198512;70.9;1
198601;61.9;1
198602;90.2;1
198603;58.6;1
198604;89.7;1
198605;60.3;1
198606;17.2;1
198607;5.1;1
198608;63.9;1
198609;76.2;1
198610;71.5;1
198611;61;1
198612;64.8;1
198701;30.4;1
198702;48.5;1
198703;51.2;1
198704;37.6;1
198705;37.1;1
198706;79;1
198707;107.5;1
198708;41.1;1
198709;32.9;1
198710;106.2;1
198711;73.3;1
198712;55.1;1
198801;143.8;1
198802;91.3;1
198803;78.3;1
198804;30.7;1
198805;125.5;1
198806;36;1
198807;54.5;1
198808;17.8;1
198809;30;1
198810;51.6;1
198811;27.7;1
198812;39.4;1
198901;19.5;1
198902;41.2;1
198903;26.1;1
198904;78.9;1
198905;33.1;1
198906;27.7;1
198907;66.7;1
198908;21.4;1
198909;13.1;1
198910;27.8;1
198911;34.8;1
