# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 36063001
# NOM_USUEL= CHATEAUROUX  DEOLS
# LATITUDE (°) = 46.87
# LONGITUDE(°)= 1.741
# ALTITUDE (m) = 158
# NUM_SERIE= MRR136063001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201912
# Date(s) de rupture(s) d'homogénéité : 198012 200012
#     Periode homogénéisée  194701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;37.6;1
194702;65.8;1
194703;75.8;1
194704;33.2;1
194705;56.4;1
194706;31.3;1
194707;13.4;1
194708;30.9;1
194709;30.7;1
194710;17.6;1
194711;47.2;1
194712;71.1;1
194801;79.5;1
194802;16.8;1
194803;20.3;1
194804;63.1;1
194805;68.1;1
194806;81.7;1
194807;20.7;1
194808;75.1;1
194809;20.8;1
194810;14.4;1
194811;32.7;1
194812;43.3;1
194901;27.9;1
194902;9.7;1
194903;26.5;1
194904;27.1;1
194905;37.2;1
194906;63.2;1
194907;20.4;1
194908;47.3;1
194909;144.2;1
194910;34.9;1
194911;86;1
194912;39.9;1
195001;12.7;1
195002;69.2;1
195003;11.1;1
195004;69.7;1
195005;75.9;1
195006;59.8;1
195007;32.8;1
195008;47.4;1
195009;40.7;1
195010;33.7;1
195011;138.7;1
195012;65.3;1
195101;42.1;1
195102;76.2;1
195103;78.4;1
195104;42.5;1
195105;94.6;1
195106;105.2;1
195107;37.9;1
195108;43.9;1
195109;43.3;1
195110;30;1
195111;66.8;1
195112;30.2;1
195201;82.4;1
195202;62.7;1
195203;82.4;1
195204;7.2;1
195205;70.2;1
195206;12.5;1
195207;16.4;1
195208;47.9;1
195209;113.5;1
195210;155.5;1
195211;99.7;1
195212;98.8;1
195301;13.8;1
195302;36.1;1
195303;3.4;1
195304;29.5;1
195305;38;1
195306;57.7;1
195307;77.6;1
195308;26.1;1
195309;44.2;1
195310;73.4;1
195311;28.3;1
195312;27.4;1
195401;23.9;1
195402;43.7;1
195403;74.3;1
195404;15.1;1
195405;49.2;1
195406;24.7;1
195407;22;1
195408;52.6;1
195409;28.5;1
195410;18.8;1
195411;23.7;1
195412;34.4;1
195501;112.9;1
195502;139.4;1
195503;55.1;1
195504;1.3;1
195505;25.6;1
195506;110.2;1
195507;43.2;1
195508;8.9;1
195509;28.1;1
195510;7;1
195511;39.3;1
195512;73.6;1
195601;128.5;1
195602;14.3;1
195603;28.7;1
195604;56.4;1
195605;44.5;1
195606;79.3;1
195607;67.9;1
195608;68.7;1
195609;75.6;1
195610;26.4;1
195611;36;1
195612;24;1
195701;16.4;1
195702;106.4;1
195703;31.7;1
195704;22.3;1
195705;24.8;1
195706;80.4;1
195707;47.9;1
195708;40.9;1
195709;61.3;1
195710;39.2;1
195711;31.8;1
195712;32.5;1
195801;92.9;1
195802;61.4;1
195803;61.7;1
195804;36.9;1
195805;134.1;1
195806;104.3;1
195807;103.5;1
195808;132.7;1
195809;73.6;1
195810;51.7;1
195811;73.8;1
195812;98;1
195901;77.1;1
195902;6.3;1
195903;34.1;1
195904;95.6;1
195905;58.4;1
195906;44.6;1
195907;9.1;1
195908;36.3;1
195909;5.5;1
195910;57.6;1
195911;53.8;1
195912;83.7;1
196001;66.8;1
196002;43.4;1
196003;74.1;1
196004;30.3;1
196005;63.5;1
196006;37.5;1
196007;52.8;1
196008;75.4;1
196009;69.4;1
196010;144.4;1
196011;69.2;1
196012;59.5;1
196101;85.4;1
196102;29.8;1
196103;6.7;1
196104;49.8;1
196105;49.9;1
196106;40.9;1
196107;83;1
196108;17.5;1
196109;53.6;1
196110;45.3;1
196111;89.2;1
196112;73.9;1
196201;74.2;1
196202;25.2;1
196203;109.2;1
196204;67.2;1
196205;99.6;1
196206;13;1
196207;30.7;1
196208;29.1;1
196209;34.2;1
196210;34.9;1
196211;117.9;1
196212;68.4;1
196301;29.9;1
196302;30.9;1
196303;86.3;1
