# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37113001
# NOM_USUEL= LE GRAND-PRES.
# LATITUDE (°) = 46.921
# LONGITUDE(°)= 0.796
# ALTITUDE (m) = 58
# NUM_SERIE= MRR137113001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 197209 198112 198712
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;32.4;1
194702;40.1;1
194703;71.4;1
194704;11.2;1
194705;82.1;1
194706;20.3;1
194707;8.1;1
194708;52.4;1
194709;22.3;1
194710;27;1
194711;42.5;1
194712;69.9;1
194801;77.6;1
194802;10.2;1
194803;8.6;1
194804;48.3;1
194805;75.6;1
194806;39.4;1
194807;37.1;1
194808;48.7;1
194809;30.5;1
194810;23.8;1
194811;50.4;1
194812;25.9;1
194901;16.4;1
194902;7.7;1
194903;27.4;1
194904;37.3;1
194905;19.6;1
194906;74.4;1
194907;0;1
194908;51;1
194909;77.5;1
194910;33.6;1
194911;92.5;1
194912;32.8;1
195001;17.9;1
195002;69.8;1
195003;16.3;1
195004;61.2;1
195005;66.4;1
195006;34;1
195007;17.2;1
195008;55.2;1
195009;28.6;1
195010;47.3;1
195011;122.8;1
195012;79.8;1
195101;43.9;1
195102;48.7;1
195103;97.1;1
195104;42.5;1
195105;122.7;1
195106;111.1;1
195107;26.5;1
195108;44.3;1
195109;31.9;1
195110;31.1;1
195111;50.7;1
195112;44.3;1
195201;47.6;1
195202;46;1
195203;74.2;1
195204;23.1;1
195205;15.1;1
195206;7.2;1
195207;7.6;1
195208;50.3;1
195209;128.3;1
195210;116.6;1
195211;100;1
195212;95.9;1
195301;18.7;1
195302;22.5;1
195303;6.2;1
195304;54;1
195305;17.6;1
195306;46.1;1
195307;42.3;1
195308;17.3;1
195309;80;1
195310;69.9;1
195311;21.2;1
195312;14.4;1
195401;21.3;1
195402;42.5;1
195403;103.1;1
195404;23.4;1
195405;35;1
195406;47.4;1
195407;18.9;1
195408;39.3;1
195409;47;1
195410;35.9;1
195411;34.3;1
195412;52.4;1
195501;107.3;1
195502;114.4;1
195503;12;1
195504;0;1
195505;38.2;1
195506;75.1;1
195507;88.8;1
195508;9.2;1
195509;38.1;1
195510;30;1
195511;30.4;1
195512;81.6;1
195601;100.6;1
195602;0;1
195603;25.5;1
195604;49.7;1
195605;44.3;1
195606;27.7;1
195607;47;1
195608;62.3;1
195609;20.6;1
195610;42;1
195611;8.4;1
195612;38.7;1
195701;19.7;1
195702;108.5;1
195703;31.1;1
195704;45.2;1
195705;46.4;1
195706;70.1;1
195707;82.9;1
195708;15.3;1
195709;48.3;1
195710;21.4;1
195711;19.4;1
195712;39.9;1
195801;98.6;1
195802;71.3;1
195803;84.2;1
195804;53.3;1
195805;98.2;1
195806;93.4;1
195807;93.2;1
195808;89;1
195809;95.2;1
195810;42.9;1
195811;56.8;1
195812;88.8;1
195901;67.5;1
195902;0;1
195903;32.1;1
195904;91;1
195905;62.8;1
195906;50.2;1
195907;5.1;1
195908;50;1
195909;20.1;1
195910;56.5;1
195911;47.4;1
195912;86.9;1
196001;86.2;1
196002;39.7;1
196003;72.1;1
196004;28.4;1
196005;72;1
196006;39.8;1
196007;48.5;1
196008;89.2;1
196009;80.9;1
196010;126.8;1
196011;82.9;1
196012;114.8;1
196101;130.7;1
196102;30;1
196103;4.3;1
196104;48.2;1
196105;27.6;1
196106;33.1;1
196107;115;1
196108;3;1
196109;34.6;1
196110;52.2;1
196111;86.8;1
196112;63.6;1
196201;89.2;1
196202;26.5;1
196203;91.7;1
196204;54.2;1
196205;65.3;1
196206;24.1;1
196207;38.5;1
196208;4.6;1
196209;43.6;1
196210;30.7;1
196211;131.5;1
196212;46.7;1
196301;38.6;1
196302;35.7;1
196303;76;1
196304;44.1;1
196305;45.9;1
196306;58.2;1
196307;41.8;1
196308;80.2;1
196309;50.6;1
196310;36.4;1
196311;70.9;1
196312;24.4;1
196401;15.4;1
196402;53.3;1
196403;45.7;1
196404;67.5;1
196405;48.5;1
196406;65.9;1
