# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37119001
# NOM_USUEL= L'ILE-BOUCHARD
# LATITUDE (°) = 47.114
# LONGITUDE(°)= 0.425
# ALTITUDE (m) = 39
# NUM_SERIE= MRR137119001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194801 201812
# Date(s) de rupture(s) d'homogénéité : 200206
#     Periode homogénéisée  194801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;88.9;1
194802;17.6;1
194803;14.2;1
194804;58.8;1
194805;98.6;1
194806;63.9;1
194807;26.9;1
194808;53.5;1
194809;23.4;1
194810;21;1
194811;67.1;1
194812;66.4;1
194901;28.8;1
194902;5.1;1
194903;25.5;1
194904;42;1
194905;38.2;1
194906;48;1
194907;11.4;1
194908;47;1
194909;116.6;1
194910;46.7;1
194911;87.3;1
194912;75.4;1
195001;14;1
195002;71.1;1
195003;27.8;1
195004;46.5;1
195005;101.1;1
195006;25.7;1
195007;17.2;1
195008;62.8;1
195009;63.4;1
195010;32.2;1
195011;114.8;1
195012;82.9;1
195101;46.4;1
195102;49.7;1
195103;98.5;1
195104;65.3;1
195105;92.3;1
195106;91;1
195107;12.4;1
195108;95.5;1
195109;37.4;1
195110;60.7;1
195111;97.4;1
195112;50;1
195201;65.2;1
195202;40.7;1
195203;94.2;1
195204;27.6;1
195205;48.4;1
195206;10.7;1
195207;0;1
195208;54.3;1
195209;122.5;1
195210;114;1
195211;124.2;1
195212;102.7;1
195301;23.5;1
195302;29.9;1
195303;6.7;1
195304;55;1
195305;6.7;1
195306;30.1;1
195307;54.9;1
195308;20.8;1
195309;46;1
195310;77.6;1
195311;17.9;1
195312;13;1
195401;33.7;1
195402;27.2;1
195403;86.3;1
195404;19;1
195405;12.8;1
195406;74.5;1
195407;23.4;1
195408;64.7;1
195409;37.6;1
195410;38.4;1
195411;31.9;1
195412;62;1
195501;119.3;1
195502;111.6;1
195503;14.2;1
195504;0;1
195505;30.6;1
195506;49.9;1
195507;49.6;1
195508;17.5;1
195509;26.8;1
195510;26.9;1
195511;21.3;1
195512;90.3;1
195601;82.3;1
195602;6.9;1
195603;13.5;1
195604;60.1;1
195605;32.2;1
195606;15.5;1
195607;84.8;1
195608;53.4;1
195609;31.2;1
195610;20.4;1
195611;24;1
195612;30.2;1
195701;26.5;1
195702;113.2;1
195703;19.8;1
195704;36.6;1
195705;33.3;1
195706;62.8;1
195707;81.4;1
195708;17.9;1
195709;72.1;1
195710;15.1;1
195711;46.7;1
195712;40.2;1
195801;102.7;1
195802;73.6;1
195803;76.3;1
195804;34.3;1
195805;111.4;1
195806;97.2;1
195807;58.4;1
195808;33.4;1
195809;28.8;1
195810;53.2;1
195811;51.5;1
195812;93.6;1
195901;74.4;1
195902;1.6;1
195903;37.3;1
195904;118.8;1
195905;26.6;1
195906;17.1;1
195907;3.2;1
195908;34.9;1
195909;22.4;1
195910;58.4;1
195911;51.5;1
195912;101.6;1
196001;51.8;1
196002;53.1;1
