# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37122001
# NOM_USUEL= JOUE-LES-TOURS OB
# LATITUDE (°) = 47.325
# LONGITUDE(°)= 0.661
# ALTITUDE (m) = 93
# NUM_SERIE= MRR137122001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194801 201812
# Date(s) de rupture(s) d'homogénéité : 195912
#     Periode homogénéisée  194801 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194801;97.4;1
194802;19;1
194803;16.4;1
194804;75.5;1
194805;82.4;1
194806;38.6;1
194807;15.2;1
194808;68.9;1
194809;19.9;1
194810;20.4;1
194811;94.1;1
194812;50.6;1
194901;26.1;1
194902;9.5;1
194903;39.1;1
194904;35.9;1
194905;28.9;1
194906;33.6;1
194907;6.4;1
194908;39.7;1
194909;96.5;1
194910;62.2;1
194911;84.8;1
194912;55.8;1
195001;17.8;1
195002;71.8;1
195003;29.6;1
195004;47.9;1
195005;99.3;1
195006;48.9;1
195007;65;1
195008;63.6;1
195009;69;1
195010;31;1
195011;109.8;1
195012;98;1
195101;53.8;1
195102;77.1;1
195103;89.5;1
195104;53.8;1
195105;109.9;1
195106;88.9;1
195107;18.7;1
195108;89.6;1
195109;40;1
195110;38.4;1
195111;83.3;1
195112;59.8;1
195201;53.9;1
195202;47.6;1
195203;83;1
195204;22.9;1
195205;68.4;1
195206;23;1
195207;9.8;1
195208;73.9;1
195209;110.8;1
195210;104.8;1
195211;89.9;1
195212;115.6;1
195301;39.1;1
195302;30.9;1
195303;3.2;1
195304;65.7;1
195305;8;1
195306;49.7;1
195307;31.8;1
195308;14.3;1
195309;108.1;1
195310;68.4;1
195311;19;1
195312;10.2;1
195401;34.9;1
195402;51.3;1
195403;83.2;1
195404;12.3;1
195405;22.3;1
195406;55.7;1
195407;28.1;1
195408;64.3;1
195409;51.6;1
195410;25.7;1
195411;37.7;1
195412;65.1;1
195501;124.4;1
195502;94;1
195503;38.6;1
195504;2;1
195505;34.5;1
195506;60.6;1
195507;56.1;1
195508;46.9;1
195509;17.8;1
195510;31.8;1
195511;27.4;1
195512;92.4;1
195601;69.7;1
195602;6.2;1
195603;18.7;1
195604;62.1;1
195605;35.7;1
195606;19.5;1
195607;85.1;1
195608;78.7;1
195609;27.8;1
195610;17.8;1
195611;20.2;1
195612;36.1;1
195701;23.8;1
195702;141.7;1
195703;32.1;1
195704;54.8;1
195705;40.3;1
195706;111;1
195707;69.1;1
195708;35.3;1
195709;58.9;1
195710;19.6;1
195711;45.2;1
195712;46.4;1
195801;105.7;1
195802;78.1;1
