# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37179001
# NOM_USUEL= TOURS
# LATITUDE (°) = 47.445
# LONGITUDE(°)= 0.727
# ALTITUDE (m) = 108
# NUM_SERIE= MRR137179001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 195412 196409 200212
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;56;1
194702;50;1
194703;109.7;1
194704;18.2;1
194705;67.4;1
194706;30.7;1
194707;11.9;1
194708;39.2;1
194709;23.2;1
194710;10.7;1
194711;43.3;1
194712;74;1
194801;108.1;1
194802;17.7;1
194803;13.4;1
194804;63.6;1
194805;58.2;1
194806;28.5;1
194807;17.1;1
194808;61.2;1
194809;19.1;1
194810;29.1;1
194811;81.4;1
194812;55.2;1
194901;20.1;1
194902;9.3;1
194903;37.9;1
194904;35.3;1
194905;26.7;1
194906;28.7;1
194907;5;1
194908;37;1
194909;67.9;1
194910;66.9;1
194911;72.3;1
194912;49;1
195001;17.3;1
195002;65.8;1
195003;19.1;1
195004;42.4;1
195005;77.2;1
195006;49.9;1
195007;52.6;1
195008;52;1
195009;50.3;1
195010;24;1
195011;115.5;1
195012;85.4;1
195101;47.2;1
195102;57;1
195103;76.2;1
195104;63.9;1
195105;100.8;1
195106;79.3;1
195107;44.7;1
195108;91.9;1
195109;40.3;1
195110;36.4;1
195111;66.8;1
195112;49.9;1
195201;54.6;1
195202;40.8;1
195203;81.7;1
195204;11.7;1
195205;56.2;1
195206;13.6;1
195207;8.7;1
195208;86.2;1
195209;96.4;1
195210;105.9;1
195211;72.8;1
195212;100.3;1
195301;32.4;1
195302;24.1;1
195303;2.8;1
195304;54.1;1
195305;10.8;1
195306;34.9;1
195307;57.6;1
195308;27.8;1
195309;110.6;1
195310;66.7;1
195311;24.7;1
195312;13;1
195401;30.1;1
195402;41.4;1
195403;78.8;1
195404;18.9;1
195405;22.9;1
195406;40.7;1
195407;37.4;1
195408;55.3;1
195409;46.7;1
195410;23.2;1
195411;34.2;1
195412;69.5;1
195501;91.6;1
195502;60.7;1
195503;36.9;1
195504;2.4;1
195505;28.2;1
195506;59.6;1
195507;68.1;1
195508;32.9;1
195509;26.8;1
195510;30.9;1
195511;17.9;1
195512;79.1;1
195601;66.6;1
195602;5;1
195603;22.9;1
195604;44.7;1
195605;39.3;1
195606;23.3;1
195607;72.2;1
195608;95.2;1
195609;27.7;1
195610;17.8;1
195611;17.5;1
195612;38.4;1
195701;23.8;1
195702;136.5;1
195703;31.3;1
195704;39.5;1
195705;33.4;1
195706;101.9;1
195707;69.6;1
195708;37.8;1
195709;55.6;1
195710;14;1
195711;38;1
195712;38;1
195801;83.7;1
195802;73.3;1
195803;59.9;1
195804;32;1
195805;93.4;1
195806;58.6;1
195807;35.7;1
195808;63.8;1
195809;39;1
195810;30.2;1
195811;48.4;1
195812;74.1;1
195901;63.4;1
195902;0.1;1
195903;26.9;1
195904;74.9;1
195905;27.5;1
195906;24.1;1
195907;11.4;1
195908;27.6;1
195909;4.3;1
195910;49.7;1
195911;60.7;1
195912;82;1
196001;55.2;1
196002;43.2;1
196003;72.2;1
196004;22.3;1
196005;50.3;1
196006;44.8;1
196007;72;1
196008;55.7;1
196009;75.9;1
196010;110.5;1
196011;85.7;1
196012;92.2;1
196101;120.1;1
196102;32.5;1
196103;5.1;1
196104;45.3;1
196105;37.4;1
196106;42.4;1
196107;41.2;1
196108;0.6;1
196109;35.1;1
196110;71.9;1
196111;85.6;1
196112;84.1;1
196201;61.8;1
196202;17.7;1
196203;87.4;1
196204;36.9;1
196205;50.1;1
196206;16.5;1
196207;32.2;1
196208;11.3;1
196209;44.3;1
196210;36.2;1
196211;112.7;1
196212;43.2;1
196301;30.4;1
196302;34.6;1
196303;67.9;1
196304;64.5;1
196305;31.8;1
196306;106.1;1
196307;25.4;1
196308;133.5;1
196309;27.1;1
196310;32.9;1
196311;74.5;1
196312;10;1
196401;12.4;1
196402;57.9;1
196403;45.1;1
196404;54.7;1
196405;44.6;1
196406;35.1;1
196407;13.2;1
196408;35.4;1
196409;35.2;1
196410;45.6;1
196411;25.4;1
196412;37.8;1
196501;102.8;1
196502;4.1;1
196503;58.2;1
196504;43.5;1
196505;44.7;1
196506;38.6;1
196507;41.8;1
196508;118.4;1
196509;156.8;1
196510;15.8;1
196511;108.4;1
196512;103.5;1
196601;73.4;1
196602;89.2;1
196603;16;1
196604;90.2;1
196605;43.9;1
196606;44.2;1
196607;57.9;1
196608;50.6;1
196609;12.8;1
196610;136.9;1
196611;66.9;1
196612;75.5;1
196701;33.2;1
196702;46.5;1
196703;39.7;1
196704;23.3;1
196705;82.6;1
196706;27.8;1
196707;4.5;1
196708;33;1
196709;86.8;1
196710;100.1;1
196711;65.2;1
196712;64.1;1
196801;60.9;1
196802;53.4;1
196803;45.6;1
196804;59.5;1
196805;48.8;1
196806;54.4;1
196807;44.6;1
196808;57.2;1
196809;93;1
196810;28;1
196811;18.3;1
196812;42.5;1
196901;40.2;1
196902;25.1;1
196903;52.3;1
196904;48.7;1
196905;55.9;1
196906;31.5;1
196907;45.3;1
196908;21.2;1
196909;30.1;1
196910;13;1
196911;151.3;1
196912;66.9;1
197001;50.7;1
197002;96.4;1
197003;38.4;1
197004;46.8;1
197005;31.1;1
197006;114.6;1
197007;19.7;1
197008;54.7;1
197009;22;1
197010;21.2;1
197011;58.2;1
197012;11.9;1
197101;56.9;1
197102;18.9;1
197103;35.8;1
197104;38.7;1
197105;99.1;1
197106;42;1
197107;56.4;1
197108;67.2;1
197109;40.6;1
197110;5;1
197111;49.6;1
197112;14.7;1
197201;71.8;1
197202;64.1;1
197203;32;1
197204;32.4;1
197205;36.9;1
197206;28.4;1
197207;13.7;1
197208;34.2;1
197209;21.8;1
197210;21.7;1
197211;87;1
197212;23.4;1
197301;24.8;1
197302;59.1;1
197303;4.1;1
197304;24.7;1
197305;74.9;1
197306;34;1
197307;57;1
197308;27.4;1
197309;58.9;1
197310;24.2;1
197311;25;1
197312;61;1
197401;64.5;1
197402;48.4;1
197403;41.1;1
197404;36.7;1
197405;54.4;1
197406;33.8;1
197407;16.2;1
197408;39.3;1
197409;59;1
197410;60;1
197411;61.6;1
197412;30.7;1
197501;66.4;1
197502;6.3;1
197503;61.4;1
197504;44.7;1
197505;80.7;1
197506;18.6;1
197507;30.4;1
197508;21.4;1
197509;106.9;1
197510;25.2;1
197511;82.4;1
197512;25.9;1
197601;23.6;1
197602;45.6;1
197603;24.4;1
197604;16.3;1
197605;10.1;1
197606;0.4;1
197607;50.7;1
197608;7.6;1
197609;82.6;1
197610;80.3;1
197611;79.4;1
197612;73.9;1
197701;60.8;1
197702;130.9;1
197703;46.8;1
197704;27.2;1
197705;55.8;1
197706;59.8;1
197707;100.2;1
197708;42.1;1
197709;9.2;1
197710;67.1;1
197711;38.8;1
197712;60.3;1
197801;91;1
197802;88.2;1
197803;79.9;1
197804;82.6;1
197805;39.3;1
197806;44.7;1
197807;49.4;1
197808;28.3;1
197809;22.2;1
197810;2.5;1
197811;10.5;1
197812;113.9;1
197901;34.5;1
197902;92.5;1
197903;103.7;1
197904;69.9;1
197905;78.2;1
197906;30.2;1
197907;32.9;1
197908;47;1
197909;23.7;1
197910;79.6;1
197911;31.3;1
197912;103.8;1
198001;54.3;1
198002;60.4;1
198003;110;1
198004;10.9;1
198005;82.8;1
198006;93.5;1
198007;73.4;1
198008;6.7;1
198009;24.5;1
198010;52.8;1
198011;42.5;1
198012;69.4;1
198101;55.5;1
198102;70.5;1
198103;73.3;1
198104;15;1
198105;94.3;1
198106;24.7;1
198107;21.6;1
198108;25.9;1
198109;42.1;1
198110;111.6;1
198111;19.7;1
198112;96.6;1
198201;70.6;1
198202;23.9;1
198203;49.9;1
198204;9.2;1
198205;53.9;1
198206;63;1
198207;72.2;1
198208;27.2;1
198209;48.7;1
198210;113.3;1
198211;71.4;1
198212;93.9;1
198301;33.1;1
198302;53.4;1
198303;37.4;1
198304;130.6;1
198305;79.1;1
198306;84.2;1
198307;88.5;1
198308;51.2;1
198309;44.6;1
198310;28.5;1
198311;28.7;1
198312;37.5;1
198401;103.3;1
198402;29.8;1
198403;41.1;1
198404;6.7;1
198405;107.9;1
198406;22.4;1
198407;37.4;1
198408;60.3;1
198409;96.5;1
198410;96.2;1
198411;118.1;1
198412;53.6;1
198501;25.1;1
198502;53.7;1
198503;66.8;1
198504;55.8;1
198505;124.1;1
198506;62.6;1
198507;26.1;1
198508;29.4;1
198509;14.9;1
198510;5.2;1
198511;45.5;1
198512;46.7;1
198601;73.7;1
198602;42.9;1
198603;59.9;1
198604;76.7;1
198605;32.9;1
198606;27.6;1
198607;22.2;1
198608;31;1
198609;57.6;1
198610;60.4;1
198611;38.5;1
198612;53.6;1
198701;18.5;1
198702;36.1;1
198703;40.8;1
198704;38.5;1
198705;48.3;1
198706;62.2;1
198707;92.5;1
198708;39.3;1
198709;22.9;1
198710;113.2;1
198711;64.4;1
198712;43.7;1
198801;115.9;1
198802;82.7;1
198803;67.2;1
198804;45.3;1
198805;97.6;1
198806;10.2;1
198807;90.7;1
198808;10.6;1
198809;36.6;1
198810;49.6;1
198811;28.3;1
198812;23.4;1
198901;32;1
198902;35.4;1
198903;40.9;1
198904;88.9;1
198905;11.4;1
198906;26;1
198907;60.3;1
198908;18.5;1
198909;32.3;1
198910;39;1
198911;37.6;1
198912;86.9;1
199001;43.4;1
199002;85.2;1
199003;4.4;1
199004;41.5;1
199005;10.8;1
199006;31.7;1
199007;33.7;1
199008;7.6;1
199009;24.7;1
199010;76.4;1
199011;46.9;1
199012;64.2;1
199101;63.8;1
199102;33.9;1
199103;51;1
199104;52.7;1
199105;14.2;1
199106;54.8;1
199107;22.1;1
199108;19.3;1
199109;39.4;1
199110;45.3;1
199111;59;1
199112;14.1;1
199201;6.3;1
199202;25.2;1
199203;27.8;1
199204;28.3;1
199205;15.8;1
199206;67.3;1
199207;27.7;1
199208;73.5;1
199209;42;1
199210;69.8;1
199211;126.9;1
199212;71.9;1
199301;59.9;1
199302;7;1
199303;7.2;1
199304;88;1
199305;48.8;1
199306;78.9;1
199307;22.7;1
199308;23.4;1
199309;82.5;1
199310;83.1;1
199311;17.9;1
199312;93.2;1
199401;87.5;1
199402;90.4;1
199403;27.9;1
199404;51.7;1
199405;64.6;1
199406;38.6;1
199407;31.3;1
199408;59.1;1
199409;95.2;1
199410;50.5;1
199411;64.8;1
199412;75.3;1
199501;127.8;1
199502;93.1;1
199503;84.4;1
199504;20.2;1
199505;45.4;1
199506;11.6;1
199507;55.3;1
199508;8.3;1
199509;70.9;1
199510;17.5;1
199511;36.8;1
199512;81.2;1
199601;72;1
199602;57.6;1
199603;42.5;1
199604;14.2;1
199605;45.7;1
199606;3.2;1
199607;25.4;1
199608;20.5;1
199609;57.8;1
199610;24.1;1
199611;151.2;1
199612;47.4;1
199701;19.3;1
199702;107.7;1
199703;5;1
199704;13;1
199705;116;1
199706;79.9;1
199707;47.4;1
199708;105.3;1
199709;4.5;1
199710;37.3;1
199711;86.6;1
199712;68.1;1
199801;103.7;1
199802;12.8;1
199803;27.4;1
199804;178.8;1
199805;19.8;1
199806;42;1
199807;31.7;1
199808;22.3;1
199809;96.5;1
199810;88.4;1
199811;35.3;1
199812;74;1
199901;64.1;1
199902;65.2;1
199903;43.2;1
199904;84.1;1
199905;53.8;1
199906;52;1
199907;78.1;1
199908;71.3;1
199909;111.1;1
199910;64.5;1
199911;57.6;1
199912;142.2;1
200001;12.4;1
200002;78.1;1
200003;31.5;1
200004;72.7;1
200005;41.6;1
200006;31.1;1
200007;72.7;1
200008;56.5;1
200009;34.4;1
200010;117.8;1
200011;113.6;1
200012;101;1
200101;88;1
200102;49.3;1
200103;115.4;1
200104;99;1
200105;30.1;1
200106;14.6;1
200107;101.4;1
200108;75.6;1
200109;35.3;1
200110;94;1
200111;27.2;1
200112;52;1
200201;33.3;1
200202;83;1
200203;59.4;1
200204;24.8;1
200205;74;1
200206;31.5;1
200207;34.9;1
200208;51.9;1
200209;27.9;1
200210;95.6;1
200211;114.7;1
200212;75.8;1
200301;84;1
200302;36.2;1
200303;17.8;1
200304;26;1
200305;59;1
200306;60;1
200307;61.2;1
200308;3.2;1
200309;54.8;1
200310;73.8;1
200311;89.4;1
200312;54.8;1
200401;136.6;1
200402;22.2;1
200403;43.2;1
200404;54;1
200405;43.4;1
200406;11.4;1
200407;39.6;1
200408;92;1
200409;15.4;1
200410;110.4;1
200411;25;1
200412;55;1
200501;42;1
200502;14.8;1
200503;35.8;1
200504;42.8;1
200505;29.8;1
200506;17.4;1
200507;47.2;1
200508;23.6;1
200509;18.8;1
200510;44.6;1
200511;30.8;1
200512;52.6;1
200601;51.4;1
200602;41.2;1
200603;98;1
200604;15.8;1
200605;72.4;1
200606;25.4;1
200607;47;1
200608;39.8;1
200609;95;1
200610;59.8;1
200611;59;1
200612;79.2;1
200701;42.4;1
200702;88.2;1
200703;50.4;1
200704;4.6;1
200705;83;1
200706;108.6;1
200707;67.2;1
200708;68;1
200709;24.2;1
200710;48;1
200711;56.2;1
200712;41.8;1
200801;86.8;1
200802;42;1
200803;68.2;1
200804;90.2;1
200805;94.4;1
200806;25.2;1
200807;29.6;1
200808;33;1
200809;32.4;1
200810;68.2;1
200811;66.8;1
200812;24.2;1
200901;59.8;1
200902;27;1
200903;26.4;1
200904;51.6;1
200905;89.8;1
200906;58.5;1
200907;37.8;1
200908;3;1
200909;29.8;1
200910;36.6;1
200911;106.2;1
200912;75.4;1
201001;29;1
201002;51.2;1
201003;52.6;1
201004;16;1
201005;30.1;1
201006;54.2;1
201007;49.4;1
201008;25.3;1
201009;84.2;1
201010;40.6;1
201011;60.8;1
201012;93.2;1
201101;46.1;1
201102;34.4;1
201103;9.4;1
201104;23;1
201105;14.9;1
201106;53.4;1
201107;82.2;1
201108;50;1
201109;51.9;1
201110;28.6;1
201111;29.4;1
201112;135.2;1
201201;35.3;1
201202;10.8;1
201203;11.8;1
201204;122;1
201205;78.1;1
201206;106.7;1
201207;95.2;1
201208;8.8;1
201209;38.7;1
201210;132.5;1
201211;34.3;1
201212;104.2;1
201301;53.7;1
201302;57.1;1
201303;49.6;1
201304;68.4;1
201305;91.6;1
201306;69.5;1
201307;38.5;1
201308;23.4;1
201309;69.3;1
201310;81;1
201311;98.4;1
201312;47.3;1
201401;76.7;1
201402;84.5;1
201403;27.3;1
201404;40.8;1
201405;70.2;1
201406;48.3;1
201407;49.9;1
201408;78.3;1
201409;15.7;1
201410;83.3;1
201411;51.8;1
201412;28.5;1
201501;39.1;1
201502;51.6;1
201503;39.4;1
201504;57.9;1
201505;51.4;1
201506;28.9;1
201507;14;1
201508;82.6;1
201509;87.6;1
201510;41.3;1
201511;51.9;1
201512;24.6;1
201601;90.6;1
201602;62.8;1
201603;76.9;1
201604;33.7;1
201605;99.3;1
201606;51.2;1
201607;3.8;1
201608;7.4;1
201609;31.6;1
201610;10.8;1
201611;64.6;1
201612;21.3;1
201701;23.6;1
201702;45;1
201703;63.3;1
201704;12.2;1
201705;70.5;1
