# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 37253001
# NOM_USUEL= SUBLAINES
# LATITUDE (°) = 47.265
# LONGITUDE(°)= 0.993
# ALTITUDE (m) = 111
# NUM_SERIE= MRR137253001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : 196312 198309
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;73;1
195902;0.5;1
195903;39.7;1
195904;90.8;1
195905;22.6;1
195906;22.5;1
195907;15.6;1
195908;26.6;1
195909;11.4;1
195910;51.9;1
195911;54.9;1
195912;82.9;1
196001;70.4;1
196002;39.9;1
196003;63.2;1
196004;22.1;1
196005;39.7;1
196006;43;1
196007;61.1;1
196008;67.1;1
196009;66.1;1
196010;141.4;1
196011;92;1
196012;113.7;1
196101;108.1;1
196102;32.8;1
196103;5.1;1
196104;25.2;1
196105;50.2;1
196106;47.7;1
196107;63.7;1
196108;0;1
196109;47.9;1
196110;57.7;1
196111;95.4;1
196112;85.5;1
196201;75;1
196202;27.2;1
196203;109.9;1
196204;65.7;1
196205;69.2;1
196206;20.6;1
196207;51.3;1
196208;8.4;1
196209;50.5;1
196210;34.6;1
196211;107.4;1
196212;50.1;1
196301;32.4;1
196302;39.5;1
196303;77.7;1
196304;53.4;1
196305;73.3;1
196306;52.6;1
196307;12.1;1
196308;86;1
196309;25.8;1
196310;33.6;1
196311;79.6;1
196312;13.7;1
196401;14.1;1
196402;64.1;1
196403;59;1
196404;85.7;1
196405;45.5;1
196406;35.7;1
196407;10.7;1
196408;34.3;1
196409;54.7;1
196410;48.3;1
196411;33.4;1
196412;47.4;1
196501;105.3;1
196502;3.2;1
196503;55.1;1
196504;47.9;1
196505;54.3;1
196506;33.2;1
196507;33.8;1
196508;92.9;1
196509;153.2;1
196510;12.6;1
196511;100.2;1
196512;98.3;1
196601;70.5;1
196602;108.1;1
196603;25.9;1
196604;83.2;1
196605;55.7;1
196606;42.8;1
196607;62.2;1
196608;75.6;1
196609;25.4;1
196610;104.8;1
196611;70.1;1
196612;88.6;1
196701;32.1;1
196702;64.6;1
196703;41.4;1
196704;14.3;1
196705;73.1;1
196706;36.7;1
196707;15.8;1
196708;32.2;1
196709;96.1;1
196710;95.2;1
196711;72.4;1
196712;74.7;1
196801;73.7;1
196802;49.9;1
196803;43;1
196804;61.2;1
196805;39.5;1
196806;36.8;1
196807;76.8;1
196808;107;1
196809;74.7;1
196810;44.9;1
196811;37.1;1
196812;57.2;1
196901;48.4;1
196902;29.2;1
196903;56.6;1
196904;49.2;1
196905;65.4;1
196906;40.1;1
196907;21.7;1
196908;22.3;1
196909;39.6;1
196910;5.3;1
196911;149.3;1
196912;65.4;1
197001;53.8;1
197002;123.4;1
197003;64.5;1
197004;63.8;1
197005;9.2;1
197006;92.2;1
197007;16.5;1
197008;95.5;1
197009;28.1;1
197010;26.2;1
197011;73.1;1
197012;15.3;1
197101;60.4;1
197102;31.3;1
197103;37.5;1
197104;39.8;1
197105;143;1
197106;70.1;1
197107;111.7;1
197108;106.2;1
197109;42.7;1
197110;4.1;1
197111;71.3;1
197112;18.4;1
197201;58.9;1
197202;67.4;1
197203;33.5;1
197204;32.7;1
197205;41.6;1
197206;39.1;1
197207;24.2;1
197208;99.8;1
197209;39.6;1
197210;17;1
197211;95.2;1
197212;28;1
197301;36.7;1
197302;57.2;1
197303;8.3;1
197304;27.7;1
197305;60.3;1
197306;51.5;1
197307;72.7;1
197308;15.9;1
197309;29.7;1
197310;32.2;1
197311;38.1;1
197312;72.1;1
197401;45.8;1
197402;41.7;1
197403;59.3;1
197404;32.7;1
197405;40.6;1
197406;42.7;1
197407;10.6;1
197408;37.7;1
197409;64;1
197410;74.2;1
197411;66.1;1
197412;26.3;1
197501;54.6;1
197502;6.9;1
197503;72.6;1
197504;42.1;1
197505;80.8;1
197506;21.6;1
197507;47.5;1
197508;22.5;1
197509;92.3;1
197510;30.2;1
197511;81.4;1
197512;35.9;1
197601;22.5;1
197602;54.5;1
197603;29.4;1
197604;16.2;1
197605;9.9;1
197606;1.4;1
197607;27.9;1
197608;27.9;1
197609;59.4;1
197610;63.5;1
197611;78.5;1
197612;87.2;1
197701;51.9;1
197702;146.7;1
197703;66.7;1
197704;24.6;1
197705;109.1;1
197706;92.1;1
197707;80.4;1
197708;52.8;1
197709;5.2;1
197710;70.6;1
197711;47.8;1
197712;55.1;1
197801;82.6;1
197802;82;1
197803;99.1;1
197804;94.4;1
197805;42;1
197806;33.1;1
197807;51.1;1
197808;25.7;1
197809;20.5;1
197810;4.7;1
197811;15.6;1
197812;129.9;1
197901;42.4;1
197902;101.7;1
197903;130.2;1
197904;74.4;1
197905;87.4;1
197906;22.5;1
197907;59.8;1
197908;30.3;1
197909;28.6;1
197910;121.8;1
197911;29.5;1
197912;91.8;1
198001;64.4;1
198002;56.2;1
198003;98.8;1
198004;9.7;1
198005;56;1
198006;81.8;1
198007;78.6;1
198008;10.8;1
198009;19.7;1
198010;51.7;1
198011;42.2;1
198012;63.9;1
198101;66.7;1
198102;43.4;1
198103;67.5;1
198104;14.3;1
198105;104.8;1
198106;51.1;1
198107;41.8;1
198108;22.3;1
198109;37.3;1
198110;126.4;1
198111;30.8;1
198112;105.3;1
198201;74.7;1
198202;19.8;1
198203;54.1;1
198204;15.1;1
198205;54;1
198206;45.5;1
198207;25.5;1
198208;71.8;1
198209;36.9;1
198210;129.5;1
198211;70.9;1
198212;116.6;1
198301;34.2;1
198302;45.6;1
198303;47;1
198304;124.4;1
198305;103.9;1
198306;36;1
198307;101.1;1
198308;72.2;1
198309;55;1
198310;39.2;1
198311;29.9;1
198312;31.4;1
198401;103.4;1
198402;21.8;1
198403;35.1;1
198404;6.5;1
198405;120.7;1
198406;46.4;1
198407;31.2;1
198408;83.4;1
198409;97;1
198410;89.6;1
198411;114.4;1
198412;60;1
198501;32;1
198502;60.5;1
198503;67.8;1
198504;59;1
198505;171.2;1
198506;31.9;1
198507;44.5;1
198508;38.9;1
198509;12.2;1
198510;10.3;1
198511;41.3;1
198512;67.1;1
198601;64.7;1
198602;80.9;1
198603;58;1
198604;82.7;1
198605;56.3;1
198606;21.2;1
198607;11;1
198608;39.7;1
198609;56.5;1
198610;54.7;1
198611;41.4;1
198612;56.7;1
198701;25.2;1
198702;34.2;1
198703;44.2;1
198704;37.8;1
198705;45.1;1
198706;82.1;1
198707;111.6;1
198708;29.6;1
198709;25.9;1
198710;106.7;1
198711;75.9;1
