# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 38006001
# NOM_USUEL= ALLEVARD
# LATITUDE (°) = 45.395
# LONGITUDE(°)= 6.072
# ALTITUDE (m) = 495
# NUM_SERIE= MRR138006001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 200912 201112
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;106.7;1
195102;147.9;1
195103;170;1
195104;99.3;1
195105;95.6;1
195106;168.2;1
195107;170.2;1
195108;181.8;1
195109;75;1
195110;71.4;1
195111;203.5;1
195112;83.2;1
195201;138;1
195202;67.9;1
195203;95.8;1
195204;79.9;1
195205;66.2;1
195206;85.6;1
195207;31.1;1
195208;168.1;1
195209;136.8;1
195210;239.9;1
195211;171.2;1
195212;177;1
195301;17.4;1
195302;51.8;1
195303;0.5;1
195304;85.1;1
195305;85.8;1
195306;207.1;1
195307;103.3;1
195308;73;1
195309;155.7;1
195310;49.5;1
195311;47.4;1
195312;27.1;1
195401;65.3;1
195402;53.7;1
195403;94.2;1
195404;147.9;1
195405;94.5;1
195406;93.7;1
195407;124.7;1
195408;213.2;1
195409;131.6;1
195410;70.9;1
195411;99;1
195412;191.2;1
195501;180.9;1
195502;241.7;1
195503;52.1;1
195504;22.8;1
195505;173.6;1
195506;174.5;1
195507;64;1
195508;67.1;1
195509;64.9;1
195510;68.4;1
195511;32.8;1
195512;104.2;1
195601;108;1
195602;4.6;1
195603;59.1;1
195604;93.9;1
195605;102.2;1
195606;51.1;1
195607;146.5;1
195608;198.8;1
195609;86.5;1
195610;142.2;1
195611;36.7;1
195612;15.5;1
195701;28.7;1
195702;159.5;1
195703;14.3;1
195704;41.6;1
195705;82.5;1
195706;139;1
195707;150.5;1
195708;98.1;1
195709;64.2;1
195710;46.6;1
195711;43.5;1
195712;43.3;1
195801;122.3;1
195802;155.7;1
195803;68;1
195804;91.3;1
195805;88.5;1
195806;170.6;1
195807;105.3;1
195808;133.6;1
195809;132.3;1
195810;105;1
195811;101.3;1
195812;107.2;1
195901;93.9;1
195902;0.5;1
195903;112.5;1
195904;155.5;1
195905;44.9;1
195906;115.2;1
195907;115.9;1
