# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 38053003
# NOM_USUEL= BOURGOIN
# LATITUDE (°) = 45.608
# LONGITUDE(°)= 5.309
# ALTITUDE (m) = 358
# NUM_SERIE= MRR138053003
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195301 202112
# Date(s) de rupture(s) d'homogénéité : 199512 200307
#     Periode homogénéisée  195301 202112  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;11.3;1
195302;10.2;1
195303;0;1
195304;57.8;1
195305;38.6;1
195306;203;1
195307;31.7;1
195308;50.6;1
195309;132.9;1
195310;81.6;1
195311;23.4;1
195312;30.8;1
195401;60.1;1
195402;42.8;1
195403;57.6;1
195404;41.6;1
195405;49.3;1
195406;54.6;1
195407;52.8;1
195408;206.5;1
195409;86.6;1
195410;65.1;1
195411;93.1;1
195412;154.2;1
195501;96.7;1
195502;126.8;1
195503;32.3;1
195504;6.3;1
195505;90.9;1
195506;148.1;1
195507;41.9;1
195508;41.6;1
195509;25.2;1
195510;43.2;1
195511;104.8;1
195512;69.1;1
195601;84;1
195602;4.9;1
195603;84.5;1
195604;57.5;1
195605;84.5;1
195606;65.1;1
195607;61.1;1
195608;131;1
195609;141.4;1
195610;107.9;1
195611;20.3;1
195612;29;1
195701;33.2;1
195702;96.8;1
195703;10.6;1
195704;39.5;1
195705;51;1
195706;121.5;1
195707;63.6;1
195708;86.9;1
195709;44.7;1
195710;47.3;1
195711;100.9;1
195712;39.6;1
195801;45.9;1
195802;73;1
195803;78.3;1
195804;74.3;1
195805;88.5;1
195806;132.5;1
195807;48.2;1
195808;148;1
195809;128.9;1
195810;101.8;1
195811;61.4;1
195812;97;1
195901;74.1;1
195902;0;1
195903;120.3;1
195904;106;1
195905;31.4;1
195906;46.7;1
195907;38.4;1
195908;104.6;1
195909;26.3;1
195910;101;1
195911;96;1
195912;77.4;1
196001;92.1;1
196002;120.2;1
196003;86.7;1
196004;16.8;1
196005;39.8;1
196006;142.9;1
196007;117;1
196008;97.7;1
196009;233.4;1
196010;153;1
196011;164.3;1
196012;72.5;1
196101;74.4;1
196102;44.5;1
196103;20.2;1
196104;109.1;1
196105;31;1
196106;81.7;1
196107;54.8;1
196108;49.7;1
196109;8.1;1
