# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 39485002
# NOM_USUEL= ST JULIEN - SA
# LATITUDE (°) = 46.385
# LONGITUDE(°)= 5.448
# ALTITUDE (m) = 361
# NUM_SERIE= MRR139485002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 200412
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;128.4;1
195202;86.9;1
195203;177.2;1
195204;57.4;1
195205;63.3;1
195206;75;1
195207;13;1
195208;97;1
195209;212.9;1
195210;241.8;1
195211;209.6;1
195212;168.7;1
195301;27.1;1
195302;72.4;1
195303;10.4;1
195304;87.4;1
195305;40.4;1
195306;175.9;1
195307;68.1;1
195308;30.1;1
195309;88.5;1
195310;78.4;1
195311;31.9;1
195312;30.3;1
195401;89.6;1
195402;89.5;1
195403;67.7;1
195404;68;1
195405;61.7;1
195406;25.4;1
195407;88;1
195408;256.3;1
195409;116.8;1
195410;106.4;1
195411;96.1;1
195412;208.4;1
195501;208.4;1
195502;135.4;1
195503;29;1
195504;8.7;1
195505;114.5;1
195506;149.3;1
195507;80.3;1
195508;112.1;1
195509;38;1
195510;73.7;1
195511;71.3;1
195512;166.2;1
195601;132.5;1
195602;15.1;1
195603;75.3;1
195604;95;1
195605;120;1
195606;106.1;1
195607;146;1
195608;217.1;1
195609;177.6;1
195610;135.8;1
195611;71.3;1
195612;46.3;1
195701;57.3;1
195702;266;1
195703;28;1
195704;36.1;1
195705;78.9;1
195706;179.5;1
195707;119.5;1
195708;63.7;1
195709;97.7;1
195710;39;1
195711;74;1
195712;74;1
195801;113.6;1
195802;197.4;1
195803;82.8;1
195804;87.5;1
195805;92.9;1
195806;98.1;1
195807;56.1;1
195808;141.4;1
195809;109.6;1
195810;141.5;1
195811;81.8;1
195812;155.2;1
195901;157.6;1
195902;2.7;1
195903;149.7;1
195904;167.8;1
195905;11;1
195906;53.9;1
195907;12.1;1
195908;52.9;1
195909;12.5;1
195910;96.4;1
195911;109.4;1
195912;181.7;1
196001;81;1
196002;115.1;1
196003;93.7;1
196004;25.3;1
196005;75.6;1
196006;96.9;1
196007;157.9;1
196008;176.7;1
196009;234.9;1
196010;194.9;1
196011;133.7;1
196012;111.3;1
196101;106.9;1
196102;101.9;1
196103;35.2;1
196104;108.8;1
196105;55.7;1
196106;45.5;1
196107;100;1
196108;91.7;1
196109;8.3;1
196110;172.5;1
196111;90.8;1
196112;219.5;1
196201;148.4;1
196202;93.2;1
196203;190.6;1
196204;95.2;1
196205;111.7;1
196206;26.2;1
196207;31.3;1
196208;55.4;1
196209;70.7;1
196210;35.5;1
196211;50.5;1
196212;194.9;1
196301;53.8;1
196302;50.8;1
196303;141.8;1
196304;110.7;1
196305;85.1;1
196306;224.9;1
196307;26.4;1
196308;185.6;1
196309;50.4;1
196310;40.1;1
196311;284.7;1
196312;6.4;1
196401;37.2;1
196402;35.6;1
196403;145.5;1
196404;101.6;1
196405;74.6;1
196406;47;1
196407;17.6;1
196408;60.9;1
196409;79;1
196410;161.8;1
196411;41.9;1
196412;48.6;1
196501;134.7;1
196502;31;1
196503;148.4;1
196504;135.8;1
196505;177.4;1
196506;58.5;1
196507;187.5;1
196508;100.3;1
196509;263.1;1
196510;38.2;1
196511;169.1;1
196512;248.8;1
196601;127.2;1
196602;162.4;1
196603;97.8;1
