# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 40088001
# NOM_USUEL= DAX
# LATITUDE (°) = 43.69
# LONGITUDE(°)= -1.07
# ALTITUDE (m) = 31
# NUM_SERIE= MRR140088001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195901 201712
# Date(s) de rupture(s) d'homogénéité : 199012
#     Periode homogénéisée  195901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;75.7;1
195902;10.3;1
195903;113.6;1
195904;155.9;1
195905;102.3;1
195906;50.4;1
195907;128.1;1
195908;123.2;1
195909;161.7;1
195910;120.7;1
195911;166.8;1
195912;250.8;1
196001;78.1;1
196002;61.4;1
196003;114.8;1
196004;33.2;1
196005;80.3;1
196006;70;1
196007;63.8;1
196008;127.3;1
196009;178.8;1
196010;262.5;1
196011;221.9;1
196012;296;1
196101;213.1;1
196102;73;1
196103;0;1
196104;137.1;1
196105;44.9;1
196106;58.1;1
196107;31.9;1
196108;59.9;1
196109;81.2;1
196110;203.8;1
196111;199.8;1
196112;72.9;1
196201;91.7;1
196202;109.8;1
196203;93;1
196204;74.5;1
196205;113.1;1
196206;17.5;1
196207;19;1
196208;16.6;1
196209;78.6;1
196210;50;1
196211;197.3;1
196212;157.7;1
196301;83;1
196302;123.1;1
196303;118.5;1
196304;47.5;1
196305;33.9;1
196306;77;1
196307;59.4;1
196308;246.9;1
196309;50.9;1
196310;68.6;1
196311;111.6;1
196312;58.9;1
196401;16.6;1
196402;75.3;1
196403;72.3;1
196404;104.6;1
196405;100.9;1
196406;38.6;1
196407;16;1
196408;40.3;1
196409;90.2;1
196410;253.6;1
196411;102;1
196412;82.9;1
196501;122.3;1
196502;18;1
196503;120.6;1
196504;87.9;1
196505;42.1;1
196506;59.3;1
196507;53.5;1
196508;116.1;1
196509;238.8;1
196510;35.4;1
196511;218.7;1
196512;273.4;1
196601;78.8;1
196602;124.7;1
196603;32.9;1
196604;68.6;1
196605;53.8;1
196606;105.3;1
196607;66.6;1
196608;38.5;1
196609;47.4;1
196610;160.4;1
196611;161.8;1
196612;191.9;1
196701;89.1;1
196702;53.5;1
196703;92.7;1
196704;59.2;1
196705;92;1
196706;26.3;1
196707;44.3;1
196708;16;1
196709;115.8;1
196710;142.3;1
196711;221.5;1
196712;102.5;1
196801;112.1;1
196802;80;1
196803;58.8;1
196804;92.9;1
196805;119.5;1
196806;37.3;1
196807;33.5;1
196808;114;1
196809;135.1;1
196810;71.5;1
196811;45.3;1
196812;193;1
196901;60.9;1
196902;109.7;1
196903;118.9;1
196904;108.2;1
196905;83;1
196906;79.5;1
196907;34.8;1
196908;32.1;1
196909;219.6;1
196910;6.6;1
196911;93.4;1
196912;159.8;1
197001;114.7;1
197002;160.3;1
197003;70.3;1
197004;121.3;1
197005;50.9;1
197006;108.7;1
197007;14.8;1
197008;118.8;1
197009;17.7;1
197010;44.4;1
197011;120.2;1
197012;60.7;1
197101;159.3;1
197102;136.8;1
197103;94.9;1
197104;111.7;1
197105;106.8;1
197106;124.6;1
197107;81;1
197108;47.9;1
197109;94.8;1
197110;20.9;1
197111;191.4;1
197112;60;1
197201;148.1;1
197202;199.9;1
197203;82;1
197204;113.8;1
197205;84.1;1
197206;84;1
197207;11.2;1
197208;152.7;1
197209;71.3;1
197210;74.7;1
197211;55.5;1
197212;106.8;1
197301;92.5;1
197302;162.5;1
197303;38.9;1
197304;64.9;1
197305;83.7;1
197306;85.2;1
197307;136.9;1
197308;42.8;1
197309;188.3;1
197310;61.7;1
197311;82.8;1
197312;101;1
197401;55.8;1
197402;128.2;1
197403;150.9;1
197404;92;1
197405;102.6;1
197406;39.6;1
197407;29.8;1
197408;52.6;1
197409;140.1;1
197410;204.7;1
197411;133.6;1
197412;44.8;1
197501;89.8;1
197502;34.3;1
197503;186.1;1
197504;109.8;1
197505;107;1
197506;65.6;1
197507;13.7;1
197508;52;1
197509;142.6;1
197510;60;1
197511;201.8;1
197512;44.4;1
197601;50.9;1
197602;76.7;1
197603;94.4;1
197604;103.2;1
197605;31.7;1
197606;7.9;1
197607;76.8;1
197608;152.4;1
197609;112.9;1
197610;202.7;1
197611;173.1;1
197612;178.2;1
197701;124.6;1
197702;139.8;1
197703;64.4;1
197704;66;1
197705;117.6;1
197706;196.7;1
197707;61.4;1
197708;152.1;1
197709;1.2;1
197710;83;1
197711;100.5;1
197712;78.4;1
197801;256.1;1
197802;110.8;1
197803;181.5;1
197804;152.6;1
197805;122.1;1
197806;109.9;1
197807;57.9;1
197808;28.2;1
197809;75.3;1
197810;8.9;1
197811;23.4;1
197812;153;1
197901;227.9;1
197902;107.1;1
197903;137.3;1
197904;168.3;1
197905;146.7;1
197906;64.7;1
197907;84.2;1
197908;57.5;1
197909;62;1
197910;76.1;1
197911;181.6;1
197912;109.9;1
198001;94.3;1
198002;78;1
198003;145.7;1
198004;21.3;1
198005;183.7;1
198006;85.1;1
198007;58.2;1
198008;21.9;1
198009;28.1;1
198010;260.9;1
198011;76.4;1
198012;174.4;1
198101;119.5;1
198102;76.2;1
198103;67.2;1
198104;69.6;1
198105;100.7;1
198106;29.6;1
198107;60.8;1
198108;27.8;1
198109;116.4;1
198110;184.1;1
198111;29.5;1
198112;319.7;1
198201;74.1;1
198202;97.2;1
198203;127.5;1
198204;3.5;1
198205;67.3;1
198206;62.8;1
198207;35.9;1
198208;60.1;1
198209;78.1;1
198210;297.9;1
198211;153.4;1
198212;232.4;1
198301;33.5;1
198302;86.8;1
198303;101.4;1
198304;139;1
198305;87.8;1
198306;25.7;1
198307;63.9;1
198308;123.9;1
198309;48;1
198310;37.3;1
198311;46;1
198312;90.1;1
198401;220.2;1
