# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 40286001
# NOM_USUEL= SAMADET
# LATITUDE (°) = 43.641
# LONGITUDE(°)= -0.489
# ALTITUDE (m) = 134
# NUM_SERIE= MRR140286001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196112 196412 197406
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;162.9;1
195502;108.5;1
195503;8.2;1
195504;8.3;1
195505;42.7;1
195506;104.1;1
195507;101.6;1
195508;21.6;1
195509;104;1
195510;140.5;1
195511;50.2;1
195512;122;1
195601;122.8;1
195602;20;1
195603;42.5;1
195604;65.1;1
195605;71.2;1
195606;27.6;1
195607;48.4;1
195608;82.5;1
195609;33.8;1
195610;50.9;1
195611;71.8;1
195612;42;1
195701;39.4;1
195702;97.6;1
195703;72.9;1
195704;108.2;1
195705;107.1;1
195706;113;1
195707;57;1
195708;43.4;1
195709;66.6;1
195710;30;1
195711;84.1;1
195712;69.4;1
195801;91.6;1
195802;24.1;1
195803;137.9;1
195804;62.4;1
195805;110.9;1
195806;75.9;1
195807;91.1;1
195808;42.7;1
195809;88;1
195810;46;1
195811;38.2;1
195812;145.7;1
195901;62.8;1
195902;5.2;1
195903;99.2;1
195904;113.8;1
195905;58.3;1
195906;61.9;1
195907;67.7;1
195908;181.9;1
195909;300.9;1
195910;123.5;1
195911;142.5;1
195912;223.9;1
196001;74.6;1
196002;52.3;1
196003;107.9;1
196004;19.1;1
196005;92.5;1
196006;73;1
196007;102.6;1
196008;136.8;1
196009;141.6;1
196010;227.4;1
196011;162.5;1
196012;219.1;1
196101;172;1
196102;60.7;1
196103;0;1
196104;125.2;1
196105;40.5;1
196106;71.9;1
196107;35.3;1
196108;78.9;1
196109;93.6;1
196110;145.7;1
196111;170.7;1
196112;72.2;1
196201;105.7;1
196202;70.6;1
196203;79.6;1
196204;67.3;1
196205;102.8;1
196206;24.5;1
196207;22.8;1
196208;19.5;1
196209;52.7;1
196210;76.3;1
196211;117.1;1
196212;112.2;1
196301;75;1
196302;121.5;1
196303;105.1;1
196304;55.9;1
196305;39.7;1
196306;83.1;1
196307;60;1
196308;151.3;1
196309;117.2;1
196310;52.7;1
196311;110;1
196312;44;1
196401;9.8;1
196402;56.4;1
196403;84.4;1
196404;104;1
196405;68.2;1
196406;29;1
196407;17.4;1
196408;27.8;1
196409;42.1;1
196410;220.1;1
196411;66.9;1
196412;65.8;1
196501;126;1
196502;36.1;1
196503;91.3;1
196504;88;1
196505;84;1
196506;63.4;1
196507;61.2;1
196508;59.8;1
196509;171.5;1
196510;34.1;1
196511;187.8;1
196512;241.9;1
196601;88;1
196602;119.2;1
196603;43.1;1
196604;114.4;1
196605;53;1
196606;100;1
196607;47;1
196608;39.9;1
196609;61.1;1
196610;109.4;1
196611;113.2;1
196612;176.3;1
196701;86.8;1
196702;47.3;1
196703;85.7;1
196704;22.9;1
196705;74.1;1
196706;58.2;1
196707;25.4;1
196708;74.8;1
196709;82.8;1
196710;117.3;1
196711;188.7;1
196712;98.9;1
196801;106.9;1
196802;64.1;1
196803;32.8;1
196804;83.8;1
196805;151.9;1
196806;58.1;1
196807;26.2;1
196808;131;1
196809;87.6;1
196810;82.2;1
196811;54.5;1
196812;165.3;1
196901;50.8;1
196902;96.3;1
196903;121.1;1
196904;135;1
196905;75.9;1
196906;100.9;1
196907;27.9;1
196908;58.4;1
196909;148.1;1
196910;12.4;1
196911;61.7;1
196912;120.7;1
197001;104.3;1
197002;143.3;1
197003;60.1;1
197004;106.5;1
197005;78.4;1
197006;115.8;1
197007;15.7;1
197008;46.7;1
197009;20.6;1
197010;78.4;1
197011;102.5;1
197012;24.2;1
197101;141.9;1
197102;111.1;1
197103;110.4;1
197104;128.5;1
197105;116.7;1
197106;123.7;1
197107;136.8;1
197108;87.9;1
197109;56.5;1
197110;22.7;1
197111;163.8;1
197112;63.7;1
197201;121.6;1
197202;129.6;1
197203;55.7;1
197204;101.1;1
197205;89.6;1
197206;105.9;1
197207;34.1;1
197208;146;1
197209;55.2;1
197210;65.2;1
197211;40.5;1
197212;118.5;1
197301;103.5;1
197302;135.7;1
197303;34.4;1
197304;64.9;1
197305;78.7;1
197306;107.7;1
197307;137.9;1
197308;18.3;1
197309;85;1
197310;53.6;1
197311;77.2;1
197312;111;1
197401;53.6;1
197402;118.7;1
197403;128.3;1
197404;68.2;1
197405;113.4;1
197406;43.1;1
197407;44.7;1
197408;43.6;1
197409;134.9;1
197410;188.2;1
197411;124.5;1
197412;39;1
197501;89.8;1
197502;24.7;1
197503;147.6;1
197504;63.2;1
197505;138.5;1
197506;64;1
197507;15;1
197508;48.5;1
197509;135.7;1
197510;45.4;1
197511;158.6;1
197512;29;1
197601;46.6;1
197602;68.7;1
197603;125.4;1
197604;91.7;1
197605;37.4;1
197606;30.3;1
197607;76.3;1
197608;85.5;1
197609;105.8;1
197610;174.7;1
197611;132.4;1
197612;160.9;1
197701;92.7;1
197702;148.3;1
197703;63.4;1
197704;64.6;1
197705;181.3;1
197706;147;1
197707;96.4;1
197708;161.4;1
197709;0.3;1
197710;68.5;1
197711;85.7;1
197712;51.1;1
197801;243.5;1
197802;110.5;1
197803;167.8;1
197804;148.7;1
197805;83.8;1
197806;98.8;1
197807;61.3;1
