# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 41075003
# NOM_USUEL= DROUE - MORACHE
# LATITUDE (°) = 48.016
# LONGITUDE(°)= 1.032
# ALTITUDE (m) = 206
# NUM_SERIE= MRR141075003
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 195412 199312
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;41.1;1
194702;39.4;1
194703;128.9;1
194704;36.2;1
194705;67;1
194706;71.1;1
194707;19;1
194708;44.1;1
194709;30.3;1
194710;10.7;1
194711;75.1;1
194712;60.8;1
194801;116.8;1
194802;42.6;1
194803;21.5;1
194804;92.7;1
194805;49.9;1
194806;27.3;1
194807;61.8;1
194808;72;1
194809;23.6;1
194810;24.9;1
194811;69.4;1
194812;65.8;1
194901;15;1
194902;13.4;1
194903;25;1
194904;39;1
194905;15.1;1
194906;20.5;1
194907;5.2;1
194908;53;1
194909;60.2;1
194910;90.1;1
194911;90;1
194912;50;1
195001;15;1
195002;114.6;1
195003;38.2;1
195004;49.4;1
195005;89;1
195006;44;1
195007;63;1
195008;84.4;1
195009;57.5;1
195010;28.2;1
195011;147.2;1
195012;76.9;1
195101;54.3;1
195102;61.9;1
195103;60.4;1
195104;58.7;1
195105;114.2;1
195106;122.3;1
195107;44.7;1
195108;129.4;1
195109;54;1
195110;35.5;1
195111;68.3;1
195112;62.6;1
195201;91.5;1
195202;51.7;1
195203;73.1;1
195204;17.6;1
195205;75.1;1
195206;21.4;1
195207;30.7;1
195208;73.7;1
195209;146.1;1
195210;106.7;1
195211;86.3;1
195212;97.5;1
195301;13.6;1
195302;27.1;1
195303;0;1
195304;52.9;1
195305;21.5;1
195306;56;1
195307;95.6;1
195308;19.3;1
195309;59.9;1
195310;69.6;1
195311;27;1
195312;13.1;1
195401;16.8;1
195402;55.4;1
195403;69.9;1
195404;3.2;1
195405;31.6;1
195406;66.7;1
195407;27.4;1
195408;55.9;1
195409;80.2;1
195410;23.9;1
195411;48.4;1
195412;71;1
195501;112.7;1
195502;69.7;1
195503;28.7;1
195504;0;1
195505;28.8;1
195506;57.1;1
195507;111.9;1
195508;31.6;1
195509;31.6;1
195510;59.4;1
195511;38.2;1
195512;78.6;1
195601;91;1
195602;7.8;1
195603;13.9;1
195604;52.9;1
195605;69.4;1
195606;41.9;1
195607;51.4;1
195608;95;1
195609;43.2;1
195610;46.5;1
195611;30.8;1
195612;44;1
195701;31.2;1
195702;123;1
195703;21.2;1
195704;43.3;1
195705;21.2;1
195706;151.2;1
195707;91.8;1
195708;49.6;1
195709;75.1;1
195710;12.9;1
195711;50.7;1
195712;62.3;1
195801;113.3;1
195802;109.5;1
195803;55.5;1
195804;64.9;1
195805;89.6;1
195806;92.8;1
195807;43.5;1
195808;77.6;1
195809;62.6;1
195810;56.4;1
195811;80.9;1
195812;84.6;1
195901;100.7;1
195902;0;1
195903;48.2;1
195904;94;1
195905;35.3;1
195906;47.9;1
195907;20.4;1
195908;30.7;1
195909;6.4;1
195910;63.1;1
195911;50.4;1
195912;110.6;1
196001;40.7;1
196002;57.6;1
196003;58.9;1
196004;35.6;1
196005;70.9;1
196006;34.1;1
196007;56.8;1
196008;72.9;1
196009;96.6;1
196010;162.8;1
196011;171.6;1
196012;127.6;1
196101;116.9;1
196102;48;1
196103;3.1;1
196104;50.6;1
196105;51.9;1
196106;45;1
196107;87.9;1
196108;3;1
196109;68.4;1
196110;88.3;1
196111;83.1;1
196112;93.4;1
196201;88.3;1
196202;33.4;1
196203;105.2;1
196204;48.6;1
196205;39.7;1
196206;16.8;1
196207;53.3;1
196208;22.2;1
196209;66.5;1
196210;76.1;1
196211;159.8;1
196212;54.6;1
196301;30.6;1
196302;43.5;1
196303;86.2;1
196304;68.5;1
196305;48.2;1
196306;63.1;1
196307;22.9;1
196308;111.7;1
196309;37.6;1
196310;31.6;1
196311;124.7;1
196312;4.5;1
196401;15.5;1
196402;85.1;1
196403;79.3;1
196404;66.9;1
196405;60.3;1
196406;45.7;1
196407;12.4;1
196408;14.7;1
196409;51.6;1
196410;43.2;1
196411;23.3;1
196412;48.1;1
196501;120.7;1
196502;2.8;1
196503;58.5;1
196504;43.7;1
196505;50.4;1
196506;45.5;1
196507;26.4;1
196508;135.8;1
196509;173.2;1
196510;20.8;1
196511;132.5;1
196512;139.1;1
196601;106.5;1
196602;80.4;1
196603;23;1
196604;122.2;1
196605;46.5;1
196606;44.7;1
196607;80.5;1
196608;51.6;1
196609;23.9;1
196610;166;1
196611;107.8;1
196612;95;1
196701;21.3;1
196702;71;1
196703;59.9;1
196704;42.8;1
196705;76;1
196706;26;1
196707;13.1;1
196708;53.8;1
196709;92.2;1
196710;99.5;1
196711;76.7;1
196712;85;1
196801;105.2;1
196802;75.9;1
196803;52.3;1
196804;70.5;1
196805;55.3;1
196806;67.6;1
196807;43.7;1
196808;86.4;1
196809;115.5;1
196810;58.2;1
196811;19.3;1
196812;60.4;1
196901;48.3;1
196902;30.7;1
196903;71.9;1
196904;48.7;1
196905;79.4;1
196906;35.5;1
196907;34.7;1
196908;30.5;1
196909;19.3;1
196910;9.4;1
196911;171.2;1
196912;72.3;1
197001;78.8;1
197002;126.6;1
197003;68.9;1
197004;31.4;1
197005;39.8;1
197006;90.5;1
197007;16.6;1
197008;94.6;1
197009;20.8;1
197010;22.4;1
197011;93.4;1
197012;34.1;1
197101;79.3;1
197102;32.9;1
197103;37.4;1
197104;39.2;1
197105;97.5;1
197106;71.9;1
197107;32.6;1
197108;91.2;1
197109;23.1;1
197110;18.9;1
197111;77.5;1
197112;11.9;1
197201;102;1
197202;106.9;1
197203;47.4;1
197204;53.7;1
197205;29.2;1
197206;57;1
197207;61.5;1
197208;123.2;1
197209;21.7;1
197210;15.4;1
197211;104.1;1
197212;30.3;1
197301;29.6;1
197302;55.6;1
197303;3.2;1
197304;48;1
197305;118.4;1
197306;37.9;1
197307;53.1;1
197308;35.4;1
197309;101.1;1
197310;27.6;1
197311;43.7;1
197312;71.7;1
197401;87.9;1
197402;53.6;1
197403;57.9;1
197404;38.4;1
197405;40.8;1
197406;55.5;1
197407;25.6;1
197408;42.7;1
197409;88.7;1
197410;98;1
197411;97.3;1
197412;44.2;1
197501;78.9;1
197502;10.6;1
197503;83.8;1
197504;56.1;1
197505;85.1;1
197506;30.7;1
197507;57.8;1
197508;30;1
197509;118;1
197510;27.6;1
197511;93.6;1
197512;27.9;1
197601;15.6;1
197602;59.1;1
197603;29.3;1
197604;24.1;1
197605;11.8;1
197606;0;1
197607;49.7;1
197608;10.9;1
197609;83.8;1
197610;85.1;1
197611;94.3;1
197612;67.7;1
197701;46.3;1
197702;134.3;1
197703;78.3;1
197704;32.5;1
197705;80.1;1
197706;63.6;1
197707;35.7;1
197708;52.7;1
197709;10.1;1
197710;61.4;1
197711;77;1
197712;72.7;1
197801;99.5;1
197802;101.9;1
197803;118.7;1
197804;64.9;1
197805;80;1
197806;67.2;1
197807;43.3;1
197808;22.4;1
197809;19.9;1
197810;5.9;1
197811;19.7;1
197812;137.9;1
197901;56.8;1
197902;105.7;1
197903;106.8;1
197904;64.3;1
197905;70.1;1
197906;46.3;1
197907;21.4;1
197908;44.7;1
197909;30.6;1
197910;123.6;1
197911;36.6;1
197912;138.8;1
198001;68.8;1
198002;68;1
198003;113.7;1
198004;5.8;1
198005;29.9;1
198006;95;1
198007;125;1
198008;14.9;1
198009;34.7;1
198010;66.3;1
198011;61.5;1
198012;101.5;1
198101;59.7;1
198102;60.9;1
198103;92;1
198104;26.6;1
198105;148.1;1
198106;37.6;1
198107;45.7;1
198108;20.4;1
198109;49.5;1
198110;144.9;1
198111;20.7;1
198112;144.7;1
198201;83.7;1
198202;29;1
198203;45.5;1
198204;13.2;1
198205;60.9;1
198206;78;1
198207;80.1;1
198208;43.3;1
198209;50.4;1
198210;101.6;1
198211;74.8;1
198212;111.2;1
198301;55.7;1
198302;73.7;1
198303;50.6;1
198304;162.5;1
198305;92;1
198306;55.5;1
198307;111;1
198308;66.9;1
198309;65.1;1
198310;24.1;1
198311;42.8;1
198312;41.1;1
198401;114.4;1
198402;25.3;1
198403;59.9;1
198404;7.6;1
198405;188.2;1
198406;68.4;1
198407;37.2;1
198408;53.9;1
198409;119.8;1
198410;84.6;1
198411;139.1;1
198412;55.3;1
198501;32.5;1
198502;37.5;1
198503;64.3;1
198504;82.6;1
198505;104.2;1
198506;34.9;1
198507;55.2;1
198508;39.6;1
198509;14.9;1
198510;7.6;1
198511;58.1;1
198512;38.4;1
198601;99.3;1
198602;42.9;1
198603;82.1;1
198604;81.6;1
198605;35.5;1
198606;38.8;1
198607;23;1
198608;49.5;1
198609;53.9;1
198610;74.7;1
198611;51.8;1
198612;86.8;1
198701;29.1;1
198702;56.5;1
198703;46.5;1
198704;32.1;1
198705;35.4;1
198706;78.7;1
198707;95.4;1
198708;31.8;1
198709;26.2;1
198710;115.1;1
198711;71.2;1
198712;85.8;1
198801;126.7;1
198802;87.5;1
198803;73;1
198804;47.4;1
198805;99.3;1
198806;24.5;1
198807;98.3;1
198808;14.4;1
198809;41.6;1
198810;62.2;1
198811;41.7;1
198812;36.1;1
198901;38.2;1
198902;62.9;1
198903;96.6;1
198904;117.6;1
198905;26.8;1
198906;38.7;1
198907;22.4;1
198908;18.1;1
198909;20.7;1
198910;37.6;1
198911;60.9;1
198912;100.3;1
199001;48.5;1
199002;74.3;1
199003;7.6;1
199004;43.7;1
199005;47.5;1
199006;60.7;1
199007;42.1;1
199008;6.1;1
199009;25.9;1
199010;91.8;1
199011;59.4;1
199012;77.2;1
199101;88.6;1
199102;35.4;1
199103;75.8;1
199104;65.7;1
199105;23;1
199106;47.3;1
199107;44.6;1
199108;17.2;1
199109;62.2;1
199110;62.6;1
199111;58;1
199112;15.7;1
199201;9.9;1
199202;28.2;1
199203;43.1;1
199204;37.3;1
199205;19;1
199206;64.6;1
199207;40.2;1
199208;94.9;1
199209;55.2;1
199210;77.1;1
199211;121.3;1
199212;74.5;1
199301;92.8;1
199302;13.1;1
199303;6;1
199304;114.7;1
199305;76.5;1
199306;76.8;1
199307;34.4;1
199308;15.6;1
199309;75.6;1
199310;119.4;1
199311;20.9;1
199312;66.9;1
199401;81.6;1
199402;100.1;1
199403;51.2;1
199404;62.5;1
199405;74.5;1
199406;55.2;1
199407;49.2;1
199408;80.2;1
199409;107.5;1
199410;59.8;1
199411;63.7;1
199412;96;1
199501;154.6;1
199502;86.8;1
199503;105.7;1
199504;42.3;1
199505;49.1;1
199506;18.4;1
199507;22.4;1
199508;61.5;1
199509;106.8;1
199510;28.4;1
199511;31.5;1
199512;84.5;1
199601;69.6;1
199602;49.7;1
199603;32.5;1
199604;13.4;1
199605;49.7;1
199606;7.7;1
199607;37.6;1
199608;30;1
199609;33.1;1
199610;36.8;1
199611;131.4;1
199612;45.7;1
199701;14.5;1
199702;121;1
199703;11.8;1
199704;15;1
199705;92.7;1
199706;146.1;1
199707;17.4;1
199708;57.9;1
199709;4.6;1
199710;26.2;1
199711;92;1
199712;79.8;1
199801;105.3;1
199802;7;1
199803;20.9;1
199804;152.1;1
199805;27.1;1
199806;75.9;1
199807;42.5;1
199808;24.9;1
199809;126;1
199810;103;1
199811;37.2;1
199812;102.4;1
199901;67.2;1
199902;73.5;1
199903;46.9;1
199904;112;1
199905;108;1
199906;56.3;1
199907;68.3;1
199908;117;1
199909;136.1;1
199910;74.3;1
199911;56.8;1
199912;180.7;1
200001;27.5;1
200002;89.5;1
200003;38.9;1
200004;106.3;1
200005;74.4;1
200006;38.5;1
200007;92.7;1
200008;28.5;1
200009;53.8;1
200010;143.4;1
200011;136;1
200012;110.1;1
200101;104.4;1
200102;57.4;1
200103;161.7;1
200104;81.6;1
200105;23.2;1
200106;20.9;1
200107;193.5;1
200108;92.3;1
200109;57.7;1
200110;83.9;1
200111;37.9;1
200112;47.8;1
200201;36.2;1
200202;78.9;1
200203;93.7;1
200204;12.9;1
200205;73.2;1
200206;49.6;1
200207;56.9;1
200208;86.2;1
200209;38.9;1
200210;94.1;1
200211;152;1
200212;89.7;1
200301;86.2;1
200302;40.2;1
200303;15.1;1
200304;32.3;1
200305;78.2;1
200306;86.5;1
200307;77.6;1
200308;19.6;1
200309;29;1
200310;99.8;1
200311;80.2;1
200312;65.6;1
200401;162.9;1
200402;8.2;1
200403;55.4;1
200404;70.3;1
200405;55.8;1
200406;18.5;1
200407;47;1
200408;71.2;1
200409;26.9;1
200410;137.6;1
200411;36.9;1
200412;74.2;1
200501;72.3;1
200502;29.1;1
200503;53.3;1
200504;63;1
200505;50.2;1
200506;35.5;1
200507;86.6;1
200508;36;1
200509;22.9;1
200510;61.3;1
200511;43.1;1
200512;50.1;1
200601;52.6;1
200602;52.1;1
200603;113.8;1
200604;27.7;1
200605;58.7;1
200606;19.7;1
200607;83.2;1
200608;30.4;1
200609;36.4;1
200610;78.6;1
200611;81.8;1
200612;101.7;1
200701;58.1;1
200702;81.6;1
200703;64.2;1
200704;3.6;1
200705;68.5;1
200706;150;1
200707;180.8;1
200708;83.9;1
200709;17.2;1
200710;46.5;1
200711;64.7;1
200712;92.6;1
200801;88.5;1
200802;74;1
200803;88.9;1
200804;87.7;1
200805;97.6;1
200806;21.2;1
200807;45.8;1
200808;66.3;1
200809;34;1
200810;70;1
200811;76.8;1
200812;56.1;1
200901;59.8;1
