# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 41269001
# NOM_USUEL= VENDOME
# LATITUDE (°) = 47.827
# LONGITUDE(°)= 1.054
# ALTITUDE (m) = 115
# NUM_SERIE= MRR141269001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : 195712 197402 198212
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;42.2;1
194702;51.7;1
194703;116.7;1
194704;24;1
194705;83.4;1
194706;56;1
194707;17.8;1
194708;53.8;1
194709;31.4;1
194710;12.4;1
194711;59.2;1
194712;79;1
194801;105;1
194802;32.2;1
194803;20.1;1
194804;66.5;1
194805;52.5;1
194806;40.8;1
194807;38.1;1
194808;114.2;1
194809;16.7;1
194810;24.8;1
194811;72.3;1
194812;68.9;1
194901;13.5;1
194902;10.3;1
194903;26.8;1
194904;26.1;1
194905;31.8;1
194906;27.3;1
194907;2.7;1
194908;42.9;1
194909;122.8;1
194910;62.6;1
194911;73.3;1
194912;52.1;1
195001;18.8;1
195002;63.5;1
195003;22.7;1
195004;53.6;1
195005;64.3;1
195006;78.6;1
195007;53.5;1
195008;74.5;1
195009;55.7;1
195010;31;1
195011;92.5;1
195012;81.1;1
195101;48.4;1
195102;71.6;1
195103;45.5;1
195104;63.2;1
195105;101.2;1
195106;117.4;1
195107;41.9;1
195108;87.1;1
195109;69;1
195110;28.3;1
195111;69.2;1
195112;69;1
195201;56;1
195202;50.4;1
195203;83.3;1
195204;3;1
195205;47.5;1
195206;11.7;1
195207;36.9;1
195208;85.1;1
195209;97.5;1
195210;101.3;1
195211;87.4;1
195212;98.1;1
195301;28;1
195302;23.7;1
195303;2.1;1
195304;70.4;1
195305;28;1
195306;51.3;1
195307;50.9;1
195308;14.1;1
195309;58.8;1
195310;56.1;1
195311;18.3;1
195312;17.9;1
195401;20.9;1
195402;57.3;1
195403;68.3;1
195404;5.7;1
195405;20.9;1
195406;53.6;1
195407;25.1;1
195408;62.5;1
195409;50.3;1
195410;26.1;1
195411;22;1
195412;66.7;1
195501;82.7;1
195502;68.9;1
195503;54.2;1
195504;0;1
195505;30.8;1
195506;77.5;1
195507;40.7;1
195508;47.4;1
195509;44;1
195510;57.5;1
195511;28.5;1
195512;71.4;1
195601;61.7;1
195602;0.8;1
195603;9.7;1
195604;43.1;1
195605;63.5;1
195606;38.4;1
195607;40.4;1
195608;87.1;1
195609;29.2;1
195610;43.6;1
195611;29.2;1
195612;25.2;1
195701;22;1
195702;111.4;1
195703;33.2;1
195704;35.8;1
195705;16.2;1
195706;97.3;1
195707;106;1
195708;47.8;1
195709;66.8;1
195710;15.7;1
195711;45;1
195712;44.1;1
195801;87.4;1
195802;123.6;1
195803;53.5;1
195804;44.1;1
195805;84.8;1
195806;99;1
195807;84.8;1
195808;73.8;1
195809;53.5;1
195810;46;1
195811;62.2;1
195812;80.2;1
195901;84.9;1
195902;0;1
195903;40.5;1
195904;99.7;1
195905;53.8;1
195906;56;1
195907;6.2;1
195908;16.7;1
195909;13.4;1
195910;72.5;1
195911;45;1
195912;77.5;1
196001;67.1;1
196002;50.2;1
196003;44.4;1
196004;29.7;1
196005;61.9;1
196006;58.1;1
196007;78.1;1
196008;62.8;1
196009;72;1
196010;131.9;1
196011;95.1;1
196012;99.2;1
196101;118.4;1
196102;35.9;1
196103;1.1;1
196104;47.6;1
196105;47.3;1
196106;34.7;1
196107;88;1
196108;0;1
196109;61;1
196110;102.5;1
196111;94.7;1
196112;67.6;1
196201;75.6;1
196202;20.6;1
196203;96.7;1
196204;39.6;1
196205;52.4;1
196206;22.6;1
196207;40.6;1
196208;13.9;1
196209;56;1
196210;34.9;1
196211;115.6;1
196212;43.2;1
196301;26.7;1
196302;53.5;1
196303;88.4;1
196304;69.9;1
196305;38;1
196306;110.8;1
196307;3.1;1
196308;109.5;1
196309;51.6;1
196310;24.6;1
196311;81.4;1
196312;4.1;1
196401;32.4;1
196402;69;1
196403;64;1
196404;60.7;1
196405;36;1
196406;31.9;1
196407;11.3;1
196408;25.5;1
196409;39.3;1
196410;48.3;1
196411;29.8;1
196412;44.2;1
196501;109;1
196502;3.1;1
196503;61.7;1
196504;33.1;1
196505;54.4;1
196506;46.6;1
196507;55.1;1
196508;112;1
196509;163;1
196510;16.5;1
196511;120.3;1
196512;116.2;1
196601;93.6;1
196602;87.9;1
196603;24.3;1
196604;94.1;1
196605;58.6;1
196606;46.9;1
196607;80.2;1
196608;78.9;1
196609;15.4;1
196610;139.3;1
196611;103.3;1
196612;93.5;1
196701;24;1
196702;60.4;1
196703;66.8;1
196704;38.1;1
196705;79.3;1
196706;28;1
196707;11.8;1
196708;62.7;1
196709;101.8;1
196710;100.7;1
196711;60.1;1
196712;94.3;1
196801;96.7;1
196802;57.6;1
196803;51.4;1
196804;67.9;1
196805;50;1
196806;50.4;1
196807;49.4;1
196808;72;1
196809;99.7;1
196810;52.4;1
196811;33.8;1
196812;64.8;1
196901;46.3;1
196902;29.3;1
196903;61.2;1
196904;50.9;1
196905;65.2;1
196906;47.3;1
196907;25.7;1
196908;26.7;1
196909;25.7;1
196910;5.3;1
196911;157.8;1
196912;57.4;1
197001;57.1;1
197002;112.1;1
197003;69.9;1
197004;59.6;1
197005;30.8;1
197006;47.3;1
197007;19.5;1
197008;57.6;1
197009;17;1
197010;22.6;1
197011;59.1;1
197012;28.8;1
197101;63.7;1
197102;32.9;1
197103;25.7;1
197104;51.6;1
197105;122.9;1
197106;57.1;1
197107;53.5;1
197108;82.3;1
197109;22.9;1
197110;12.3;1
197111;61.5;1
197112;7.2;1
197201;88.4;1
197202;80.2;1
197203;27.8;1
197204;40.1;1
197205;41.1;1
197206;62.7;1
197207;61.7;1
197208;69.9;1
197209;33.9;1
197210;18.5;1
197211;98.2;1
197212;27.6;1
197301;27.7;1
197302;58.3;1
197303;4.1;1
197304;48.2;1
197305;69.3;1
197306;46.3;1
197307;63.7;1
197308;19.5;1
197309;96.3;1
197310;40.1;1
197311;42.2;1
197312;62.7;1
197401;68.7;1
197402;56.8;1
197403;46.5;1
197404;30.2;1
197405;44.4;1
197406;64.3;1
197407;16.8;1
197408;45.3;1
197409;77.7;1
197410;81.6;1
197411;74.7;1
197412;32.6;1
197501;88.7;1
197502;9.3;1
197503;62;1
197504;42.4;1
197505;118.9;1
197506;31.8;1
197507;90.6;1
197508;21.3;1
197509;119;1
197510;31.7;1
197511;86.6;1
197512;22.3;1
197601;10.5;1
197602;58.6;1
197603;25.4;1
197604;27.4;1
197605;17.9;1
197606;0;1
197607;29.1;1
197608;4.4;1
197609;109.3;1
197610;49.7;1
197611;60.2;1
197612;69.7;1
197701;45.2;1
197702;115.9;1
197703;50.6;1
197704;23;1
197705;67.2;1
197706;76.8;1
197707;56.2;1
197708;40.9;1
197709;9;1
197710;67.2;1
197711;51.9;1
197712;59.8;1
197801;87.2;1
197802;128.7;1
197803;92.9;1
197804;67.6;1
197805;27.5;1
197806;63.3;1
197807;50.8;1
197808;17;1
197809;20.5;1
197810;1.7;1
197811;23.4;1
197812;127.5;1
197901;55.7;1
197902;103.3;1
197903;90.3;1
197904;58.1;1
197905;76.7;1
197906;35.8;1
197907;24.7;1
197908;46.1;1
197909;26.6;1
197910;85.3;1
197911;28.2;1
197912;120;1
198001;59.6;1
198002;64.6;1
198003;105.7;1
198004;8.9;1
198005;34.5;1
198006;87.6;1
198007;97.4;1
198008;6.2;1
198009;34.9;1
198010;51.8;1
198011;56.8;1
198012;82.6;1
198101;72.2;1
198102;66.1;1
198103;80.5;1
198104;24.4;1
198105;108.2;1
198106;21;1
198107;20.7;1
198108;10.3;1
198109;45.7;1
198110;120.4;1
198111;38.2;1
198112;127.1;1
198201;74;1
198202;27.2;1
198203;45.6;1
198204;11.1;1
198205;51.7;1
198206;74.7;1
198207;70.9;1
198208;58;1
198209;47.9;1
198210;129.4;1
198211;79.3;1
198212;104.8;1
198301;48.9;1
198302;62.1;1
198303;46.2;1
198304;141.7;1
198305;71.9;1
198306;76.1;1
198307;89.4;1
198308;23.7;1
198309;55;1
198310;29;1
198311;26.8;1
198312;35.2;1
198401;99.5;1
198402;24.1;1
198403;52.8;1
198404;5.9;1
198405;124.8;1
198406;24.4;1
198407;22.2;1
198408;76.2;1
198409;107;1
