# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 41285001
# NOM_USUEL= VILLENY
# LATITUDE (°) = 47.611
# LONGITUDE(°)= 1.744
# ALTITUDE (m) = 127
# NUM_SERIE= MRR141285001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 194701 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  194701 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194701;46.5;1
194702;65;1
194703;106.4;1
194704;22.4;1
194705;86.9;1
194706;34.8;1
194707;20;1
194708;79.2;1
194709;7.5;1
194710;10.3;1
194711;53.3;1
194712;91.1;1
194801;86;1
194802;27.7;1
194803;26.7;1
194804;62.2;1
194805;80.3;1
194806;53.9;1
194807;26.5;1
194808;69;1
194809;23.7;1
194810;21.1;1
194811;67.6;1
194812;46.5;1
194901;21.5;1
194902;12.7;1
194903;31.7;1
194904;22.7;1
194905;21.5;1
194906;14.1;1
194907;3.3;1
194908;65;1
194909;117.4;1
194910;41.9;1
194911;94.6;1
194912;48.5;1
195001;14.3;1
195002;80.7;1
195003;20;1
195004;59.2;1
195005;65;1
195006;50;1
195007;35;1
195008;39.4;1
195009;51.7;1
195010;25.2;1
195011;72.4;1
195012;82.7;1
195101;47.6;1
195102;66.2;1
195103;79.5;1
195104;55.1;1
195105;113.8;1
195106;119.7;1
195107;48.6;1
195108;47.3;1
195109;33;1
195110;55.2;1
195111;42.5;1
195112;48.4;1
195201;69.9;1
195202;43.4;1
195203;65.6;1
195204;9.2;1
195205;64.6;1
195206;32.9;1
195207;0.9;1
195208;98.1;1
195209;94;1
195210;105.2;1
195211;101.2;1
195212;103;1
195301;15.5;1
195302;25.8;1
195303;2;1
195304;54;1
195305;7.6;1
195306;30.5;1
195307;143.2;1
195308;11.7;1
195309;77.7;1
195310;67;1
195311;31.6;1
195312;21.3;1
195401;28;1
195402;60.8;1
195403;87.3;1
195404;2.9;1
195405;27.6;1
195406;76.8;1
195407;23.9;1
195408;73.2;1
195409;67;1
195410;23.4;1
195411;36.7;1
195412;61.6;1
195501;112.1;1
195502;77;1
195503;38.7;1
195504;2;1
195505;33.4;1
195506;67.9;1
195507;37.5;1
195508;23.5;1
195509;60.4;1
195510;43.6;1
195511;31.7;1
195512;108;1
195601;45.3;1
195602;5.4;1
195603;19.8;1
195604;59.9;1
195605;34.9;1
195606;49;1
195607;39.6;1
195608;75.4;1
195609;44.6;1
195610;34.8;1
195611;41.1;1
195612;30.7;1
195701;15;1
195702;110.9;1
195703;28;1
195704;24.8;1
195705;49.9;1
195706;115.3;1
195707;89.3;1
195708;46.7;1
195709;72;1
195710;23.3;1
195711;28.5;1
195712;35.7;1
195801;99.6;1
195802;101.8;1
195803;53.8;1
195804;36.8;1
195805;117;1
195806;85.3;1
195807;72.9;1
195808;110;1
195809;68.4;1
195810;51.5;1
195811;60.4;1
195812;86.2;1
195901;77.2;1
195902;0;1
195903;47.3;1
195904;109.8;1
195905;27.7;1
195906;42.4;1
195907;10.3;1
195908;103.5;1
195909;12.9;1
195910;77.5;1
195911;59.1;1
195912;77.4;1
196001;50.7;1
196002;36.3;1
196003;55.1;1
196004;33.7;1
196005;48.4;1
196006;89.9;1
196007;83;1
196008;51.4;1
196009;82.2;1
196010;211.1;1
196011;75.2;1
196012;94.9;1
196101;83.8;1
196102;40.1;1
196103;1.9;1
196104;39.4;1
196105;63.4;1
196106;55.6;1
196107;55.4;1
196108;0.9;1
196109;69.1;1
196110;77.6;1
196111;102.6;1
196112;75.9;1
196201;81.6;1
196202;32.7;1
196203;111.3;1
196204;40;1
196205;85.9;1
196206;29;1
196207;64.4;1
196208;18.4;1
196209;54.3;1
196210;22.3;1
196211;122;1
196212;45.9;1
196301;21.9;1
196302;54.1;1
196303;81.5;1
196304;58.8;1
196305;67.4;1
196306;87.7;1
196307;18.8;1
196308;134.5;1
196309;39.3;1
196310;36.3;1
196311;77;1
196312;4.2;1
196401;18.9;1
196402;66.6;1
196403;65.8;1
196404;68;1
196405;33.6;1
196406;33.1;1
196407;16.2;1
196408;16.8;1
196409;40.9;1
196410;42.6;1
196411;27.8;1
196412;47;1
196501;116.4;1
196502;2.8;1
196503;67.8;1
196504;52.9;1
196505;90.8;1
196506;27.9;1
196507;50.3;1
196508;89.6;1
196509;133.6;1
196510;16.3;1
196511;103.9;1
196512;99.2;1
196601;94.5;1
196602;101.9;1
196603;13.1;1
196604;67;1
196605;42.1;1
196606;57.1;1
196607;118.7;1
196608;74.5;1
196609;6.4;1
196610;106.1;1
196611;78.2;1
196612;95.5;1
196701;23.1;1
196702;44.8;1
196703;47.7;1
196704;14;1
196705;76.7;1
196706;26;1
196707;6;1
196708;32.5;1
196709;112.6;1
196710;85.1;1
196711;86.4;1
196712;82.6;1
196801;86.8;1
196802;61.8;1
196803;40.3;1
196804;54.5;1
196805;58.4;1
196806;52.5;1
196807;70.2;1
196808;108.6;1
196809;65.1;1
196810;40.4;1
196811;31.2;1
196812;56.1;1
196901;41.1;1
196902;33.5;1
196903;54.8;1
196904;36;1
196905;72.1;1
196906;48.1;1
196907;22.6;1
196908;35.6;1
196909;45.7;1
196910;4.9;1
196911;133.1;1
196912;47.9;1
197001;80.7;1
197002;102.1;1
197003;63.3;1
197004;52;1
