# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42005001
# NOM_USUEL= ST ETIENNE-BOUTHEON
# LATITUDE (°) = 45.546
# LONGITUDE(°)= 4.294
# ALTITUDE (m) = 395
# NUM_SERIE= MRR142005001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 197712
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;24.4;1
195002;24.9;1
195003;27.1;1
195004;80.8;1
195005;53.3;1
195006;90.1;1
195007;25.8;1
195008;119.5;1
195009;48.4;1
195010;27.5;1
195011;83.8;1
195012;18.8;1
195101;19.1;1
195102;62.8;1
195103;47.5;1
195104;21.1;1
195105;134.5;1
195106;148.5;1
195107;87.3;1
195108;112.6;1
195109;50;1
195110;60.6;1
195111;145.9;1
195112;14;1
195201;30;1
195202;20.5;1
195203;55.6;1
195204;34.7;1
195205;28.7;1
195206;80;1
195207;30;1
195208;116.1;1
195209;48.7;1
195210;70;1
195211;79;1
195212;25.2;1
195301;9;1
195302;7.8;1
195303;2;1
195304;37.8;1
195305;43.5;1
195306;133.6;1
195307;44.8;1
195308;66.9;1
195309;79;1
195310;85.7;1
195311;7.4;1
195312;40.9;1
195401;31.1;1
195402;37.5;1
195403;35;1
195404;41.5;1
195405;64.9;1
195406;28.9;1
195407;39.1;1
195408;118.3;1
195409;111.2;1
195410;42.2;1
195411;37;1
195412;22;1
195501;60.6;1
195502;43.2;1
195503;34.9;1
195504;6.9;1
195505;39.8;1
195506;134.3;1
195507;28.5;1
195508;42;1
195509;34.1;1
195510;28.3;1
195511;26.1;1
195512;30.1;1
195601;67.1;1
195602;15.4;1
195603;46.2;1
195604;41.9;1
195605;108.4;1
195606;37.1;1
195607;102.4;1
195608;100.4;1
195609;91;1
195610;59.5;1
195611;10.2;1
195612;27.7;1
195701;40.8;1
195702;40.8;1
195703;22.2;1
195704;71.1;1
195705;51.9;1
195706;174.6;1
195707;40.8;1
195708;21.8;1
195709;37.4;1
195710;16.5;1
195711;53.5;1
195712;34.5;1
195801;23.1;1
195802;39.8;1
195803;40.8;1
195804;50.1;1
195805;54;1
195806;99.3;1
195807;49;1
195808;110.6;1
195809;134.5;1
195810;58.5;1
195811;72.1;1
195812;52.6;1
195901;36.3;1
195902;2.9;1
195903;93.6;1
195904;39.2;1
195905;94.9;1
195906;40.5;1
195907;30.1;1
195908;70.3;1
195909;26.9;1
195910;38.4;1
195911;62.2;1
195912;16.5;1
196001;38.8;1
196002;82.7;1
196003;64.9;1
196004;27.1;1
196005;36.8;1
196006;70.8;1
196007;78.2;1
196008;88.7;1
196009;86.5;1
196010;122;1
196011;81.4;1
196012;22.5;1
196101;47.1;1
196102;13.4;1
196103;6.1;1
196104;74.6;1
