# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 42227001
# NOM_USUEL= ST GEORGES EN C
# LATITUDE (°) = 45.702
# LONGITUDE(°)= 3.956
# ALTITUDE (m) = 496
# NUM_SERIE= MRR142227001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 202012
# Date(s) de rupture(s) d'homogénéité : 199206
#     Periode homogénéisée  195001 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;19.6;1
195002;40.8;1
195003;32.2;1
195004;85.8;1
195005;57.6;1
195006;85.3;1
195007;40.9;1
195008;44.7;1
195009;43.7;1
195010;32.2;1
195011;137.5;1
195012;23.1;1
195101;33.9;1
195102;65.6;1
195103;29.8;1
195104;35.9;1
195105;150.9;1
195106;102.8;1
195107;75.9;1
195108;135;1
195109;39.7;1
195110;43;1
195111;141.5;1
195112;32;1
195201;74.7;1
195202;34.5;1
195203;32.9;1
195204;24.7;1
195205;21.8;1
195206;68;1
195207;12.3;1
195208;91.2;1
195209;63.6;1
195210;111.4;1
195211;86.8;1
195212;65.9;1
195301;1.7;1
195302;16.5;1
195303;3.5;1
195304;23.2;1
195305;19.7;1
195306;95.1;1
195307;39.3;1
195308;38.4;1
195309;72.4;1
195310;81.6;1
195311;8.8;1
195312;41.3;1
195401;37;1
195402;45;1
195403;53.6;1
195404;61.4;1
195405;76.5;1
195406;56.8;1
195407;41;1
195408;165.1;1
195409;116.2;1
195410;21.4;1
195411;30.6;1
195412;47;1
195501;134.1;1
195502;74.2;1
195503;22.9;1
195504;1.3;1
195505;42.1;1
195506;176.3;1
195507;83.5;1
195508;41.7;1
195509;55.6;1
195510;46.4;1
195511;19.1;1
195512;43.7;1
195601;69.7;1
195602;21.6;1
195603;42.1;1
195604;28.8;1
195605;88.6;1
195606;36.5;1
195607;118.3;1
195608;77.7;1
195609;103.9;1
195610;61.5;1
195611;11.8;1
195612;43.2;1
195701;24.8;1
195702;54.5;1
195703;16;1
195704;49.4;1
195705;34.7;1
195706;159.3;1
195707;49.5;1
195708;26.3;1
195709;42.6;1
195710;10.7;1
195711;52.6;1
195712;52;1
195801;52.3;1
195802;31.7;1
195803;49.4;1
195804;64.3;1
195805;48;1
195806;116.4;1
195807;66.5;1
195808;94.9;1
195809;171.1;1
195810;42.9;1
195811;76.4;1
195812;71;1
195901;84.6;1
195902;7.2;1
195903;61.5;1
195904;41.9;1
195905;73.9;1
195906;105.6;1
195907;20.4;1
195908;44.4;1
195909;78.7;1
195910;64.2;1
195911;41.7;1
195912;56.7;1
196001;48.2;1
196002;57.8;1
196003;73.7;1
196004;21.4;1
196005;50.1;1
196006;96.9;1
196007;83.7;1
196008;130.2;1
196009;98.1;1
196010;108.1;1
196011;63.6;1
196012;31.2;1
196101;54;1
196102;44.3;1
196103;4.4;1
196104;56.3;1
196105;53.7;1
196106;24.2;1
196107;48.3;1
196108;94.7;1
196109;27.6;1
196110;105.9;1
196111;60.3;1
196112;42.7;1
196201;78.9;1
196202;54.9;1
196203;54.8;1
196204;81.2;1
196205;83.4;1
196206;80.8;1
196207;41.1;1
196208;31.6;1
196209;142.8;1
196210;17.2;1
196211;73.8;1
196212;70.4;1
196301;32.5;1
196302;25.3;1
196303;55.2;1
196304;48.6;1
196305;45.1;1
196306;170.3;1
196307;127.7;1
196308;141.1;1
196309;56;1
196310;32.7;1
196311;126.2;1
196312;11.1;1
196401;9;1
196402;40;1
196403;51.4;1
196404;65;1
196405;112.4;1
196406;12.5;1
196407;92.1;1
196408;83.8;1
196409;63.8;1
196410;73.6;1
196411;31.7;1
196412;31.5;1
196501;56;1
196502;11.6;1
196503;31.8;1
196504;70.4;1
196505;131.1;1
196506;70.5;1
196507;91.4;1
196508;37;1
196509;143.6;1
196510;58.9;1
196511;93.6;1
196512;109.9;1
196601;54.4;1
196602;58.6;1
196603;47.6;1
196604;61.3;1
196605;72.8;1
196606;68.5;1
196607;44.6;1
196608;60.9;1
196609;24.1;1
196610;129.6;1
196611;120.4;1
196612;69.8;1
196701;39;1
196702;38.6;1
196703;54.3;1
196704;15.8;1
196705;89;1
196706;106.1;1
196707;116.3;1
196708;85.7;1
196709;80.9;1
196710;36.5;1
196711;88.5;1
196712;44.2;1
196801;95.1;1
196802;52.7;1
196803;20.2;1
196804;52.8;1
196805;111.6;1
196806;30.2;1
196807;50.2;1
196808;96.4;1
196809;105.5;1
196810;62.3;1
196811;64.2;1
196812;90.8;1
196901;46.3;1
196902;36.1;1
196903;54.9;1
196904;124.3;1
196905;54.2;1
196906;183.4;1
196907;68.3;1
196908;69;1
196909;127;1
196910;17.7;1
196911;74.9;1
196912;49.2;1
197001;36;1
197002;99.5;1
197003;76.5;1
197004;75.1;1
197005;84.7;1
197006;109.7;1
197007;10.9;1
197008;50.7;1
197009;14.7;1
197010;86.9;1
197011;47.9;1
197012;59.5;1
197101;83.3;1
197102;22.4;1
197103;89.3;1
197104;58.1;1
197105;70.1;1
197106;79.8;1
197107;83.8;1
197108;91.3;1
197109;27.5;1
197110;13.2;1
197111;131;1
197112;33.1;1
197201;66.1;1
197202;83.7;1
197203;35.8;1
197204;59.9;1
197205;62.6;1
197206;58;1
197207;57.6;1
197208;52.5;1
197209;45;1
197210;69.6;1
197211;53.1;1
197212;54;1
197301;52.1;1
197302;44;1
197303;13.6;1
197304;33.3;1
197305;60.5;1
197306;61.4;1
197307;117;1
197308;58.5;1
197309;34;1
197310;41.5;1
197311;36.8;1
197312;58.9;1
197401;25.8;1
197402;99.3;1
197403;50;1
197404;66.4;1
197405;80.6;1
197406;35.3;1
197407;60.6;1
197408;99;1
197409;93.1;1
197410;88.1;1
197411;80.8;1
197412;15.9;1
197501;46;1
197502;23.9;1
197503;45.8;1
197504;21.9;1
197505;108.7;1
197506;94.1;1
197507;18.9;1
197508;124;1
197509;124.6;1
197510;12.6;1
197511;96.6;1
197512;26.5;1
197601;35.6;1
197602;61.6;1
197603;7;1
197604;28.2;1
197605;64.6;1
197606;2.5;1
197607;38.9;1
197608;118.3;1
197609;118.1;1
197610;125.4;1
197611;74.9;1
197612;106.9;1
197701;40.2;1
197702;77.8;1
197703;70.8;1
197704;66.8;1
197705;151.5;1
197706;102.8;1
197707;238.1;1
197708;141.8;1
197709;2.7;1
197710;87.1;1
197711;55.1;1
197712;39.5;1
197801;68.4;1
197802;73.4;1
197803;78.5;1
197804;50.1;1
197805;50.9;1
197806;72.6;1
197807;71;1
197808;63.9;1
197809;34.7;1
197810;21.9;1
197811;5.9;1
197812;68.7;1
197901;58.8;1
197902;43.1;1
197903;45;1
197904;35.6;1
197905;104;1
197906;96.1;1
197907;59.4;1
197908;114;1
197909;54.9;1
197910;126.3;1
197911;26.5;1
197912;111.9;1
198001;47.2;1
198002;35.2;1
198003;60.1;1
198004;70.2;1
198005;96.1;1
198006;41.4;1
198007;53.9;1
198008;138.2;1
198009;80.1;1
198010;121;1
198011;98.3;1
198012;72.9;1
198101;155.2;1
198102;50.7;1
198103;75.7;1
198104;19.9;1
198105;146.5;1
198106;76.4;1
198107;50.6;1
198108;105.4;1
198109;96.2;1
198110;76.9;1
198111;39.6;1
198112;194.1;1
