# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43003001
# NOM_USUEL= ALLEGRE
# LATITUDE (°) = 45.203
# LONGITUDE(°)= 3.718
# ALTITUDE (m) = 1035
# NUM_SERIE= MRR143003001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;37.6;1
195102;93.4;1
195103;77.1;1
195104;36.9;1
195105;179.6;1
195106;147.6;1
195107;51.2;1
195108;151.3;1
195109;57.3;1
195110;54.3;1
195111;162.3;1
195112;31.9;1
195201;98;1
195202;34.7;1
195203;46;1
195204;40.6;1
195205;60.1;1
195206;56.8;1
195207;54.9;1
195208;147.6;1
195209;48.9;1
195210;107.8;1
195211;100.5;1
195212;22.8;1
195301;15;1
195302;29.1;1
195303;1.7;1
195304;56.9;1
195305;57.1;1
195306;155.4;1
195307;32.1;1
195308;31.3;1
195309;137.8;1
195310;114.8;1
195311;19.7;1
195312;49.2;1
195401;62.7;1
195402;83.1;1
195403;81.3;1
195404;47.7;1
195405;108.1;1
195406;61.9;1
195407;62.9;1
195408;152.7;1
195409;111.7;1
195410;44;1
195411;60.7;1
195412;80.9;1
195501;170.7;1
195502;72.1;1
195503;13.8;1
195504;0;1
195505;58;1
195506;126.2;1
195507;140.7;1
195508;75.7;1
195509;35.6;1
195510;41.3;1
195511;19.9;1
195512;89.5;1
195601;75.2;1
195602;34;1
195603;51.3;1
195604;59.6;1
195605;97;1
195606;46.6;1
195607;130.9;1
195608;159;1
195609;97.4;1
195610;83;1
195611;26.7;1
195612;46.7;1
195701;31.6;1
195702;101.7;1
195703;47.8;1
195704;52.8;1
195705;53.5;1
195706;128.3;1
195707;24.7;1
195708;25.1;1
195709;45;1
195710;21.3;1
195711;65.2;1
195712;89.6;1
195801;44.9;1
195802;45;1
195803;51.2;1
195804;56.8;1
195805;34.9;1
195806;83.6;1
195807;96.5;1
195808;84.2;1
195809;111.7;1
195810;65.4;1
195811;59.5;1
195812;79.3;1
195901;60.9;1
195902;8.8;1
195903;88.1;1
195904;76.5;1
195905;101.1;1
195906;99.2;1
195907;100.9;1
195908;81;1
195909;38;1
195910;74.2;1
195911;48.8;1
195912;104;1
196001;55.2;1
196002;79;1
196003;100.8;1
196004;32.6;1
196005;39.1;1
196006;103.3;1
196007;106.7;1
196008;96;1
196009;90.6;1
196010;154.9;1
196011;86.6;1
196012;62.2;1
196101;55.1;1
196102;34.4;1
196103;4;1
196104;79.4;1
196105;46.6;1
196106;131.8;1
196107;53.5;1
196108;68;1
196109;21.3;1
196110;111.6;1
196111;87.9;1
196112;62.7;1
196201;49.4;1
196202;48.6;1
196203;37.7;1
196204;87.2;1
196205;82.2;1
196206;23.5;1
196207;27.7;1
196208;13.6;1
196209;122.9;1
196210;33;1
196211;64;1
196212;115.3;1
196301;30.1;1
196302;55.7;1
196303;101.4;1
196304;94.9;1
196305;99.1;1
196306;157.8;1
196307;74.1;1
196308;162.6;1
196309;53.4;1
196310;57.6;1
196311;129.1;1
196312;20.9;1
196401;9.1;1
196402;37;1
196403;104.9;1
196404;61.2;1
196405;128.8;1
196406;37.9;1
196407;11.8;1
196408;96.1;1
196409;74.3;1
196410;97.6;1
196411;39.9;1
196412;46;1
196501;71.1;1
196502;27.1;1
196503;58.1;1
196504;90;1
196505;123.8;1
196506;48.8;1
196507;128.5;1
196508;32.2;1
196509;153.1;1
196510;62.6;1
196511;102.6;1
196512;129.5;1
196601;80.5;1
196602;74.9;1
196603;38.7;1
196604;81.5;1
196605;87.5;1
196606;52.7;1
196607;64.2;1
196608;53.6;1
196609;40.9;1
196610;110.7;1
196611;97.6;1
196612;77.6;1
196701;32.7;1
196702;37.4;1
196703;46.1;1
196704;16.1;1
196705;97.4;1
196706;74.1;1
196707;30.5;1
196708;109.6;1
196709;74.4;1
196710;22.1;1
196711;93.8;1
196712;62.9;1
196801;102.7;1
196802;55.6;1
196803;16.3;1
196804;81.4;1
196805;130.2;1
196806;41.5;1
196807;59.5;1
196808;83.3;1
196809;122.9;1
196810;65.3;1
196811;57.2;1
196812;115.4;1
196901;68.2;1
196902;61;1
196903;47.2;1
196904;118.5;1
196905;122.5;1
196906;132.8;1
196907;107.9;1
196908;77.7;1
196909;125.3;1
196910;28.6;1
196911;78.1;1
196912;64.8;1
197001;45.9;1
197002;119.1;1
197003;104.8;1
197004;113.7;1
197005;75.6;1
197006;62.5;1
197007;48.5;1
197008;81.6;1
197009;24.9;1
197010;90.7;1
197011;48.4;1
197012;61.1;1
197101;108.5;1
197102;19.3;1
197103;84.8;1
197104;85.6;1
197105;43.1;1
197106;81.1;1
197107;68.8;1
197108;66.7;1
197109;35;1
197110;24.6;1
197111;112.6;1
197112;37.3;1
197201;80.1;1
197202;83.8;1
197203;46.9;1
197204;59.6;1
197205;59.9;1
197206;103.4;1
197207;68.6;1
197208;87;1
197209;42.1;1
197210;76.9;1
197211;51.9;1
197212;59.7;1
197301;61.8;1
197302;59.8;1
197303;19.8;1
197304;44.1;1
197305;52.2;1
197306;80.3;1
197307;152.7;1
197308;60.9;1
197309;114.4;1
197310;140.2;1
197311;50.1;1
197312;64.5;1
197401;27.2;1
197402;94.3;1
197403;78.7;1
197404;49.8;1
197405;102.7;1
197406;87.6;1
197407;45.2;1
197408;66.5;1
197409;102;1
197410;96.2;1
197411;122.6;1
197412;31;1
197501;74.6;1
197502;44.3;1
197503;63.2;1
197504;22;1
197505;150.8;1
197506;48.1;1
197507;56.3;1
197508;75.9;1
197509;157.9;1
197510;29.5;1
197511;92.2;1
197512;31.7;1
197601;24.8;1
197602;39.5;1
197603;17.7;1
197604;58.3;1
197605;64.8;1
197606;9.4;1
197607;154.2;1
197608;99.8;1
197609;86.9;1
197610;210.1;1
197611;75.7;1
197612;86.2;1
197701;77.4;1
197702;91.2;1
197703;83.2;1
197704;61.1;1
197705;164.7;1
197706;78.9;1
197707;232.5;1
197708;156.9;1
197709;14;1
197710;113.5;1
197711;48.9;1
197712;55.1;1
197801;73.7;1
197802;79.8;1
197803;95.4;1
197804;80.4;1
197805;80;1
197806;42.9;1
197807;68.4;1
197808;62.8;1
197809;53.2;1
197810;24.5;1
197811;14.7;1
197812;143.3;1
197901;42.5;1
197902;77.2;1
197903;76.4;1
197904;80.7;1
197905;99.2;1
197906;110.9;1
197907;67.3;1
197908;110.1;1
197909;28.2;1
197910;148.5;1
197911;32.4;1
