# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43046001
# NOM_USUEL= LE PUY-CHADRAC
# LATITUDE (°) = 45.055
# LONGITUDE(°)= 3.895
# ALTITUDE (m) = 714
# NUM_SERIE= MRR143046001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 196812 197912 199612
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;17.3;1
195102;54.5;1
195103;33.9;1
195104;11.4;1
195105;183.2;1
195106;103.9;1
195107;47.7;1
195108;70.2;1
195109;37.8;1
195110;48.5;1
195111;123.1;1
195112;3.5;1
195201;37.6;1
195202;15.4;1
195203;31.7;1
195204;40;1
195205;38.3;1
195206;29.6;1
195207;2.7;1
195208;84;1
195209;16.7;1
195210;49.7;1
195211;53.3;1
195212;25.6;1
195301;4;1
195302;6.7;1
195303;2.4;1
195304;29;1
195305;17.5;1
195306;131.4;1
195307;21.8;1
195308;25.5;1
195309;93.3;1
195310;83;1
195311;5.3;1
195312;20.2;1
195401;30.8;1
195402;68.7;1
195403;38.8;1
195404;60.4;1
195405;71.9;1
195406;54.6;1
195407;30.5;1
195408;109.6;1
195409;101.6;1
195410;26;1
195411;9.4;1
195412;21.6;1
195501;54;1
195502;47.1;1
195503;18.2;1
195504;3.3;1
195505;31.6;1
195506;75.2;1
195507;79.9;1
195508;35.1;1
195509;20.6;1
195510;31.4;1
195511;11.6;1
195512;43.3;1
195601;43.8;1
195602;27.3;1
195603;44;1
195604;37.9;1
195605;69.8;1
195606;24.8;1
195607;107.7;1
195608;70.8;1
195609;97.8;1
195610;41.5;1
195611;7.8;1
195612;26.1;1
195701;13;1
195702;40.9;1
195703;40;1
195704;70.7;1
195705;50.9;1
195706;187.7;1
195707;8.4;1
195708;27.4;1
195709;38.5;1
195710;10.9;1
195711;64.9;1
195712;53.4;1
195801;15.1;1
195802;21.8;1
195803;40.8;1
195804;24.1;1
195805;33.2;1
195806;48.7;1
195807;63.4;1
195808;60.5;1
195809;121.2;1
195810;30.8;1
195811;57;1
195812;73.2;1
195901;27.9;1
195902;12.2;1
195903;93.8;1
195904;35.2;1
195905;79.6;1
195906;132.9;1
195907;27.7;1
195908;56.3;1
195909;35.7;1
195910;38.5;1
195911;25.9;1
195912;39.6;1
196001;40.1;1
196002;34.6;1
196003;64.1;1
196004;9.1;1
196005;61.1;1
196006;83.8;1
196007;72.2;1
196008;46.1;1
196009;58.1;1
196010;112.3;1
196011;62.1;1
196012;32.2;1
196101;30.9;1
196102;14.1;1
196103;2.8;1
196104;65;1
196105;58.3;1
196106;58.4;1
196107;22.6;1
196108;64;1
196109;19.5;1
196110;89.8;1
196111;48.1;1
196112;28.3;1
196201;19.2;1
196202;26.6;1
196203;9.9;1
196204;62.4;1
196205;44.6;1
196206;26.3;1
196207;50.6;1
196208;5.4;1
196209;64.1;1
196210;19.5;1
196211;43.8;1
196212;30.7;1
196301;26.9;1
196302;22.9;1
196303;27.6;1
196304;69.9;1
196305;43.5;1
196306;89.4;1
196307;100.8;1
196308;98.8;1
196309;89.5;1
196310;32.3;1
196311;76.9;1
196312;32.6;1
196401;4.5;1
196402;23.5;1
196403;74;1
196404;58.2;1
196405;85.1;1
196406;30.7;1
196407;14.6;1
196408;113.6;1
196409;40.8;1
196410;66.1;1
196411;30;1
196412;15;1
196501;31.7;1
196502;6.5;1
196503;25.2;1
196504;26.3;1
196505;72;1
196506;43.5;1
196507;60.1;1
196508;12.2;1
196509;110.2;1
196510;64.5;1
196511;63.1;1
196512;68;1
196601;35.8;1
196602;34.8;1
196603;15.2;1
196604;72.7;1
196605;64.3;1
196606;62;1
196607;63.7;1
196608;31.9;1
196609;49;1
196610;98.7;1
196611;75.4;1
196612;26.8;1
196701;15.8;1
196702;20.4;1
196703;24.4;1
196704;14;1
196705;86.8;1
196706;32.2;1
196707;75.5;1
196708;53.9;1
196709;40.9;1
196710;8.1;1
196711;79.4;1
196712;19.1;1
196801;37.2;1
196802;54.1;1
196803;5.5;1
196804;31.7;1
196805;116.2;1
196806;45.3;1
196807;38.2;1
196808;57.1;1
196809;93.2;1
196810;56.6;1
196811;63;1
196812;52.7;1
196901;38.3;1
196902;31.9;1
196903;41.8;1
196904;64.5;1
196905;96;1
196906;106.3;1
196907;25.5;1
196908;59.3;1
196909;81.6;1
196910;17.8;1
196911;51.4;1
196912;23;1
197001;34.1;1
197002;32.1;1
197003;59;1
197004;52;1
197005;45.9;1
197006;92.8;1
197007;20.4;1
197008;76.5;1
197009;10.6;1
197010;59.2;1
197011;39.2;1
197012;54.5;1
197101;80.2;1
197102;12.6;1
197103;65.7;1
197104;80.8;1
197105;38.2;1
197106;71.6;1
197107;52;1
197108;73.1;1
197109;17.8;1
197110;21.5;1
197111;65.7;1
197112;26.2;1
197201;65.1;1
197202;60.3;1
197203;36.3;1
197204;31.9;1
197205;52.9;1
197206;51.5;1
197207;58.5;1
197208;79.4;1
197209;46.2;1
197210;56.6;1
197211;21;1
197212;52;1
197301;33.6;1
197302;25.3;1
197303;14.5;1
197304;21;1
197305;41.6;1
197306;80.1;1
197307;64.3;1
197308;60.6;1
197309;63;1
197310;94.5;1
197311;20.1;1
197312;52.6;1
197401;14.7;1
197402;67.2;1
197403;46.4;1
197404;63.1;1
197405;43.4;1
197406;57.7;1
197407;52.2;1
197408;28.5;1
197409;67.6;1
197410;29.1;1
197411;61.6;1
197412;4.7;1
197501;43.9;1
197502;33;1
197503;38.5;1
197504;8.6;1
197505;76;1
197506;33.7;1
197507;54.8;1
197508;76.8;1
197509;124.7;1
197510;7;1
197511;43.9;1
197512;24.8;1
197601;7.9;1
197602;15.1;1
197603;5;1
197604;25.6;1
197605;24.2;1
197606;14.1;1
197607;59.8;1
197608;121.8;1
197609;55.4;1
197610;149.2;1
197611;56.2;1
197612;42.6;1
197701;41.1;1
197702;29.3;1
197703;37.7;1
197704;29.7;1
197705;140.7;1
197706;64.6;1
197707;175.8;1
197708;110.8;1
197709;13.8;1
197710;60.8;1
197711;17.9;1
197712;44.8;1
197801;40.6;1
197802;45;1
197803;49.9;1
197804;67.7;1
197805;73.4;1
197806;26.6;1
197807;47;1
197808;56.1;1
197809;26.3;1
197810;21.7;1
197811;7.5;1
197812;87;1
197901;12.8;1
197902;37.8;1
197903;47.8;1
197904;39.5;1
197905;60.2;1
197906;59.8;1
197907;15;1
197908;70.7;1
197909;17.4;1
197910;131.2;1
197911;9.3;1
197912;68;1
198001;14.8;1
198002;15.2;1
198003;55.3;1
198004;31.3;1
198005;59.1;1
198006;22.7;1
198007;42.4;1
198008;76;1
198009;81.1;1
198010;80.7;1
198011;59.1;1
198012;28.3;1
198101;43;1
198102;17.7;1
198103;76;1
198104;36.1;1
198105;112.3;1
198106;58.2;1
198107;30.9;1
198108;38.3;1
198109;111.4;1
198110;70.6;1
198111;11.2;1
198112;80.8;1
198201;25.1;1
198202;7;1
198203;25.2;1
198204;18.1;1
198205;19.3;1
198206;45.7;1
198207;125.4;1
198208;109;1
198209;86.7;1
198210;64;1
198211;85.8;1
198212;39.3;1
198301;5.4;1
198302;51.5;1
198303;38.6;1
198304;153;1
198305;133.3;1
198306;31.1;1
198307;19.7;1
198308;58.2;1
198309;42.7;1
198310;44.6;1
198311;12.4;1
198312;18.5;1
198401;28.8;1
198402;17.2;1
