# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 43071001
# NOM_USUEL= CHOMELIX
# LATITUDE (°) = 45.258
# LONGITUDE(°)= 3.827
# ALTITUDE (m) = 886
# NUM_SERIE= MRR143071001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195101 201612
# Date(s) de rupture(s) d'homogénéité : 195510
#     Periode homogénéisée  195101 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;49.6;1
195102;93.6;1
195103;71.6;1
195104;33;1
195105;143.2;1
195106;126.4;1
195107;66;1
195108;133.6;1
195109;52.5;1
195110;51.7;1
195111;165.1;1
195112;20.9;1
195201;91.5;1
195202;51.2;1
195203;65.3;1
195204;51.4;1
195205;70.9;1
195206;68.5;1
195207;9;1
195208;128;1
195209;39.1;1
195210;76.5;1
195211;98.9;1
195212;59.5;1
195301;10.8;1
195302;22;1
195303;3.7;1
195304;25.4;1
195305;41.2;1
195306;148.5;1
195307;37.9;1
195308;35.5;1
195309;109;1
195310;117.5;1
195311;16.7;1
195312;32.4;1
195401;55.6;1
195402;87.3;1
195403;67.3;1
195404;47.3;1
195405;95.4;1
195406;59.5;1
195407;56.5;1
195408;139.8;1
195409;110.1;1
195410;44.1;1
195411;49.6;1
195412;77.1;1
195501;88.1;1
195502;72;1
195503;9.3;1
195504;0;1
195505;31.6;1
195506;97.7;1
195507;61.8;1
195508;38.3;1
195509;28.9;1
195510;30.1;1
195511;28.3;1
195512;66.7;1
195601;65.3;1
195602;23.5;1
195603;51.2;1
195604;48.1;1
195605;84.7;1
195606;46.4;1
195607;182.6;1
195608;118.7;1
195609;103.3;1
195610;78.8;1
195611;22.4;1
195612;43.2;1
195701;29.9;1
195702;78;1
195703;52;1
195704;67.5;1
195705;62.3;1
195706;203.4;1
195707;9.4;1
195708;56.7;1
195709;48.6;1
195710;21.1;1
195711;79;1
195712;76;1
195801;44;1
195802;33;1
195803;42.2;1
195804;49.3;1
195805;41.8;1
195806;83.1;1
195807;87.5;1
195808;59.8;1
195809;138.9;1
195810;54.4;1
195811;50.6;1
195812;82;1
195901;57.9;1
195902;9.1;1
195903;64.8;1
195904;41.2;1
195905;82.8;1
195906;74.7;1
195907;38.5;1
195908;51.2;1
195909;28.7;1
195910;63.4;1
195911;36.6;1
195912;49.9;1
196001;69.2;1
196002;77.6;1
196003;95.7;1
196004;30;1
196005;39.2;1
196006;98;1
196007;74.8;1
196008;66.9;1
196009;69;1
196010;172.9;1
196011;76.5;1
196012;59.5;1
196101;55.4;1
196102;23.8;1
196103;2.9;1
196104;88.8;1
196105;69.6;1
