# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44067001
# NOM_USUEL= GUEMENE-PENFAO
# LATITUDE (°) = 47.625
# LONGITUDE(°)= -1.89
# ALTITUDE (m) = 33
# NUM_SERIE= MRR144067001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194501 201912
# Date(s) de rupture(s) d'homogénéité : 195212
#     Periode homogénéisée  194501 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194501;64.3;1
194502;52.5;1
194503;25.3;1
194504;27.3;1
194505;54.8;1
194506;6;1
194507;50.1;1
194508;49.1;1
194509;77;1
194510;75.4;1
194511;23.3;1
194512;115.7;1
194601;38.8;1
194602;43.9;1
194603;42.1;1
194604;35.8;1
194605;95.8;1
194606;49.2;1
194607;18.7;1
194608;82.3;1
194609;61;1
194610;52.5;1
194611;73.4;1
194612;111.1;1
194701;48.6;1
194702;60;1
194703;170.7;1
194704;37.2;1
194705;28.5;1
194706;48;1
194707;12.6;1
194708;18.9;1
194709;35.3;1
194710;23.4;1
194711;34.1;1
194712;86.1;1
194801;105.3;1
194802;27.7;1
194803;35.5;1
194804;85.6;1
194805;59.8;1
194806;43.5;1
194807;46.9;1
194808;68.4;1
194809;20.7;1
194810;42.7;1
194811;54.6;1
194812;122.7;1
194901;15.1;1
194902;19.7;1
194903;32.9;1
194904;14.5;1
194905;51.7;1
194906;10.1;1
194907;13.6;1
194908;39.5;1
194909;44.3;1
194910;150.6;1
194911;132.1;1
194912;51.7;1
195001;14.4;1
195002;114.2;1
195003;44.5;1
195004;49.6;1
195005;89;1
195006;56.8;1
195007;47.2;1
195008;73.8;1
195009;65.6;1
195010;54.5;1
195011;150.8;1
195012;106.2;1
195101;63.5;1
195102;119.6;1
195103;108.4;1
195104;63.1;1
195105;151.8;1
195106;84.9;1
195107;40.8;1
195108;105;1
195109;119;1
195110;66;1
195111;162.7;1
195112;100.1;1
195201;68.4;1
195202;29.3;1
195203;119.1;1
195204;37.7;1
195205;26.6;1
195206;11.5;1
195207;61.7;1
195208;126.1;1
195209;145.5;1
195210;91;1
195211;109;1
195212;129;1
195301;14.3;1
195302;30.9;1
195303;1.5;1
195304;115.6;1
195305;42.2;1
195306;23.6;1
195307;98.7;1
195308;5.4;1
195309;92.2;1
195310;100.9;1
195311;19.4;1
195312;21.9;1
195401;40;1
195402;57.3;1
195403;92.5;1
195404;21.4;1
195405;30.3;1
195406;43.2;1
195407;38.9;1
195408;69.7;1
195409;53.6;1
195410;57;1
195411;130.5;1
195412;69.4;1
195501;103.7;1
195502;85.6;1
195503;26.4;1
195504;5.4;1
195505;60.2;1
195506;68;1
195507;58.3;1
195508;3.1;1
195509;21.5;1
195510;34.6;1
195511;27.5;1
195512;94.2;1
195601;109.3;1
195602;10.9;1
195603;27.7;1
195604;55.1;1
195605;27.7;1
195606;40.2;1
195607;60;1
195608;127.6;1
195609;119.6;1
195610;28.4;1
195611;19.4;1
195612;128.7;1
195701;41.7;1
195702;209.4;1
195703;20.9;1
195704;89.9;1
195705;32.6;1
195706;32.5;1
195707;44.4;1
195708;51;1
195709;63.9;1
195710;23.2;1
195711;93.3;1
195712;68.6;1
195801;120.9;1
195802;98.4;1
195803;101.5;1
195804;32.6;1
195805;57.7;1
195806;134.1;1
195807;65.9;1
195808;66.2;1
195809;74.4;1
195810;45.9;1
195811;35.6;1
195812;114.5;1
195901;103.4;1
195902;3.3;1
195903;72.5;1
195904;93.3;1
195905;40;1
195906;30.9;1
195907;6.9;1
195908;47.6;1
195909;7.6;1
195910;148.6;1
195911;66.1;1
195912;178.1;1
196001;83.3;1
196002;87.8;1
196003;88.3;1
196004;24.6;1
196005;52.2;1
196006;19.2;1
196007;48.8;1
196008;116.9;1
196009;118.9;1
196010;170.7;1
196011;197.7;1
196012;126.4;1
196101;125.7;1
196102;49.7;1
196103;7.4;1
196104;65.3;1
196105;42.9;1
196106;37.5;1
196107;58.7;1
196108;5.1;1
196109;28;1
196110;127.6;1
196111;75.5;1
196112;141.3;1
196201;108.5;1
196202;23.2;1
196203;84.5;1
196204;43.8;1
196205;64.5;1
196206;1.3;1
196207;43.2;1
196208;24.6;1
196209;77.6;1
196210;66.6;1
196211;108.2;1
196212;55.3;1
196301;55;1
196302;59.8;1
196303;98.2;1
196304;80.6;1
196305;33.6;1
196306;78.8;1
196307;22.9;1
196308;101.4;1
196309;56.1;1
196310;71.1;1
196311;198.3;1
196312;26.3;1
196401;12.6;1
196402;98.5;1
196403;104.3;1
196404;70.1;1
196405;54.7;1
196406;33.9;1
196407;9.6;1
196408;24.3;1
196409;25.3;1
196410;68.4;1
196411;31.8;1
196412;102.5;1
196501;112.3;1
196502;1.6;1
196503;128.3;1
196504;27.6;1
196505;52.7;1
196506;38.3;1
196507;33.3;1
196508;46.8;1
196509;90.3;1
196510;44.1;1
196511;150.5;1
196512;110.8;1
196601;68.6;1
196602;130.1;1
196603;14.6;1
196604;141.1;1
196605;71.2;1
196606;110.2;1
196607;26.4;1
196608;56;1
196609;67.8;1
196610;264.5;1
196611;93;1
196612;91.9;1
196701;37.7;1
196702;101.9;1
196703;51.8;1
196704;14.2;1
196705;133.1;1
196706;41.2;1
196707;11.7;1
196708;73.5;1
196709;106.6;1
196710;104.1;1
196711;68.3;1
196712;56;1
196801;43;1
196802;61.8;1
196803;35.7;1
196804;72.1;1
196805;68.8;1
196806;68.7;1
196807;61.4;1
196808;42.5;1
196809;132.2;1
196810;50.5;1
196811;35.8;1
196812;75.8;1
196901;85.3;1
196902;57.2;1
196903;85.3;1
196904;42.6;1
196905;118.9;1
196906;40.2;1
196907;14.7;1
196908;14.7;1
196909;86.8;1
196910;2.2;1
196911;145.2;1
196912;73.4;1
197001;120.9;1
197002;86.9;1
197003;53.7;1
197004;34.6;1
197005;16.9;1
197006;66.9;1
197007;34.3;1
197008;58.7;1
197009;27.2;1
197010;35;1
197011;127;1
197012;31.6;1
197101;105.9;1
197102;38.2;1
197103;38.4;1
197104;42.6;1
197105;106.8;1
197106;44.9;1
197107;10;1
197108;65.1;1
197109;46.5;1
197110;9.7;1
197111;50.7;1
197112;24.8;1
197201;86.2;1
197202;112.5;1
197203;72.9;1
197204;70.6;1
197205;50.1;1
197206;39;1
197207;30.8;1
197208;18.1;1
197209;23.4;1
197210;20.8;1
197211;116.8;1
197212;49.8;1
197301;38.1;1
197302;32.9;1
197303;6.9;1
197304;53.1;1
197305;93;1
