# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44103001
# NOM_USUEL= ST NAZAIRE-MONTOIR
# LATITUDE (°) = 47.314
# LONGITUDE(°)= -2.155
# ALTITUDE (m) = 3
# NUM_SERIE= MRR144103001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195801 201912
# Date(s) de rupture(s) d'homogénéité : 197012
#     Periode homogénéisée  195801 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195801;122.5;1
195802;97.1;1
195803;110.5;1
195804;40.9;1
195805;64.7;1
195806;100.6;1
195807;59;1
195808;58.6;1
195809;61.5;1
195810;27.3;1
195811;43.8;1
195812;102;1
195901;80.5;1
195902;2.3;1
195903;56;1
195904;90.2;1
195905;39.9;1
195906;23.5;1
195907;7.8;1
195908;45.7;1
195909;3.7;1
195910;103.9;1
195911;91.8;1
195912;200.1;1
196001;72.2;1
196002;55;1
196003;69.9;1
196004;14.7;1
196005;30.8;1
196006;64.7;1
196007;41.8;1
196008;80.1;1
196009;103.9;1
196010;141.9;1
196011;185.9;1
196012;124.2;1
196101;138;1
196102;37;1
196103;1.8;1
196104;64.3;1
196105;25.7;1
196106;33.6;1
196107;40.9;1
196108;6.2;1
196109;29.4;1
196110;117.9;1
196111;67.3;1
196112;118.6;1
196201;93.7;1
196202;23.7;1
196203;78.1;1
196204;39.2;1
196205;60.5;1
196206;1.2;1
196207;40.3;1
196208;20.1;1
196209;66.8;1
196210;52.7;1
196211;112.7;1
196212;55.3;1
196301;53.4;1
196302;55.1;1
196303;109.3;1
196304;64.7;1
196305;33.3;1
196306;56.7;1
196307;6.3;1
196308;89.9;1
196309;48;1
196310;77.5;1
196311;192.8;1
196312;49.1;1
196401;14.5;1
196402;74.9;1
196403;95.9;1
196404;50;1
196405;57.9;1
196406;30.6;1
196407;21.5;1
196408;31;1
196409;11.7;1
196410;96.7;1
196411;42.4;1
196412;87.5;1
196501;106.9;1
196502;0.8;1
196503;112.8;1
196504;20.9;1
196505;34.3;1
196506;29;1
196507;41.4;1
196508;60.7;1
196509;80.5;1
196510;29.6;1
196511;135.1;1
196512;138;1
196601;85.4;1
196602;127.3;1
196603;20.7;1
196604;101.7;1
196605;62.9;1
196606;64.3;1
196607;15.1;1
196608;54.9;1
196609;34.9;1
196610;192.3;1
196611;68.4;1
196612;94.3;1
196701;46.5;1
196702;88.1;1
196703;40.1;1
196704;13;1
196705;141.7;1
196706;30.3;1
196707;9.6;1
196708;58.5;1
196709;74;1
196710;79.6;1
196711;63.4;1
196712;43.4;1
196801;54.6;1
196802;59.2;1
196803;26.7;1
196804;67.5;1
196805;62;1
196806;58.8;1
196807;39.7;1
196808;46.8;1
196809;90.3;1
196810;49.4;1
196811;43.7;1
196812;106.9;1
196901;88.8;1
196902;49.7;1
196903;66.3;1
196904;54.9;1
196905;102;1
196906;36.8;1
196907;8.2;1
196908;14.5;1
196909;85.5;1
196910;3.6;1
196911;137.5;1
196912;60.5;1
197001;95.6;1
197002;87.6;1
197003;43.8;1
197004;29.1;1
197005;14.9;1
197006;49.1;1
197007;35;1
197008;74.9;1
197009;29.4;1
197010;31.1;1
197011;118.9;1
197012;19.9;1
197101;82.8;1
197102;33.6;1
197103;24.4;1
197104;42.8;1
197105;51.1;1
197106;25.5;1
197107;27.7;1
197108;40.8;1
197109;58.5;1
197110;13.7;1
197111;52.9;1
197112;14.9;1
197201;79.9;1
197202;98.9;1
197203;62.6;1
197204;60.6;1
197205;40.8;1
197206;47;1
197207;31.4;1
197208;58.5;1
197209;23.4;1
197210;35.6;1
197211;98.5;1
197212;48.1;1
197301;34.1;1
197302;46.6;1
197303;4.1;1
197304;65.6;1
197305;86.4;1
197306;24;1
197307;137.9;1
197308;27.5;1
197309;80.4;1
197310;48.8;1
197311;32.9;1
197312;40.9;1
197401;107.3;1
197402;101.8;1
197403;54.4;1
197404;42.5;1
197405;39.7;1
197406;31.8;1
197407;9.4;1
197408;44.5;1
197409;98.5;1
197410;48.4;1
197411;122.9;1
197412;33;1
197501;80.7;1
197502;23.2;1
197503;73.6;1
197504;46.4;1
197505;60.4;1
197506;10.5;1
197507;18.3;1
197508;49.8;1
197509;113.7;1
197510;21.6;1
197511;90.7;1
197512;21;1
197601;22.5;1
197602;37.4;1
197603;40.9;1
197604;7.1;1
197605;11.1;1
197606;0.4;1
197607;36.1;1
197608;13.6;1
197609;90.7;1
197610;128.3;1
197611;123;1
197612;81.4;1
197701;78;1
197702;123.7;1
197703;61.1;1
197704;23.8;1
197705;76.5;1
197706;58.7;1
197707;57.4;1
197708;68.9;1
