# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44180005
# NOM_USUEL= ST-MARS-LA-JAIL
# LATITUDE (°) = 47.526
# LONGITUDE(°)= -1.185
# ALTITUDE (m) = 32
# NUM_SERIE= MRR144180005
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195701 201912
# Date(s) de rupture(s) d'homogénéité : 196311 198111
#     Periode homogénéisée  195701 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195701;38.2;1
195702;190.9;1
195703;26;1
195704;68.7;1
195705;19.8;1
195706;47.1;1
195707;44.1;1
195708;46.7;1
195709;73.8;1
195710;21.6;1
195711;85.4;1
195712;44.7;1
195801;131;1
195802;87.5;1
195803;67.1;1
195804;50.2;1
195805;73;1
195806;108.5;1
195807;81;1
195808;63.2;1
195809;75.5;1
195810;37.8;1
195811;52.9;1
195812;116.4;1
195901;84.1;1
195902;5.4;1
195903;43.6;1
195904;88.2;1
195905;45.2;1
195906;20.1;1
195907;12.1;1
195908;32.4;1
195909;12.4;1
195910;106.8;1
195911;45.6;1
195912;157.6;1
196001;61.9;1
196002;58.1;1
196003;68.9;1
196004;9.1;1
196005;49.4;1
196006;17.4;1
196007;44.2;1
196008;52.7;1
196009;128.4;1
196010;163.8;1
196011;214.5;1
196012;125.4;1
196101;122.2;1
196102;52.3;1
196103;6.4;1
196104;55.8;1
196105;22.6;1
196106;26.9;1
196107;77.4;1
196108;5.4;1
196109;56.3;1
196110;148.6;1
196111;90.5;1
196112;128.6;1
196201;105.5;1
196202;32.9;1
196203;110.1;1
196204;49;1
196205;43.7;1
196206;0;1
196207;36;1
196208;23.7;1
196209;58.2;1
196210;35.7;1
196211;89.6;1
196212;47.4;1
196301;52.7;1
196302;55.7;1
196303;106.5;1
196304;69.2;1
196305;42.4;1
196306;83;1
196307;13.1;1
196308;133.1;1
196309;52.9;1
196310;56.6;1
196311;185.8;1
196312;12.7;1
196401;15.2;1
196402;70.8;1
196403;89.9;1
196404;72;1
196405;69.1;1
196406;49;1
196407;18.2;1
196408;24.4;1
196409;29.4;1
196410;80.4;1
196411;39.6;1
196412;80.1;1
196501;116.8;1
196502;2.4;1
196503;102.9;1
196504;37.9;1
196505;48.7;1
196506;37.6;1
196507;27.9;1
196508;94.2;1
196509;114.5;1
196510;30.6;1
196511;133.6;1
196512;125.1;1
196601;69.1;1
196602;105.3;1
196603;22.6;1
196604;106.9;1
196605;58.5;1
196606;71.2;1
196607;32.7;1
196608;77.5;1
196609;37.2;1
196610;261.8;1
196611;106.8;1
196612;97.3;1
196701;39;1
196702;95.8;1
196703;50.8;1
196704;19.5;1
196705;101;1
196706;18.1;1
196707;2.7;1
196708;53.8;1
196709;81.3;1
196710;105.4;1
196711;83.5;1
196712;64.8;1
196801;59.2;1
196802;52.2;1
196803;35.2;1
196804;52.1;1
196805;56.6;1
196806;94.4;1
196807;73.2;1
196808;83.3;1
196809;80.1;1
196810;51.2;1
196811;11.4;1
196812;87.7;1
196901;83.9;1
196902;52.3;1
196903;86.2;1
196904;39.4;1
196905;105.1;1
196906;38;1
196907;18.3;1
196908;14.4;1
196909;48.9;1
196910;2.7;1
196911;165;1
196912;84;1
197001;82.5;1
197002;87;1
