# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 44181001
# NOM_USUEL= ST-MEME-LE-TENU
# LATITUDE (°) = 47.006
# LONGITUDE(°)= -1.783
# ALTITUDE (m) = 4
# NUM_SERIE= MRR144181001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195101 201912
# Date(s) de rupture(s) d'homogénéité : 195706 198612 200206
#     Periode homogénéisée  195101 201912  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;52;1
195102;103.7;1
195103;106;1
195104;39.6;1
195105;65.5;1
195106;60.6;1
195107;18.5;1
195108;77.8;1
195109;87.8;1
195110;39.7;1
195111;143.3;1
195112;85.6;1
195201;75.5;1
195202;28.5;1
195203;81.5;1
195204;32.9;1
195205;30.9;1
195206;13;1
195207;54.6;1
195208;60.9;1
195209;194.6;1
195210;135.2;1
195211;113.2;1
195212;128.8;1
195301;12.4;1
195302;34.5;1
195303;5.8;1
195304;78.8;1
195305;18.5;1
195306;48;1
195307;73.7;1
195308;20.5;1
195309;68.3;1
195310;80.5;1
195311;21.7;1
195312;17.7;1
195401;35.6;1
195402;44;1
195403;67;1
195404;34.5;1
195405;10.9;1
195406;62.1;1
195407;64.9;1
195408;67.1;1
195409;59.2;1
195410;68.5;1
195411;122.2;1
195412;82.5;1
195501;92.1;1
195502;132.3;1
195503;28;1
195504;1.4;1
195505;42.5;1
195506;87.7;1
195507;42.3;1
195508;0.2;1
195509;13.8;1
195510;42.9;1
195511;21.6;1
195512;94.3;1
195601;85.1;1
195602;7.1;1
195603;21.2;1
195604;33.3;1
195605;32.5;1
195606;23.5;1
195607;101.9;1
195608;152.9;1
195609;120.6;1
195610;31.6;1
195611;17.9;1
195612;107;1
195701;27.1;1
195702;173.4;1
195703;48.7;1
195704;31;1
195705;29.6;1
195706;63.6;1
195707;74.8;1
195708;72.4;1
195709;77;1
195710;37.2;1
195711;87.8;1
195712;66.8;1
195801;110.7;1
195802;82.9;1
195803;110.8;1
195804;44;1
195805;66.1;1
195806;111.6;1
195807;59.2;1
195808;79.4;1
195809;61.9;1
195810;32.7;1
195811;45.7;1
195812;121.9;1
195901;75.2;1
195902;5;1
195903;63.6;1
195904;92;1
195905;41.6;1
195906;30.7;1
195907;6.7;1
195908;63.7;1
195909;19.9;1
195910;130.2;1
195911;88.5;1
195912;189.8;1
196001;86.9;1
196002;72;1
196003;58.3;1
196004;20.4;1
196005;59;1
196006;28.8;1
196007;57.5;1
196008;60.3;1
196009;136.5;1
196010;203.5;1
196011;152.2;1
196012;140.7;1
196101;152.7;1
196102;47.4;1
196103;2.8;1
196104;74.4;1
196105;28;1
196106;28.3;1
196107;55.7;1
196108;9.2;1
196109;70.3;1
196110;150.3;1
196111;99.7;1
196112;115.6;1
196201;95.3;1
196202;16;1
196203;83.2;1
196204;28.8;1
196205;75.1;1
196206;2.7;1
196207;35.2;1
196208;17.8;1
196209;62.3;1
196210;44.2;1
196211;106.8;1
196212;54.9;1
196301;45.7;1
196302;58.6;1
196303;90.9;1
196304;57.3;1
196305;39.9;1
196306;86.5;1
196307;20.6;1
196308;131.7;1
196309;41.1;1
196310;78;1
196311;146.9;1
196312;35.4;1
196401;10.8;1
196402;108.3;1
196403;100.6;1
196404;44.6;1
196405;88.8;1
196406;45.5;1
196407;18.6;1
196408;27.7;1
196409;63.2;1
196410;110.7;1
196411;58.1;1
196412;90.7;1
196501;99.2;1
196502;1.1;1
196503;116.9;1
196504;31.6;1
196505;51;1
196506;45.4;1
196507;46.5;1
196508;122.3;1
196509;133.7;1
196510;28.7;1
196511;174.6;1
196512;135.8;1
196601;80.4;1
196602;104.8;1
196603;30.9;1
196604;99.1;1
196605;62.2;1
196606;102.1;1
196607;31.4;1
196608;61;1
196609;25.4;1
196610;256.9;1
196611;82.7;1
196612;120.4;1
196701;51.1;1
196702;77.1;1
196703;74;1
196704;12.5;1
196705;115.4;1
196706;20;1
196707;5.1;1
196708;65.7;1
196709;48;1
196710;100.3;1
196711;90.7;1
196712;61.3;1
196801;53.6;1
196802;53.5;1
196803;27.2;1
196804;58.7;1
196805;56.1;1
196806;60.6;1
196807;66.8;1
196808;60.1;1
196809;122.6;1
196810;44.8;1
196811;32.4;1
196812;90.2;1
196901;105.5;1
196902;34.6;1
196903;64.9;1
196904;48.9;1
196905;111.6;1
196906;22.8;1
196907;6.1;1
196908;28.9;1
196909;61.6;1
196910;5.7;1
196911;123.4;1
196912;70.8;1
197001;103.8;1
197002;85.4;1
197003;46.5;1
197004;30.7;1
197005;14.5;1
197006;88.2;1
197007;34.6;1
197008;66.6;1
197009;40.1;1
197010;23.7;1
197011;132.9;1
197012;12.8;1
197101;113.9;1
197102;30.6;1
197103;28.4;1
197104;33.5;1
197105;70.9;1
197106;56.7;1
197107;18.9;1
197108;26.8;1
197109;59.8;1
197110;20;1
197111;68.6;1
197112;17.7;1
197201;108.3;1
197202;82.8;1
197203;78.8;1
197204;71.5;1
197205;41.3;1
197206;21.7;1
197207;19.5;1
197208;19.7;1
197209;33.5;1
197210;35.5;1
197211;106.3;1
197212;48.4;1
197301;29.9;1
197302;53.3;1
197303;5.5;1
197304;62.5;1
197305;84.8;1
197306;11.6;1
