# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 45340002
# NOM_USUEL= VILLEMURLIN
# LATITUDE (°) = 47.694
# LONGITUDE(°)= 2.366
# ALTITUDE (m) = 144
# NUM_SERIE= MRR145340002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 194901 201712
# Date(s) de rupture(s) d'homogénéité : 201108
#     Periode homogénéisée  194901 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
194901;12.5;1
194902;4.1;1
194903;27.9;1
194904;24.5;1
194905;43.9;1
194906;1.8;1
194907;2.2;1
194908;59.6;1
194909;46.6;1
194910;23;1
194911;77;1
194912;34.4;1
195001;11.9;1
195002;62.2;1
195003;13;1
195004;58.7;1
195005;91.1;1
195006;47.4;1
195007;34.4;1
195008;27.7;1
195009;62.3;1
195010;10.4;1
195011;92.6;1
195012;96.3;1
195101;42.9;1
195102;75.8;1
195103;52.3;1
195104;52.9;1
195105;91.8;1
195106;82.2;1
195107;39.7;1
195108;59.5;1
195109;29;1
195110;27.3;1
195111;59;1
195112;39.4;1
195201;65.7;1
195202;52.4;1
195203;68.9;1
195204;14.2;1
195205;57.5;1
195206;30.3;1
195207;4;1
195208;70.3;1
195209;97.2;1
195210;102.3;1
195211;105.3;1
195212;91;1
195301;14.3;1
195302;29.1;1
195303;1.1;1
195304;40.8;1
195305;16.1;1
195306;29.9;1
195307;85.7;1
195308;24.1;1
195309;60;1
195310;48;1
195311;19.1;1
195312;23.6;1
195401;31.8;1
195402;58.5;1
195403;70.7;1
195404;9.9;1
195405;40.8;1
195406;32.3;1
195407;19.7;1
195408;109.2;1
195409;50.4;1
195410;28.4;1
195411;34.8;1
195412;67.8;1
195501;101;1
195502;61.1;1
195503;41.1;1
195504;1.9;1
195505;47.1;1
195506;67;1
195507;69.7;1
195508;16.6;1
195509;45.1;1
195510;45.8;1
195511;20.9;1
195512;92.1;1
195601;57.4;1
195602;9.2;1
195603;19.8;1
195604;63.4;1
195605;49.6;1
195606;42.7;1
195607;41;1
195608;71.7;1
195609;92.1;1
195610;36.2;1
195611;38.1;1
195612;25;1
195701;19.7;1
195702;129;1
195703;19.6;1
195704;25.6;1
195705;46.5;1
195706;85.4;1
195707;91.8;1
195708;59.3;1
195709;73.9;1
195710;28;1
195711;30.8;1
195712;25.9;1
195801;77.4;1
195802;87.2;1
195803;33.6;1
195804;50.2;1
195805;111.6;1
195806;96;1
195807;77.4;1
195808;74.2;1
195809;80.6;1
195810;50.9;1
195811;49.1;1
195812;76.7;1
195901;71.5;1
195902;0.4;1
195903;44.5;1
195904;87.7;1
195905;6.7;1
195906;35.8;1
195907;5;1
195908;48.5;1
195909;8.8;1
195910;47.6;1
195911;61.3;1
195912;80.4;1
196001;44.4;1
196002;38.8;1
196003;54.2;1
196004;23.6;1
196005;46.8;1
196006;61.4;1
196007;72.1;1
196008;59.6;1
196009;52;1
196010;167;1
196011;58.1;1
196012;53.6;1
196101;93.5;1
196102;40.1;1
196103;4.2;1
196104;34;1
196105;27.6;1
196106;49.3;1
196107;51.1;1
196108;4.1;1
196109;60.7;1
196110;65.6;1
196111;66.5;1
196112;65.6;1
196201;63;1
196202;32;1
196203;92.5;1
196204;38.3;1
196205;98.8;1
196206;13.3;1
196207;37.4;1
196208;11.1;1
196209;30.4;1
196210;32.3;1
196211;90.1;1
196212;62.1;1
196301;19.7;1
196302;36.7;1
196303;66.6;1
196304;39.6;1
196305;86.6;1
196306;85.4;1
196307;24.3;1
196308;101.5;1
196309;23;1
196310;29.5;1
196311;72.5;1
196312;1.5;1
196401;19.1;1
196402;40.4;1
196403;66.4;1
196404;46.9;1
196405;39.2;1
196406;19.3;1
196407;6.6;1
196408;11.5;1
196409;37.4;1
196410;46;1
196411;26.2;1
196412;38;1
196501;98.5;1
196502;3.1;1
196503;57.3;1
196504;60;1
196505;72;1
196506;37.2;1
196507;44.7;1
196508;74.7;1
196509;124;1
196510;13.9;1
196511;98.2;1
196512;94.8;1
196601;83.8;1
196602;94.5;1
196603;14.6;1
196604;49.4;1
196605;38.2;1
196606;56.6;1
196607;81.2;1
196608;90.9;1
196609;9.9;1
196610;65.3;1
196611;70.1;1
196612;96.3;1
196701;24.2;1
196702;52;1
196703;45.8;1
196704;14.8;1
196705;62.8;1
196706;35;1
196707;12.3;1
196708;55.3;1
196709;108.2;1
196710;98.1;1
196711;67.7;1
196712;71.7;1
196801;103.9;1
196802;65.2;1
196803;35.1;1
196804;50.9;1
196805;50.1;1
196806;36.6;1
196807;54.3;1
196808;64;1
196809;81.1;1
196810;52.1;1
196811;35.8;1
196812;62.6;1
196901;39.5;1
196902;31;1
196903;52.6;1
196904;38.7;1
196905;82.4;1
196906;54.1;1
196907;43.7;1
196908;34.8;1
196909;36.5;1
196910;5.3;1
196911;110.9;1
196912;41.7;1
197001;56.2;1
197002;109.9;1
197003;70.7;1
197004;52.4;1
197005;49.1;1
197006;59.8;1
197007;26.4;1
197008;42.2;1
197009;25.3;1
197010;13.5;1
197011;62.7;1
197012;29.3;1
197101;66.1;1
197102;20.6;1
197103;24.1;1
197104;21.6;1
197105;122.8;1
197106;30.3;1
197107;70.4;1
197108;73.9;1
197109;40;1
197110;8.9;1
197111;58.6;1
197112;8.1;1
197201;61;1
197202;46.9;1
197203;30.8;1
197204;26.9;1
197205;42.9;1
197206;49.3;1
197207;33.4;1
197208;40.6;1
197209;58.5;1
197210;25.3;1
197211;72.1;1
197212;28.5;1
197301;31.3;1
197302;47.3;1
197303;7.5;1
197304;27.6;1
197305;68;1
197306;43.1;1
197307;44.1;1
197308;10.6;1
197309;28;1
197310;40.2;1
197311;36.8;1
197312;62.8;1
197401;53.4;1
197402;34.8;1
197403;59.2;1
197404;12.6;1
197405;36.4;1
197406;63.7;1
197407;16.7;1
197408;33.7;1
197409;80.7;1
197410;107.8;1
197411;55.4;1
197412;32.5;1
197501;52.9;1
197502;6;1
197503;59.3;1
197504;42.2;1
197505;67.4;1
197506;17.5;1
197507;40.5;1
197508;24.7;1
197509;148.7;1
197510;39;1
197511;65.9;1
197512;32.2;1
197601;17.1;1
197602;48;1
197603;17.8;1
197604;14.5;1
197605;9.9;1
197606;0.5;1
197607;43.8;1
197608;20.9;1
197609;66.4;1
197610;57.9;1
197611;62.1;1
197612;59.5;1
197701;44.1;1
197702;130.1;1
197703;48.6;1
197704;27.8;1
197705;80.1;1
197706;103.6;1
197707;66;1
197708;41.1;1
197709;6.2;1
197710;65.1;1
197711;56.9;1
197712;46.2;1
197801;80;1
197802;73.5;1
197803;99;1
197804;77.1;1
197805;36.6;1
197806;35.6;1
197807;60;1
197808;19.2;1
197809;29.5;1
197810;16;1
197811;20.8;1
197812;109;1
197901;42.4;1
197902;75.9;1
197903;127.4;1
197904;58.8;1
197905;66.7;1
197906;37.3;1
197907;25.2;1
197908;47.3;1
197909;20.5;1
197910;77.9;1
197911;46.7;1
197912;106.4;1
198001;58;1
198002;61.3;1
198003;70.9;1
198004;9.6;1
198005;70.3;1
198006;88.8;1
198007;77;1
198008;27.2;1
198009;25.7;1
198010;76.2;1
198011;34.4;1
198012;59;1
198101;79.8;1
198102;42.9;1
198103;64.2;1
198104;36.5;1
198105;103.2;1
198106;95.3;1
198107;48.4;1
198108;83;1
198109;41.6;1
198110;126.7;1
198111;34.6;1
198112;100.7;1
198201;69.7;1
198202;21.7;1
198203;71;1
198204;8.5;1
198205;44.2;1
198206;64.6;1
198207;88.1;1
198208;28.8;1
198209;68;1
198210;101.1;1
198211;56.1;1
198212;97.7;1
198301;60.1;1
198302;54.7;1
198303;55.8;1
198304;134.5;1
198305;97.7;1
198306;36.2;1
198307;51.2;1
198308;55;1
198309;63.2;1
198310;25.9;1
198311;17.2;1
198312;41.5;1
198401;110.2;1
198402;23.9;1
198403;30.1;1
198404;6.7;1
198405;119.6;1
198406;51.9;1
198407;26.5;1
198408;28.9;1
198409;107.6;1
198410;82.2;1
198411;75.6;1
198412;46.9;1
198501;28.9;1
198502;39;1
198503;58.4;1
198504;64.8;1
198505;112.8;1
198506;57.9;1
198507;25.6;1
198508;31;1
198509;15.4;1
198510;5.1;1
198511;54.2;1
198512;36.6;1
198601;70.7;1
198602;55.7;1
198603;69.9;1
198604;76.8;1
198605;52.5;1
198606;26.8;1
198607;6.8;1
198608;69.2;1
198609;60.2;1
198610;66.8;1
198611;42.4;1
198612;73.7;1
198701;21.7;1
198702;46.5;1
198703;38.7;1
198704;46.2;1
198705;40.8;1
198706;90.6;1
198707;114.9;1
198708;70;1
198709;28.4;1
198710;96.1;1
198711;73;1
198712;50.8;1
198801;156.5;1
198802;76.6;1
198803;63.2;1
198804;16.7;1
198805;99;1
198806;64.5;1
198807;50.5;1
198808;14.3;1
198809;41.4;1
198810;44.8;1
198811;29.7;1
198812;35.3;1
198901;21.7;1
198902;37.2;1
198903;38.9;1
198904;70;1
198905;26.6;1
198906;24.8;1
198907;41.1;1
198908;39.4;1
198909;12.9;1
198910;47.2;1
198911;24.2;1
198912;77.2;1
199001;36.4;1
199002;61.2;1
199003;3;1
199004;42.8;1
199005;18.5;1
199006;36.5;1
199007;40.8;1
199008;40.8;1
199009;24.6;1
199010;57.3;1
199011;56.4;1
199012;61;1
199101;54.4;1
199102;30.6;1
199103;37.2;1
199104;35.8;1
199105;12.8;1
199106;59.9;1
199107;74.3;1
199108;31.2;1
199109;46.8;1
199110;36.4;1
199111;67.1;1
199112;16.1;1
199201;6.3;1
199202;24.1;1
199203;44.8;1
199204;26.3;1
199205;32.3;1
199206;47.1;1
199207;71.5;1
199208;44.2;1
199209;15.9;1
199210;65.3;1
199211;103.3;1
199212;55.4;1
199301;36.3;1
199302;14.1;1
199303;10.1;1
199304;61.2;1
199305;72.5;1
199306;46;1
199307;30.1;1
199308;27;1
199309;123;1
199310;83;1
199311;22.4;1
199312;78.1;1
199401;76.5;1
199402;70.6;1
199403;31.9;1
199404;56;1
199405;73.1;1
199406;45.8;1
199407;24.6;1
199408;45.3;1
199409;112.1;1
199410;45.6;1
199411;66.9;1
199412;83.5;1
199501;128.1;1
199502;82.1;1
199503;80.8;1
199504;42.9;1
199505;77.5;1
199506;27.3;1
199507;24.8;1
199508;35.1;1
199509;73.7;1
199510;61.2;1
199511;30.6;1
199512;58.9;1
199601;73.7;1
199602;50.6;1
199603;8.4;1
199604;10.6;1
199605;64.4;1
199606;3.6;1
199607;32.2;1
199608;70;1
199609;57.1;1
199610;42.6;1
199611;132.8;1
199612;53.4;1
199701;7.5;1
199702;95.7;1
199703;7;1
199704;16.3;1
199705;89.6;1
199706;128.1;1
199707;25.1;1
199708;75.2;1
199709;13.6;1
199710;44.3;1
199711;81.8;1
199712;68.9;1
199801;77;1
199802;9.4;1
199803;19.5;1
199804;138.1;1
199805;25.2;1
199806;23.5;1
199807;25.8;1
199808;20.3;1
199809;74.1;1
199810;117.2;1
199811;30.6;1
199812;68.9;1
199901;60.6;1
199902;78.2;1
199903;61.6;1
199904;76.8;1
199905;73.5;1
199906;24.2;1
199907;63.1;1
199908;53.3;1
199909;131;1
199910;38.7;1
199911;60.4;1
199912;146.2;1
200001;20.3;1
200002;88.8;1
200003;44;1
200004;76.2;1
200005;70.3;1
200006;31.5;1
200007;79.2;1
200008;23;1
200009;40.9;1
200010;95.6;1
200011;90.5;1
200012;64.2;1
200101;69;1
200102;32.8;1
200103;131.8;1
200104;86.3;1
200105;67.7;1
200106;21.6;1
200107;125.9;1
200108;72.1;1
200109;64.2;1
200110;98.3;1
200111;49.3;1
200112;44.5;1
200201;28.9;1
200202;76.3;1
200203;36.1;1
200204;8.9;1
200205;57.2;1
200206;50.1;1
200207;45.8;1
200208;73.8;1
200209;14.5;1
200210;61.2;1
200211;134.7;1
200212;79.6;1
200301;84.4;1
200302;23.9;1
200303;23.2;1
200304;56.9;1
200305;74;1
200306;59.3;1
200307;31.1;1
200308;16.2;1
