# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 47221001
# NOM_USUEL= REAUP
# LATITUDE (°) = 44.092
# LONGITUDE(°)= 0.193
# ALTITUDE (m) = 158
# NUM_SERIE= MRR147221001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195201 201812
# Date(s) de rupture(s) d'homogénéité : 196712
#     Periode homogénéisée  195201 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;124.5;1
195202;90.7;1
195203;60.3;1
195204;12.6;1
195205;48.7;1
195206;61.5;1
195207;9.8;1
195208;56;1
195209;107.4;1
195210;89.1;1
195211;102.1;1
195212;182.4;1
195301;17.5;1
195302;53.5;1
195303;4.4;1
195304;60.4;1
195305;72;1
195306;95.2;1
195307;45.8;1
195308;10.6;1
195309;29.9;1
195310;41.2;1
195311;38.2;1
195312;8.7;1
195401;34.4;1
195402;106.1;1
195403;87.8;1
195404;58.2;1
195405;66.5;1
195406;56.2;1
195407;37.4;1
195408;88.3;1
195409;66;1
195410;44.2;1
195411;64.3;1
195412;85.1;1
195501;195.3;1
195502;126.9;1
195503;15.4;1
195504;0;1
195505;82.1;1
195506;77.9;1
195507;66.3;1
195508;41.6;1
195509;42.7;1
195510;87.9;1
195511;35.6;1
195512;115.2;1
195601;77.8;1
195602;9.3;1
195603;51.4;1
195604;85;1
195605;52.4;1
195606;26.2;1
195607;47.8;1
195608;84.3;1
195609;28.4;1
195610;35.7;1
195611;62.9;1
195612;38;1
195701;31.2;1
195702;91;1
195703;60.9;1
195704;59;1
195705;39.5;1
195706;129.1;1
195707;37.5;1
195708;9.1;1
195709;75.8;1
195710;16.9;1
195711;65.5;1
195712;35.8;1
195801;96.3;1
195802;25.1;1
195803;103;1
195804;60.6;1
195805;85;1
195806;53;1
195807;113.5;1
195808;41.7;1
195809;97.1;1
195810;34.3;1
195811;31.5;1
195812;141.6;1
195901;59.4;1
195902;11.2;1
195903;92.7;1
195904;139.1;1
195905;96.8;1
195906;127;1
195907;67.2;1
195908;124.7;1
195909;137.7;1
195910;77.1;1
195911;113.7;1
195912;223.8;1
196001;113.8;1
196002;49.6;1
196003;93.2;1
196004;20.4;1
196005;53.6;1
196006;68;1
196007;62.5;1
196008;108.9;1
196009;146.1;1
196010;178;1
196011;106.4;1
196012;119.6;1
196101;134.5;1
196102;45.5;1
196103;0;1
196104;104;1
196105;102.8;1
196106;54.9;1
196107;84.8;1
196108;39.4;1
196109;59.1;1
196110;84.6;1
196111;83.6;1
196112;84.8;1
196201;76.9;1
196202;34.8;1
196203;64.3;1
196204;71;1
196205;117;1
196206;35.2;1
196207;34.5;1
196208;12.1;1
196209;42.2;1
196210;68;1
196211;100.2;1
196212;89;1
196301;47.7;1
196302;118.4;1
196303;131.3;1
196304;51.8;1
196305;46.1;1
196306;112.1;1
196307;47.3;1
196308;243.8;1
196309;115.4;1
196310;32.2;1
196311;83.9;1
196312;48.3;1
196401;12.1;1
196402;71.9;1
196403;47.5;1
196404;49.6;1
196405;68.7;1
196406;16.4;1
196407;9.2;1
196408;17.3;1
196409;25.9;1
196410;153.1;1
196411;27.9;1
196412;58.9;1
196501;88.7;1
196502;21.7;1
196503;109.1;1
196504;68.6;1
196505;89.5;1
196506;58.7;1
196507;66.2;1
196508;46.4;1
196509;187.6;1
196510;45.3;1
196511;189.1;1
196512;214.8;1
196601;127.9;1
196602;66.5;1
196603;18.9;1
196604;101.4;1
196605;45.5;1
196606;138.6;1
196607;46.1;1
196608;38.2;1
196609;50.9;1
196610;72.6;1
196611;67.4;1
196612;155.4;1
196701;32.4;1
196702;37;1
196703;29.4;1
196704;17;1
196705;49.8;1
196706;47.2;1
196707;40.6;1
196708;60.2;1
196709;67.3;1
196710;68.3;1
196711;118.5;1
196712;51.9;1
196801;73;1
196802;85.8;1
196803;28.8;1
196804;51;1
196805;103.1;1
196806;65.1;1
196807;77.8;1
196808;104.2;1
196809;67.4;1
196810;31;1
196811;47.8;1
196812;118.5;1
196901;82.7;1
196902;81.3;1
196903;107.3;1
196904;128.4;1
196905;84.3;1
196906;62.3;1
196907;52.7;1
196908;61.8;1
196909;135.1;1
196910;9.7;1
196911;63.3;1
196912;90.8;1
197001;67.5;1
197002;117.3;1
197003;46.5;1
197004;83.9;1
197005;88.4;1
197006;90.5;1
197007;18.6;1
197008;109;1
197009;14.8;1
197010;50.5;1
197011;84.8;1
197012;22.3;1
197101;129.8;1
197102;85.2;1
197103;67;1
197104;79.9;1
197105;128.5;1
197106;122;1
197107;112.9;1
197108;64.5;1
197109;45.1;1
197110;19.3;1
197111;116.6;1
197112;76;1
197201;78.8;1
197202;100.7;1
197203;73.1;1
197204;75.4;1
197205;95.8;1
197206;47.2;1
197207;5.5;1
197208;134.6;1
197209;66;1
197210;25.7;1
197211;33.5;1
197212;44;1
197301;77.4;1
197302;106;1
197303;25;1
197304;54.2;1
197305;132.5;1
197306;69.9;1
197307;135.5;1
197308;35.6;1
197309;71.4;1
197310;65;1
197311;54.7;1
197312;73.5;1
197401;60.5;1
197402;71.1;1
197403;90.7;1
197404;51.6;1
197405;91.6;1
197406;43.4;1
197407;45;1
197408;23.1;1
197409;127;1
197410;121;1
197411;109.8;1
197412;33.8;1
197501;79.3;1
197502;17;1
197503;95.8;1
197504;92.8;1
197505;77;1
197506;33.5;1
197507;29.2;1
197508;78.5;1
197509;106.2;1
197510;37;1
197511;97.2;1
197512;25.7;1
197601;21.9;1
197602;44.3;1
197603;59.1;1
197604;48.5;1
197605;58.8;1
197606;52;1
197607;100.7;1
197608;90.6;1
197609;80.2;1
197610;125.7;1
197611;101.5;1
197612;105.2;1
197701;89.2;1
197702;98.6;1
197703;50.9;1
197704;57;1
197705;184.3;1
197706;269.3;1
197707;114.8;1
197708;57.5;1
197709;3.5;1
197710;50.8;1
197711;53.4;1
197712;47.6;1
197801;107.7;1
197802;89.8;1
197803;116.7;1
197804;77.8;1
197805;65.8;1
197806;53.1;1
197807;51.7;1
197808;56.8;1
197809;33.6;1
197810;4.7;1
197811;11.9;1
197812;115.7;1
197901;111;1
197902;105.2;1
197903;89.6;1
197904;109.1;1
197905;123.3;1
197906;62.5;1
197907;19.1;1
197908;34.1;1
197909;34.5;1
197910;67.6;1
197911;44.5;1
