# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 49022001
# NOM_USUEL= BEAULIEU-S-LAY
# LATITUDE (°) = 47.308
# LONGITUDE(°)= -0.598
# ALTITUDE (m) = 78
# NUM_SERIE= MRR149022001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201612
# Date(s) de rupture(s) d'homogénéité : 196812 200512
#     Periode homogénéisée  195201 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;66.7;1
195202;37.3;1
195203;110.3;1
195204;30.4;1
195205;28.3;1
195206;2;1
195207;25.1;1
195208;49.9;1
195209;155.9;1
195210;111.8;1
195211;99;1
195212;104.7;1
195301;19.7;1
195302;31.8;1
195303;2.8;1
195304;52.6;1
195305;20.6;1
195306;83.1;1
195307;34.4;1
195308;17.7;1
195309;95;1
195310;80.8;1
195311;29.1;1
195312;10.2;1
195401;23.1;1
195402;46.1;1
195403;72.5;1
195404;8.9;1
195405;8.2;1
195406;55.7;1
195407;29.7;1
195408;89.9;1
195409;52.2;1
195410;39.9;1
195411;40.8;1
195412;56.9;1
195501;111.3;1
195502;94.2;1
195503;30.2;1
195504;0;1
195505;32.6;1
195506;117.9;1
195507;7.4;1
195508;8;1
195509;21.7;1
195510;33.1;1
195511;12;1
195512;96.1;1
195601;83.8;1
195602;6.9;1
195603;14.8;1
195604;58.1;1
195605;18.8;1
195606;21.1;1
195607;68.3;1
195608;76.6;1
195609;44.4;1
195610;41.3;1
195611;8.4;1
195612;47.3;1
195701;20.4;1
195702;108.3;1
195703;20.6;1
195704;33.1;1
195705;23.2;1
195706;73.4;1
195707;56;1
195708;35.6;1
195709;59.2;1
195710;17;1
195711;57.1;1
195712;42.8;1
195801;115.8;1
195802;99.8;1
195803;66.8;1
195804;36.2;1
195805;46.1;1
195806;131.1;1
195807;98.1;1
195808;55.3;1
195809;28.7;1
195810;29.8;1
195811;33.2;1
195812;75.2;1
195901;58.7;1
195902;7.8;1
195903;34.9;1
195904;73.8;1
195905;68.5;1
195906;43.6;1
195907;23.9;1
195908;32.9;1
195909;17.1;1
195910;70.5;1
195911;40.3;1
195912;106.6;1
196001;57.1;1
196002;59.8;1
196003;76.4;1
196004;8.9;1
196005;84.3;1
196006;23.8;1
196007;62.3;1
196008;61.4;1
196009;98.4;1
196010;133.5;1
196011;159.8;1
196012;107.9;1
196101;134.2;1
196102;27.5;1
196103;4.2;1
196104;58.3;1
196105;14.6;1
196106;22;1
196107;84.6;1
196108;1.3;1
196109;36;1
196110;106.5;1
196111;115.8;1
196112;98.7;1
196201;75.2;1
196202;21.1;1
196203;111.9;1
196204;49.6;1
196205;50.1;1
196206;4.7;1
196207;18.2;1
196208;23.3;1
196209;71;1
196210;39.3;1
196211;110.8;1
196212;40.6;1
196301;46.1;1
196302;40.3;1
196303;73.6;1
196304;93.8;1
196305;30.9;1
196306;76.9;1
196307;6.9;1
196308;144;1
196309;42.6;1
196310;49.9;1
196311;105.8;1
196312;8;1
196401;14.7;1
196402;86.3;1
196403;68.7;1
196404;75.9;1
196405;82.3;1
196406;75.5;1
196407;12.5;1
196408;22.8;1
196409;41.3;1
196410;79.7;1
196411;64.7;1
196412;83.3;1
196501;98.1;1
196502;5.7;1
196503;64;1
196504;32;1
196505;31.6;1
196506;24.1;1
196507;63.8;1
196508;188;1
196509;101;1
196510;25.9;1
196511;114;1
196512;132.9;1
196601;61.2;1
196602;104.6;1
196603;16.7;1
196604;87.1;1
196605;36.9;1
196606;102.4;1
196607;45.5;1
196608;40.3;1
196609;67.9;1
196610;196.7;1
196611;159.8;1
196612;90.6;1
196701;36.4;1
196702;74.3;1
196703;87.9;1
196704;34.8;1
196705;97.1;1
196706;39.1;1
196707;0;1
196708;36.4;1
196709;82.4;1
196710;57.7;1
196711;71.2;1
196712;52.8;1
196801;40.2;1
196802;80.4;1
196803;35.7;1
196804;29.5;1
196805;43.8;1
196806;73.7;1
196807;69.9;1
196808;43.4;1
196809;96.3;1
196810;35.9;1
196811;10.5;1
196812;59.7;1
196901;74.5;1
196902;24.1;1
196903;96.7;1
196904;36.6;1
196905;103.6;1
196906;21.8;1
196907;36.8;1
196908;5.4;1
196909;45;1
196910;1.8;1
196911;103.4;1
196912;81.7;1
197001;64.4;1
197002;79.7;1
197003;35.4;1
197004;33.2;1
197005;15.1;1
197006;30.5;1
197007;19.8;1
197008;106;1
197009;33.2;1
197010;28.6;1
197011;136.2;1
197012;20.7;1
197101;96.6;1
197102;30.6;1
197103;27.7;1
197104;34.9;1
197105;121.7;1
197106;89.4;1
197107;24;1
197108;49.2;1
197109;27.1;1
197110;5.7;1
197111;54.1;1
197112;18.2;1
197201;90.4;1
197202;87.6;1
197203;28.3;1
197204;39.3;1
197205;15.5;1
197206;14.4;1
197207;13.8;1
197208;126.6;1
197209;22.9;1
197210;19.7;1
197211;94.4;1
197212;25;1
197301;29.2;1
197302;48.6;1
197303;3.5;1
197304;49.5;1
197305;80.5;1
197306;15.5;1
197307;91.6;1
197308;42.3;1
197309;98.3;1
197310;39.5;1
197311;29;1
197312;52.3;1
197401;72.1;1
197402;46.6;1
197403;69.2;1
197404;26.1;1
197405;60.3;1
197406;30.8;1
197407;1.9;1
197408;34.2;1
197409;79.2;1
197410;50.5;1
197411;101;1
197412;28.1;1
197501;89.1;1
197502;19.2;1
197503;70.3;1
197504;47.6;1
197505;73.3;1
197506;12.5;1
197507;51.9;1
197508;19.8;1
197509;105.5;1
197510;22.8;1
197511;87.8;1
197512;26.2;1
197601;13.1;1
197602;50.9;1
197603;24.1;1
197604;15.7;1
197605;11.1;1
197606;1.8;1
197607;35.3;1
197608;23.6;1
197609;77.7;1
197610;86.9;1
197611;83.9;1
197612;41;1
197701;69.2;1
197702;122.8;1
197703;48.3;1
197704;23.4;1
197705;80;1
197706;43.9;1
197707;55.1;1
197708;81.3;1
197709;7.2;1
197710;46.7;1
197711;47.9;1
197712;46.4;1
197801;124.2;1
197802;78.4;1
197803;65.7;1
197804;45.7;1
197805;52.6;1
197806;42.6;1
197807;19.6;1
197808;25.7;1
197809;17.4;1
197810;6.1;1
197811;13.1;1
197812;108.1;1
197901;57.6;1
197902;116.5;1
197903;87.1;1
197904;55.9;1
197905;67.2;1
197906;75.9;1
197907;40.4;1
197908;29.5;1
197909;22.9;1
197910;113.3;1
197911;33;1
197912;161.7;1
198001;85.7;1
198002;37.8;1
198003;99.1;1
198004;4.7;1
198005;32.2;1
198006;73.7;1
198007;78.8;1
198008;7.8;1
198009;66;1
198010;72;1
198011;54.3;1
198012;57.8;1
198101;42.6;1
198102;45.8;1
198103;78.6;1
198104;15.5;1
198105;154.2;1
198106;29.6;1
198107;64.2;1
198108;33.5;1
198109;53.4;1
198110;132.1;1
198111;15.8;1
198112;139.2;1
198201;99.5;1
198202;38.4;1
198203;53.1;1
198204;6.5;1
198205;24.4;1
198206;114;1
198207;111.1;1
198208;60.2;1
198209;59;1
198210;114.6;1
198211;51.6;1
198212;107.9;1
198301;32.8;1
198302;47.4;1
198303;29.2;1
198304;141;1
198305;79.2;1
198306;80.7;1
198307;94.8;1
198308;101.5;1
198309;71.9;1
198310;39.7;1
198311;29.5;1
198312;42.5;1
198401;92.1;1
198402;24.8;1
198403;66.1;1
198404;3.5;1
198405;90.9;1
198406;24.8;1
198407;32.2;1
198408;27.1;1
198409;79;1
198410;76.5;1
198411;117;1
198412;58.7;1
198501;43.4;1
198502;70.2;1
198503;56.3;1
198504;66.8;1
198505;46.4;1
198506;55.2;1
198507;44.3;1
198508;48.4;1
198509;18.3;1
198510;7.9;1
198511;53.6;1
198512;44.7;1
198601;79.4;1
198602;76.7;1
198603;49.3;1
198604;52.6;1
198605;39.1;1
198606;33.5;1
198607;19.9;1
198608;50;1
198609;57.4;1
198610;78.1;1
198611;52.8;1
198612;48.7;1
198701;21.4;1
198702;27.7;1
198703;31.5;1
198704;37.2;1
198705;36.4;1
198706;69;1
198707;76.6;1
198708;31.8;1
198709;28.7;1
198710;173.3;1
198711;60.1;1
198712;58.9;1
198801;170.3;1
198802;98.1;1
198803;99.1;1
198804;73.9;1
198805;86.2;1
198806;36;1
198807;59.7;1
198808;13.2;1
198809;37.2;1
198810;43.6;1
198811;60;1
198812;23.7;1
198901;30.2;1
198902;58.7;1
198903;72.1;1
198904;94.5;1
198905;14.4;1
198906;34.1;1
198907;23.6;1
198908;9.9;1
198909;19;1
198910;54.8;1
198911;52.4;1
198912;135.1;1
199001;68.8;1
199002;69.6;1
199003;5.4;1
199004;55.1;1
199005;47.6;1
199006;39.8;1
199007;14.2;1
199008;3.3;1
199009;17;1
199010;58.5;1
199011;61.5;1
199012;60.4;1
199101;87.8;1
199102;35.1;1
199103;48.2;1
199104;54.9;1
199105;32.2;1
199106;40.2;1
199107;13;1
199108;39.9;1
199109;54.9;1
199110;36;1
199111;85.6;1
199112;9.4;1
199201;3.7;1
199202;31;1
199203;44.5;1
199204;41.8;1
199205;49.2;1
199206;45;1
199207;33.8;1
199208;85.2;1
199209;39.2;1
199210;79;1
199211;102.1;1
199212;62.9;1
199301;82.3;1
199302;4;1
199303;5.3;1
199304;90.2;1
199305;50.4;1
199306;85.3;1
199307;37.9;1
199308;4.6;1
199309;86.6;1
199310;111.5;1
199311;17.7;1
199312;75.1;1
199401;77.4;1
199402;118.3;1
199403;26;1
199404;56.3;1
199405;84.4;1
199406;44.3;1
199407;22;1
199408;135.3;1
199409;133;1
199410;83.6;1
199411;89.6;1
199412;94.8;1
199501;152.6;1
199502;94.8;1
199503;92.8;1
199504;19.2;1
199505;47.3;1
199506;7.7;1
199507;18.5;1
199508;14.8;1
199509;84.7;1
199510;27.6;1
199511;39.9;1
199512;79.2;1
199601;76.8;1
199602;72.6;1
199603;37.2;1
199604;26.8;1
199605;29;1
199606;3.5;1
199607;30.5;1
199608;19.4;1
199609;53.8;1
199610;26.3;1
199611;131;1
199612;58.7;1
199701;51;1
199702;83.1;1
199703;7.8;1
199704;7.2;1
199705;94.8;1
199706;85.5;1
199707;11.9;1
199708;63.5;1
199709;0;1
199710;44.5;1
199711;106.6;1
199712;82;1
199801;87.8;1
199802;6.7;1
199803;27.7;1
199804;175.9;1
199805;25;1
199806;53.1;1
199807;60.2;1
199808;18.3;1
199809;136.8;1
199810;63.4;1
199811;35.1;1
199812;94.8;1
199901;59.4;1
199902;68.6;1
199903;40.6;1
199904;87.8;1
199905;40.6;1
199906;15.8;1
199907;35.1;1
199908;63.6;1
199909;148.7;1
199910;129.6;1
199911;60.9;1
199912;148.6;1
200001;17.5;1
200002;61.4;1
200003;20.9;1
200004;72;1
200005;80.5;1
200006;40.5;1
200007;77.7;1
200008;40.8;1
200009;66.8;1
200010;110.4;1
200011;121.3;1
200012;116.9;1
200101;111.3;1
200102;52.6;1
200103;132.3;1
200104;90.6;1
200105;36.7;1
200106;15.6;1
200107;120.2;1
200108;56.9;1
200109;69;1
200110;74.5;1
200111;20.4;1
200112;41;1
200201;39;1
200202;75;1
200203;64.8;1
200204;27.3;1
200205;63.9;1
200206;10.7;1
200207;62.1;1
200208;119.1;1
