# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51009001
# NOM_USUEL= ANGLURE
# LATITUDE (°) = 48.586
# LONGITUDE(°)= 3.819
# ALTITUDE (m) = 77
# NUM_SERIE= MRR151009001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;118.3;1
195502;93.1;1
195503;18.6;1
195504;6.3;1
195505;46.4;1
195506;73.7;1
195507;66;1
195508;15.1;1
195509;25.9;1
195510;47.9;1
195511;26;1
195512;81.7;1
195601;68;1
195602;11.4;1
195603;25;1
195604;56.7;1
195605;47.4;1
195606;52.3;1
195607;69.1;1
195608;110.8;1
195609;62.6;1
195610;44.1;1
195611;46.4;1
195612;29.2;1
195701;22.4;1
195702;91.1;1
195703;29.6;1
195704;20.2;1
195705;27;1
195706;96.5;1
195707;94;1
195708;71;1
195709;96.9;1
195710;38.9;1
195711;18.6;1
195712;46.5;1
195801;79;1
195802;125.5;1
195803;26.9;1
195804;34.8;1
195805;163.7;1
195806;80.2;1
195807;92.1;1
195808;66.5;1
195809;62.5;1
195810;54.9;1
195811;52.4;1
195812;90.7;1
195901;103.8;1
195902;0.5;1
195903;54.6;1
195904;72.7;1
195905;15.3;1
195906;42;1
195907;8.6;1
195908;18.7;1
195909;3.2;1
195910;37.3;1
195911;46.1;1
195912;55.7;1
196001;51.9;1
196002;36.6;1
196003;46.5;1
196004;9.5;1
196005;15.4;1
196006;62.5;1
196007;75.3;1
196008;86.7;1
196009;46;1
196010;99.6;1
196011;61;1
196012;60.5;1
196101;79.4;1
196102;58.8;1
196103;4.7;1
196104;60.1;1
196105;42.4;1
196106;45.8;1
196107;58.8;1
196108;11.8;1
196109;39.8;1
196110;81.8;1
196111;56.4;1
196112;76;1
196201;83.2;1
196202;32.9;1
196203;65.4;1
196204;38.3;1
196205;53.7;1
196206;0.6;1
196207;62.1;1
196208;24;1
196209;41.8;1
196210;19.8;1
196211;61.2;1
196212;70.1;1
196301;15;1
196302;17.8;1
196303;63.1;1
196304;39.4;1
196305;59.6;1
196306;96.1;1
196307;67.7;1
196308;114.4;1
196309;24.3;1
196310;24.6;1
196311;112.2;1
196312;6.4;1
196401;23.6;1
196402;25.5;1
196403;69.6;1
196404;45.3;1
196405;29.4;1
196406;35;1
196407;69.8;1
196408;24.8;1
196409;79;1
196410;35;1
196411;32.3;1
196412;40.3;1
196501;92.1;1
196502;3.8;1
196503;67.7;1
196504;69.2;1
196505;39.7;1
196506;57.9;1
196507;46.2;1
196508;38.3;1
196509;153.8;1
196510;23.9;1
196511;99.8;1
196512;106.8;1
196601;57;1
196602;88.3;1
196603;30.2;1
196604;71.5;1
196605;24.6;1
196606;68.2;1
196607;76.3;1
196608;36.9;1
196609;27.1;1
196610;76.5;1
196611;50.6;1
196612;98.4;1
196701;34.3;1
196702;36.5;1
196703;28.2;1
196704;7;1
196705;42.8;1
196706;38.5;1
196707;50.2;1
196708;66;1
196709;140.7;1
196710;86.8;1
196711;74.1;1
196712;69.5;1
196801;75.9;1
196802;42;1
196803;34.3;1
196804;31.6;1
196805;81.6;1
196806;45.6;1
196807;78;1
196808;84.3;1
196809;81.2;1
196810;28.1;1
196811;20.5;1
196812;31.9;1
196901;32.1;1
196902;37.2;1
196903;35.6;1
196904;53.5;1
196905;96.5;1
196906;76.5;1
196907;52;1
196908;93.1;1
196909;10;1
196910;1.2;1
196911;113.8;1
196912;40.1;1
197001;42.9;1
197002;97;1
197003;61.4;1
197004;60.2;1
197005;42.8;1
197006;74.1;1
197007;64.9;1
197008;68.8;1
197009;32.9;1
197010;22;1
197011;44;1
197012;32.1;1
197101;62.3;1
197102;24.3;1
197103;18.9;1
197104;19;1
197105;203.2;1
197106;81.3;1
197107;48.8;1
197108;122.5;1
197109;13;1
197110;33.5;1
197111;78.2;1
197112;6.2;1
197201;46.3;1
197202;36.4;1
197203;27.9;1
197204;37.8;1
197205;47;1
197206;34.9;1
197207;47.3;1
197208;67.2;1
197209;56.7;1
197210;29.2;1
197211;97.9;1
197212;17.3;1
197301;42.8;1
197302;43.3;1
197303;5.1;1
197304;43;1
197305;96.5;1
197306;31.1;1
197307;92;1
197308;31.3;1
197309;81.7;1
197310;29.5;1
197311;68.1;1
197312;71.2;1
197401;46.7;1
197402;45.1;1
197403;76.1;1
197404;21.3;1
197405;35.9;1
197406;40.7;1
197407;27.1;1
197408;60.5;1
197409;93.7;1
197410;115.4;1
197411;52.1;1
197412;69;1
197501;72;1
197502;10.3;1
197503;67.9;1
197504;44.3;1
197505;74.3;1
197506;45.7;1
197507;71.7;1
