# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51210001
# NOM_USUEL= DIZY
# LATITUDE (°) = 49.069
# LONGITUDE(°)= 3.966
# ALTITUDE (m) = 92
# NUM_SERIE= MRR151210001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 195912 197512 201403
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;91.1;1
195502;53;1
195503;18.5;1
195504;7.6;1
195505;59.3;1
195506;38.8;1
195507;54.5;1
195508;19.2;1
195509;27.9;1
195510;23.7;1
195511;34.8;1
195512;107.2;1
195601;60.3;1
195602;11.6;1
195603;25.5;1
195604;50.5;1
195605;26.2;1
195606;51;1
195607;78.7;1
195608;58.5;1
195609;65.5;1
195610;47.5;1
195611;37.2;1
195612;28.5;1
195701;24.1;1
195702;109;1
195703;34.3;1
195704;14.6;1
195705;23.5;1
195706;36.8;1
195707;64.9;1
195708;63.8;1
195709;83;1
195710;36.1;1
195711;27;1
195712;46.4;1
195801;74.5;1
195802;150.5;1
195803;16.9;1
195804;41.9;1
195805;148;1
195806;68.9;1
195807;71.8;1
195808;63.4;1
195809;38.5;1
195810;64.1;1
195811;33.3;1
195812;86;1
195901;80.5;1
195902;1;1
195903;46.6;1
195904;72.9;1
195905;19.9;1
195906;42.6;1
195907;6.3;1
195908;21.7;1
195909;0.4;1
195910;54.6;1
195911;42;1
195912;104.2;1
196001;42.7;1
196002;37.2;1
196003;57.9;1
196004;14.4;1
196005;21;1
196006;35.6;1
196007;104.1;1
196008;115.5;1
196009;41.9;1
196010;82.6;1
196011;48.4;1
196012;57.9;1
196101;82.9;1
196102;59.2;1
196103;2.1;1
196104;42.7;1
196105;46.6;1
196106;41.4;1
196107;69.8;1
196108;5.1;1
196109;40.9;1
196110;101.4;1
196111;63.3;1
196112;51.2;1
196201;75.1;1
196202;48.1;1
196203;59.2;1
196204;54.6;1
196205;27;1
196206;2.9;1
196207;24.6;1
196208;23.1;1
196209;25.5;1
196210;30.6;1
196211;43.3;1
196212;55.2;1
196301;13.7;1
196302;11.8;1
196303;42.4;1
196304;18.5;1
196305;67;1
196306;97.8;1
196307;19.2;1
196308;96.9;1
196309;13.4;1
196310;26.3;1
196311;100.5;1
196312;4.8;1
196401;21;1
196402;29.7;1
196403;66.7;1
196404;37.7;1
196405;25.8;1
196406;38.3;1
196407;18.1;1
196408;33.3;1
196409;51.4;1
196410;68.3;1
196411;42.2;1
196412;36.8;1
196501;87.5;1
196502;10.6;1
196503;49;1
196504;69.8;1
196505;42.6;1
196506;46.1;1
196507;45;1
196508;54;1
196509;105.1;1
196510;18.7;1
196511;119.7;1
196512;129.6;1
196601;50.6;1
196602;64.1;1
196603;40.1;1
196604;80.1;1
196605;26.9;1
196606;66.3;1
196607;64.6;1
196608;38.6;1
196609;16.2;1
196610;90.9;1
196611;74.8;1
196612;104.4;1
196701;36.7;1
196702;41.8;1
196703;45.6;1
196704;21.4;1
196705;49.8;1
196706;38.7;1
196707;28.8;1
196708;37.7;1
196709;92.5;1
196710;113.7;1
196711;66.4;1
196712;88.8;1
196801;83.4;1
196802;46.8;1
196803;50.1;1
196804;26.8;1
196805;51.8;1
196806;28.7;1
196807;63.7;1
196808;80;1
196809;57.6;1
196810;27.1;1
196811;18.3;1
196812;35.2;1
196901;34.1;1
196902;22.4;1
196903;45.2;1
196904;62.6;1
196905;105.4;1
196906;84.1;1
196907;29;1
196908;76.1;1
196909;12.9;1
196910;3.4;1
196911;100.6;1
196912;48.2;1
197001;45;1
197002;117.1;1
197003;50.9;1
197004;52.3;1
197005;53.6;1
197006;69.2;1
197007;69.5;1
197008;39.1;1
197009;44.5;1
197010;22.8;1
197011;55;1
197012;29.2;1
197101;59.3;1
197102;43.5;1
197103;20;1
197104;17.8;1
197105;44.1;1
197106;83;1
197107;75.1;1
197108;87.6;1
197109;10.7;1
197110;18.2;1
197111;72.4;1
197112;7.8;1
197201;49.9;1
197202;41.3;1
197203;34.4;1
197204;42.4;1
197205;55.9;1
197206;25.9;1
197207;98.9;1
197208;79.8;1
197209;26.8;1
197210;20.4;1
197211;85.8;1
197212;16.1;1
197301;21.3;1
197302;61;1
197303;5.7;1
197304;43.7;1
197305;80.7;1
197306;19.2;1
197307;39.9;1
197308;27.1;1
197309;118.2;1
197310;45.4;1
197311;64.3;1
197312;53.6;1
197401;42.3;1
197402;35.5;1
197403;57.2;1
197404;10.1;1
197405;46.6;1
197406;59.1;1
197407;44.8;1
197408;46.3;1
197409;92;1
197410;135.8;1
197411;58.3;1
197412;64.3;1
197501;66.6;1
197502;9.7;1
197503;55;1
197504;29;1
197505;89;1
197506;75.5;1
197507;37.2;1
197508;59.6;1
197509;64.3;1
197510;21.5;1
197511;71.1;1
197512;16.8;1
197601;19.1;1
197602;30.4;1
197603;22.7;1
197604;25.8;1
197605;9.6;1
197606;13.1;1
197607;32.4;1
197608;14.6;1
197609;36.9;1
197610;76.9;1
197611;60.1;1
197612;58.6;1
197701;66.7;1
197702;83;1
197703;68.1;1
197704;48.9;1
197705;63.4;1
197706;79.7;1
197707;61.5;1
197708;22;1
197709;9.1;1
197710;45.1;1
197711;95.4;1
197712;41.5;1
197801;60.6;1
197802;53.3;1
197803;126.7;1
197804;31.3;1
197805;82.2;1
197806;84.4;1
197807;70.9;1
197808;25;1
197809;52.4;1
197810;7.5;1
197811;13.3;1
197812;122.8;1
197901;30;1
197902;67.2;1
197903;135.3;1
197904;66;1
197905;61.7;1
197906;61;1
197907;11.9;1
197908;55.7;1
197909;41;1
197910;72;1
197911;63.7;1
197912;114.7;1
198001;41.2;1
198002;67.9;1
198003;71.5;1
198004;16.3;1
198005;57.4;1
198006;75.3;1
198007;81.7;1
198008;40.6;1
198009;22.4;1
198010;68.2;1
198011;47.9;1
198012;80.3;1
198101;65.4;1
198102;38.4;1
198103;88.2;1
198104;21;1
198105;75.9;1
198106;83.1;1
198107;51.5;1
198108;32.4;1
198109;68.4;1
198110;161.3;1
198111;29.6;1
198112;98.7;1
198201;74.6;1
198202;11.6;1
198203;101.2;1
198204;8.7;1
198205;53;1
198206;69.3;1
198207;31.6;1
198208;31.3;1
198209;51;1
198210;84.4;1
198211;62;1
198212;99.9;1
198301;73.9;1
198302;53.3;1
198303;55.5;1
198304;108;1
198305;81.4;1
198306;48.9;1
198307;35.2;1
198308;35;1
198309;39.6;1
198310;25.5;1
198311;49.5;1
198312;34.6;1
198401;117.1;1
198402;50.8;1
198403;41.6;1
198404;23.2;1
198405;81.9;1
198406;22.6;1
198407;41.8;1
198408;44.2;1
198409;80;1
198410;96.5;1
198411;76.2;1
198412;35.1;1
198501;40.6;1
198502;13.8;1
198503;53.9;1
198504;58;1
198505;46.3;1
198506;48.9;1
198507;33.8;1
198508;30.3;1
198509;42;1
198510;9.1;1
198511;50.7;1
198512;26.6;1
198601;87.1;1
198602;13;1
198603;73.9;1
198604;85.4;1
198605;44.7;1
198606;34.4;1
198607;14.3;1
198608;60.4;1
198609;72;1
198610;62.7;1
198611;36.1;1
198612;80;1
198701;31;1
198702;54.6;1
198703;63;1
198704;24.5;1
198705;55;1
198706;98.7;1
198707;117.3;1
198708;42.5;1
198709;76.6;1
198710;135.9;1
198711;61.1;1
198712;33.5;1
198801;99.1;1
198802;65.8;1
198803;117;1
198804;14.9;1
198805;77.4;1
198806;40.7;1
198807;97.6;1
198808;28.1;1
198809;51.2;1
198810;91.4;1
198811;45.5;1
198812;68.1;1
198901;27.2;1
198902;42.1;1
198903;55.4;1
198904;97.9;1
198905;22.7;1
198906;79.6;1
198907;45.6;1
198908;57.1;1
198909;32.8;1
198910;34.3;1
198911;20.3;1
198912;97.6;1
199001;50.3;1
199002;93.9;1
199003;13.4;1
199004;39.1;1
199005;21.2;1
199006;83.3;1
199007;20.6;1
199008;47;1
199009;53.2;1
199010;81.3;1
199011;45.2;1
199012;79;1
199101;69;1
199102;13.9;1
199103;52.7;1
199104;38.3;1
199105;8.5;1
199106;70.1;1
199107;38.9;1
199108;52.3;1
199109;40.2;1
199110;33.2;1
199111;77.4;1
199112;61.8;1
199201;8;1
199202;31.5;1
199203;72.1;1
199204;37.5;1
199205;35.5;1
199206;107.3;1
199207;50.9;1
199208;56.4;1
199209;40;1
199210;49.8;1
199211;101.8;1
199212;58.1;1
199301;78.2;1
199302;18.6;1
199303;8.1;1
199304;49.5;1
199305;56.7;1
199306;28.9;1
199307;37.7;1
199308;9;1
199309;114.4;1
199310;68.9;1
199311;23.5;1
199312;166.6;1
199401;80.3;1
199402;46.4;1
199403;49.5;1
199404;79.7;1
199405;73.4;1
199406;26.6;1
199407;33.1;1
199408;44.3;1
199409;64.1;1
199410;49.2;1
199411;24.6;1
199412;67.3;1
