# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 51242001
# NOM_USUEL= FAGNIERES-INRA
# LATITUDE (°) = 48.94
# LONGITUDE(°)= 4.309
# ALTITUDE (m) = 105
# NUM_SERIE= MRR151242001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 200912
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;83.2;1
195502;71.7;1
195503;22.6;1
195504;8;1
195505;51.7;1
195506;71.9;1
195507;70.2;1
195508;15.5;1
195509;27.5;1
195510;36.7;1
195511;26.6;1
195512;105.7;1
195601;61.6;1
195602;18.1;1
195603;27.3;1
195604;55.3;1
195605;38.4;1
195606;53.3;1
195607;51.2;1
195608;63.6;1
195609;22.7;1
195610;50.1;1
195611;16.6;1
195612;18.9;1
195701;27.3;1
195702;74.1;1
195703;40.5;1
195704;11.7;1
195705;20.4;1
195706;79.9;1
195707;59.6;1
195708;72.5;1
195709;68.1;1
195710;32.3;1
195711;20;1
195712;39.4;1
195801;52.2;1
195802;108.8;1
195803;20.7;1
195804;23.1;1
195805;137.6;1
195806;51.8;1
195807;41.3;1
195808;73.2;1
195809;44.1;1
195810;50;1
195811;33.2;1
195812;72.5;1
195901;57.6;1
195902;1.9;1
195903;34.7;1
195904;60.3;1
195905;24.5;1
195906;31.4;1
195907;10.5;1
195908;43.6;1
195909;0.7;1
195910;51.1;1
195911;32.5;1
195912;47.4;1
196001;30;1
196002;26.3;1
196003;37.5;1
196004;6.9;1
196005;32.9;1
196006;70.8;1
196007;71.6;1
196008;87.3;1
196009;39.9;1
196010;66.1;1
196011;47.1;1
196012;41;1
196101;67.7;1
196102;47.2;1
196103;4.5;1
196104;34.7;1
196105;33.6;1
196106;45.4;1
196107;38.7;1
196108;5.8;1
196109;40.4;1
196110;83.3;1
196111;63.7;1
196112;49.6;1
196201;68.6;1
196202;35.8;1
196203;69.9;1
196204;41;1
196205;34.4;1
196206;4;1
196207;27.1;1
196208;15.2;1
196209;41.5;1
196210;20;1
196211;43.9;1
196212;47.9;1
196301;20.6;1
196302;18;1
196303;41.1;1
196304;22.1;1
196305;65;1
196306;64;1
196307;18.9;1
196308;97.6;1
196309;19.8;1
196310;28.2;1
196311;93.2;1
196312;7.6;1
196401;19.4;1
196402;18;1
196403;57.8;1
196404;36.7;1
196405;25;1
196406;15.7;1
196407;25.5;1
196408;25.8;1
196409;59.7;1
196410;43.8;1
196411;30.3;1
196412;23.5;1
196501;89.7;1
196502;8.1;1
196503;64.7;1
196504;65.6;1
196505;42;1
196506;54.3;1
196507;45.6;1
196508;100.9;1
196509;91.8;1
196510;25.2;1
196511;90.5;1
196512;106.2;1
196601;49.7;1
196602;78;1
196603;35.7;1
196604;56.8;1
196605;31.6;1
196606;49.3;1
196607;64.8;1
196608;78.8;1
196609;12.8;1
196610;71.2;1
196611;47.5;1
196612;91.8;1
196701;35.2;1
196702;32.4;1
196703;38.7;1
196704;23;1
196705;58.6;1
196706;41.5;1
196707;41.5;1
196708;97.1;1
196709;113;1
196710;77.8;1
196711;68.1;1
196712;72.4;1
