# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 52447001
# NOM_USUEL= ST-CIERGUES
# LATITUDE (°) = 47.882
# LONGITUDE(°)= 5.262
# ALTITUDE (m) = 359
# NUM_SERIE= MRR152447001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 196612
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;146.1;1
195502;112.9;1
195503;51.7;1
195504;6.2;1
195505;73.6;1
195506;130.7;1
195507;89.9;1
195508;44.3;1
195509;63.9;1
195510;63.4;1
195511;30.5;1
195512;146.7;1
195601;86.5;1
195602;15.6;1
195603;57.8;1
195604;93.9;1
195605;59;1
195606;64.9;1
195607;104.4;1
195608;162.4;1
195609;102.9;1
195610;91.6;1
195611;52.4;1
195612;35.8;1
195701;41.1;1
195702;143.8;1
195703;38.9;1
195704;21.9;1
195705;35.2;1
195706;79.2;1
195707;98.2;1
195708;66.8;1
195709;62.9;1
195710;39;1
195711;34.4;1
195712;56.7;1
195801;119.7;1
195802;169.8;1
195803;60;1
195804;55.2;1
195805;135.4;1
195806;105.2;1
195807;51.9;1
195808;96.8;1
195809;66.1;1
195810;89.1;1
195811;48.2;1
195812;116.5;1
195901;163.3;1
195902;1.7;1
195903;85.5;1
195904;79;1
195905;53;1
195906;95.8;1
195907;17.9;1
195908;49.8;1
195909;8.9;1
195910;38.4;1
195911;68;1
195912;97;1
196001;67.1;1
196002;97.8;1
196003;35.2;1
196004;24;1
196005;99.2;1
196006;93.5;1
196007;84.4;1
196008;185.2;1
196009;76.6;1
196010;129.7;1
196011;76;1
196012;77.6;1
196101;112.8;1
196102;107.4;1
196103;13.2;1
196104;40.4;1
196105;56;1
196106;64.1;1
196107;87;1
196108;52.6;1
196109;26.9;1
