# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 52448001
# NOM_USUEL= ST-DIZIER
# LATITUDE (°) = 48.631
# LONGITUDE(°)= 4.904
# ALTITUDE (m) = 139
# NUM_SERIE= MRR152448001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 195612 200012
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;147.1;1
195502;90.1;1
195503;19.6;1
195504;8.2;1
195505;52;1
195506;57.5;1
195507;55.1;1
195508;31.2;1
195509;45;1
195510;38.7;1
195511;31.2;1
195512;75.4;1
195601;46.8;1
195602;17.8;1
195603;18.2;1
195604;33.2;1
195605;43.8;1
195606;87.7;1
195607;60.7;1
195608;76.3;1
195609;43.7;1
195610;77.6;1
195611;46.7;1
195612;30.4;1
195701;30.7;1
195702;99.2;1
195703;55.4;1
195704;29.1;1
195705;28.2;1
195706;76.4;1
195707;86;1
195708;92.2;1
195709;75.9;1
195710;43.8;1
195711;23.1;1
195712;55.7;1
195801;73.8;1
195802;151;1
195803;24.7;1
195804;32.6;1
195805;151.9;1
195806;63.7;1
195807;68.1;1
195808;99.7;1
195809;35.6;1
195810;80.7;1
195811;45.9;1
195812;114.9;1
195901;106.7;1
195902;1;1
195903;46.2;1
195904;61.1;1
195905;65.3;1
195906;106.4;1
195907;13.6;1
195908;38.4;1
195909;2.4;1
195910;55.6;1
195911;55.6;1
195912;81.5;1
196001;54.2;1
196002;46;1
196003;38.1;1
196004;20.1;1
196005;39.6;1
196006;66.6;1
196007;110.1;1
196008;113.7;1
196009;75.5;1
196010;91.1;1
196011;79.6;1
196012;59.8;1
196101;75.9;1
196102;62.8;1
196103;12;1
196104;52.5;1
196105;71;1
196106;45.4;1
196107;76.5;1
196108;22.9;1
196109;40.1;1
196110;66.9;1
196111;67.4;1
196112;76.4;1
196201;71.8;1
196202;49.4;1
196203;66;1
196204;39.7;1
196205;67.7;1
196206;1.9;1
196207;67.3;1
196208;33;1
196209;45.5;1
196210;23.6;1
196211;35.8;1
196212;53.1;1
196301;28.1;1
196302;17.3;1
196303;40.3;1
196304;30.5;1
196305;71.8;1
196306;98.5;1
196307;55.1;1
196308;132.9;1
196309;26.1;1
196310;35;1
196311;116.3;1
196312;8.5;1
196401;21.7;1
196402;29;1
196403;52.3;1
196404;54.7;1
196405;53.9;1
196406;23.6;1
196407;21.6;1
196408;39.4;1
196409;69.6;1
196410;57.2;1
196411;57.9;1
196412;29.9;1
196501;96.4;1
196502;14.1;1
196503;70.4;1
196504;58.8;1
196505;50.9;1
196506;58.4;1
196507;53;1
196508;76.7;1
196509;109.4;1
196510;12.5;1
196511;90.5;1
196512;124.7;1
196601;67.6;1
196602;80.4;1
196603;48.2;1
196604;71.7;1
196605;53.7;1
196606;89.2;1
196607;68.1;1
196608;49.2;1
196609;33.2;1
196610;59.3;1
196611;57.9;1
196612;115.2;1
196701;47.3;1
196702;46.6;1
196703;54.2;1
196704;32.1;1
196705;49.9;1
196706;32.2;1
196707;25.8;1
196708;40.3;1
196709;116.6;1
196710;89.3;1
196711;53.9;1
196712;84.7;1
196801;104.1;1
196802;53.6;1
196803;34.3;1
196804;44.4;1
196805;69.7;1
196806;51.3;1
196807;107.2;1
196808;139.9;1
196809;76.1;1
196810;36.1;1
196811;30.1;1
196812;45;1
196901;30.2;1
196902;50.6;1
196903;53.5;1
196904;70.6;1
196905;89;1
196906;115.3;1
196907;37;1
196908;83.5;1
196909;8.3;1
196910;2.4;1
196911;94.9;1
196912;57.1;1
197001;73.1;1
197002;131.2;1
197003;69.5;1
197004;85.8;1
197005;62.9;1
197006;105.6;1
197007;78;1
197008;64.9;1
197009;56.3;1
197010;52.5;1
197011;50.5;1
197012;30.8;1
197101;56.5;1
197102;25.4;1
197103;39.8;1
197104;18.6;1
197105;71.2;1
197106;98.5;1
197107;17.8;1
197108;53.5;1
197109;16.8;1
197110;14.5;1
197111;68.5;1
197112;12.3;1
197201;43.5;1
197202;50.3;1
197203;34.8;1
197204;51.7;1
197205;63.4;1
197206;37.2;1
197207;131.5;1
197208;122.4;1
197209;37.3;1
197210;24.3;1
197211;99.7;1
197212;28.9;1
197301;47.4;1
197302;57.5;1
197303;10.1;1
197304;36.9;1
197305;79.5;1
197306;22.6;1
197307;88.8;1
197308;21.7;1
197309;42.2;1
197310;36.2;1
197311;67.5;1
197312;103.8;1
197401;38.7;1
197402;46.4;1
197403;74.1;1
197404;21.5;1
197405;31.6;1
197406;111.1;1
197407;50.2;1
197408;42.1;1
197409;97.3;1
197410;165;1
197411;84.6;1
197412;73.9;1
197501;69.2;1
197502;11.5;1
197503;56.5;1
197504;48.2;1
197505;47.2;1
197506;37.5;1
197507;54.6;1
197508;82.1;1
197509;102;1
197510;31;1
197511;75.4;1
197512;34;1
197601;43.2;1
197602;49.4;1
197603;19.2;1
197604;27.1;1
197605;12.4;1
197606;12.1;1
197607;40;1
197608;10.6;1
197609;84;1
197610;78.3;1
197611;80.6;1
197612;56.3;1
197701;76.2;1
197702;133;1
197703;50.7;1
197704;48.8;1
197705;59.4;1
197706;80.2;1
197707;97.3;1
197708;113.8;1
197709;18.1;1
197710;57.6;1
197711;101.4;1
197712;60.7;1
197801;87.7;1
197802;65.7;1
197803;137.4;1
197804;31.7;1
197805;105.3;1
197806;55.5;1
197807;76.4;1
197808;22.2;1
197809;58.2;1
197810;19.9;1
197811;17.8;1
197812;128;1
197901;34.9;1
197902;105.2;1
197903;116.8;1
197904;71;1
197905;94.5;1
197906;39.9;1
197907;14.4;1
197908;106;1
197909;42.8;1
197910;76.8;1
197911;75;1
197912;110.7;1
198001;67.1;1
198002;68.6;1
198003;68.1;1
198004;26.6;1
198005;75.6;1
198006;89.5;1
198007;121.4;1
198008;42.3;1
198009;27.5;1
198010;76.2;1
198011;64.6;1
198012;76.5;1
198101;87.7;1
198102;48.9;1
198103;102.3;1
198104;24.7;1
198105;67.7;1
198106;123.6;1
198107;74.4;1
198108;55.7;1
198109;74.1;1
198110;116.7;1
198111;46.8;1
198112;130.6;1
198201;95.8;1
198202;13.8;1
198203;83.9;1
198204;14.8;1
198205;60.5;1
198206;99.4;1
198207;38.5;1
198208;79.8;1
198209;57.9;1
198210;117.6;1
198211;72.8;1
198212;138.7;1
198301;87;1
198302;56.6;1
198303;70.2;1
198304;139;1
198305;131.3;1
198306;24;1
198307;14.3;1
198308;35;1
198309;73.5;1
198310;42.9;1
198311;43.3;1
198312;38.1;1
198401;149.9;1
198402;60;1
198403;37.9;1
198404;37.4;1
198405;65;1
198406;61.4;1
198407;36.2;1
198408;29.5;1
198409;127.9;1
198410;133.3;1
198411;79.1;1
198412;44.6;1
198501;65;1
198502;14.7;1
198503;53.9;1
198504;67;1
198505;107.8;1
198506;93.7;1
198507;23.4;1
198508;75.4;1
198509;21.5;1
198510;13.5;1
198511;55.1;1
198512;63.4;1
198601;112.4;1
198602;17.5;1
198603;77;1
198604;81.8;1
198605;56.6;1
198606;37.9;1
198607;34.3;1
198608;109.2;1
198609;65.4;1
198610;88.5;1
198611;50.4;1
198612;103.4;1
198701;29.3;1
198702;75.4;1
198703;59.3;1
198704;22.8;1
198705;75.4;1
198706;138.1;1
198707;107.7;1
198708;66.3;1
198709;35.8;1
198710;91.2;1
198711;54.4;1
198712;44.1;1
198801;115.3;1
198802;73.5;1
198803;104.3;1
198804;23.6;1
198805;136.7;1
198806;46.8;1
198807;97.2;1
198808;31.5;1
198809;54;1
198810;65.8;1
198811;47;1
