# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 54182001
# NOM_USUEL= ESSEY-ET-MAIZE.
# LATITUDE (°) = 48.919
# LONGITUDE(°)= 5.809
# ALTITUDE (m) = 218
# NUM_SERIE= MRR154182001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 196606 198206
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;28.2;1
195002;128.8;1
195003;9.2;1
195004;115.6;1
195005;105.8;1
195006;78;1
195007;59.4;1
195008;92.9;1
195009;87.7;1
195010;15.8;1
195011;111.8;1
195012;94.2;1
195101;50;1
195102;71.7;1
195103;86.9;1
195104;49.5;1
195105;45.8;1
195106;154.3;1
195107;34.3;1
195108;74.9;1
195109;57.3;1
195110;24.4;1
195111;94.9;1
195112;44.3;1
195201;97.6;1
195202;33.6;1
195203;113.1;1
195204;21.5;1
195205;59.2;1
195206;36.2;1
195207;22.8;1
195208;97.4;1
195209;110.1;1
195210;120.3;1
195211;147.2;1
195212;100.6;1
195301;14.5;1
195302;32.9;1
195303;1.8;1
195304;58;1
195305;22;1
195306;170.3;1
195307;80.8;1
195308;44.2;1
195309;48.4;1
195310;23.1;1
195311;15.1;1
195312;18.2;1
195401;32.1;1
195402;64.1;1
195403;30.1;1
195404;30.2;1
195405;41.6;1
195406;50.2;1
195407;44.7;1
195408;108.1;1
195409;89.3;1
195410;53.5;1
195411;28;1
195412;76.9;1
195501;126.3;1
195502;80.2;1
195503;28.9;1
195504;11.4;1
195505;64.1;1
195506;69.5;1
195507;85.9;1
195508;43.7;1
195509;44.7;1
195510;48.2;1
195511;35.7;1
195512;120;1
195601;65.5;1
195602;8.5;1
195603;23.3;1
195604;48.4;1
195605;114.3;1
195606;61.2;1
195607;52.6;1
195608;100.4;1
195609;78.4;1
195610;80;1
195611;30.5;1
195612;20.2;1
195701;31.1;1
195702;102.2;1
195703;47.3;1
195704;16.1;1
195705;32;1
195706;50.9;1
195707;61.7;1
195708;84.7;1
195709;78.9;1
195710;47.1;1
195711;29.6;1
195712;38.7;1
195801;114.8;1
195802;144;1
195803;41.9;1
195804;49.7;1
195805;143.7;1
195806;54;1
195807;72.7;1
195808;155.4;1
195809;36.1;1
195810;72.9;1
195811;54.2;1
195812;110.9;1
195901;93.1;1
195902;4.2;1
195903;72.9;1
195904;74.6;1
195905;65;1
195906;106;1
195907;33;1
195908;46.6;1
195909;0;1
195910;32.7;1
195911;42.7;1
195912;88.5;1
196001;50;1
196002;56.2;1
196003;39.6;1
196004;18.7;1
196005;76;1
196006;104.2;1
196007;136.4;1
196008;140.5;1
196009;57.7;1
196010;75.1;1
196011;76.9;1
196012;49;1
196101;72.7;1
196102;50;1
196103;7;1
196104;56.1;1
196105;62.6;1
196106;83.5;1
196107;74.8;1
196108;30.8;1
196109;44;1
196110;77.6;1
196111;68.8;1
196112;62.6;1
196201;80.1;1
196202;45.3;1
196203;50.5;1
196204;55.8;1
196205;88.4;1
196206;0.6;1
196207;34.7;1
196208;38;1
196209;49.4;1
196210;16.8;1
196211;23;1
196212;33.9;1
196301;30.8;1
196302;14.2;1
196303;53.6;1
196304;18.2;1
196305;54;1
196306;159.4;1
196307;76.9;1
196308;104.4;1
196309;26.1;1
196310;40;1
196311;119.9;1
196312;5.2;1
196401;34.7;1
196402;18.4;1
196403;52.8;1
196404;26.5;1
196405;30.2;1
196406;17;1
196407;26.4;1
196408;51.8;1
196409;72.3;1
196410;65.5;1
196411;83.3;1
196412;46.9;1
196501;135.4;1
196502;15.6;1
196503;93.7;1
196504;93.7;1
196505;67.7;1
196506;98.9;1
