# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 54407001
# NOM_USUEL= OGNEVILLE
# LATITUDE (°) = 48.475
# LONGITUDE(°)= 6.068
# ALTITUDE (m) = 300
# NUM_SERIE= MRR154407001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;36.6;1
195002;98;1
195003;13.6;1
195004;109.3;1
195005;65;1
195006;92.7;1
195007;91.5;1
195008;64.7;1
195009;74.7;1
195010;7.2;1
195011;127.1;1
195012;106.1;1
195101;66;1
195102;74.1;1
195103;87.3;1
195104;46.4;1
195105;90.4;1
195106;112.5;1
195107;20;1
195108;59.3;1
195109;55.9;1
195110;31.9;1
195111;110;1
195112;51.1;1
195201;117.6;1
195202;49.9;1
195203;101.8;1
195204;23.8;1
195205;51;1
195206;53.5;1
195207;16.4;1
195208;75.8;1
195209;118;1
195210;98.6;1
195211;137.2;1
195212;95.7;1
195301;12.7;1
195302;42.9;1
195303;7.2;1
195304;34.7;1
195305;22.1;1
195306;206.5;1
195307;157.5;1
195308;14.9;1
195309;61.1;1
195310;25.4;1
195311;11.3;1
195312;18.1;1
195401;39.6;1
195402;45.6;1
195403;24.1;1
195404;33.2;1
195405;41.7;1
195406;38.4;1
195407;42.2;1
195408;146.2;1
195409;107.9;1
195410;62.1;1
195411;40.6;1
195412;93.5;1
195501;149.6;1
195502;92.8;1
195503;38.2;1
195504;6.6;1
195505;73.4;1
195506;73.4;1
195507;82.2;1
195508;28.5;1
195509;46.3;1
195510;33.3;1
195511;20.4;1
195512;99.6;1
195601;76.7;1
195602;19.2;1
195603;38.5;1
195604;64.2;1
195605;44.6;1
195606;83.2;1
195607;83;1
195608;135.4;1
195609;64.1;1
195610;74.7;1
195611;42.5;1
195612;21.3;1
195701;33.9;1
195702;119.5;1
195703;51.9;1
195704;24.1;1
195705;21.9;1
195706;79.3;1
195707;87.9;1
195708;52.2;1
195709;74.6;1
195710;31.9;1
195711;32.7;1
195712;42.1;1
195801;103.8;1
195802;150;1
195803;28.4;1
195804;39.8;1
195805;113.8;1
195806;77.2;1
195807;50;1
195808;108;1
195809;60;1
195810;48;1
195811;58;1
195812;128;1
195901;138.4;1
195902;1.2;1
195903;69.1;1
195904;76.9;1
195905;35.3;1
195906;73.7;1
195907;26.5;1
195908;51.2;1
195909;8.5;1
195910;35.2;1
195911;48.2;1
195912;95.4;1
196001;54.1;1
196002;100.5;1
196003;39.6;1
196004;26.8;1
196005;52.9;1
196006;104.5;1
196007;89;1
196008;183.4;1
196009;62.3;1
196010;90.5;1
196011;74;1
196012;57;1
196101;108.1;1
196102;57.2;1
196103;9.3;1
196104;104.3;1
196105;85.3;1
196106;65.9;1
196107;72.9;1
196108;37.4;1
196109;15.2;1
196110;116.1;1
196111;89.7;1
196112;94;1
196201;109.4;1
196202;69;1
196203;103.4;1
196204;61.7;1
196205;108.4;1
196206;2.1;1
196207;46.6;1
196208;45.4;1
196209;67.2;1
196210;17;1
196211;28.5;1
196212;56.1;1
196301;41.5;1
196302;27.4;1
196303;79.5;1
196304;46.5;1
196305;65.7;1
196306;131;1
196307;13.9;1
196308;112.3;1
196309;33.5;1
196310;31.8;1
196311;144.3;1
196312;0;1
196401;35.4;1
196402;40.7;1
196403;79.6;1
196404;32.1;1
196405;25.4;1
196406;13;1
196407;12.5;1
196408;55.2;1
196409;114.2;1
196410;76.9;1
196411;71;1
196412;24.5;1
196501;118.1;1
196502;13.5;1
196503;104.4;1
196504;72.8;1
196505;75.3;1
196506;60;1
196507;59.2;1
196508;63.4;1
196509;157.6;1
196510;8.2;1
196511;138.1;1
196512;208.3;1
196601;76.5;1
196602;69.2;1
196603;69.4;1
196604;79.4;1
196605;90;1
196606;45.1;1
196607;71.5;1
196608;118.3;1
196609;25.5;1
196610;78.6;1
196611;60.5;1
196612;178.4;1
196701;47.8;1
196702;93;1
196703;71.8;1
196704;31.2;1
196705;91.3;1
196706;35;1
196707;37.5;1
196708;73.5;1
196709;125;1
196710;89.7;1
196711;71.6;1
196712;99.2;1
196801;96.2;1
196802;70.9;1
196803;56.9;1
196804;61.2;1
196805;50.3;1
196806;62;1
196807;70;1
196808;116.6;1
196809;121.3;1
196810;26.4;1
196811;45.9;1
196812;59.9;1
196901;58.9;1
196902;71.1;1
196903;61.6;1
196904;65.8;1
196905;99.1;1
196906;117.5;1
196907;30.8;1
196908;74.7;1
196909;15.5;1
196910;10.5;1
196911;106.9;1
196912;59;1
197001;77.6;1
197002;202.1;1
197003;80.7;1
197004;94.7;1
197005;99.3;1
197006;125.6;1
197007;38.4;1
197008;54.4;1
197009;48.8;1
197010;71.7;1
197011;42.9;1
197012;56;1
197101;56;1
197102;30.2;1
197103;45.3;1
197104;15.3;1
197105;95.5;1
197106;67.7;1
197107;17.3;1
197108;77.8;1
197109;12.2;1
197110;17.1;1
197111;84;1
197112;23.1;1
197201;42;1
197202;47.8;1
197203;46.6;1
197204;58.9;1
197205;71;1
197206;57.3;1
197207;72.6;1
197208;69.1;1
197209;27;1
197210;20.5;1
197211;159.6;1
197212;34.9;1
197301;36.7;1
197302;64.5;1
197303;17.6;1
197304;47.2;1
197305;102.1;1
197306;42;1
197307;85.8;1
197308;73.2;1
197309;50.8;1
197310;38.7;1
197311;79.2;1
197312;95.3;1
197401;47.8;1
197402;63.8;1
197403;95.9;1
197404;16.7;1
197405;44.9;1
197406;40.6;1
197407;63.4;1
197408;39;1
197409;116.5;1
197410;154.3;1
197411;83.9;1
197412;80.9;1
197501;78;1
197502;8.3;1
197503;56.7;1
197504;60.1;1
197505;50;1
197506;77.7;1
197507;33.3;1
197508;72.6;1
197509;60.4;1
197510;21.3;1
197511;100;1
197512;31.4;1
197601;52;1
197602;43.8;1
197603;10.3;1
197604;33.6;1
197605;17.9;1
197606;21.6;1
197607;35.7;1
197608;15.4;1
197609;71.8;1
197610;47.4;1
197611;85;1
197612;79.4;1
197701;102.7;1
197702;168.8;1
197703;38.7;1
197704;47.7;1
197705;51.4;1
197706;101.7;1
197707;67.1;1
197708;85.6;1
197709;14;1
197710;36.2;1
197711;159.5;1
197712;79.2;1
197801;99.2;1
197802;107.1;1
197803;155.8;1
197804;71.3;1
197805;68.4;1
197806;62.9;1
197807;82.5;1
197808;33.4;1
197809;54.7;1
197810;13.6;1
197811;19.4;1
197812;149.7;1
197901;62;1
197902;138.6;1
197903;145;1
197904;107;1
197905;102.2;1
197906;67.4;1
197907;2.5;1
197908;142.8;1
197909;40.3;1
197910;74.4;1
197911;70.7;1
197912;170;1
198001;78.2;1
198002;79.9;1
198003;69.4;1
198004;33.2;1
198005;51.6;1
198006;98.8;1
198007;87.3;1
198008;75;1
198009;51.6;1
198010;62.9;1
198011;66.4;1
198012;70.1;1
198101;116.5;1
198102;43.6;1
198103;91;1
198104;42.3;1
198105;71.3;1
198106;86.1;1
198107;92;1
198108;43.2;1
198109;120.2;1
198110;173.6;1
198111;55.9;1
198112;167.9;1
198201;111.8;1
198202;7.3;1
198203;93.3;1
198204;15.8;1
198205;40.1;1
198206;126.1;1
198207;44.6;1
198208;120;1
198209;58;1
198210;133.7;1
198211;98.1;1
198212;173.4;1
198301;86;1
198302;66.5;1
198303;63.4;1
198304;200.4;1
198305;215.3;1
198306;51.7;1
198307;23.6;1
198308;19.5;1
198309;78.2;1
198310;51.2;1
198311;67.5;1
198312;48;1
198401;194.6;1
198402;85.3;1
198403;35.2;1
198404;29.7;1
198405;78.4;1
198406;44.1;1
198407;57.2;1
198408;53.2;1
198409;128.7;1
198410;77.2;1
198411;84.6;1
198412;38.9;1
198501;53.3;1
198502;16.5;1
198503;62.4;1
198504;66.2;1
