# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 54415001
# NOM_USUEL= PAGNY-SUR-MOSELLE
# LATITUDE (°) = 48.984
# LONGITUDE(°)= 6.031
# ALTITUDE (m) = 179
# NUM_SERIE= MRR154415001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195201 201412
# Date(s) de rupture(s) d'homogénéité : 197305 200507
#     Periode homogénéisée  195201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;78.4;1
195202;33.1;1
195203;97.1;1
195204;21;1
195205;43;1
195206;37.5;1
195207;17;1
195208;108.1;1
195209;99.3;1
195210;126.3;1
195211;172.5;1
195212;94.5;1
195301;15.5;1
195302;37;1
195303;7.9;1
195304;55.4;1
195305;38.7;1
195306;90.8;1
195307;88.6;1
195308;44.7;1
195309;66.9;1
195310;30.6;1
195311;20.3;1
195312;21.2;1
195401;50.9;1
195402;45;1
195403;29;1
195404;25.8;1
195405;46.4;1
195406;29.2;1
195407;48.7;1
195408;172;1
195409;105.5;1
195410;66.2;1
195411;42.4;1
195412;80.5;1
195501;112.9;1
195502;82.8;1
195503;36.2;1
195504;7.1;1
195505;75.6;1
195506;69.3;1
195507;110.4;1
195508;53.1;1
195509;47.2;1
195510;58.7;1
195511;34.4;1
195512;108.4;1
195601;79.2;1
195602;14.6;1
195603;22.5;1
195604;60.3;1
195605;87.1;1
195606;49.2;1
195607;43.8;1
195608;100.9;1
195609;68.5;1
195610;76.9;1
195611;24.4;1
195612;26.9;1
195701;30.7;1
195702;96.1;1
195703;48;1
195704;23.3;1
195705;46.5;1
195706;74.6;1
195707;81.1;1
195708;110.6;1
195709;78.3;1
195710;40.5;1
195711;27.6;1
195712;41.9;1
195801;94.8;1
195802;153.9;1
195803;24.8;1
195804;52.6;1
195805;147;1
195806;50;1
195807;57.2;1
195808;132.9;1
195809;44.8;1
195810;55;1
195811;42.5;1
195812;97.5;1
195901;83.2;1
195902;3.6;1
195903;75.6;1
195904;75.8;1
195905;51.7;1
195906;80;1
195907;16.6;1
195908;66;1
195909;1.3;1
195910;33.1;1
195911;56.2;1
195912;91.5;1
196001;57.8;1
196002;66.7;1
196003;57.9;1
196004;20.8;1
196005;59.6;1
196006;79.4;1
196007;115.5;1
196008;145;1
196009;53.2;1
196010;95.5;1
196011;85.8;1
196012;44.6;1
196101;79.4;1
196102;62.9;1
196103;6.4;1
196104;83.9;1
196105;68.4;1
196106;93.3;1
196107;85.7;1
196108;46.8;1
196109;39.8;1
196110;89.2;1
196111;74.2;1
196112;56.2;1
196201;84.7;1
196202;46.9;1
196203;64.8;1
196204;59.4;1
196205;100.9;1
196206;0.9;1
196207;33;1
196208;37.3;1
196209;53.5;1
196210;19;1
196211;29.4;1
196212;52.1;1
196301;30.5;1
196302;18.9;1
196303;68.5;1
196304;21;1
196305;65;1
196306;130.6;1
196307;66.1;1
196308;142.5;1
196309;24;1
196310;70.3;1
196311;132.8;1
196312;4;1
196401;36.1;1
196402;27.5;1
196403;65.8;1
196404;34.1;1
196405;21.9;1
196406;25.5;1
196407;21.4;1
196408;81.7;1
196409;83.6;1
196410;74.3;1
196411;68.7;1
196412;42.7;1
196501;104.5;1
196502;13.5;1
196503;79.9;1
196504;80;1
196505;73;1
196506;112.9;1
196507;64.2;1
196508;35.1;1
196509;143.6;1
196510;3.6;1
196511;123.1;1
196512;153;1
196601;66.2;1
196602;91.3;1
196603;45;1
196604;76.8;1
196605;96.8;1
196606;89.2;1
196607;78.4;1
196608;83.8;1
196609;21.9;1
196610;94.2;1
196611;74.6;1
196612;150.8;1
196701;32.9;1
196702;57.8;1
196703;61.9;1
196704;34;1
196705;89.4;1
196706;46.4;1
196707;65.7;1
196708;72;1
196709;124.9;1
196710;107.4;1
196711;60.2;1
196712;76.7;1
196801;92.6;1
196802;66.8;1
196803;50.7;1
196804;74.9;1
196805;72.2;1
196806;50.2;1
196807;90;1
196808;140.3;1
196809;113.9;1
196810;32.2;1
196811;33.7;1
196812;48.3;1
196901;49.1;1
196902;71.7;1
196903;82.1;1
196904;66.4;1
196905;85.8;1
196906;94.4;1
196907;51.5;1
196908;48.2;1
196909;16.4;1
196910;2.2;1
196911;91.4;1
196912;52.2;1
197001;69.2;1
197002;154.6;1
197003;92.2;1
197004;85.3;1
197005;129.4;1
197006;121.4;1
197007;85;1
197008;30.1;1
197009;42.1;1
197010;59.5;1
197011;34.2;1
197012;43.4;1
197101;71.1;1
197102;13.4;1
197103;28.9;1
197104;28.6;1
197105;48.3;1
197106;78;1
197107;39.7;1
197108;72.5;1
197109;11.6;1
197110;64.9;1
197111;75.4;1
197112;11.9;1
197201;31.8;1
197202;42.2;1
197203;33.4;1
197204;69.6;1
197205;76.4;1
197206;55.6;1
197207;102.9;1
197208;128.7;1
197209;60.7;1
197210;12.7;1
197211;121.1;1
197212;18.5;1
197301;30.5;1
197302;62.9;1
197303;8.5;1
197304;39.4;1
197305;95.9;1
197306;26.4;1
197307;74;1
197308;37.7;1
197309;54.7;1
197310;48.1;1
197311;55.6;1
197312;71.9;1
197401;42.6;1
197402;54;1
197403;63.5;1
197404;17.4;1
197405;60.9;1
197406;54.4;1
197407;67.3;1
197408;54.2;1
197409;91.5;1
197410;146.7;1
197411;87;1
197412;89.8;1
197501;68.1;1
197502;19.2;1
197503;68.7;1
197504;60.8;1
197505;54.7;1
197506;100.6;1
197507;34.3;1
197508;112.4;1
197509;52.8;1
197510;18.1;1
197511;71;1
197512;29.5;1
197601;37.2;1
197602;33.7;1
197603;25.5;1
197604;41.4;1
197605;31.2;1
197606;18.4;1
197607;48.7;1
197608;12.5;1
197609;59;1
197610;67.3;1
197611;69.3;1
197612;65.7;1
197701;102.8;1
197702;142.8;1
197703;44.9;1
197704;69.9;1
197705;59.1;1
197706;85.1;1
197707;67.4;1
197708;110.4;1
197709;36.3;1
197710;44.9;1
197711;109.9;1
197712;69;1
197801;68.6;1
197802;83.5;1
197803;130.3;1
197804;61.1;1
197805;98.8;1
197806;67.7;1
197807;73.6;1
197808;44.6;1
197809;46.7;1
197810;17.9;1
197811;15.8;1
197812;157.9;1
197901;44;1
197902;105.9;1
197903;117.3;1
197904;79.3;1
197905;132.1;1
197906;98.7;1
197907;26.7;1
197908;110.2;1
197909;33.9;1
197910;64.5;1
197911;98.8;1
197912;129.8;1
198001;65.8;1
198002;77.4;1
198003;74.6;1
198004;21.5;1
198005;77.6;1
198006;118.9;1
198007;141;1
198008;50.7;1
198009;63.4;1
198010;113.9;1
198011;55.5;1
198012;81.5;1
198101;112.2;1
198102;44.2;1
198103;96.2;1
198104;63;1
198105;79.4;1
198106;130.3;1
198107;41.5;1
198108;49.9;1
198109;89;1
198110;198.6;1
198111;48.9;1
198112;184.9;1
198201;94.9;1
198202;13.9;1
198203;105.3;1
198204;15.1;1
198205;51.2;1
198206;87.9;1
198207;55.3;1
198208;23.4;1
198209;40.7;1
198210;126.1;1
198211;74.5;1
198212;132.3;1
198301;78.1;1
198302;67.2;1
198303;82.1;1
198304;157;1
198305;181.3;1
198306;29.6;1
198307;13;1
198308;31.7;1
198309;72.9;1
198310;46.1;1
198311;52.1;1
198312;53.9;1
198401;161.7;1
198402;80.8;1
198403;47.8;1
198404;53.7;1
198405;79;1
198406;52.7;1
198407;52.6;1
198408;45.9;1
198409;136.1;1
198410;83;1
198411;82.8;1
198412;46.5;1
198501;45.8;1
198502;32.8;1
198503;65.4;1
198504;61.3;1
198505;77.6;1
198506;123.1;1
198507;102.6;1
198508;75.6;1
198509;22.2;1
198510;20.9;1
198511;77.7;1
198512;52.2;1
198601;134.9;1
198602;16.2;1
198603;98.4;1
198604;91.4;1
198605;80.7;1
198606;75.5;1
198607;50.3;1
198608;70.5;1
198609;113.3;1
198610;91.3;1
198611;49.4;1
198612;119.2;1
198701;16.4;1
198702;76.4;1
198703;62.7;1
198704;20.3;1
198705;88.4;1
198706;159.1;1
198707;102;1
198708;67.6;1
198709;39.4;1
198710;127.5;1
198711;46.1;1
198712;45.6;1
198801;131.7;1
198802;99.3;1
198803;150.9;1
198804;21.9;1
198805;82.8;1
198806;48.7;1
198807;75;1
198808;33;1
198809;63.1;1
198810;95.4;1
198811;33.2;1
198812;100.6;1
198901;24.2;1
198902;56.3;1
198903;76.9;1
198904;134.7;1
198905;36.8;1
198906;68.5;1
198907;53.9;1
198908;64.8;1
198909;23;1
198910;64.6;1
198911;45.3;1
198912;107.6;1
199001;63.9;1
199002;125.3;1
199003;19.1;1
199004;44.7;1
199005;22.4;1
199006;117.5;1
199007;57.6;1
199008;63.5;1
199009;62.4;1
199010;92.6;1
199011;68.5;1
199012;96.8;1
199101;84.5;1
199102;17.5;1
199103;27.7;1
199104;35.1;1
199105;4.2;1
199106;58.3;1
199107;53.9;1
199108;18;1
199109;67.7;1
199110;49.5;1
199111;100.3;1
199112;58.8;1
199201;26.4;1
199202;46;1
199203;83.7;1
199204;40.3;1
199205;48.6;1
199206;27.3;1
199207;72.6;1
199208;67.1;1
199209;43;1
199210;80.8;1
199211;137.1;1
199212;52.2;1
199301;66.3;1
199302;14.6;1
199303;5.5;1
199304;31;1
199305;82.3;1
199306;24.8;1
199307;69.5;1
199308;20.1;1
199309;131.4;1
199310;99;1
199311;15.1;1
199312;216.7;1
199401;109;1
199402;55.9;1
199403;85.8;1
199404;64.1;1
199405;70.3;1
199406;61.2;1
199407;56.2;1
199408;92.9;1
199409;124.7;1
199410;65.5;1
199411;26.4;1
199412;83.7;1
199501;153.5;1
199502;64.3;1
199503;112.3;1
199504;73.6;1
199505;67.2;1
199506;41.8;1
199507;84;1
199508;53.9;1
199509;95.2;1
199510;40;1
199511;37.8;1
199512;54.1;1
199601;15.1;1
199602;77.1;1
199603;29.5;1
199604;10.3;1
199605;96.7;1
199606;30.2;1
199607;59.2;1
199608;45.3;1
199609;28.1;1
199610;57.7;1
199611;178.6;1
199612;59.4;1
199701;33.1;1
199702;149.5;1
199703;28.4;1
199704;38.5;1
199705;99.3;1
199706;150.4;1
199707;77.5;1
199708;50.7;1
199709;26.6;1
199710;51.3;1
199711;93.8;1
199712;111;1
199801;75.6;1
199802;11.9;1
199803;43.6;1
199804;132.8;1
199805;47;1
199806;69.6;1
199807;42.6;1
199808;28;1
199809;92.3;1
199810;187;1
199811;48.7;1
199812;51.3;1
199901;72.8;1
199902;86.1;1
199903;81;1
199904;62.7;1
199905;50.4;1
199906;73.2;1
199907;45.1;1
199908;77.1;1
199909;119.4;1
199910;72.6;1
199911;48.7;1
199912;244.5;1
200001;48.4;1
200002;108.5;1
200003;84.1;1
200004;82.8;1
200005;75.7;1
200006;34.4;1
200007;147.5;1
200008;61.1;1
200009;75.9;1
200010;78.3;1
200011;143.4;1
200012;89.5;1
200101;104.1;1
200102;56.1;1
200103;160.3;1
200104;119.3;1
200105;23.1;1
200106;32.7;1
200107;72.5;1
200108;115.1;1
200109;116.9;1
200110;65.7;1
200111;94.5;1
200112;99.8;1
200201;44;1
200202;173.8;1
200203;75.3;1
200204;34.2;1
200205;54.8;1
200206;55;1
200207;39;1
200208;85.1;1
200209;54.9;1
200210;100.8;1
200211;120.2;1
200212;88.4;1
200301;70.5;1
200302;21.9;1
200303;31.8;1
200304;45.9;1
200305;75;1
200306;46.9;1
200307;60.9;1
200308;43.3;1
200309;60.5;1
200310;99.8;1
200311;46.9;1
200312;33;1
200401;178.4;1
200402;29.9;1
200403;45.6;1
200404;53.3;1
200405;74.9;1
200406;38.2;1
200407;125.4;1
200408;148.2;1
200409;39.9;1
200410;81.9;1
200411;46.8;1
200412;53.2;1
200501;45;1
200502;64.3;1
200503;27.9;1
200504;95.9;1
200505;38.1;1
200506;104.3;1
200507;71;1
200508;47.6;1
200509;68;1
200510;35.2;1
200511;36.8;1
200512;67.4;1
200601;28.7;1
200602;64.9;1
200603;95.1;1
200604;25.6;1
200605;122;1
200606;18.3;1
200607;41.6;1
200608;189.2;1
200609;24.7;1
200610;96.8;1
200611;62.5;1
200612;52.4;1
200701;72.4;1
200702;113.7;1
200703;95.3;1
200704;3.5;1
200705;167.1;1
200706;89.9;1
200707;91.3;1
200708;86;1
200709;49.3;1
200710;18.9;1
200711;56.6;1
200712;81.7;1
200801;84;1
200802;85.1;1
200803;122.6;1
200804;91.9;1
200805;72.6;1
200806;51.6;1
200807;58.7;1
200808;82.5;1
200809;125.1;1
200810;68.3;1
200811;35.7;1
200812;59.1;1
200901;47.2;1
200902;61.3;1
200903;86.5;1
200904;47.5;1
200905;33.4;1
200906;60.5;1
200907;117.4;1
200908;24.5;1
200909;39.6;1
200910;33.1;1
200911;112.2;1
200912;108.7;1
201001;51.9;1
201002;100.2;1
201003;41.1;1
201004;26.2;1
201005;85.4;1
201006;51.7;1
201007;59.6;1
201008;97.3;1
201009;114.2;1
201010;37.7;1
201011;91.6;1
201012;133.9;1
201101;61.2;1
201102;23.7;1
201103;17.1;1
201104;10.9;1
201105;34;1
201106;70.9;1
201107;51.3;1
201108;73.2;1
201109;56.9;1
201110;47.7;1
201111;19.6;1
201112;179.8;1
201201;113.3;1
201202;19.2;1
201203;24.6;1
201204;61;1
201205;70.1;1
201206;109.7;1
201207;65.6;1
201208;24.6;1
201209;55.5;1
201210;71.7;1
201211;81.6;1
201212;114.4;1
201301;44.7;1
201302;64.5;1
201303;41.4;1
201304;98.5;1
201305;144.1;1
201306;89;1
201307;57.1;1
201308;60.2;1
201309;94.3;1
201310;165.6;1
201311;115.2;1
201312;44;1
201401;57.3;1
201402;70;1
201403;22.2;1
201404;4;1
201405;65.6;1
201406;26.2;1
201407;128.3;1
201408;102.2;1
201409;58.2;1
201410;76;1
201411;87;1
201412;56.8;1
201501;100.3;0
201502;39.1;0
201503;48.3;0
201504;68.2;0
201505;41.5;0
201506;37.8;0
201507;19.8;0
201508;37.8;0
201509;91.4;0
201510;31.6;0
201511;72.8;0
201512;21.6;0
201601;103.1;0
201602;125;0
201603;80.7;0
201604;84.3;0
201605;72.7;0
201606;120.7;0
201607;60.3;0
201608;13.1;0
201609;39.8;0
201610;42.6;0
201611;66.8;0
201612;8.7;0
201701;35.2;0
201702;63.4;0
201703;56.8;0
201704;8.8;0
201705;22;0
201706;64.2;0
201707;76.1;0
201708;47.7;0
201709;108.7;0
201710;37;0
201711;129.2;0
201712;93.2;0
201801;177.3;0
201802;24.5;0
201803;54.5;0
201804;50.2;0
201805;86.7;0
201806;19.5;0
201807;31.3;0
201808;43.4;0
201809;19.8;0
201810;18.5;0
201811;59.4;0
201812;113.1;0
201901;63.5;0
201902;40.9;0
201903;84.4;0
201904;40.8;0
201905;74.3;0
201906;43;0
201907;10.5;0
201908;47.7;0
201909;32.1;0
201910;73.4;0
201911;81.1;0
201912;115.1;0
202001;44.9;0
202002;143;0
202003;83.9;0
202004;17.4;0
202005;83.2;0
202006;76.1;0
202007;8.2;0
202008;21.2;0
202009;71.7;0
202010;86.3;0
202011;29.7;0
202012;89.9;0
202101;139.1;0
202102;60.8;0
202103;52.8;0
202104;19.2;0
202105;94.8;0
202106;100.4;0
202107;134;0
202108;73.7;0
202109;31.3;0
202110;62.2;0
202111;39.4;0
202112;74.8;0
202201;69.3;0
202202;48.3;0
202203;29;0
202204;78.6;0
202205;31.7;0
202206;53.4;0
202207;17.2;0
202208;22.5;0
202209;62.6;0
202210;117.7;0
202211;75.4;0
202212;65.4;0
