# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 54526001
# NOM_USUEL= NANCY-ESSEY
# LATITUDE (°) = 48.688
# LONGITUDE(°)= 6.222
# ALTITUDE (m) = 212
# NUM_SERIE= MRR154526001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : 197012 197712
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;25.1;1
195002;75.7;1
195003;11.6;1
195004;93.7;1
195005;38.2;1
195006;78.1;1
195007;45.1;1
195008;62.7;1
195009;68.2;1
195010;8.9;1
195011;95.9;1
195012;90.6;1
195101;44.3;1
195102;64.5;1
195103;77.7;1
195104;51.3;1
195105;62.3;1
195106;123.4;1
195107;59.2;1
195108;90.2;1
195109;49.2;1
195110;21.2;1
195111;87.8;1
195112;40.8;1
195201;92.3;1
195202;35.3;1
195203;124.5;1
195204;24;1
195205;47.6;1
195206;40.8;1
195207;17.5;1
195208;83.8;1
195209;106.3;1
195210;109.4;1
195211;149.6;1
195212;98.7;1
195301;14.4;1
195302;31;1
195303;8.8;1
195304;21;1
195305;22.5;1
195306;170.3;1
195307;89.4;1
195308;11.5;1
195309;42.9;1
195310;37.5;1
195311;12.3;1
195312;21.5;1
195401;63;1
195402;43.6;1
195403;17.8;1
195404;28.1;1
195405;39.6;1
195406;17.6;1
195407;24;1
195408;89.4;1
195409;80.8;1
195410;62.7;1
195411;22.1;1
195412;63.3;1
195501;92;1
195502;88.1;1
195503;25.3;1
195504;7.3;1
195505;68;1
195506;73.6;1
195507;71.8;1
195508;37.6;1
195509;37.5;1
195510;47.1;1
195511;17.2;1
195512;92.5;1
195601;81.2;1
195602;17.8;1
195603;23.6;1
195604;50.1;1
195605;53.7;1
195606;70.3;1
195607;77.9;1
195608;96.8;1
195609;62.3;1
195610;78.7;1
195611;35;1
195612;25.9;1
195701;29.7;1
195702;123.8;1
195703;57.8;1
195704;19.8;1
195705;23.3;1
195706;73.5;1
195707;58.2;1
195708;60;1
195709;70.2;1
195710;47.9;1
195711;27;1
195712;55.5;1
195801;83.7;1
195802;107.1;1
195803;22.9;1
195804;26.8;1
195805;104.2;1
195806;58.5;1
195807;52.1;1
195808;97.4;1
195809;61.2;1
195810;39.6;1
195811;46.4;1
195812;103.6;1
195901;91.8;1
195902;3.4;1
195903;51.4;1
195904;68.7;1
195905;43.2;1
195906;88.4;1
195907;17.7;1
195908;50.3;1
195909;17.6;1
195910;29.6;1
195911;40.6;1
195912;92.3;1
196001;50.8;1
196002;67.6;1
196003;51.8;1
196004;21.6;1
196005;75.6;1
196006;85.9;1
196007;119.2;1
196008;126.8;1
196009;41.4;1
196010;72.7;1
196011;77.7;1
196012;55.7;1
196101;63.6;1
196102;54.4;1
196103;4.9;1
196104;64.4;1
196105;70.1;1
196106;48.1;1
196107;73.7;1
196108;40.8;1
196109;26.2;1
196110;101.8;1
196111;67.5;1
196112;76.7;1
196201;80.4;1
196202;47.1;1
196203;65.9;1
196204;54.1;1
196205;75.4;1
196206;6.6;1
196207;86.1;1
196208;48.3;1
196209;52.3;1
196210;16.3;1
196211;20.1;1
196212;50.9;1
196301;30.2;1
196302;21;1
196303;57.8;1
196304;39.2;1
196305;51;1
196306;90.4;1
196307;25.1;1
196308;120.7;1
196309;24.8;1
196310;35;1
196311;111.6;1
196312;5.4;1
196401;22.9;1
196402;20.7;1
196403;62.5;1
196404;22.5;1
196405;19.4;1
196406;23.6;1
196407;22.2;1
196408;54.5;1
196409;79.3;1
196410;55.2;1
196411;54.4;1
196412;21.7;1
196501;110.6;1
196502;8;1
196503;91.3;1
196504;55.6;1
196505;78.2;1
196506;70.5;1
196507;53.6;1
196508;21.8;1
196509;113.5;1
196510;5.7;1
196511;107.6;1
196512;125.5;1
196601;83.5;1
196602;60.9;1
196603;48.9;1
196604;80.6;1
196605;49;1
196606;56.6;1
196607;43.8;1
196608;80.8;1
196609;34;1
196610;61.8;1
196611;54.4;1
196612;140;1
196701;42.3;1
196702;42.2;1
196703;48.4;1
196704;31.8;1
196705;71.1;1
196706;33.4;1
196707;39.8;1
196708;90.6;1
196709;111.2;1
196710;92.9;1
