# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 55179001
# NOM_USUEL= ERNEVILLE AUX BOIS_SAPC
# LATITUDE (°) = 48.75
# LONGITUDE(°)= 5.404
# ALTITUDE (m) = 313
# NUM_SERIE= MRR155179001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195001 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;51.2;1
195002;168.2;1
195003;20.6;1
195004;145.5;1
195005;113.4;1
195006;59.9;1
195007;61.7;1
195008;146.2;1
195009;96.7;1
195010;22.9;1
195011;149;1
195012;140.1;1
195101;108.9;1
195102;80.9;1
195103;118.3;1
195104;80.4;1
195105;91.2;1
195106;116.1;1
195107;36.9;1
195108;98.9;1
195109;80.9;1
195110;25.2;1
195111;148.9;1
195112;59.8;1
195201;179.1;1
195202;61.5;1
195203;163.6;1
195204;21.2;1
195205;42.5;1
195206;51.9;1
195207;19.2;1
195208;87.2;1
195209;104.4;1
195210;152.5;1
195211;190.3;1
195212;131.5;1
195301;31.8;1
195302;69.9;1
195303;4.1;1
195304;51.3;1
195305;38.5;1
195306;106.3;1
195307;92.1;1
195308;24.9;1
195309;57.8;1
195310;17.1;1
195311;23.2;1
195312;29.6;1
195401;67.1;1
195402;63.1;1
195403;47.6;1
195404;42.5;1
195405;61.9;1
195406;71.3;1
195407;75;1
195408;156.2;1
195409;137;1
195410;91.9;1
195411;60.6;1
195412;142.1;1
195501;173.6;1
195502;117.5;1
195503;40.1;1
195504;17.1;1
195505;80;1
195506;96.6;1
195507;80;1
195508;42.8;1
195509;49.6;1
195510;63.6;1
195511;49.6;1
195512;158.8;1
195601;127.2;1
195602;22.5;1
195603;83.5;1
195604;51.9;1
195605;102.3;1
195606;60.8;1
195607;68.1;1
195608;125;1
195609;62;1
195610;118.2;1
195611;61.4;1
195612;39;1
195701;51.8;1
195702;166.6;1
195703;91.6;1
195704;21.7;1
195705;44.2;1
195706;93.8;1
195707;119.2;1
195708;127.1;1
195709;100.8;1
195710;53.7;1
195711;34;1
195712;72.9;1
195801;110.7;1
195802;208.2;1
195803;42.7;1
195804;67.5;1
195805;161.9;1
195806;76.5;1
195807;58.3;1
195808;190.1;1
195809;35.3;1
195810;91.9;1
195811;50.9;1
195812;146.8;1
195901;137.5;1
195902;4.8;1
195903;72.8;1
195904;74.1;1
195905;44.3;1
195906;113.6;1
195907;19.2;1
195908;37.4;1
195909;1.2;1
195910;51.5;1
195911;72.9;1
195912;109;1
196001;69.7;1
196002;79.5;1
196003;36.6;1
196004;23;1
196005;52.5;1
196006;80.9;1
196007;130;1
196008;153.9;1
196009;97.9;1
196010;123.9;1
196011;103;1
196012;69;1
196101;103.9;1
196102;97.5;1
196103;17.2;1
196104;71.4;1
196105;68.8;1
196106;57.1;1
196107;97;1
196108;42.8;1
196109;36.1;1
196110;103.9;1
196111;86.1;1
196112;146;1
196201;135.9;1
196202;86.9;1
196203;79;1
196204;126.7;1
196205;111.2;1
196206;3.7;1
196207;65.5;1
196208;38.7;1
196209;99.3;1
196210;31.3;1
196211;36.7;1
196212;92.7;1
196301;47.5;1
196302;23.5;1
196303;79.4;1
196304;33.4;1
196305;70.5;1
196306;132.7;1
196307;116.7;1
196308;139;1
196309;34.7;1
196310;65.8;1
196311;202.4;1
196312;7.1;1
196401;33;1
196402;33.9;1
196403;63.9;1
196404;51.5;1
196405;41.6;1
196406;23.4;1
196407;31.1;1
196408;58.9;1
196409;102.2;1
196410;91.7;1
196411;128.4;1
196412;51.3;1
196501;150.4;1
196502;17.3;1
196503;120.8;1
196504;107.3;1
196505;69.6;1
196506;105.1;1
196507;86.1;1
196508;61.5;1
196509;173.5;1
196510;9.6;1
196511;122.4;1
196512;216.2;1
196601;73.9;1
196602;113.6;1
196603;65.9;1
196604;93.7;1
196605;76.1;1
196606;99.2;1
196607;74.4;1
196608;137.5;1
196609;57.1;1
196610;87.7;1
196611;61;1
196612;183.9;1
196701;68.1;1
196702;109.6;1
196703;80.9;1
196704;54.2;1
196705;81.6;1
196706;42.3;1
196707;23.1;1
196708;56.8;1
196709;168.4;1
196710;152.3;1
196711;80.2;1
196712;123.2;1
196801;156.3;1
196802;67.4;1
196803;60.3;1
196804;65.2;1
196805;84.9;1
196806;76.8;1
196807;94.5;1
196808;153.4;1
196809;117.7;1
196810;22.6;1
196811;36.5;1
196812;67.7;1
196901;40.7;1
196902;69.4;1
196903;83.6;1
196904;115.8;1
196905;103.8;1
196906;128.8;1
196907;23.5;1
196908;82.5;1
196909;33.4;1
196910;0.4;1
196911;133.9;1
196912;58.8;1
197001;84;1
197002;235.8;1
197003;100.1;1
197004;137.3;1
197005;115.2;1
197006;128.3;1
197007;77.4;1
197008;82.1;1
197009;67.3;1
197010;91.5;1
197011;80.7;1
197012;47.8;1
197101;83.2;1
197102;20.2;1
197103;42;1
197104;23.2;1
197105;68;1
197106;113.5;1
197107;34.2;1
197108;72;1
197109;18.9;1
197110;18.2;1
197111;107.9;1
197112;14;1
197201;44.6;1
197202;45.7;1
197203;61;1
197204;94;1
197205;110.1;1
197206;91.1;1
197207;117.1;1
197208;158.1;1
197209;26.2;1
197210;24.4;1
197211;145.9;1
197212;27.8;1
197301;47.5;1
197302;90.2;1
197303;12.3;1
197304;53.3;1
197305;91.2;1
197306;15.8;1
197307;124.4;1
197308;33.2;1
197309;76.6;1
197310;57.9;1
197311;100.5;1
197312;131.4;1
197401;56.8;1
197402;62.7;1
197403;66;1
197404;19.8;1
197405;32.6;1
197406;68;1
197407;65.4;1
197408;52.9;1
197409;127.3;1
197410;167.7;1
197411;112.1;1
197412;132.8;1
197501;131.5;1
197502;14.6;1
197503;71.1;1
197504;63.6;1
197505;68.2;1
197506;73.3;1
197507;33.4;1
197508;55.6;1
197509;107.4;1
197510;40.1;1
197511;96.4;1
197512;51.1;1
197601;79;1
197602;53.6;1
197603;37.1;1
197604;31.9;1
197605;22.8;1
197606;20.3;1
197607;51.9;1
197608;10.2;1
197609;80;1
197610;81;1
197611;108.6;1
197612;85.3;1
197701;123.5;1
197702;187.4;1
197703;49.7;1
197704;80.4;1
197705;71.7;1
197706;98.8;1
197707;90.6;1
197708;107;1
197709;19.1;1
197710;68.2;1
197711;167.2;1
197712;84.1;1
197801;98.1;1
197802;85.9;1
197803;168.1;1
197804;56;1
197805;90.4;1
197806;77.4;1
