# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 56009001
# NOM_USUEL= BELLE ILE-LE TALUT
# LATITUDE (°) = 47.294
# LONGITUDE(°)= -3.218
# ALTITUDE (m) = 34
# NUM_SERIE= MRR156009001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195101 201812
# Date(s) de rupture(s) d'homogénéité : 195711 198912
#     Periode homogénéisée  195101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;84.9;1
195102;93.3;1
195103;81.3;1
195104;34.1;1
195105;60.9;1
195106;21.9;1
195107;16.9;1
195108;74.6;1
195109;147;1
195110;68.9;1
195111;122.1;1
195112;45.9;1
195201;44.4;1
195202;21.9;1
195203;62.2;1
195204;35.6;1
195205;31.9;1
195206;23.8;1
195207;39;1
195208;86.6;1
195209;101.7;1
195210;105.9;1
195211;91.4;1
195212;115.6;1
195301;5.8;1
195302;28.9;1
195303;2.1;1
195304;50.7;1
195305;35.1;1
195306;17.2;1
195307;37.8;1
195308;18.2;1
195309;91.8;1
195310;75.5;1
195311;29.4;1
195312;13.1;1
195401;46.5;1
195402;65.3;1
195403;51.4;1
195404;10.6;1
195405;6.4;1
195406;25.6;1
195407;37.5;1
195408;77.1;1
195409;50.5;1
195410;53.9;1
195411;85.4;1
195412;70.5;1
195501;80.5;1
195502;70.7;1
195503;9.3;1
195504;2.2;1
195505;34.7;1
195506;44.7;1
195507;8.8;1
195508;0;1
195509;21;1
195510;29.1;1
195511;22.7;1
195512;98;1
195601;54.9;1
195602;8.3;1
195603;35.4;1
195604;42.2;1
195605;21.3;1
195606;23.9;1
195607;40.2;1
195608;103.3;1
195609;71.5;1
195610;35.3;1
195611;32.1;1
195612;123.9;1
195701;32.6;1
195702;146.2;1
195703;30.7;1
195704;46.9;1
195705;21;1
195706;40.5;1
195707;34.8;1
195708;40.2;1
195709;44.1;1
195710;19.8;1
195711;29.4;1
195712;55.9;1
195801;74.1;1
195802;42.9;1
195803;114.4;1
195804;32.8;1
195805;80.5;1
195806;67.3;1
195807;57.8;1
195808;50.9;1
195809;87.9;1
195810;24.5;1
195811;42.2;1
195812;66.4;1
195901;53.5;1
195902;2.4;1
195903;39.8;1
195904;89.3;1
195905;30.6;1
195906;26.2;1
195907;4.3;1
195908;19.7;1
195909;13.2;1
195910;133.2;1
195911;111.4;1
195912;149.2;1
196001;62.9;1
196002;74.2;1
196003;58.7;1
196004;10.2;1
196005;24;1
196006;29.7;1
196007;35.6;1
196008;85.4;1
196009;84.2;1
196010;145.3;1
196011;144.7;1
196012;81.4;1
196101;109.9;1
196102;31.5;1
196103;2.9;1
196104;41.4;1
196105;27.6;1
196106;26.6;1
196107;25.5;1
196108;4.7;1
196109;47.1;1
196110;87.5;1
196111;72.7;1
196112;89.9;1
196201;76.7;1
196202;17.2;1
196203;56.9;1
196204;36.5;1
196205;35.3;1
196206;0.8;1
196207;20.6;1
196208;15.2;1
196209;49.7;1
196210;37.3;1
196211;100.2;1
196212;42.4;1
196301;35.7;1
196302;52.5;1
196303;105.7;1
196304;62.5;1
196305;13.4;1
196306;12.3;1
196307;9.9;1
196308;74.1;1
196309;18.4;1
196310;66;1
196311;102.3;1
196312;49.5;1
196401;31.3;1
196402;56.1;1
196403;93.9;1
196404;43.5;1
196405;73.4;1
196406;35.8;1
196407;7.1;1
196408;17.5;1
196409;21.5;1
196410;63.5;1
196411;36;1
196412;120.6;1
196501;86.2;1
196502;0;1
196503;89.7;1
196504;19.2;1
196505;24.1;1
196506;14.3;1
196507;32.3;1
196508;45.2;1
196509;78;1
196510;19.4;1
196511;133.6;1
196512;124.4;1
196601;74.5;1
196602;104.9;1
196603;20.9;1
196604;69;1
196605;42.4;1
196606;45.7;1
196607;6.6;1
196608;20.9;1
196609;20.4;1
196610;155.9;1
196611;44.1;1
196612;85.1;1
196701;49.4;1
196702;70.2;1
196703;42.7;1
196704;15.1;1
196705;93.8;1
196706;17.1;1
196707;13.2;1
196708;32.2;1
196709;95;1
196710;74.2;1
196711;47;1
196712;37.2;1
196801;52.9;1
196802;42.8;1
196803;18.9;1
196804;48.4;1
196805;41.6;1
196806;27.1;1
196807;28.7;1
196808;19.3;1
196809;78.5;1
196810;62.6;1
196811;25.9;1
196812;69;1
196901;67;1
196902;64.6;1
196903;51.8;1
196904;24.2;1
196905;58.2;1
196906;41.8;1
196907;5.1;1
196908;15.7;1
196909;37.9;1
196910;4.3;1
196911;100;1
196912;43.7;1
197001;81.5;1
197002;57.4;1
197003;46.3;1
197004;16.8;1
197005;4.7;1
197006;20.7;1
197007;40.4;1
197008;64.8;1
197009;28.9;1
197010;50.4;1
197011;60;1
197012;17.1;1
197101;80.5;1
197102;42.7;1
197103;26.3;1
197104;31.6;1
197105;58.9;1
197106;24.6;1
197107;24.2;1
197108;43.3;1
197109;23.7;1
197110;16;1
197111;48.6;1
197112;16.8;1
197201;61.2;1
197202;78;1
197203;62.2;1
197204;32.8;1
197205;34.4;1
197206;25.9;1
197207;31.3;1
197208;10.8;1
197209;25.9;1
197210;56.1;1
197211;88.2;1
197212;38.6;1
197301;34.3;1
197302;32.9;1
197303;6.3;1
197304;16.1;1
197305;71.9;1
197306;8.5;1
197307;76.8;1
197308;13.7;1
197309;64.2;1
197310;39.1;1
197311;35.5;1
197312;41.4;1
197401;84.4;1
197402;114.7;1
197403;48.1;1
197404;51.6;1
197405;39.3;1
197406;25.9;1
197407;9.4;1
197408;38.7;1
197409;100.1;1
197410;49.6;1
197411;106.8;1
197412;28.6;1
197501;78.6;1
197502;30.3;1
197503;46.6;1
197504;50.2;1
197505;41.6;1
197506;11;1
197507;23.4;1
197508;50.3;1
197509;111.4;1
197510;23.5;1
197511;107.7;1
197512;16.8;1
197601;25.6;1
197602;28.3;1
197603;32.9;1
197604;3;1
197605;13.2;1
197606;0.3;1
197607;31.7;1
197608;10.5;1
197609;71.4;1
197610;107;1
197611;104.9;1
197612;76.8;1
197701;63.5;1
197702;97.4;1
197703;49.9;1
197704;23.7;1
197705;55.3;1
197706;54.3;1
197707;23.5;1
197708;48.9;1
197709;11.7;1
197710;44.9;1
197711;49.7;1
197712;72.8;1
197801;122.3;1
197802;73.7;1
197803;58.2;1
197804;24.2;1
197805;14.7;1
197806;28.7;1
197807;37.9;1
197808;37.5;1
197809;15.8;1
197810;3.7;1
197811;15.7;1
197812;140.7;1
197901;76.1;1
197902;98.4;1
197903;57.2;1
197904;45.1;1
197905;58.1;1
197906;7.6;1
197907;27;1
197908;22.8;1
197909;7.1;1
197910;58.9;1
197911;38.6;1
197912;117.2;1
198001;94.1;1
198002;27.9;1
198003;73.3;1
198004;5.5;1
198005;34.5;1
198006;70.3;1
198007;45;1
198008;30.5;1
198009;17.1;1
198010;71.6;1
198011;46.9;1
198012;48.6;1
198101;29.2;1
198102;38.4;1
198103;70.3;1
198104;22.3;1
198105;110.7;1
198106;19.4;1
198107;20.8;1
198108;24.3;1
198109;105;1
198110;118.5;1
198111;13.2;1
198112;154;1
198201;84.4;1
198202;45.5;1
198203;55.6;1
198204;7.5;1
198205;41.9;1
198206;34.6;1
198207;30.8;1
198208;14.1;1
198209;36;1
198210;142.9;1
198211;94.4;1
198212;102.7;1
198301;25.1;1
198302;47.2;1
198303;28.1;1
198304;124.7;1
198305;81.1;1
198306;16.6;1
198307;35.5;1
198308;28.6;1
198309;41.7;1
198310;58.9;1
198311;19.2;1
198312;52.3;1
198401;119.5;1
198402;33.9;1
198403;79;1
198404;5.2;1
198405;89.5;1
198406;12.6;1
198407;24;1
198408;43.4;1
198409;40.9;1
198410;38.1;1
198411;125.4;1
198412;100.4;1
198501;38.7;1
198502;60.2;1
198503;65;1
198504;34.3;1
198505;9.1;1
198506;34.4;1
198507;36.1;1
198508;26.1;1
198509;10.3;1
198510;13.5;1
198511;52.2;1
198512;79.6;1
198601;114.9;1
198602;83;1
198603;57.7;1
198604;48;1
198605;73.2;1
198606;62.8;1
198607;9.4;1
198608;51.3;1
198609;72.3;1
198610;42.8;1
198611;48.1;1
198612;64.6;1
198701;20.4;1
198702;40.8;1
198703;53.3;1
198704;41.7;1
198705;24.6;1
198706;71.3;1
198707;59.5;1
198708;15.1;1
198709;21.5;1
198710;123.8;1
198711;64;1
198712;55.1;1
198801;149.3;1
198802;73.7;1
198803;50.2;1
198804;84.8;1
198805;30.8;1
198806;10.7;1
198807;51.9;1
198808;23.7;1
198809;32;1
198810;34.3;1
198811;15.3;1
198812;10.9;1
198901;16;1
198902;58.7;1
198903;52.1;1
198904;41.9;1
198905;39;1
198906;23;1
198907;25.6;1
198908;17.8;1
198909;2.3;1
198910;33.9;1
198911;43.9;1
198912;81.5;1
199001;84.7;1
199002;100;1
199003;2.1;1
199004;37.3;1
199005;17.6;1
199006;43.7;1
199007;16.1;1
199008;7.5;1
199009;24.3;1
199010;80.7;1
199011;74;1
199012;66.6;1
199101;110.8;1
199102;25.5;1
199103;68.4;1
199104;25.7;1
199105;8.6;1
199106;53.1;1
199107;47.8;1
199108;11;1
199109;57.9;1
199110;131.8;1
199111;78.7;1
199112;16.1;1
199201;11.8;1
199202;41.5;1
199203;39;1
199204;38.5;1
199205;45.1;1
199206;54.9;1
199207;24.5;1
199208;52.5;1
199209;112.5;1
199210;81.7;1
199211;85.7;1
199212;80;1
199301;85.8;1
199302;11.5;1
199303;13.1;1
199304;69;1
199305;43.4;1
199306;62.1;1
199307;21.7;1
199308;4.4;1
199309;107.4;1
199310;97.3;1
199311;36.7;1
199312;89.1;1
199401;97;1
199402;117.9;1
199403;24.9;1
199404;58.5;1
199405;98.2;1
199406;11.4;1
199407;5;1
199408;34.8;1
199409;187.8;1
199410;46.7;1
199411;59;1
199412;138.6;1
199501;181.2;1
199502;110;1
199503;74.4;1
199504;17.4;1
199505;33.8;1
199506;8.8;1
199507;56.4;1
199508;45.4;1
199509;70.6;1
199510;30;1
199511;113.6;1
199512;81;1
199601;72.8;1
199602;105.8;1
199603;50.4;1
199604;25;1
199605;69.4;1
199606;4.2;1
199607;15;1
199608;32.6;1
199609;54.6;1
199610;41.6;1
199611;126.6;1
199612;61.2;1
199701;20.6;1
199702;72.2;1
199703;2.4;1
199704;11.4;1
199705;51.8;1
199706;62.8;1
199707;12.4;1
199708;40;1
199709;1;1
199710;41.6;1
199711;108.4;1
199712;106.2;1
199801;105;1
199802;19.8;1
199803;26.6;1
199804;102.6;1
199805;51;1
199806;37.8;1
199807;84.8;1
199808;3.8;1
199809;89.8;1
199810;57.8;1
199811;33;1
199812;68;1
199901;69.6;1
199902;21.4;1
199903;31.2;1
199904;108.2;1
199905;35.6;1
199906;26.2;1
199907;7;1
199908;62.2;1
199909;115.2;1
199910;85.2;1
199911;44.4;1
199912;130.6;1
200001;14;1
200002;54.6;1
200003;26;1
200004;79.4;1
200005;48.8;1
200006;5;1
200007;41.8;1
200008;6.6;1
200009;48.4;1
200010;112;1
200011;212;1
200012;139.8;1
200101;217;1
200102;52.6;1
200103;151;1
200104;83;1
200105;36.6;1
200106;23.4;1
200107;77;1
200108;52.4;1
200109;31.2;1
200110;97.4;1
200111;18;1
200112;37.2;1
200201;43.8;1
200202;57.6;1
200203;69.8;1
200204;46;1
200205;67.6;1
200206;27.2;1
200207;39.2;1
200208;35.4;1
200209;27.8;1
200210;120;1
200211;113.8;1
200212;120;1
200301;84.6;1
200302;89.6;1
200303;25.2;1
200304;17.4;1
200305;38;1
200306;39.2;1
200307;39.6;1
200308;4.4;1
200309;46.8;1
200310;73.2;1
200311;140.4;1
200312;67.8;1
200401;157;1
200402;37.2;1
200403;44.2;1
200404;67.6;1
200405;32;1
200406;24.6;1
200407;89;1
200408;77.8;1
200409;30.2;1
200410;133.4;1
200411;21.6;1
200412;25.4;1
200501;34.6;1
200502;19.4;1
200503;29.8;1
200504;39.2;1
200505;20.2;1
200506;18.2;1
200507;58.4;1
200508;19;1
200509;19.6;1
200510;68.6;1
200511;82;1
200512;70.4;1
200601;21;1
200602;55;1
200603;103.4;1
200604;44;1
200605;36.8;1
200606;9.4;1
200607;18.4;1
200608;85.2;1
200609;95.4;1
200610;78;1
200611;68.2;1
200612;123.4;1
200701;42.6;1
200702;105.2;1
200703;79;1
200704;27.8;1
200705;76.8;1
200706;52.6;1
200707;36;1
200708;24.8;1
200709;6.6;1
200710;15.8;1
200711;51.2;1
200712;40;1
200801;106.2;1
200802;48.2;1
200803;71.6;1
200804;58.2;1
200805;55.8;1
200806;7.4;1
200807;59.4;1
200808;47;1
200809;46;1
200810;65.8;1
200811;87;1
200812;49.8;1
200901;105;1
200902;33.8;1
200903;33.6;1
200904;53.6;1
200905;57.8;1
200906;39.2;1
200907;35;1
200908;33.4;1
200909;26.8;1
200910;43.1;1
200911;112.7;1
200912;122.8;1
201001;81.4;1
201002;73.6;1
201003;51.8;1
201004;12.8;1
201005;43.4;1
201006;19.6;1
201007;14.5;1
201008;33.6;1
201009;55.6;1
201010;106.2;1
201011;117.4;1
201012;75.1;1
201101;52.1;1
201102;55.6;1
201103;13;1
201104;11.5;1
201105;9.2;1
201106;39.4;1
201107;48.1;1
201108;76.8;1
201109;37.2;1
201110;43.8;1
201111;88.6;1
201112;104.2;1
201201;46.8;1
201202;18.9;1
201203;32.5;1
201204;100.9;1
201205;37.1;1
201206;62.8;1
201207;62.1;1
201208;48.6;1
201209;58.6;1
201210;94.1;1
201211;69.1;1
201212;124.2;1
201301;80.1;1
201302;35.3;1
201303;49.3;1
201304;69.9;1
201305;39.4;1
201306;27.6;1
201307;34;1
201308;8.8;1
201309;38;1
201310;95;1
201311;52.6;1
201312;74.2;1
201401;91.6;1
201402;111.4;1
201403;36.5;1
201404;25;1
201405;18.2;1
201406;51.2;1
201407;38.6;1
201408;101.6;1
201409;2.2;1
201410;71;1
201411;154.1;1
201412;48.7;1
201501;92.8;1
201502;61.4;1
201503;18;1
201504;40.7;1
201505;60.6;1
201506;5.8;1
201507;48.5;1
201508;73.6;1
201509;69.6;1
201510;34.2;1
201511;52.6;1
201512;51.4;1
201601;173.7;1
201602;123;1
201603;63.9;1
201604;34.6;1
201605;35.6;1
201606;46.2;1
201607;8.2;1
201608;22.8;1
201609;17.5;1
201610;28.4;1
201611;80.6;1
201612;20.8;1
201701;46;1
201702;69.1;1
201703;60;1
201704;21.1;1
201705;61.7;1
201706;35.5;1
201707;28.4;1
201708;33.8;1
201709;51.3;1
201710;31.1;1
201711;34.6;1
201712;86.5;1
201801;63.6;1
201802;51.3;1
201803;77.9;1
201804;27.1;1
201805;30.5;1
201806;56.1;1
201807;53.1;1
201808;24.3;1
201809;9.7;1
201810;31.8;1
201811;70.8;1
201812;97.1;1
201901;49.5;0
201902;46.3;0
201903;34.8;0
201904;62;0
201905;39.6;0
201906;71.4;0
201907;6.6;0
201908;50.8;0
201909;41.6;0
201910;105.5;0
201911;172.3;0
201912;79.4;0
202001;70.6;0
202002;52.7;0
202003;51.7;0
202004;37.8;0
202005;17.3;0
202006;50;0
202007;1.6;0
202008;60.9;0
202009;32.3;0
202010;88.7;0
202011;22.4;0
202012;119.2;0
202101;56;0
202102;46.4;0
202103;14;0
202104;4.2;0
202105;37.3;0
202106;46.4;0
202107;58;0
202108;25.6;0
202109;28.7;0
202110;94.3;0
202111;25.6;0
202112;62.2;0
202201;42.2;0
202202;25.7;0
202203;24.6;0
202204;20.5;0
202205;20.6;0
202206;73.2;0
202207;2.8;0
202208;31.9;0
202209;22.8;0
202210;57.4;0
202211;82.5;0
202212;98.7;0
