# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57469002
# NOM_USUEL= MITTERSHEIM
# LATITUDE (°) = 48.859
# LONGITUDE(°)= 6.935
# ALTITUDE (m) = 233
# NUM_SERIE= MRR157469002
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195001 201512
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195001 201512  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;44.7;1
195002;107.2;1
195003;18.8;1
195004;139.8;1
195005;89.4;1
195006;61.1;1
195007;62.3;1
195008;80.2;1
195009;99;1
195010;13.9;1
195011;112.5;1
195012;79.5;1
195101;61;1
195102;61.4;1
195103;101.1;1
195104;54.7;1
195105;41.6;1
195106;158.2;1
195107;25.2;1
195108;66.2;1
195109;50.7;1
195110;33.7;1
195111;100.5;1
195112;50.6;1
195201;77.1;1
195202;42.7;1
195203;138.5;1
195204;22.2;1
195205;31.9;1
195206;98.5;1
195207;42;1
195208;77.7;1
195209;109.7;1
195210;142.9;1
195211;157.2;1
195212;96.9;1
195301;16.5;1
195302;48.4;1
195303;3.4;1
195304;42.2;1
195305;39;1
195306;173.2;1
195307;130.2;1
195308;23.2;1
195309;49.4;1
195310;26.8;1
195311;16.8;1
195312;27;1
195401;57.6;1
195402;37.5;1
195403;18.4;1
195404;39.1;1
195405;45.1;1
195406;30.8;1
195407;68.6;1
195408;135.8;1
195409;104.3;1
195410;64.7;1
195411;50.1;1
195412;97.5;1
195501;120.4;1
195502;80.1;1
195503;34.9;1
195504;18.1;1
195505;81.9;1
195506;95.2;1
195507;78.4;1
195508;32.3;1
195509;54.2;1
195510;41.3;1
195511;22;1
195512;123.9;1
195601;79.8;1
195602;16.6;1
195603;51.3;1
195604;78.4;1
195605;58.5;1
195606;105.7;1
195607;70;1
195608;127.8;1
195609;71.4;1
195610;74.5;1
195611;49.7;1
195612;33.6;1
195701;55.1;1
195702;127.5;1
195703;69.2;1
195704;13.9;1
195705;29.1;1
195706;93.3;1
195707;76;1
195708;80.1;1
195709;115.2;1
195710;41.1;1
195711;31.3;1
195712;79.1;1
195801;105.5;1
195802;171.1;1
195803;33.8;1
195804;45.2;1
195805;126.5;1
195806;83.8;1
195807;91.6;1
195808;101.3;1
195809;37.3;1
195810;48;1
195811;59.1;1
195812;104.4;1
195901;87.2;1
195902;3.8;1
195903;53.2;1
195904;68;1
195905;27.9;1
195906;58.5;1
195907;58.4;1
195908;70.9;1
195909;4.4;1
195910;28.4;1
195911;35.8;1
195912;69.6;1
196001;35.7;1
196002;70.8;1
196003;54.6;1
196004;37.1;1
196005;51.4;1
196006;53.7;1
196007;120.2;1
196008;129.9;1
196009;45.8;1
196010;99.6;1
196011;98.2;1
196012;67.8;1
196101;89.8;1
196102;65.6;1
196103;16;1
196104;70.9;1
196105;88.9;1
196106;61;1
196107;91.1;1
196108;54.4;1
196109;42.9;1
196110;83.3;1
196111;75.6;1
196112;97;1
196201;87.4;1
196202;63.2;1
196203;78.2;1
196204;65.1;1
196205;114.5;1
196206;6.4;1
196207;73.3;1
196208;47;1
196209;58;1
196210;21.1;1
196211;33.6;1
196212;65.5;1
196301;27.9;1
196302;34;1
196303;83;1
196304;43.7;1
196305;51.3;1
196306;109.6;1
196307;33.7;1
196308;125.7;1
196309;41;1
196310;57.7;1
196311;152.3;1
196312;1.2;1
196401;32;1
196402;40;1
196403;83.5;1
196404;31.6;1
196405;17.1;1
196406;46.1;1
196407;22;1
196408;52.5;1
196409;105.4;1
196410;67.8;1
196411;83.4;1
196412;31.7;1
196501;133.5;1
196502;16.3;1
196503;76.8;1
196504;92;1
196505;78.8;1
196506;84.8;1
196507;103;1
196508;83.7;1
196509;92.4;1
196510;7.6;1
196511;129.6;1
196512;163.3;1
196601;82.1;1
196602;60.5;1
196603;60.4;1
196604;79;1
196605;44.9;1
196606;75.6;1
196607;73.7;1
196608;98.5;1
196609;52.9;1
196610;56.3;1
196611;67.8;1
196612;207.7;1
196701;33.8;1
196702;59;1
196703;57.2;1
196704;44.9;1
196705;93.6;1
196706;50.9;1
196707;60.5;1
196708;104;1
196709;91.4;1
196710;89.8;1
196711;68.2;1
196712;93.7;1
196801;94.9;1
196802;75.4;1
196803;45.9;1
196804;84.2;1
196805;58.4;1
196806;41.9;1
196807;75.1;1
196808;207.6;1
196809;100.6;1
196810;44.2;1
196811;29.1;1
196812;60.1;1
196901;48.1;1
196902;78.2;1
196903;84.8;1
196904;96.8;1
196905;115.9;1
196906;104.5;1
196907;41.8;1
196908;73.6;1
196909;26.2;1
196910;4.8;1
196911;105.5;1
196912;59.1;1
197001;66.4;1
197002;171.6;1
197003;75.7;1
197004;113.1;1
197005;143.5;1
197006;101.7;1
197007;93.9;1
197008;51.5;1
197009;65.3;1
197010;64.8;1
197011;48.4;1
197012;44.5;1
197101;38.5;1
197102;22.5;1
197103;43;1
197104;29.3;1
197105;111.7;1
197106;114.9;1
197107;16.9;1
197108;94.5;1
197109;27.7;1
197110;27.2;1
197111;92.1;1
197112;18.3;1
197201;35.8;1
197202;31.8;1
197203;37.1;1
197204;64.9;1
197205;78.9;1
197206;58.8;1
197207;35.6;1
197208;103.9;1
197209;17.8;1
197210;16.8;1
197211;144.3;1
197212;34.4;1
197301;28.5;1
197302;50.1;1
197303;14.5;1
197304;39.8;1
197305;104.1;1
197306;48;1
197307;81.5;1
197308;42.2;1
197309;40.4;1
197310;85.4;1
197311;68.1;1
197312;85.5;1
197401;45.7;1
197402;59;1
197403;80.8;1
197404;14.3;1
197405;42.8;1
197406;52.8;1
197407;94.2;1
197408;70.8;1
197409;91.7;1
197410;163.9;1
197411;96.8;1
197412;99.9;1
197501;60.4;1
197502;22.8;1
197503;53.7;1
197504;56.6;1
197505;54.8;1
197506;104.2;1
197507;63.4;1
197508;62.2;1
197509;92.5;1
197510;11.2;1
197511;93;1
197512;27.4;1
197601;69.3;1
197602;38.4;1
197603;20.6;1
197604;35.4;1
197605;41.3;1
197606;13.3;1
197607;71.8;1
197608;21.7;1
197609;89.8;1
197610;63.1;1
197611;58.3;1
197612;77.7;1
197701;103.2;1
197702;136.2;1
197703;42.9;1
197704;56.3;1
197705;54.3;1
197706;101.4;1
197707;71.3;1
197708;66;1
197709;31.9;1
197710;36.7;1
197711;139.7;1
197712;83.9;1
197801;60.2;1
