# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 57740001
# NOM_USUEL= WALDWISSE
# LATITUDE (°) = 49.417
# LONGITUDE(°)= 6.506
# ALTITUDE (m) = 291
# NUM_SERIE= MRR157740001
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 195301 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195301 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;26;1
195302;44;1
195303;1.4;1
195304;53;1
195305;37;1
195306;57.3;1
195307;129.4;1
195308;22;1
195309;55.6;1
195310;38.7;1
195311;15;1
195312;17;1
195401;53;1
195402;37;1
195403;33.4;1
195404;39.5;1
195405;32.9;1
195406;34.1;1
195407;66.6;1
195408;149;1
195409;128.7;1
195410;110.2;1
195411;75.8;1
195412;95.5;1
195501;93.5;1
195502;63.7;1
195503;31.8;1
195504;25;1
195505;86.7;1
195506;52.5;1
195507;116.9;1
195508;23.4;1
195509;54;1
195510;42.4;1
195511;22.8;1
195512;141.9;1
195601;73.8;1
195602;14.2;1
195603;40.3;1
195604;73.6;1
195605;94.5;1
195606;65.4;1
195607;72.8;1
195608;104.5;1
195609;56.2;1
195610;103.9;1
195611;40.2;1
195612;43.8;1
195701;51;1
195702;100.9;1
195703;78.1;1
195704;8.9;1
195705;26.4;1
195706;28.3;1
195707;82.5;1
195708;97;1
195709;106.2;1
195710;40.8;1
195711;26.6;1
195712;58;1
195801;85.2;1
195802;163;1
195803;28.5;1
195804;42.7;1
195805;169.4;1
195806;73.3;1
195807;73.2;1
195808;136.5;1
195809;47;1
195810;55.3;1
195811;35.5;1
195812;111.8;1
195901;69.3;1
195902;1.5;1
195903;54.8;1
195904;61.6;1
195905;66.4;1
195906;79.8;1
195907;26.3;1
195908;53.4;1
195909;0;1
195910;34.6;1
195911;63.1;1
195912;112.1;1
196001;68;1
196002;79.5;1
196003;58.8;1
196004;24.8;1
196005;48;1
196006;80.2;1
196007;115.5;1
196008;111.2;1
196009;63.4;1
196010;92.7;1
196011;107.1;1
196012;65;1
196101;97.9;1
196102;69.3;1
196103;10.5;1
196104;73.9;1
196105;68.8;1
196106;98.7;1
196107;114;1
196108;46.9;1
196109;49.4;1
196110;106.2;1
196111;91.2;1
196112;74;1
196201;81.4;1
196202;67.4;1
196203;79.5;1
196204;53.1;1
196205;67.3;1
196206;0.3;1
196207;55.8;1
196208;37.1;1
196209;82.4;1
196210;10.9;1
196211;32.9;1
196212;61.2;1
196301;27.5;1
196302;17.5;1
196303;83.9;1
196304;31.2;1
196305;53.9;1
196306;142.4;1
196307;23.5;1
196308;125;1
196309;40.6;1
196310;50.5;1
196311;120.8;1
196312;1.4;1
196401;36.5;1
196402;29.7;1
196403;48.1;1
196404;42.5;1
196405;50.2;1
196406;28.6;1
196407;13.7;1
196408;54.2;1
196409;104.2;1
196410;83.7;1
196411;85.7;1
196412;51.9;1
196501;104;1
196502;11.3;1
196503;69.5;1
196504;87.9;1
196505;96.3;1
196506;79;1
196507;76.2;1
196508;62.8;1
196509;139.5;1
196510;5.6;1
196511;130.8;1
196512;225.4;1
196601;79.1;1
196602;88.4;1
196603;49.8;1
196604;101.4;1
196605;51.3;1
196606;58.5;1
196607;122.7;1
196608;77.8;1
196609;25.9;1
196610;94;1
196611;97.2;1
196612;149.9;1
196701;39.1;1
196702;70.7;1
196703;60.9;1
196704;30.8;1
196705;74.3;1
196706;46.1;1
196707;79.7;1
196708;90.9;1
196709;99.3;1
196710;142.8;1
196711;81.1;1
196712;121.8;1
196801;86.9;1
196802;68.9;1
196803;50.8;1
196804;59;1
196805;61.9;1
196806;41.4;1
196807;128.5;1
196808;110.4;1
196809;114.7;1
196810;44.7;1
196811;23;1
196812;75.5;1
196901;43.2;1
196902;57.3;1
196903;85;1
196904;83.6;1
196905;57.1;1
196906;82.3;1
196907;65.9;1
196908;91.9;1
196909;27.5;1
196910;1.8;1
196911;115.4;1
196912;34.2;1
197001;88.9;1
197002;164.7;1
197003;78.9;1
197004;92.8;1
197005;113.6;1
197006;78.9;1
197007;93.1;1
197008;26.9;1
197009;44.9;1
197010;60.7;1
197011;65.6;1
197012;44.5;1
197101;84.6;1
197102;22.1;1
197103;28.5;1
197104;33.2;1
197105;38.4;1
197106;72.5;1
197107;26.6;1
197108;109.8;1
197109;18.3;1
197110;30.6;1
197111;87.7;1
197112;13.8;1
197201;41.1;1
197202;32.8;1
197203;37.4;1
197204;54.9;1
197205;98.1;1
197206;63.4;1
197207;43.2;1
197208;107.2;1
197209;44.4;1
197210;14;1
197211;131.8;1
197212;21.3;1
197301;28.3;1
197302;66.7;1
197303;4.5;1
197304;46.8;1
197305;112.7;1
197306;35.2;1
197307;59.1;1
197308;25.6;1
197309;43.9;1
197310;76;1
197311;95.5;1
197312;72;1
197401;59;1
197402;55.7;1
197403;72.5;1
197404;15.8;1
197405;51.1;1
197406;79.2;1
197407;62.2;1
197408;45.3;1
197409;100.8;1
197410;139.5;1
197411;117.4;1
197412;126.6;1
197501;88.8;1
197502;13.4;1
197503;79.5;1
197504;52.6;1
197505;59.9;1
197506;80.2;1
197507;20.5;1
197508;70.1;1
197509;114.1;1
197510;14.6;1
197511;87.8;1
197512;36.8;1
197601;54.7;1
197602;36.8;1
197603;31.9;1
197604;21.8;1
197605;24.4;1
197606;26.2;1
197607;49.4;1
197608;14.5;1
197609;60.4;1
197610;61.6;1
197611;100.5;1
197612;74.8;1
197701;110.3;1
197702;158.6;1
197703;44;1
197704;71;1
197705;27.6;1
197706;80.9;1
197707;51.3;1
197708;88.8;1
197709;30.6;1
197710;47.5;1
197711;114;1
197712;75.9;1
197801;62.9;1
197802;60.9;1
197803;133.4;1
197804;30.7;1
197805;124.9;1
197806;66.8;1
197807;93.8;1
197808;31.7;1
197809;76.4;1
197810;13.1;1
197811;15.2;1
197812;174.2;1
197901;37;1
197902;94;1
197903;144;1
197904;83.9;1
197905;151.6;1
197906;36.6;1
197907;17;1
197908;87.8;1
197909;27.3;1
197910;46.4;1
197911;114.4;1
197912;167.2;1
198001;90.8;1
198002;51.3;1
198003;77.5;1
198004;33.5;1
198005;38.9;1
198006;134.6;1
198007;128.1;1
198008;92;1
198009;64.9;1
198010;102.3;1
198011;71.3;1
198012;99;1
198101;102;1
198102;50;1
198103;116.2;1
198104;70.2;1
198105;55;1
198106;91.4;1
198107;49.1;1
198108;64.5;1
198109;103.2;1
198110;157.9;1
198111;62.1;1
198112;155.4;1
198201;102.1;1
198202;19.5;1
198203;96.5;1
198204;26.5;1
198205;33.7;1
198206;181.5;1
198207;68.8;1
198208;63.2;1
198209;43.1;1
198210;158.8;1
198211;79.5;1
198212;146.5;1
198301;87.5;1
198302;61;1
198303;74;1
198304;163.8;1
198305;171.7;1
198306;45.7;1
198307;27;1
198308;31;1
198309;98.4;1
198310;52.1;1
198311;74.5;1
198312;53.5;1
198401;189.9;1
198402;103.4;1
198403;48.6;1
198404;39.5;1
198405;120;1
198406;38.1;1
198407;90.5;1
198408;51.8;1
198409;113.7;1
198410;98.2;1
198411;100.3;1
198412;45.7;1
198501;58.5;1
198502;37.8;1
198503;73;1
198504;65.3;1
198505;38;1
198506;103.6;1
198507;42.6;1
198508;90.6;1
198509;42.5;1
198510;15.6;1
198511;113.7;1
198512;63.5;1
198601;120.4;1
198602;8.2;1
198603;100.5;1
198604;64.1;1
198605;47.7;1
198606;72.4;1
198607;74.8;1
198608;98.5;1
198609;88.8;1
198610;120.1;1
198611;46.3;1
198612;87.9;1
198701;40.1;1
198702;91.4;1
198703;83.7;1
198704;24.4;1
198705;65.9;1
198706;125.7;1
198707;116.1;1
198708;66.4;1
198709;81;1
198710;113.8;1
198711;65.5;1
198712;34.4;1
198801;130.9;1
198802;98.9;1
198803;140;1
198804;15.7;1
198805;72.3;1
