# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 58062001
# NOM_USUEL= CHATEAU CHINON
# LATITUDE (°) = 47.07
# LONGITUDE(°)= 3.934
# ALTITUDE (m) = 598
# NUM_SERIE= MRR158062001
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 195101 201412
# Date(s) de rupture(s) d'homogénéité : 200212
#     Periode homogénéisée  195101 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195101;112.3;1
195102;96.8;1
195103;89.9;1
195104;78.3;1
195105;117.1;1
195106;186.3;1
195107;56.4;1
195108;137.7;1
195109;83.7;1
195110;32.1;1
195111;189.7;1
195112;83.3;1
195201;140.9;1
195202;82.6;1
195203;165.6;1
195204;14.3;1
195205;64.9;1
195206;72.3;1
195207;15.2;1
195208;80.2;1
195209;168.4;1
195210;229;1
195211;148.5;1
195212;169.9;1
195301;22;1
195302;60.2;1
195303;8.8;1
195304;85.8;1
195305;55.8;1
195306;155.1;1
195307;139.1;1
195308;25.9;1
195309;99.3;1
195310;62.7;1
195311;28.5;1
195312;38.7;1
195401;95.9;1
195402;76.9;1
195403;113.7;1
195404;58.2;1
195405;55.6;1
195406;81.3;1
195407;66.2;1
195408;186.3;1
195409;89.9;1
195410;114.9;1
195411;87.3;1
195412;136.9;1
195501;212.7;1
195502;133.2;1
195503;68.8;1
195504;6.3;1
195505;50.9;1
195506;118.2;1
195507;47.5;1
195508;40.5;1
195509;49.1;1
195510;39.2;1
195511;43.5;1
195512;185.5;1
195601;115.1;1
195602;25.1;1
195603;66;1
195604;57.3;1
195605;104.7;1
195606;98.2;1
195607;137.6;1
195608;158.7;1
195609;167.8;1
195610;83.4;1
195611;81.1;1
195612;60;1
195701;61.7;1
195702;220.7;1
195703;58.9;1
195704;18.6;1
195705;44.4;1
195706;119;1
195707;132.9;1
195708;71.4;1
195709;91.2;1
195710;41.4;1
195711;57.1;1
195712;117.4;1
195801;139.5;1
195802;201.4;1
195803;75.8;1
195804;62.7;1
195805;177.2;1
