# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 59604001
# NOM_USUEL= TROISVILLES
# LATITUDE (°) = 50.098
# LONGITUDE(°)= 3.464
# ALTITUDE (m) = 125
# NUM_SERIE= MRR159604001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201712
# Date(s) de rupture(s) d'homogénéité : 196012 201309
#     Periode homogénéisée  195501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;63.7;1
195502;62.3;1
195503;10.3;1
195504;21.5;1
195505;100.2;1
195506;46.9;1
195507;19;1
195508;84.4;1
195509;38.3;1
195510;25.1;1
195511;38.1;1
195512;113.4;1
195601;73.7;1
195602;26;1
195603;37.7;1
195604;89.2;1
195605;23.1;1
195606;80.2;1
195607;55.3;1
195608;97.7;1
195609;42.3;1
195610;92;1
195611;69.5;1
195612;32.2;1
195701;40.2;1
195702;160.8;1
195703;44.5;1
195704;60;1
195705;41.6;1
195706;82.4;1
195707;73;1
195708;76.7;1
195709;143.6;1
195710;21.3;1
195711;37.9;1
195712;39.7;1
195801;66.3;1
195802;75.2;1
195803;13.2;1
195804;45.4;1
195805;79.9;1
195806;111.8;1
195807;100.1;1
195808;110;1
195809;102.1;1
195810;83.9;1
195811;58.5;1
195812;95.3;1
195901;72.2;1
195902;2.4;1
195903;91.3;1
195904;58.3;1
195905;56.4;1
195906;41.1;1
195907;16.5;1
195908;41.3;1
195909;8.6;1
195910;80.7;1
195911;57.7;1
195912;92.7;1
196001;55.7;1
196002;30;1
196003;40.5;1
196004;23.7;1
196005;42;1
196006;60;1
196007;144.7;1
196008;64.6;1
196009;52.8;1
196010;132.3;1
196011;96.3;1
196012;77.7;1
196101;130.4;1
196102;86.2;1
196103;14.4;1
196104;72.6;1
196105;42;1
196106;58.7;1
196107;83.2;1
196108;18.4;1
196109;67;1
196110;146;1
196111;83;1
196112;62.2;1
196201;72.2;1
196202;52.1;1
196203;61.4;1
196204;55.3;1
196205;60.7;1
196206;12.3;1
196207;40.6;1
196208;50.2;1
196209;41.6;1
196210;73.9;1
196211;50.2;1
196212;51.7;1
196301;17.4;1
196302;12;1
196303;42.9;1
196304;107.1;1
196305;59.6;1
196306;108.2;1
196307;21.3;1
196308;85.1;1
196309;18.8;1
196310;52.7;1
196311;89.5;1
196312;11.6;1
196401;22.5;1
196402;28.2;1
196403;65.8;1
196404;36.3;1
196405;53.4;1
196406;76.8;1
196407;20.7;1
196408;65.6;1
196409;46;1
196410;107.8;1
196411;75.7;1
196412;48.4;1
196501;72.5;1
196502;17.5;1
196503;51.4;1
196504;57.1;1
196505;94.6;1
196506;45.3;1
196507;88.7;1
196508;108.8;1
196509;89.8;1
196510;23.8;1
196511;110.6;1
196512;179.2;1
196601;42.2;1
