# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 62516002
# NOM_USUEL= LILLERS
# LATITUDE (°) = 50.58
# LONGITUDE(°)= 2.497
# ALTITUDE (m) = 19
# NUM_SERIE= MRR162516002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201612
# Date(s) de rupture(s) d'homogénéité : 200212
#     Periode homogénéisée  195501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;76.7;1
195502;64.2;1
195503;22;1
195504;7.4;1
195505;92.7;1
195506;49.6;1
195507;25;1
195508;44.3;1
195509;40.8;1
195510;38.7;1
195511;12.3;1
195512;56.2;1
195601;65;1
195602;25.8;1
195603;18.1;1
195604;22;1
195605;10.8;1
195606;46;1
195607;47;1
195608;99.4;1
195609;42.9;1
195610;71.2;1
195611;40.1;1
195612;22.1;1
195701;26.8;1
195702;114.6;1
195703;22.2;1
195704;48;1
195705;29;1
195706;33.8;1
195707;54;1
195708;67.4;1
195709;79.7;1
195710;34.2;1
195711;33.9;1
195712;28.8;1
195801;60.4;1
195802;74.2;1
195803;37;1
195804;31.6;1
195805;47.7;1
195806;87.8;1
195807;62.3;1
195808;71;1
195809;65.1;1
195810;42.7;1
195811;39.6;1
195812;61.5;1
195901;56.5;1
195902;3.4;1
195903;41.4;1
195904;54.9;1
195905;9.1;1
195906;16.6;1
195907;35.6;1
195908;60.7;1
195909;1.7;1
195910;79.7;1
195911;43.2;1
195912;103.2;1
196001;51.2;1
196002;31.1;1
196003;29.5;1
196004;21.3;1
196005;68.5;1
196006;45.1;1
196007;39.5;1
196008;121.7;1
196009;50.9;1
196010;91.5;1
196011;106.7;1
196012;81.8;1
196101;75.7;1
196102;58.6;1
196103;9.5;1
196104;64.9;1
196105;27.6;1
196106;25.5;1
196107;52.5;1
196108;17.5;1
196109;56.8;1
196110;110.4;1
196111;77.3;1
196112;60;1
196201;76.7;1
196202;23;1
196203;42.9;1
196204;36.9;1
196205;28.7;1
196206;6;1
196207;44.9;1
196208;58.3;1
196209;43.7;1
196210;51.4;1
196211;76.4;1
196212;57.8;1
196301;2.7;1
196302;14.1;1
196303;39.6;1
196304;43.4;1
196305;51.2;1
196306;80.8;1
196307;25.4;1
196308;66.9;1
196309;50.2;1
196310;52.6;1
196311;109;1
196312;12.7;1
196401;16.8;1
196402;32;1
196403;47.6;1
196404;41.3;1
196405;47.7;1
196406;147.6;1
196407;17.5;1
196408;28.2;1
196409;31.3;1
196410;99.2;1
196411;80.4;1
196412;112.6;1
196501;77.5;1
196502;13.2;1
196503;45.7;1
196504;43.4;1
196505;48.5;1
196506;57.5;1
196507;71.8;1
196508;49.5;1
196509;83.6;1
196510;12.1;1
196511;69.4;1
196512;153.9;1
196601;24;1
196602;80.3;1
196603;31;1
196604;53.6;1
196605;32.5;1
196606;43.6;1
196607;67.7;1
196608;52.6;1
196609;17.1;1
196610;86.4;1
196611;111.6;1
196612;113.1;1
196701;19.5;1
196702;62.4;1
196703;47;1
196704;27.6;1
196705;70.2;1
196706;32.5;1
196707;18.9;1
196708;41.3;1
196709;56.1;1
196710;75.8;1
196711;31.8;1
196712;62.4;1
196801;47.3;1
196802;67.5;1
196803;35;1
196804;25.9;1
196805;36;1
196806;20.4;1
196807;166.3;1
196808;79;1
196809;104.3;1
196810;39.5;1
196811;46.9;1
196812;38.2;1
196901;32.3;1
196902;67.4;1
196903;40.7;1
196904;34.9;1
196905;108.2;1
196906;106.7;1
196907;49.3;1
196908;75.5;1
196909;12.8;1
196910;7.1;1
196911;101.3;1
196912;59.4;1
197001;44.5;1
197002;69.5;1
197003;71.8;1
197004;60.4;1
197005;32.4;1
197006;46.3;1
197007;24.7;1
197008;16.7;1
197009;53.9;1
197010;32;1
197011;75.6;1
197012;25.2;1
197101;54.3;1
197102;28.4;1
197103;27;1
197104;23.5;1
197105;34.1;1
197106;88.5;1
197107;10.4;1
197108;39.1;1
197109;13.8;1
197110;15.6;1
197111;83.3;1
197112;7.8;1
197201;45.6;1
197202;41.8;1
197203;28.3;1
197204;65.2;1
197205;63.1;1
197206;55.2;1
197207;35.6;1
197208;32.6;1
197209;37.6;1
197210;9.1;1
197211;89.1;1
197212;34.8;1
197301;18;1
197302;42.3;1
197303;4;1
197304;49.1;1
197305;74.8;1
197306;32.5;1
197307;56.2;1
197308;4.9;1
197309;87.4;1
197310;34.5;1
197311;14;1
197312;33.2;1
197401;57.9;1
197402;41.5;1
197403;46.3;1
197404;6.5;1
